Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
Who are the triplet nephews of Donald Duck?,"['Huey, Dewey, and Louie - Wikipedia | Huey, Dewey, and Louie are triplet cartoon characters created by storyboard artist (screenwriter) Carl Barks for The Walt Disney Company from an idea proposed by cartoonist Al Taliaferro. They are the nephews of Donald Duck and the grand-nephews of Scrooge McDuck.', ""Huey, Dewey, and Louie | Disney Wiki | Fandom | Huey, Dewey, and Louie are Donald Duck's identical triplet nephews created by Ted Osborne and Al Taliaferro. They first appeared in the 1937 comic strip and ..."", ""Five Fast Facts About Huey, Dewey, and Louie | Huey, Dewey, and Louie made their first animated film appearance on April 15, 1938. Today I'm sharing five fast facts about this duck trio!""]","Step 1: Who are Huey, Dewey, and Louie?
Step 2: Who are the nephews of Donald Duck?
Step 3: What is the relationship between Huey, Dewey, and Louie and Donald Duck?",Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: Who are Huey, Dewey, and Louie? ANSWER: Donald Duck's identical triplet nephews. Step 2: Who are the nephews of Donald Duck?","Who are Huey, Dewey, and Louie? ANSWER: Donald Duck's identical triplet nephews. Who are the nephews of Donald Duck?","['Huey, Dewey, and Louie - Wikipedia | Huey, Dewey, and Louie are triplet cartoon characters created by storyboard artist (screenwriter) Carl Barks for The Walt Disney Company from an idea proposed by cartoonist Al Taliaferro. They are the nephews of Donald Duck and the grand-nephews of Scrooge McDuck., triplet cartoon characters created by storyboard artist (screenwriter) Carl Barks for The Walt Disney Company from an idea proposed by cartoonist Al Taliaferro', ""Huey, Dewey, and Louie | Disney Wiki | Fandom | Huey, Dewey, and Louie are Donald Duck's identical triplet nephews created by Ted Osborne and Al Taliaferro. They first appeared in the 1937 comic strip and ..."", ""Huey, Dewey, and Louie | Character background. Huey, Dewey, and Louie are the sons of Donald's sister Della Duck; in Donald's Nephews, their mother is instead named Dumbella."", ""Duck family (Disney) - Wikipedia | Huey, Dewey, and Louie Duck (born c. 1940) are Donald's three nephews, grand-nephews of his uncle Scrooge McDuck and identical triplet sons of Della Duck., Donald's three nephews"", 'Huey, Dewey, and Louie | They are the nephews of Donald Duck and the grand-nephews of Scrooge McDuck. ... Further information: Della Duck and Duck family (Disney) § Huey, Dewey, and ...', 'Huey, Dewey, and Louie - Wikipedia | Huey, Dewey, and Louie are triplet cartoon characters created by storyboard artist (screenwriter) Carl Barks for The Walt Disney Company from an idea proposed by cartoonist Al Taliaferro. They are the nephews of Donald Duck and the grand-nephews of Scrooge McDuck.', ""Huey, Dewey, and Louie | Disney Wiki | Fandom | Huey, Dewey, and Louie are Donald Duck's identical triplet nephews created by Ted Osborne and Al Taliaferro. They first appeared in the 1937 comic strip and ...""]",They are the triplet nephews of Donald Duck and the grand-nephews of Scrooge McDuck [1][2][3][4][5][6][7].,"Huey, Dewey, and Louie","['Huey, Dewey, and Louie']"
Are Canada Dry and Aquafina both carbonated beverages?,"['Beverages Kosher Listing | Soft drinks below are recommended only when produced in the United States, and refer to both regular and diet versions. All are pareve unless otherwise ...', 'Is Canada Dry ginger ale as bad as Coca Cola (and sodas ... | Canada Dry ginger ale is a solution of flavorings and sugar in carbonated water. It is essentially exactly the same as Coke, Pepsi, 7-Up and any ...', ""List of soft drinks by country | This is a list of soft drinks in order of the brand's country of origin. A soft drink is a beverage that typically contains water (often carbonated water), ...""]","Step 1: What is Canada Dry?
Step 2: What is Aquafina?
Step 3: Are Canada Dry and Aquafina carbonated beverages?",Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is Canada Dry? ANSWER: a brand of soft drinks. Step 2: What is Aquafina? ANSWER: purified bottled water. Step 3: Are Canada Dry and Aquafina carbonated beverages?,Are Canada Dry and Aquafina carbonated beverages?,"['Canada Dry | Canada Dry is a Canadian-American brand of soft drinks founded in Toronto, Ontario, in 1904, and owned since 2008 by the American company Dr Pepper Snapple ...', 'Aquafina | Fresh and pure, Aquafina is the perfect companion for happy bodies everywhere.', ""List of soft drinks by country | This is a list of soft drinks in order of the brand's country of origin. A soft drink is a beverage that typically contains water (often carbonated water), ..."", 'Beverages Kosher Listing | Soft drinks below are recommended only when produced in the United States, and refer to both regular and diet versions. All are pareve unless otherwise ...', ""Canada Dry: Ginger Ales, Seltzer Waters, Sodas | Made with the crisp, refreshing ginger taste you've always loved, Canada Dry Ginger Ale is an unparalleled classic."", 'Aquafina | Aquafina is an American brand of purified bottled water that is produced by PepsiCo, consisting of both unflavored and flavored water. The Aquafina brand ...', 'Aquafina Water, Purified, 20 Fl Oz (1.25 Pt) 591 Ml | 7-up soda, zero sugar, lemon lime, 2 liters (2.1 qt) · Advertised Special · Low Sodium · Sugar Free.']","Both Canada Dry and Aquafina are beverages, and Canada Dry is known for its carbonated ginger ale [1][3]. Aquafina, on the other hand, is purified bottled water, which is not carbonated.",no,['no']
Are Kelly Keagy and Jung Eun-ji both drummers?,"['Kelly Keagy | Kelly Dean Keagy (born September 15, 1952) is an American drummer and vocalist, best known for his work with the hard rock band Night Ranger.', 'Kelly Keagy – Singing And Drumming | ... both a drummer and a singer and how he became a successful musician. Follow DrumChannel on.. – Facebook: http://www.facebook.com/DrumChannel ...', 'Exclusive Interview: Kelly Keagy | Kelly Keagy is a man who wears many hats. Drummer, vocalist, songwriter, producer and ambassador are just some of the titles that can be used to ...']","Step 1: What is Kelly Keagy known for?
Step 2: Is Kelly Keagy a drummer?
Step 3: What is Jung Eun-ji known for?
Step 4: Is Jung Eun-ji a drummer?",Step 2 depends on Step 1. Step 4 depends on Step 3.,Step 1: What is Kelly Keagy known for? ANSWER: Drummer and vocalist for Night Ranger. Step 2: Is Kelly Keagy a drummer?,Is Kelly Keagy a drummer and vocalist for Night Ranger?,"['Kelly Keagy - Wikipedia | Kelly Dean Keagy (born September 15, 1952) is an American drummer and vocalist, best known for his work with the hard rock band Night Ranger. Keagy sang lead vocals on several of their hits, such as ""Sister Christian"", ""Sing Me Away"", and ""Sentimental Street""., his work with the hard rock band Night Ranger', 'Kelly Keagy | Kelly Keagy. 21752 likes · 326 talking about this. Drummer & Vocalist for the Legendary Band NIGHT RANGER.', 'Kelly Keagy - Wikipedia | Kelly Dean Keagy (born September 15, 1952) is an American drummer and vocalist, best known for his work with the hard rock band Night Ranger. Keagy sang lead vocals on several of their hits, such as ""Sister Christian"", ""Sing Me Away"", and ""Sentimental Street""., drummer and vocalist', 'Kelly Keagy | Kelly Keagy. 21752 likes · 326 talking about this. Drummer & Vocalist for the Legendary Band NIGHT RANGER.', 'Jung Eun-ji - Wikipedia | She is best known as the main vocalist of the South Korean girl group Apink. Renowned for her powerful vocals, she possesses perfect pitch and has a vocal range of four octaves and one note. Jung made her acting debut in the critically acclaimed hit coming-of-age television series Reply 1997 in 2012., main vocalist of the South Korean girl group Apink', 'Jung Eun-ji(II) | She is an actress, known for Reply 1997 (2012), Sassy, Go Go (2015) and That Winter, the Wind Blows (2013). BornAugust 18, 1993.', 'Jung Eun-ji | Jung Eun-ji is a South Korean singer-songwriter and actress. She is best known as the main vocalist of the South Korean girl group Apink.']","Kelly Keagy is described as a drummer and vocalist for the band Night Ranger, while Jung Eun-ji is described as the main vocalist of the South Korean girl group Apink [1][2][3][4][5][6][7]. Based on this information, Kelly Keagy is a drummer, but Jung Eun-ji is not.",no,['no']
Are Global Rhythm and Stanford Chaparral both magazines?,"[""Fool's Paradise | Since 1899, the Chaparral has been a haven for humor—from the sublime to the sophomoric."", 'Stanford Chaparral | The Stanford Chaparral, or Chappie, is a humor magazine published by Stanford University students since 1899. It was founded by Bristow Adams & Larrey Bowman.', 'List of United States magazines | This Wikipedia page provides a list of United States magazines, categorized by topic such as automotive, business, children, entertainment, news, sports, and more.']","Step 1: What is Global Rhythm magazine?
Step 2: What is Stanford Chaparral magazine?
Step 3: Are Global Rhythm and Stanford Chaparral both categorized as magazines on the List of United States magazines Wikipedia page?",Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is Global Rhythm magazine? ANSWER: a music and lifestyle magazine. Step 2: What is Stanford Chaparral magazine? ANSWER: humor magazine. Step 3: Are Global Rhythm and Stanford Chaparral both categorized as magazines on the List of United States magazines Wikipedia page?,Are Global Rhythm and Stanford Chaparral both categorized as magazines on the List of United States magazines Wikipedia page?,"['Global Rhythm | Global Rhythm was a former New York-based monthly music and lifestyle magazine featuring coverage of world music, film, cuisine and travel.', 'Stanford Chaparral | The Stanford Chaparral is a humor magazine published by students of Stanford University since 1899. The Stanford Chaparral. The first Chappie (October 5, ...', 'List of United States magazines | This is a list of United States magazines. This is a dynamic list and may never be able to satisfy particular standards for completeness.', ""Fool's Paradise | Since 1899, the Chaparral has been a haven for humor—from the sublime to the sophomoric."", 'Global Rhythm Magazine | GLOBAL RHYTHM MAGAZINE is the leading world music and global culture publication with distribution in over twenty countries. Published twelve times annually ...', 'About us - The Stanford Chaparral | The Stanford Chaparral is a humor publication that has delighted generations of Stanford students and befuddled University administrators for just as long.', 'Stanford Chaparral | The Stanford Chaparral is a humor magazine published by students of Stanford University since 1899. The Stanford Chaparral. The first Chappie (October 5, ...']",Both Global Rhythm and Stanford Chaparral are mentioned as magazines in the provided context [1][2].,yes,['yes']
What county are the Belgrade Lakes in?,"['Belgrade Lakes | Belgrade Lakes ; Long Pond is located in Maine. Long Pond ; Long Pond is located in Maine. Long Pond · Kennebec County · 44°32′N 69°54′W\ufeff / \ufeff44.533°N 69.900°W\ufeff / ...', 'Fishing in the Belgrade Lakes Maine Region | Belgrade Lakes in Kennebec County Maine are a chain of seven fresh water lakes ranging in size from 500 acres to over 8,000 acres. All the lakes have ...', 'Belgrade, Maine | Belgrade is a town in Kennebec County, Maine, United States. ... Belgrade includes the villages of North Belgrade, Belgrade Depot and Belgrade Lakes (or The ...']","Step 1: Where are the Belgrade Lakes located in Maine?
Step 2: What is the county of the Belgrade Lakes in Maine?",Step 2 depends on Step 1.,Step 1: Where are the Belgrade Lakes located in Maine? ANSWER: Central Maine. Step 2: What is the county of the Belgrade Lakes in Maine?,What county are the Belgrade Lakes located in Maine?,"['Belgrade Lakes | The Belgrade Lakes are a chain of lakes around Belgrade, Maine. The flow sequence is from East Pond to North Pond to Great Pond to Long Pond to Messalonskee ...', 'Belgrade Lakes | Belgrade Lakes ; Kennebec County · 44°32′N 69°54′W\ufeff / \ufeff44.533°N 69.900°W\ufeff / 44.533; -69.900 · 7.2 mi (11.6 km).', 'Belgrade Lakes | Belgrade Lakes ; Long Pond is located in Maine. Long Pond ; Long Pond is located in Maine. Long Pond · Kennebec County · 44°32′N 69°54′W\ufeff / \ufeff44.533°N 69.900°W\ufeff / ...', ""Belgrade Lakes Region | WELCOME TO THE BELGRADE LAKES REGION! Located 10 miles north of Augusta, is peaceful, picturesque, and welcoming - Central Maine's premier lake area for ..."", 'Belgrade Lakes Region | The lakes span the Kennebec and Somerset County towns of Oakland, Belgrade, Rome and Smithfield, Maine.', 'Fishing in the Belgrade Lakes Maine Region | Belgrade Lakes in Kennebec County Maine are a chain of seven fresh water lakes ranging in size from 500 acres to over 8,000 acres. All the lakes have ...', ""Area Map of the Belgrade Lakes, Maine Region | Welcome to the Belgrade Lakes Region, 10 miles north of Augusta, is peaceful, picturesque, and welcoming - Central Maine's premier lake area.""]","The Belgrade Lakes are located in Kennebec County, Maine [2][3][5].",Kennebec County,['Kennebec County']
Who is Japanese  Kinji Fukasaku or Julian Schnabel?,"[""Directors I should be familiar with : r/Filmmakers | I'm trying to broaden my horizons. I like Quentin Tarantino and Spike Lee. But who are some other directors I should be familiar with."", 'Julian Schnabel – Jumbo Cactuar Film Index | The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye.', 'List of directors | Film, Television, & Theater | This is a list of film, television, and theater directors, ordered alphabetically by country of origin or residence.']","Step 1: Who is Japanese director Kinji Fukasaku?
Step 2: Who is director Julian Schnabel?",Step 2 depends on Step 1.,Step 1: Who is Japanese director Kinji Fukasaku? ANSWER: Japanese film director. Step 2: Who is director Julian Schnabel?,Who is director Julian Schnabel?,"['Kinji Fukasaku | Kinji Fukasaku was a Japanese film director and screenwriter. Known for his ""broad range and innovative filmmaking"", Fukasaku worked in many different ...', 'Julian Schnabel | Julian Schnabel (born October 26, 1951) is an American painter and filmmaker. In the 1980s, he received international attention for his plate paintings.', ""Directors I should be familiar with : r/Filmmakers | I'm trying to broaden my horizons. I like Quentin Tarantino and Spike Lee. But who are some other directors I should be familiar with."", 'Kinji Fukasaku(1930-2003) | Kinji Fukasaku was born on 3 July 1930 in Mito, Japan. He was a director and writer, known for Battle Royale (2000), Fall Guy (1982) and Crest of Betrayal ...', 'Julian Schnabel | Julian Schnabel was born on 26 October 1951 in Brooklyn, New York, USA. He is a director and writer, known for Before Night Falls (2000), The Diving Bell and ...', 'Julian Schnabel – Jumbo Cactuar Film Index | The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye.', ""Kinji Fukasaku, 72; Japanese Director of Edgy, Violent Films | Kinji Fukasaku, a Japanese director hailed as one of his country's living masters of cinema, whose 60 films ranged from outrageous cult hits ...""]","Kinji Fukasaku was a Japanese film director and screenwriter, known for his innovative filmmaking [1][4]. Julian Schnabel is an American painter and filmmaker, known for his plate paintings [2][5]. Kinji Fukasaku is hailed as one of his country's living masters of cinema [7].",Kinji Fukasaku,['Kinji Fukasaku']
Are Helen Fielding and Thomas Friedman both writers?,"['The Way We Live Now: 2-20-00: Questions for Helen Fielding | Interview with Helen Fielding, author of book Bridget Jones: The Edge of Reason; photo (M)', 'Helen Fielding | Speaking Fee, Booking Agent, & Contact ... | Helen Fielding is an English novelist, journalist and screenwriter, best known as the creator of the fictional character Bridget Jones.', ""'Mad About the Boy' catches up with Bridget Jones in 2013 | Friedman is a columnist for New York magazine. She lives in Los Angeles. Bridget Jones Mad About the Boy. Helen Fielding Alfred A. Knopf: 400 ...""]","Step 1: Is Helen Fielding a writer?
Step 2: Is Thomas Friedman a writer?",Step 2 depends on Step 1.,Step 1: Is Helen Fielding a writer? ANSWER: yes. Step 2: Is Thomas Friedman a writer?,Is Thomas Friedman a writer?,"['Helen Fielding | Helen Fielding (born 19 February 1958) is a British journalist, novelist and screenwriter, best known as the creator of the fictional character Bridget Jones. ...', 'Thomas Friedman | Thomas Loren Friedman is an American political commentator and author. He is a three-time Pulitzer Prize winner who is a weekly columnist for The New York ...', 'The Way We Live Now: 2-20-00: Questions for Helen Fielding | Interview with Helen Fielding, author of book Bridget Jones: The Edge of Reason; photo (M)', ""Helen Fielding: books, biography, latest update | Helen Fielding is the author of Bridget Jones's Diary, Bridget Jones: The Edge of Reason, and Bridget Jones: Mad About the Boy. $12.99"", 'Thomas Friedman | Thomas L. Friedman is an author, reporter, and columnist. He is the recipient of three Pulitzer Prizes and the author of six bestselling books.', 'Helen Fielding | Speaking Fee, Booking Agent, & Contact ... | Helen Fielding is an English novelist, journalist and screenwriter, best known as the creator of the fictional character Bridget Jones.', ""Helen Fielding | Helen Fielding was born on 19 February 1958 in Morley, West Yorkshire, England, UK. She is a writer and producer, known for Bridget Jones's Diary (2001)""]","Helen Fielding is a British novelist, journalist, and screenwriter [1]. Thomas Friedman is an American author, reporter, and columnist [2]. Thomas Friedman is the recipient of three Pulitzer Prizes and the author of six bestselling books [5]. Helen Fielding is known as the creator of the fictional character Bridget Jones [6].",yes,['yes']
Were both Jim Diamond and Paul Westerberg American?,"[""Paul Scott: Paul Westerberg aging well at 50 | Paul Westerberg is 50. I'm not the head of his fan club or anything, but the other day it occurred to me that the south Minneapolis songwriter behind the ..."", 'Some Thoughts on Paul Westerberg : r/Music | He folds meanings and rhymes into structure like a poet. From the dirty beginnings with the replacements to his grandpa boy side project there ...', 'Not to be bringing up old sh*t……..but my buddy and I went ... | Not to be bringing up old sh*t……..but my buddy and I went to see Tommy and my buddy asked Tommy what he thought of the Ed Stasium mix.']","Step 1: Where is Jim Diamond from?
Step 2: Where is Paul Westerberg from?
Step 3: What nationality is Jim Diamond?
Step 4: What nationality is Paul Westerberg?",Step 3 depends on Step 1. Step 4 depends on Step 2.,Step 1: Where is Jim Diamond from? ANSWER: Glasgow's East End. Step 3: What nationality is Jim Diamond?,What nationality is Jim Diamond?,"[""Singer-songwriter Jim Diamond dies - BBC News | Glasgow, United Kingdom, Born in Glasgow's East End, Diamond was influenced by the voices of Ray Charles and Otis Redding and joined his first band at the age of 14., Glasgow's East End"", 'Jim Diamond (singer) | James Aaron Diamond (28 September 1951 – 8 October 2015) was a Scottish singer-songwriter, best known for his three top 5 hits: ""I Won\'t Let You Down"" ...', 'Paul Westerberg - Wikipedia | Minneapolis, MN, Westerberg was born in Minneapolis, Minnesota, the son of Mary Louise (née Philipp) and Harold (""Hal"") Robert Westerberg (1918–2003), an employee of Cadillac-General Motors. He has four siblings: Anne, Julie, Phil, and Mary. He grew up Catholic., Minneapolis, Minnesota', 'Paul Westerberg | Paul Westerberg was born on 31 December 1959 in Minneapolis, Minnesota, USA. He is a composer and actor, known for Singles (1992), Open Season (2006) and ...', 'Jim Diamond (singer) - Wikipedia | Scottish, James Aaron Diamond (28 September 1951 – 8 October 2015) was a Scottish singer-songwriter, best known for his three top 5 hits: ""I Won\'t Let You Down"" (1982), as the lead singer of PhD; and his solo performances ""I Should Have Known Better"", a United Kingdom No., Scottish', 'Jim Diamond obituary | Pop and rock | The Scottish singersongwriter Jim Diamond, who has died unexpectedly aged 64, guaranteed himself a niche in the annals of pop music with a ...', 'Paul Westerberg - Wikipedia | American, Paul Harold Westerberg (born December 31, 1959) is an American musician, best known as the lead singer, guitarist, and songwriter for the Replacements., American']","Paul Westerberg is an American musician, born in Minneapolis, Minnesota, USA [7].  Jim Diamond was a Scottish singer-songwriter, born in Glasgow's East End [5].",no,['no']
Who directed the Korean movie Scandal Makers?,"[""Scandal Makers - Wikipedia | Scandal Makers (Korean: 과속스캔들) is a 2008 South Korean comedy-drama film written and directed by Kang Hyeong-cheol and starring Cha Tae-hyun, Park Bo-young and Wang Seok-hyeon. This was director Kang's first film and the highest grossing Korean film of the year., Kang Hyeong-cheol"", 'Scandal Makers | Movie: Scandal Makers (English title) / Speed Scandal (literal title) ; Revised romanization: Gwasok Seukaendeul ; Hangul: 과속스캔들 ; Director: Kang Hyung-Chul ...', 'Scandal Makers (2008) | Scandal Makers: Directed by Kang Hyoung-chul. With Cha Tae-hyun, Park Bo-young, Il-Kwon Ahn, Kim Chae-yeon. A radio DJ/entertainer in his 30s suddenly ... 7.2/10(4,484)']","Step 1: Who directed the Korean movie Scandal Makers?
Step 2: What is the English title of the Korean movie Scandal Makers?
Step 3: What is the literal title of the Korean movie Scandal Makers?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who directed the Korean movie Scandal Makers? ANSWER: Kang Hyeong-cheol. Step 2: What is the English title of the Korean movie Scandal Makers?,What is the English title of the Korean movie Scandal Makers?,"[""Scandal Makers - Wikipedia | Scandal Makers (Korean: 과속스캔들) is a 2008 South Korean comedy-drama film written and directed by Kang Hyeong-cheol and starring Cha Tae-hyun, Park Bo-young and Wang Seok-hyeon. This was director Kang's first film and the highest grossing Korean film of the year., Kang Hyeong-cheol"", 'Scandal Makers | Movie: Scandal Makers (English title) / Speed Scandal (literal title) ; Revised romanization: Gwasok Seukaendeul ; Hangul: 과속스캔들 ; Director: Kang Hyung-Chul ...', 'Scandal Makers | Scandal Makers (Korean: 과속스캔들) is a 2008 South Korean comedy-drama film written and directed by Kang Hyeong-cheol and starring Cha Tae-hyun, ...', 'Scandal Makers | Movie: Scandal Makers (English title) / Speed Scandal (literal title); Revised romanization: Gwasok Seukaendeul; Hangul: 과속스캔들; Director: Kang Hyung-Chul ...', ""Scandal Makers - Wikipedia | Scandal Makers (Korean: 과속스캔들) is a 2008 South Korean comedy-drama film written and directed by Kang Hyeong-cheol and starring Cha Tae-hyun, Park Bo-young and Wang Seok-hyeon. This was director Kang's first film and the highest grossing Korean film of the year., Kang Hyeong-cheol"", 'Scandal Makers | Movie: Scandal Makers (English title) / Speed Scandal (literal title) ; Revised romanization: Gwasok Seukaendeul ; Hangul: 과속스캔들 ; Director: Kang Hyung-Chul ...', 'Scandal Makers (2008) | Scandal Makers: Directed by Kang Hyoung-chul. With Cha Tae-hyun, Park Bo-young, Il-Kwon Ahn, Kim Chae-yeon. A radio DJ/entertainer in his 30s suddenly ... 7.2/10(4,484)']",Director Kang Hyeong-cheol directed Scandal Makers [1][2][3][4][5][6][7].,Kang Hyeong-cheol,['Kang Hyeong-cheol']
are Beta and Collinsia both plant genus ?,"['Collinsia | Collinsia is a genus of about 20 species of annual flowering plants, consisting of the blue eyed Marys [1] and the Chinese houses.', 'Collinsia heterophylla - FNA | Collinsia heterophylla is the most widespread and frequently encountered species in California. There is structure in phylogenetic analysis of ...', 'Dichotomous Key to Families - Go Botany - Native Plant Trust | Jump to a genus… Abelmoschus, Abies, Abutilon, Acalypha, Acanthospermum, Acer ... Beta, Betula, Bidens, Bifora, Bistorta, Blephilia, Boechera, Boehmeria ...']",Step 1: What is Beta in the context of plant genus? Step 2: What is Collinsia in the context of plant genus?,,,,"['Beta (plant) - Wikipedia | Beta is a genus in the flowering plant family Amaranthaceae. The best known member is the common beet, Beta vulgaris, but several other species are recognised. Almost all have common names containing the word ""beet""., a genus in the flowering plant family Amaranthaceae', ""Beta | plant genus | Beta vulgaris are vegetable crops, including the sugar beet and the garden beet, or beetroot. The beet's leaves are similar in taste to spinach."", 'Collinsia | Collinsia is a genus of about 20 species of annual flowering plants, consisting of the blue eyed Marys [1] and the Chinese houses.', 'Collinsia | Collinsia is a genus of about 20 species of annual flowering plants, consisting of the blue eyed Marys [1] and the Chinese houses.', 'The Biology of Beta vulgaris L. (Sugar Beet) | Cultivated beets belong to the subspecies Beta vulgaris L. subsp. vulgaris. This document focuses on Beta vulgaris subsp. vulgaris var. altissima (sugar beet).', 'Collinsia (Blue-eyed Mary) - FSUS | Blue-eyed Mary. Key to Collinsia. A genus of about 20 species, herbs, of North America (especially diverse in w. North America).', 'Collinsia heterophylla - FNA | Collinsia heterophylla is the most widespread and frequently encountered species in California. There is structure in phylogenetic analysis of ...']","Beta is a genus in the flowering plant family Amaranthaceae, with the best known member being the common beet, Beta vulgaris [1][2]. Collinsia is a genus of about 20 species of annual flowering plants, consisting of the blue eyed Marys and the Chinese houses [3][4][6]. Based on this information, Beta and Collinsia are both plant genera.",yes,['yes']
