Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
What was Danzas Mexicanas?,"['Danzas Mexicanas - with music of Lionel Nowak performed ... | These will be performed by current Limón Company member MJ Edwards, accompanied by the original piano score by American composer Lionel Nowak.', 'José Limón in Danzas Mexicanas - NYPL Digital Collections | Title: José Limón in Danzas Mexicanas; Names: Limón, José (Choreographer); Collection. Limón choreography: photographs · Danzas Mexicanas. 4–8 day delivery', 'DANZAS MEXICANAS | DANZAS MEXICANAS ; First Perfomance. José Limón, Mills College ; Recording. - ; Text Language - Non English. - ; Text Source/Author. - ; Ensemble Type. solo keyboard. $16.50']","Step 1: Who composed the music for Danzas Mexicanas?
Step 2: Who performed Danzas Mexicanas?
Step 3: When and where was Danzas Mexicanas first performed?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who composed the music for Danzas Mexicanas? ANSWER: Manuel M. Ponce. Step 2: Who performed Danzas Mexicanas?,Who performed Danzas Mexicanas?,"['Danzas Mexicanas - with music of Lionel Nowak performed ... | These will be performed by current Limón Company member MJ Edwards, accompanied by the original piano score by American composer Lionel Nowak.', 'José Limón | José Limón, Choreography: José Limón. Dancer: Robert M. Valdez, Jr. Video: Melanie Conlon., José Limón', 'Danzas Mexicanas - with music of Lionel Nowak performed ... | These will be performed by current Limón Company member MJ Edwards, accompanied by the original piano score by American composer Lionel Nowak.', ""Reflections on José Limón - Jacob's Pillow Dance Interactive | Before the founding of the José Limón Dance Company in 1946 with Doris Humphrey as its Artistic Director, Limón's first major choreographic work, Danzas Mexicanas, premiered at Lisser Hall at Mills College in Oakland, California in August of 1939., Lisser Hall at Mills College in Oakland, California in August of 1939"", ""Danzas Mexicanas - with music of Lionel Nowak performed ... | The work, which is José's response to his Mexican heritage, premiered in 1939 at Mills College in Oakland, and restaged by the Joyce Theatre in ..."", 'Danzas Mexicanas - with music of Lionel Nowak performed ... | These will be performed by current Limón Company member MJ Edwards, accompanied by the original piano score by American composer Lionel Nowak.', '4 Danzas Mexicanas - Piano | 4 Danzas Mexicanas - Piano ; Publisher: Peer Music ; Composer/Author: Ponce, Manuel M. ; Catalog Number: 00227278. $11.66, \u200e30, day returns']","Danzas Mexicanas was José Limón's first major choreographic work, which premiered at Lisser Hall at Mills College in Oakland, California in August of 1939 [4].",José Limón's first major choreographic work.,['His first major choreographic work.']
Who owns XIX Entertainments?,"['XIX Entertainment | The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment ...', 'XIX Entertainment | CONTACT · LOS angeles · LONDON. 259a Pavilion Road London SW1X 0BP. T: +44 20 7801 1919. E: info@xixentertainment ...', ""XIX ENTERTAINMENT | XIX ENTERTAINMENT | 3663 followers on LinkedIn. Simon Fuller's XIX Entertainment ... Company size: 11-50 employees. Headquarters: West Hollywood, CA. Type ...""]",Step 1: Who founded XIX Entertainment? Step 2: What is the ownership structure of XIX Entertainment? Step 3: Who is the current owner of XIX Entertainment?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who founded XIX Entertainment? ANSWER: Simon Fuller. Step 2: What is the ownership structure of XIX Entertainment?,What is the ownership structure of XIX Entertainment?,"['Simon Fuller | Simon Fuller, The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment properties., Simon Fuller', 'XIX Entertainment | CONTACT · LOS angeles · LONDON. 259a Pavilion Road London SW1X 0BP. T: +44 20 7801 1919. E: info@xixentertainment ...', 'XIX Entertainment | The company owns several high value partnerships in tech and media including an innovative 5G venture with Verizon, an international educational initiative ...', 'XIX Entertainment | The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment ...', 'XIX Entertainment | The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment ...', ""XIX ENTERTAINMENT | XIX ENTERTAINMENT | 3663 followers on LinkedIn. Simon Fuller's XIX Entertainment ... Privately Held. Founded: 2010. Locations. Primary. 9000 W Sunset BLVD."", 'XIX Entertainment - Valuation, Funding & Investors | The company provides artist services including management, TV & Music production, social media engagement, public relations, entertainment marketing, legal and ...']",XIX Entertainment was set up by Simon Fuller in 2010 [1][4][5].,Simon Fuller.,['Simon Fuller']
Does Enya have kids?,"['Enya: \'Love can be difficult as boyfriends tend to get jealous ... | I\'ve never done a heartbreak song before."" One of the things that plays so well into the Enya enigma is that she lives alone, and by all accounts always has done. Home is a large castle just outside Dublin. She has never married, never had children., never had children', 'Enya | Eithne Pádraigín Ní Bhraonáin (born 17 May 1961), known mononymously as Enya, is an Irish singer and composer. Noted for her modern Celtic music, ...', ""Whatever Happened To Enya? - The List | She hasn't married nor had children, although she does wear a ring on her wedding ring finger. She seems happy with the choice she made, ...""]","Step 1: Is Enya married?
Step 2: Does Enya have children?",None,,,"['Enya | She left Clannad in 1982 to pursue a solo career, working with the former Clannad manager and producer, Nicky Ryan, and his partner Roma, as their lyricist.', ""Enya: 'Love can be difficult as boyfriends tend to get jealous ... | Home is a large castle just outside Dublin. She has never married, never had children., never had children"", 'Enya | Eithne Pádraigín Ní Bhraonáin (born 17 May 1961), known mononymously as Enya, is an Irish singer and composer. Noted for her modern Celtic music, ...', 'Enya: \'Love can be difficult as boyfriends tend to get jealous ... | I\'ve never done a heartbreak song before."" One of the things that plays so well into the Enya enigma is that she lives alone, and by all accounts always has done. Home is a large castle just outside Dublin. She has never married, never had children., never had children', 'Enya | Eithne Pádraigín Ní Bhraonáin (born 17 May 1961), known mononymously as Enya, is an Irish singer and composer. Noted for her modern Celtic music, ...', 'Enya: \'Love can be difficult as boyfriends tend to get ... | She has never married, never had children. ""I am single, yes,"" she says. ""But as the song suggests, there have been ... relationships. It\'s ...', 'ENYA: I WANT KIDS BUT I\'M STILL SINGLE | The singer-songwriter said: ""People say, \'You are not married, you don\'t have children\'. But it was my choice. ""I really love what I do. It\'s terrible to ...']",Enya has never had children [2][4][7].,No.,['No']
what is enceladus named after,"[""Enceladus - NASA Science | Enceladus is named after the giant, Enceladus, of Greek mythology. William Herschel's son John Herschel suggested the name in his 1847 publication Results of Astronomical Observation made at the Cape of Good Hope, in which he suggested names for the first seven Saturnian moons discovered., the giant, Enceladus, of Greek mythology"", 'Enceladus | Enceladus was discovered by William Herschel ; Enceladus is named after the giant ; Geological features on Enceladus are named by the International Astronomical ...', 'Enceladus | Geology, Plumes & Eruptions | It was discovered in 1789 by the English astronomer William Herschel and named for one of the Giants (Gigantes) of Greek mythology. Category: Science & Tech. On ...']",Step 1: Who discovered Enceladus? Step 2: Who suggested the name Enceladus? Step 3: What is the origin of the name Enceladus?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who discovered Enceladus? ANSWER: William Herschel.. Step 2: Who suggested the name Enceladus?,Who suggested the name Enceladus?,"[""Enceladus/Discoverer | William Herschel, 1789: On 28 August 1789, Sir William Herschel discovered Saturn's moon Enceladus. Enceladus is one of the innermost moons of Saturn., Sir William Herschel"", 'Enceladus | Enceladus was discovered on August 28, 1789 by William Herschel, but little was known about it until the two Voyager spacecraft, Voyager 1 and Voyager 2, flew ...', ""Enceladus - NASA Science | Enceladus is named after the giant, Enceladus, of Greek mythology. William Herschel's son John Herschel suggested the name in his 1847 publication Results of Astronomical Observation made at the Cape of Good Hope, in which he suggested names for the first seven Saturnian moons discovered., John Herschel"", ""Enceladus | The name, like the names of each of the first seven satellites of Saturn to be discovered, was suggested by William Herschel's son John Herschel in his 1847 ..."", ""Enceladus - NASA Science | Enceladus is named after the giant, Enceladus, of Greek mythology. William Herschel's son John Herschel suggested the name in his 1847 publication Results of Astronomical Observation made at the Cape of Good Hope, in which he suggested names for the first seven Saturnian moons discovered., named after the giant, Enceladus, of Greek mythology"", 'Enceladus: Name Meaning and Origin | In Greek Baby Names the meaning of the name Enceladus is: A giant. optional screen reader. Similar names:.', ""Enceladus - NASA Science | Enceladus is named after the giant, Enceladus, of Greek mythology. William Herschel's son John Herschel suggested the name in his 1847 publication Results of Astronomical Observation made at the Cape of Good Hope, in which he suggested names for the first seven Saturnian moons discovered., the giant, Enceladus, of Greek mythology""]","Enceladus is named after the giant Enceladus of Greek mythology, as suggested by William Herschel's son John Herschel [3][4][5].",The giant Enceladus of Greek mythology.,['Enceladus is named after the giant Enceladus of Greek mythology.']
When was Roxette formed?,"['Roxette/Active from | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | Fredriksson had a successful career in her native country prior to forming Roxette. She was a member of punk group Strul, a band which created their own music ...', 'Roxette Singer Marie Fredriksson Is Dead at 61 | Fredriksson and the singer-songwriter Per Gessle formed Roxette in 1986. Each had achieved moderate success in Sweden; they decided that ...']",Step 1: Who were the members of Roxette? Step 2: When did Marie Fredriksson and Per Gessle form Roxette? Step 3: What was the breakthrough album for Roxette?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who were the members of Roxette? ANSWER: Marie Fredriksson and Per Gessle.. Step 2: When did Marie Fredriksson and Per Gessle form Roxette?,When did Marie Fredriksson and Per Gessle form Roxette?,"['Roxette | Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an ...', '1986 | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | was a Swedish singer, best known internationally as the lead vocalist of pop rock duo Roxette, which she formed in 1986 with Per Gessle.', 'Look Sharp! | Look Sharp!, Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, Look Sharp!', 'Look Sharp! (Roxette album) | Look Sharp! is the second studio album by Swedish pop duo Roxette, released on 21 October 1988 by EMI, two years after their debut Pearls of Passion (1986).', 'Roxette/Active from | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | Fredriksson had a successful career in her native country prior to forming Roxette. She was a member of punk group Strul, a band which created their own music ...']",Roxette was formed in 1986 [1][2][6].,1986.,['1986']
when did lucifer premier,"['Lucifer/First episode date | January 25, 2016, Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016., January 25, 2016', 'Lucifer (TV series) | Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021.', 'Lucifer (TV series) - Lucifer Wiki - Fandom | Season 2 premiered on Monday, September 19, 2016. On February 13, 2017, FOX announced that Lucifer will return for a third season.']",Step 1: When did the TV series Lucifer begin airing? Step 2: When did the TV series Lucifer conclude? Step 3: When did the second season of Lucifer premiere?,Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: When did the TV series Lucifer begin airing? ANSWER: January 25, 2016.. Step 2: When did the TV series Lucifer conclude?",When did the TV series Lucifer conclude?,"['January 25, 2016 | January 25, 2016, Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021., January 25, 2016', 'List of Lucifer episodes | Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016.', ""'Lucifer' series finale recap: How the devil says goodbye on ... | After six seasons, one cancellation by Fox, a rescue by Netflix and lots of romantic tension between Lucifer Morningstar (Tom Ellis) and ..."", 'September 19, 2016 | September 19, 2016, The second season premiered on September 19, 2016. Initially consisting of 13 episodes, the series later received a 9-episode extension for a full 22-episode second-season pickup by Fox., September 19, 2016', 'List of Lucifer episodes | Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016.', 'Lucifer/First episode date | January 25, 2016, Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016., January 25, 2016', 'Lucifer (TV series) | Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021.']","Lucifer premiered on January 25, 2016 [1][2][5][6][7].","January 25, 2016.","['Lucifer premiered January 25, 2016.']"
who does dodgeball star,"['Dodgeball: A True Underdog Story | Dodgeball: A True Underdog Story is a 2004 sports comedy film written and directed by Rawson Marshall Thurber and starring Vince Vaughn and Ben Stiller.', ""Dodgeball: A True Underdog Story (2004) | Top cast ; Ben Stiller · White Goodman ; Christine Taylor · Kate Veatch ; Vince Vaughn · Peter La Fleur ; Rip Torn · Patches O'Houlihan ; Justin Long · Justin. Rating: 6.7/10, \u200e263,178 votes"", 'Dodgeball: A True Underdog Story (2004) - “Cast” credits | Cast (55) · Vince Vaughn · Christine Taylor · Ben Stiller · Rip Torn · Justin Long · Stephen Root · Joel David Moore · Chris Williams.']",Step 1: Who directed Dodgeball: A True Underdog Story? Step 2: Who are the main cast members of Dodgeball: A True Underdog Story? Step 3: What are the top billed actors in Dodgeball: A True Underdog Story?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who directed Dodgeball: A True Underdog Story? ANSWER: Rawson Marshall Thurber.. Step 2: Who are the main cast members of Dodgeball: A True Underdog Story?,Who are the main cast members of Dodgeball: A True Underdog Story?,"['Dodgeball: A True Underdog Story/Director | Rawson Marshall Thurber, Rawson Marshall Thurber wrote and directed the first 2004 movie, centered on a group of misfits who enter a dodgeball tournament in Las Vegas in an effort to save their local gym from the onslaught of a corporate fitness chain., Rawson Marshall Thurber', 'Dodgeball: A True Underdog Story | Dodgeball: A True Underdog Story is a 2004 sports comedy film written and directed by Rawson Marshall Thurber and starring Vince Vaughn and Ben Stiller.', ""Dodgeball: A True Underdog Story (2004) | Top cast ; Ben Stiller · White Goodman ; Christine Taylor · Kate Veatch ; Vince Vaughn · Peter La Fleur ; Rip Torn · Patches O'Houlihan ; Justin Long · Justin. Rating: 6.7/10, \u200e263,262 votes"", 'Dodgeball: A True Underdog Story (2004) | The supporting cast is terrific. Alan Tudyk, Rip Torn, Christine Taylor and Stephen Root are a great ensemble. Rating: 6.7/10, \u200e263,601 votes', 'Dodgeball: A True Underdog Story | Dodgeball: A True Underdog Story is a 2004 sports comedy film written and directed by Rawson Marshall Thurber and starring Vince Vaughn and Ben Stiller.', 'Dodgeball: A True Underdog Story (2004) | Dodgeball: A True Underdog Story: Directed by Rawson Marshall Thurber. With Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn. A group of misfits enter ... Rating: 6.7/10, \u200e263,262 votes', 'Dodgeball: A True Underdog Story (2004) - “Cast” credits | Cast (55) · Vince Vaughn · Christine Taylor · Ben Stiller · Rip Torn · Justin Long · Stephen Root · Joel David Moore · Chris Williams.']",Dodgeball stars Vince Vaughn and Ben Stiller [2][3][5].,Vince Vaughn and Ben Stiller.,['Dodgeball stars Vince Vaughn and Ben Stiller.']
Who was Juice Newton?,"['Juice Newton | Judith Kay ""Juice"" Newton (born February 18, 1952) is an American pop and country singer, songwriter, and musician. Newton has received five Grammy Award ...', 'Whatever Happened To… Juice Newton | Born Judy Kay Newton in Lakehurst, New Jersey in the early 1950s, Juice was a play on her first name used by teenage friends, but it has stuck ...', 'Juice Newton Songs, Albums, Reviews, Bio & More | Juice Newton (born Judith Kay Newton, February 18, 1952, Lakehurst, NJ) was part of the first wave of country singers raised on rock, folk-rock, and singer/ ...']",Step 1: When was Juice Newton born? Step 2: What is Juice Newton known for? Step 3: What are Juice Newton's notable achievements?,Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: When was Juice Newton born? ANSWER: February 18, 1952.. Step 2: What is Juice Newton known for?",What is Juice Newton known for?,"['Juice Newton/Date of birth | February 18, 1952, Judith Kay ""Juice"" Newton (born February 18, 1952) is an American pop and country singer, songwriter, and musician., February 18, 1952', 'Juice Newton age, hometown, biography | Juice Newton was born Judith Kaye Newton on 18 February 1952 in Lakehurst, New Jersey and grew up in Virginia Beach, Virginia.', ""Juice Newton - Biography - IMDb | Juice Newton was born on February 18, 1952 in Virginia Beach, Virginia, USA. She is an actress and composer, known for Deadpool (2016), Charlie's Angels (2000) and Boogie Nights (1997)., actress and composer"", 'Juice Newton | Judith Kay ""Juice"" Newton (born February 18, 1952) is an American pop and country singer, songwriter, and musician. Newton has received five Grammy Award ...', 'Juice Newton | Newton\'s other awards include a People\'s Choice Award for ""Best Female Vocalist"" and the Australian Music Media\'s ""Number One International Country Artist"".', 'Juice Newton | Judith Kay ""Juice"" Newton (born February 18, 1952) is an American pop and country singer, songwriter, and musician. Newton has received five Grammy Award ...', 'Juice Newton - Age, Family, Bio | Juice Newton ; Birthday February 18, 1952 ; Birth Sign Aquarius ; Birthplace Lakehurst, NJ ; Age 71 years old.']","Juice Newton is an American pop and country singer, songwriter, and musician [1][4][6].","American pop and country singer, songwriter, and musician.","['Judy Kay Juice Newton is an American pop and country singer, songwriter, and musician.']"
what is the ashes series,"[""What is Ashes Series? Definition of ... - The Economic Times | Definition: The term 'Ashes' first came into practice after Australia defeated England - for the first time on English soil - at The Oval on 29th August 1882. Ever since, the two sides compete for one of the cricket's highest trophies, 'The Ashes'. So far, 325 tests have been played in the historic series., the two sides compete for one of the cricket's highest trophies"", ""The Ashes | The Ashes is a men's Test cricket series played biennially between England and Australia. The term originated in a satirical obituary published in a British ..."", 'List of Ashes series | The Ashes is a Test cricket series played between England and Australia. The series have varied in length, consisting of between one and seven Test matches, ...']",Step 1: When did the term 'Ashes' first come into practice? Step 2: What is the origin of the term 'The Ashes'? Step 3: How many tests have been played in the Ashes series?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: When did the term 'Ashes' first come into practice? ANSWER: 29th August 1882.. Step 2: What is the origin of the term 'The Ashes'?,What is the origin of the term 'The Ashes'?,"['The Ashes - Lord\'s Cricket Ground | The term \'Ashes\' was first used after England lost to Australia - for the first time on home soil - at The Oval on 29th August 1882. A day later, the Sporting Times carried a mock obituary of English cricket which concluded that: ""The body will be cremated and the ashes taken to Australia""., 29th August 1882', ""The Ashes | The term originated in a satirical obituary published in a British newspaper, The Sporting Times, immediately after Australia's 1882 victory at The Oval, its ..."", 'The Ashes - Lord\'s Cricket Ground | The term \'Ashes\' was first used after England lost to Australia - for the first time on home soil - at The Oval on 29th August 1882. A day later, the Sporting Times carried a mock obituary of English cricket which concluded that: ""The body will be cremated and the ashes taken to Australia""., first used after England lost to Australia - for the first time on home soil - at The Oval on 29th August 1882', ""The Ashes | The Ashes is a men's Test cricket series played biennially between England and Australia. The term originated in a satirical obituary published in a British ..."", ""List of Ashes series - Wikipedia | Series records Australia has won more Ashes Tests than England, winning 140 of the 340 matches, compared to England's 108 victories., 340 matches"", 'The Ashes | Ashes series have usually consisted of five Tests, hosted in turn by England and Australia approximately every two years. The Ashes are regarded as being held ...', ""What is Ashes Series? Definition of ... - The Economic Times | Definition: The term 'Ashes' first came into practice after Australia defeated England - for the first time on English soil - at The Oval on 29th August 1882. Ever since, the two sides compete for one of the cricket's highest trophies, 'The Ashes'. So far, 325 tests have been played in the historic series., the two sides compete for one of the cricket's highest trophies""]","The Ashes is a men's Test cricket series played biennially between England and Australia, originating in a satirical obituary published in a British newspaper [2][4][7].",A men's Test cricket series played between England and Australia.,['The Ashes is a Test cricket series played between England and Australia.']
who constructed the katse dam,"['Katse Dam - Wikipedia | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion., a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International', ""Katse Dam | The first part of the LHWP was the Katse Dam. Construction started on the Katse Dam in 1991 on the Malibamats'o River, a tributary of the Orange (Senqu) ..."", 'Katse Dam | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. 2 Katse. Katse Dam is 185 meters ( ...']",Step 1: Who built the Katse Dam? Step 2: What companies were part of the consortium that constructed the Katse Dam? Step 3: When was the Katse Dam completed?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who built the Katse Dam? ANSWER: A consortium of construction companies.. Step 2: What companies were part of the consortium that constructed the Katse Dam?,What companies were part of the consortium that constructed the Katse Dam?,"['Katse Dam - Wikipedia | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion., a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International', ""Katse Dam | The first part of the LHWP was the Katse Dam. Construction started on the Katse Dam in 1991 on the Malibamats'o River, a tributary of the Orange (Senqu) ..."", 'Katse Dam - Wikipedia | Construction. The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion., Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International', ""Lesotho Highlands Water Project | It consisted mainly of the construction of the Katse Dam on the Malibamat'so River in Lesotho. A 45-kilometre (28 mi) transfer tunnel was built from the Katse ..."", 'Katse Dam/Date opened | 1996, The Katse Dam has a double curve arch structure. The dam was officially completed in 1996 and the reservoir was filled with water in 1997. On January 22, 1998, water began to be delivered to South Africa., 1996', 'Katse Dam | The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion. Katse Airport was constructed ...', 'Katse Dam - Wikipedia | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion., a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International']","The Katse Dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group, and Sterling International [1][3][7].","A consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group, and Sterling International.","['The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International.']"
