Question,GT Answer,"open-squad-short_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","open-squad-short_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",open-squad-short_vanilla_gpt-3.5-turbo-1106_google,open-squad-short_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,open-squad-short_multihop_gpt-3.5-turbo-1106_google,open-squad-short_dsp+sample_gpt-3.5-turbo-1106_google,open-squad-short_dsp+knn_gpt-3.5-turbo-1106_google
Who killed Harold II? ,"['William II', 'Duke William II', 'Duke William II']",An arrow,William the Conqueror,William the Conqueror,William the Conqueror,William the Conqueror,William the Conqueror,Norman invaders under William the Conqueror
What is a typical configuration,"['A typical configuration is to run IP over ATM or a version of MPLS', 'run IP over ATM or a version of MPLS', 'run IP over ATM or a version of MPLS']","Projected average quantity, type, capacity, speed, etc., of components","Projected average quantity, type, capacity, speed, etc., of components",4-4-2 formation,arrangement of components,Tivoli® Enterprise Monitoring Servers,"system populated with projected average quantity, type, capacity, speed, etc., of components","System populated with projected average quantity, type, capacity, speed, etc., of components"
What is septicemia? ,"['(a type of ""blood poisoning""', 'a type of ""blood poisoning""', 'a type of ""blood poisoning""']",Blood poisoning by bacteria,Blood poisoning by bacteria,blood poisoning,Blood poisoning by bacteria,Bacteria entering the bloodstream and causing blood poisoning,Blood poisoning by bacteria,blood poisoning by bacteria
Who were otachi?,"['non-Mongol physicians', 'non-Mongol physicians', 'non-Mongol physicians']",Category IV Kaiju,Category IV Kaiju,a type of kaiju in Pacific Rim uprising,Otachi is a female kaiju.,Kaiju in Pacific Rim,A Kaiju in the film Pacific Rim,Kaiju in Pacific Rim.
Who captured Fort Beausejour?,"['Colonel Monckton', 'Colonel Monckton', 'Colonel Monckton', 'Colonel Monckton', 'British']",The British,British,British forces captured Fort Beausejour,British,British forces captured Fort Beausejour.,British forces,British
what does vBNS stand for ,"['The Very high-speed Backbone Network Service', 'Very high-speed Backbone Network Service', 'Very high-speed Backbone Network Service']",Very high performance Backbone Network Service,very high performance Backbone Network Service,very high-speed Backbone Network Service,Vacation Bible School,very high performance Backbone Network Service,Virtual Base Station,Virtual Base Station
Who founded Woodward Park?,"['Ralph Woodward', 'Ralph Woodward', 'Ralph Woodward']",Ralph Woodward,Ralph Woodward,William G. Woodward,Ralph Woodward,Walter Woodward,Ralph Woodward,Ralph Woodward
How are AUSTPAC connections made ,"['Access can be via a dial-up terminal to a PAD, or, by linking a permanent X.25 node to the network', 'dial-up terminal to a PAD, or, by linking a permanent X.25 node', 'dial-up terminal']",Remote terminal access,Remote terminal access,by using a 9-pin D-type connector,remote terminal access,Through a public packet-switched data network,Through packet switching,Through packet switching
How can pyrenoids replicate?,"['divide to form new pyrenoids, or be produced ""de novo""', 'divide', 'divide to form new pyrenoids, or be produced ""de novo""']",They cannot replicate,Mitotic division,They cannot replicate.,using aphidicolin,binary fission,Through fission,Pyrenoids do not replicate.
What color is phycoerytherin?,"['red', 'red', 'red']",Red,Red,red,red,red,red,red
What does  mnemiopsis eat?,"['fish larvae and organisms', 'fish larvae and organisms that would otherwise have fed the fish', 'fish larvae and organisms that would otherwise have fed the fish']",Zooplankton,"Zooplankton, crustaceans, comb jellies, fish eggs, and fish larvae",plankton,"Zooplankton, crustaceans, other comb jellies, fish eggs, and larvae","zooplankton, crustaceans, other comb jellies, and fish larvae","zooplankton, pelagic fish eggs, and larvae of fish","zooplankton, pelagic fish eggs, and larvae of fish"
Who commissioned the Tapestry?,"['Odo', 'Odo', 'Odo']",Bishop Odo,Bishop Odo,Bishop Odo of Bayeux,Bishop Odo,Bishop Odo,Bishop Odo,Bishop Odo
What does Untersee mean?,"['lower lake', 'lower lake', '""lower lake""', 'lower lake']",Lower Lake,Undersea or below sea level,Undersea,under the lake,lower lake,"""undersea"" or ""below sea level""",Lake in southeastern Germany
Why did he walk?,"['exercise', 'For exercise', 'exercise']",He likes you,Various reasons,to get exercise,Various reasons,Weather forecast,Sign of respect or following her lead,Sign of respect or following her lead
What follows secondary education?,"['tertiary education', 'tertiary education', 'tertiary education']",Postsecondary education,Postsecondary education,Higher education,Postsecondary education,postsecondary education or training,Postsecondary education,Postsecondary education
Where is D'Olier Street?,"['Dublin', 'Dublin', 'Dublin']",Dublin,Dublin,"Dublin, Ireland","Dublin, Ireland","Dublin, Ireland","Dublin, Ireland","Dublin, Ireland"
What shape are Plastoglobuli?,"['spherical bubbles', 'spherical', 'spherical']",Oval or round shaped,Spherical,spherical,spherical,oval or round shaped,round or oval shaped,circular or elongated
