Question,Answer,Question Length
What does UTF-16 expand? ,['UCS-2'],5
Who supported the treaty?,"['Central Asian republics,']",5
When did Apollo-Soyuz fly?,['1975'],5
What is October 11?,['the day of the first session of the Second Vatican Council'],5
Where is TechTown based?,['New Center'],5
Who raised Victoria?,['mother Princess Victoria of Saxe-Coburg-Saalfeld'],4
When were MANPADs introduced?,['the 1960s'],5
What are codons?,['a series of three-nucleotide sequences'],4
What followed government phonology?,['strict-CV phonology'],5
Who was Xiao Xiu?,['a brother of Emperor Wu of Liang'],5
What is monotheism?,['belief in the existence of one God'],4
Where are cytokinins produced?,['in roots'],5
Who attacked logical positivism?,"['Nelson Goodman, W.V. Quine, Hilary Putnam, Karl Popper, and Richard Rorty']",5
When did Kangxi die?,['1722'],5
What is caldeirada?,['a potato-based stew that can be made from several types of fish'],4
Where are Krashovans located?,['Romania'],5
What did Charles Martel do ,['Frankish leader Charles Martel bestowed the fortress in Utrecht and the surrounding lands as the base of the bishops'],5
What is bird migration?,"['the regular seasonal movement, often north and south along a flyway, between breeding and wintering grounds']",5
How was Luoyang destroyed?,['burned'],5
What is solar energy?,['radiant light and heat from the Sun'],5
What is saliva?,['a liquid secreted by the salivary glands'],4
How is RFI generated?,['sparking'],5
Who discovered Hydrogen gas?,['Robert Boyle'],5
What is Chamame?,['popular musical style.'],4
who founded KMS Records?,['Kevin Saunderson'],5
What is built in Avalon ,"['the oldest above-ground Christian church in the World"" situated ""in the mystical land of Avalon']",5
When did Heine die?,['1856'],5
Who were the Cathians?,['the people of Multan'],5
Who played Han Solo?,['Harrison Ford'],5
What are intraguild predators?,['those that kill and eat other predators of different species at the same trophic level'],5
What is Bostons nickname?,['The Walking City'],5
Who was Allan Loren?,['Apple USA head'],5
What are logograms?,['characters represent whole words rather than syllable-morphemes'],4
How is asthma classified?,"['according to the frequency of symptoms, forced expiratory volume in one second (FEV1), and peak expiratory flow rate']",5
Who ratified the Accords?,['the Supreme Soviet of the Russian SFSR'],5
where are aircraft manufactured ,"['AgustaWestland manufactures helicopters in Yeovil, and Normalair Garratt, builder of aircraft oxygen systems']",4
Multielectrode recording allows what?,['the activity of many brain cells to be recorded all at the same time;'],5
What is poaching?,"['illegal killing, trapping or capture of the hunted species']",4
What is mechanical digestion?,['the physical breakdown of large pieces of food into smaller pieces which can subsequently be accessed by digestive enzymes'],5
Buddhists call anapanasati what?,['the Middle Way'],5
When did Antipater die?,['319 BC'],5
Where was Burke born?,"['Dublin, Ireland']",5
What is Camp Lejeune?,['Marine Corps Base Camp'],5
Who was Henrich d'Arrest? ,['student at the observatory'],5
What is USB?,['a serial bus'],4
Who enslaved these people?,['Arab slave traders'],5
Who favored empirical methods?,['Bacon'],5
What is a Thysanura?,['silverfish'],5
Who led the Exodus?,['Moses'],5
What is a flammeum?,['a red shawl'],5
What score was added?,['difficulty score'],5
How is zinc applied?,['electrochemically or as molten zinc'],5
Who reclaimed the Seoul?,['South Korean forces.'],5
When was Mavericks introduced?,['2013'],5
Deities represent what importance?,['cultural and psychological'],5
Who grants a patent?,['the government'],5
What did UNICEF report?,['that China formally requested the support of the international community'],5
What does Euornithes mean?,['true birds'],5
Where is Bern located? ,['Switzerland'],5
Who was James Bruce?,['Scottish traveler'],5
Where is Hokkien spoken?,['Southeast Asia'],5
What is Geimsa stain?,['a dye'],5
What is IBS?,['irritable bowel syndrome'],4
What is Laurisilva?,['a unique type of subtropical rainforest'],4
Who became the emperor?,['Fulin'],5
Who created this group?,['Charles Francis Potter'],5
What language is ἰδεῖν?,['Greek'],5
When was John excommunicated?,['1209'],5
What is episodic memory?,"['""which attempts to capture information such as \'what\', \'when\' and \'where\'']",5
Where is Raleigh located?,['northeast central region of North Carolina'],5
Who invented the planisphere?,['Abū Rayhān al-Bīrūnī'],5
How did Gaddafi die?,"['Retreating to Sirte, Gaddafi was captured and killed by NTC militants.']",5
What is the Eurozone?,['consists of 19 EU member states and is one of the largest currency areas in the world'],5
Who governs Northwestern?,['an appointed Board of Trustees'],4
Semiochemicals come from where?,['plant metabolites'],5
Who founded Nicomedia?,['Nicomedes I'],4
When was Cabral assassinated?,['January 1973'],5
What grade was determined?,"['same criteria as usual, and not by the level of gallantry']",5
What act needed provisions?,['FD&C'],5
Where does digestion begin?,['in the mouth with the secretion of saliva and its digestive enzymes'],5
What was a naginata?,['a polearm'],5
What must Link collect?,['Tears of Light'],5
b,['b'],1
Who succeeded Nasser?,['Anwar Sadat'],4
j,['Ch'],1
Where is Portugal located?,"['Iberian Peninsula, in Southwestern Europe']",5
What is a pipe?,['a connection from the host controller to a logical entity'],5
Where is Park Place?,['along Broadway (west of Wilmot Road)'],5
What weakens cell walls?,['water stress'],5
What are mushairas?,['poetic symposia'],4
When did Cloudina exist?,['549 to 542 million years ago'],5
What is extra-pair copulation?,['infidelity'],5
What is botany?,['science of plant life'],4
Who captured Constantinople?,['Ottoman Turks'],4
When did Giotto die?,['1337'],5
How large is Punjab?,"['205,344 square kilometres (79,284 square miles)']",5
Who developed Arsphenamine?,['Paul Ehrlich and chemist Alfred Bertheim'],4
What are CMBS?,['commercial mortgage-backed securities'],4
Was the landing successful?,"['the army drove off the French force detailed to oppose their landing, captured Cherbourg,']",5
What became the dominant province ,['towards its dominant province Holland'],5
How are freenets run? ,['on a nonprofit basis'],5
What does epigenetics study?,['changes in gene function'],5
What is Hinkley point C ,"['Hinkley Point C nuclear power station is a project to construct a 3,200 MW two reactor nuclear power station']",5
What is optimal strategy?,['minimize the maximum loss for each player'],5
Why is inbreeding avoided?,['because it leads to a reduction in progeny fitness'],5
Where is Yingxiu located?,['in Wenchuan'],5
Who conquered Tansaxania?,['The Kara-Khanid Khanate'],4
v,['v'],1
Who helped the Tibetan? ,['the Kangxi Emperor'],5
Rome dominated what peninsula?,['Italian'],5
Where does absorption occur?,['in the stomach and gastrointestinal tract'],5
What is an LTRO?,['longer-term refinancing operation'],5
what is shanghai jiaotong rated ,"[""According to Shanghai Jiaotong University's university ranking in 2014 it is the 57th best university in the world""]",5
What was censored?,['drinking scenes from old movies'],4
Who replaced Youlou?,['Alphonse Massamba-Débat'],4
When was PGW founded?,['1836'],5
When was Kösem murdered?,['1651'],5
