Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
what's a skew polygon,"['Skew polygon | In geometry, a skew polygon is a polygon whose vertices are not all coplanar. Skew polygons must have at least four vertices. The interior surface (or area) ...', 'Skew Polygon -- from Wolfram MathWorld | A polygon whose vertices do not all lie in a plane.', 'Skew polygon Definition & Meaning | noun. : a figure analogous to a polygon whose sides do not all lie in one and the same plane.']","Step 1: What is a skew polygon in geometry?
Step 2: What are the properties of a skew polygon?
Step 3: Can a skew polygon have more than four vertices?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is a skew polygon in geometry? ANSWER: A polygon whose vertices are not all coplanar.. Step 2: What are the properties of a skew polygon?,What are the properties of a skew polygon?,"['Skew polygon - Wikipedia | In geometry, a skew polygon is a polygon whose vertices are not all coplanar. Skew polygons must have at least four vertices. The interior surface (or area) of such a polygon is not uniquely defined. The (red) side edges of tetragonal disphenoid represent a regular zig-zag skew quadrilateral., a polygon whose vertices are not all coplanar', 'Skew Polygon -- from Wolfram MathWorld | A polygon whose vertices do not all lie in a plane. See also. Regular Skew Polyhedron, Skew Quadrilateral. Explore with Wolfram|Alpha. WolframAlpha.', 'Skew polygon - Wikipedia | In geometry, a skew polygon is a polygon whose vertices are not all coplanar. Skew polygons must have at least four vertices. The interior surface (or area) of such a polygon is not uniquely defined. The (red) side edges of tetragonal disphenoid represent a regular zig-zag skew quadrilateral., vertices are not all coplanar', 'Skew polygon | Math Geek Net - Fandom | A regular skew polygon is a skew polygon with equal edge lengths and which is vertex-transitive. The interior surface (or area) of such a polygon is not ...', 'Skew polygon | In geometry, a skew polygon is a polygon whose vertices are not all coplanar. Skew polygons must have at least four vertices. The interior surface (or area) ...', 'Skew polygon | In geometry, a skew polygon is a polygon whose vertices are not all coplanar. Skew polygons must have at least four vertices. The interior surface (or area) ...', 'Infinite skew polygon | In geometry, an infinite skew polygon or skew apeirogon is an infinite 2-polytope with vertices that are not all colinear. Infinite zig-zag skew polygons ...']",A skew polygon is a polygon whose vertices are not all coplanar [1][2][3][4][5][6][7].,A polygon whose vertices are not all coplanar.,['A skew polygon is a polygon whose vertices are not all coplanar.']
who is Tom Hafey?,"['Tom Hafey - Wikipedia | Thomas Stanley Raymond Hafey MBE (5 August 1931 – 12 May 2014) was an Australian rules footballer who played for the Richmond Football Club in the Victorian Football League (VFL)., Australian rules footballer', ""Tom Hafey: the untold story behind a legend's death | Tom Hafey's medical oncologist, and Cabrini Health chief medical officer Ben Brady, said it was important to stress that 80 per cent of people ..."", ""Richmond's four-time premiership coach Tom Hafey dies ... | Tom Hafey, the coach who led Richmond to four premierships, has died of cancer at the age of 82.""]","Step 1: What is Tom Hafey known for?
Step 2: What team did Tom Hafey coach?
Step 3: When did Tom Hafey die?
Step 4: What was Tom Hafey's cause of death?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 3.,Step 1: What is Tom Hafey known for? ANSWER: Australian rules footballer and coach. Step 2: What team did Tom Hafey coach?,What team did Tom Hafey coach?,"['Tom Hafey - Wikipedia | Thomas Stanley Raymond Hafey MBE (5 August 1931 – 12 May 2014) was an Australian rules footballer who played for the Richmond Football Club in the Victorian Football League (VFL)., Australian rules footballer', ""Tom Hafey: the untold story behind a legend's death | “He didn't die of a brain tumour, he died of melanoma and it annoys me to hear people say, 'All his health and fitness didn't save him'. When I ..."", ""Tom Hafey | Hafey was an inaugural inductee into the Australian Football Hall of Fame in 1996, named coach of Richmond's team of the century in 1998, and given the AFL ..."", 'Tom Hafey/Date of death | May 12, 2014, After a brief illness due to a secondary cancer, Hafey died at the age of 82 on 12 May 2014., 12 May 2014', ""Tom Hafey: the untold story behind a legend's death | The speed of the 82-year-old's demise may have been cruelly quick – he was gone less than three months after having surgery to remove a brain ..."", 'Tom Hafey/Cause of death | Cancer, After a brief illness due to a secondary cancer, Hafey died at the age of 82 on 12 May 2014., secondary cancer', ""Tom Hafey: the untold story behind a legend's death | “He didn't die of a brain tumour, he died of melanoma and it annoys me to hear people say, 'All his health and fitness didn't save him'. When I ...""]","Tom Hafey was an Australian rules footballer who played for the Richmond Football Club in the Victorian Football League (VFL) [1]. He was also a coach of Richmond's team and an inaugural inductee into the Australian Football Hall of Fame [3]. He died on May 12, 2014, after a brief illness due to a secondary cancer [4][6].",Tom Hafey was an Australian rules footballer and coach.,['Tom Hafey was an Australian rules football Victorian Football League player and coach.']
when did lucifer premier,"['Lucifer/First episode date | January 25, 2016, Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016., January 25, 2016', 'Lucifer (TV series) | Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021.', 'Lucifer (TV series) - Lucifer Wiki - Fandom | Season 2 premiered on Monday, September 19, 2016. On February 13, 2017, FOX announced that Lucifer will return for a third season.']",Step 1: When did the TV series Lucifer premiere? Step 2: When did the TV series Lucifer conclude?,Step 2 depends on Step 1.,"Step 1: When did the TV series Lucifer premiere? ANSWER: January 25, 2016.. Step 2: When did the TV series Lucifer conclude?",When did the TV series Lucifer conclude?,"['Lucifer/First episode date | January 25, 2016, Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021., January 25, 2016', ""Lucifer (TV Series 2016–2021) | The final season of Lucifer premieres on ... Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time ... Rating: 8.1/10, \u200e347,940 votes"", ""'Lucifer' series finale recap: How the devil says goodbye on ... | After six seasons, one cancellation by Fox, a rescue by Netflix and lots of romantic tension between Lucifer Morningstar (Tom Ellis) and ..."", 'Lucifer/First episode date | January 25, 2016, Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016., January 25, 2016', 'Lucifer (TV series) | Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021.', 'List of Lucifer episodes | Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016.', ""Let's Break Down the 'Lucifer' Season 6 Ending, Shall We? | The series is officially complete and there won't be a seventh season. But with an ending like this one, we can't think of a better note to end ...""]","Lucifer premiered on January 25, 2016 [1][4][5][6].","January 25, 2016","['Lucifer premiered January 25, 2016.']"
where is Abbottstown located?,"['Abbottstown, Pennsylvania | Abbottstown is a borough in Adams County, Pennsylvania, United States. The population was 1,022 at the 2020 census. Abbottstown, Pennsylvania.', 'Abbottstown, PA Map & Directions | Abbottstown is a borough in Adams County, Pennsylvania, United States. The population was 1011 at the 2010 census. Abbottstown is named for John Abbott, who ...', 'Abbottstown | visitPA | Abbottstown was founded in 1753 by John Abbott. The town features the historic Altland House, built-in 1790, which offers several rooms for reservation as ...']",Step 1: Where is Abbottstown located in Pennsylvania? Step 2: What is the population of Abbottstown? Step 3: Who founded Abbottstown?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Where is Abbottstown located in Pennsylvania? ANSWER: Pennsylvania. Step 2: What is the population of Abbottstown?,"What is the population of Abbottstown, Pennsylvania?","['PA.GOV | The Official Website for the Commonwealth of ... | Welcome to. Pennsylvania · POPULAR ON PA.GOV · GUIDE: Getting Health Insurance · GUIDE: Mental Health Resources · GUIDE: Working and Training in PA · GOVERNMENT ...', 'Abbottstown, Pennsylvania Population 2023 | Abbottstown is a city located in Adams County Pennsylvania. Abbottstown has a 2023 population of 1,030. Abbottstown is currently growing at a rate of 0.39% ...', 'Abbottstown, Pennsylvania - Wikipedia | History edit ... Abbottstown is named for John Abbott, who founded it in 1753. ... The John Abbott House was added to the National Register of Historic Places in ...', 'Abbottstown, Pennsylvania | Abbottstown is a borough in Adams County, Pennsylvania, United States. The population was 1,022 at the 2020 census. Abbottstown, Pennsylvania.', 'Pennsylvania | Pennsylvania is the fifth-most populous state in the United States, with over 13 million residents as of the 2020 United States census. ... The state is the 33rd- ...', 'Abbottstown, Pennsylvania | Abbottstown is a borough in Adams County, Pennsylvania, United States. The population was 1,022 at the 2020 census. Abbottstown, Pennsylvania.', 'Abbottstown | visitPA | Abbottstown was founded in 1753 by John Abbott. The town features the historic Altland House, built-in 1790, which offers several rooms for reservation as ...']","Abbottstown is a borough in Adams County, Pennsylvania, United States [4]. It was founded by John Abbott in 1753 [3][7].","Abbottstown is located in Adams County, Pennsylvania.",['Abbottstown is in Pennsylvania']
what does fema stand for,"[""Federal Emergency Management Agency/Full name | Federal Emergency Management Agency, Since 1979, the Federal Emergency Management Agency (FEMA) has been the Federal Government's lead agency in responding to and recover- ing from many of the Nation's greatest moments of crisis. Throughout its history, FEMA has built upon the more than 200 years of Federal involvement in disasters., Federal Emergency Management Agency"", ""About Us | FEMA.gov | Our Mission. FEMA's mission is helping people before, during and after disasters, and our core values and goals help us achieve it."", 'About FEMA | FEMA.gov | On April 1, 1979, President Carter established the Federal Emergency Management Agency (FEMA) with the dual functions of civil defense and ...']",Step 1: What is the full name of FEMA? Step 2: What is FEMA's mission? Step 3: When was FEMA established?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the full name of FEMA? ANSWER: Federal Emergency Management Agency. Step 2: What is FEMA's mission?,What is FEMA's mission?,"['Federal Emergency Management Agency/Full name | Federal Emergency Management Agency, The Federal Emergency Management Agency (FEMA) employs more than 20,000 people nationwide. Headquartered in Washington, D.C., we have 10 regional offices located across the country., Federal Emergency Management Agency', 'History of FEMA | The first legislative act of federal disaster relief in U.S. history followed a devastating fire in Portsmouth, New Hampshire in December 1802.', '1. What does FEMA do? - DOEE.DC.Gov. | FEMA (Federal Emergency Management Agency) mission is to support the citizens and first responders to promote that as a nation we work together to build, sustain, and improve our capability to prepare for, protect against, respond to, recover from, and mitigate all hazards.', ""About Us | FEMA.gov | Our Mission. FEMA's mission is helping people before, during and after disasters, and our core values and goals help us achieve it."", 'Federal Emergency Management Agency/Founded | April 1, 1979, History of FEMA FEMA was officially created in 1979 through an executive order by President Jimmy Carter. Our history can be traced as far back as 1803. On March 1, 2003, FEMA became part of the Department of Homeland Security. Learn more about our history., March 1, 2003', 'History of FEMA | President Carter signed Executive Order 12127, effective April 1, 1979, establishing FEMA. Shortly after, in signing Executive Order 12148 on ...', ""Federal Emergency Management Agency/Full name | Federal Emergency Management Agency, Since 1979, the Federal Emergency Management Agency (FEMA) has been the Federal Government's lead agency in responding to and recover- ing from many of the Nation's greatest moments of crisis. Throughout its history, FEMA has built upon the more than 200 years of Federal involvement in disasters., Federal Emergency Management Agency""]",FEMA stands for the Federal Emergency Management Agency [1][5][7].,Federal Emergency Management Agency,['FEMA stands for Federal Emergency Management Agency']
who created casper,"['Casper the Friendly Ghost | Creation edit. Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations.', 'Seymour V. Reit, 83, a Creator of Casper the Friendly Ghost | Seymour V. Reit, an author and illustrator best known as a creator of the cartoon character Casper the Friendly Ghost, died on Nov.', 'Casper (film) | Casper is a 1995 American supernatural comedy-drama film directed by Brad Silberling, in his feature film directorial debut, based on the Harvey Comics ...']",Step 1: Who created Casper the Friendly Ghost? Step 2: What are the names of the creators of Casper? Step 3: What other works are the creators of Casper known for?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who created Casper the Friendly Ghost? ANSWER: Seymour Reit and Joe Oriolo.. Step 2: What are the names of the creators of Casper?,What are the names of the creators of Casper?,"['Casper the Friendly Ghost | Creation edit. Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations.', 'Casper the Friendly Ghost - Wikipedia | Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations., Seymour Reit and Joe Oriolo', 'Seymour V. Reit, 83, a Creator of Casper the Friendly Ghost | Seymour V. Reit, an author and illustrator best known as a creator of the cartoon character Casper the Friendly Ghost, died on Nov.', 'Seymour Reit(1918-2001) - IMDb | Seymour Reit was born on 11 November 1918 in New York City, New York, USA. Seymour was a writer, known for Casper (1995), The Day They Stole the Mona Lisa and Sentinel in the Sky (1955)., The Day They Stole the Mona Lisa and Sentinel in the Sky', ""Casper the Friendly Ghost | The Casper series inspired three popular spin-offs: Spooky the Tuff Little Ghost, Wendy the Good Little Witch, and The Ghostly Trio. Casper's titles include:"", 'Casper the Friendly Ghost | Creation edit. Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations.', 'Seymour V. Reit, 83, a Creator of Casper the Friendly Ghost | Seymour V. Reit, an author and illustrator best known as a creator of the cartoon character Casper the Friendly Ghost, died on Nov.']",Casper was created by Seymour Reit and Joe Oriolo [1][2][6].,Seymour Reit and Joe Oriolo,['Casper was created by Seymour Reit and Joe Oriolo']
When was Roxette formed?,"['Roxette/Active from | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | Fredriksson had a successful career in her native country prior to forming Roxette. She was a member of punk group Strul, a band which created their own music ...', 'Roxette Singer Marie Fredriksson Is Dead at 61 | Fredriksson and the singer-songwriter Per Gessle formed Roxette in 1986. Each had achieved moderate success in Sweden; they decided that ...']",Step 1: Who were the members of Roxette? Step 2: When did Marie Fredriksson and Per Gessle form Roxette? Step 3: What was the breakthrough album for Roxette?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who were the members of Roxette? ANSWER: Marie Fredriksson and Per Gessle.. Step 2: When did Marie Fredriksson and Per Gessle form Roxette?,When did Marie Fredriksson and Per Gessle form Roxette?,"['Roxette | Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an ...', '1986 | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | was a Swedish singer, best known internationally as the lead vocalist of pop rock duo Roxette, which she formed in 1986 with Per Gessle.', 'Look Sharp! | Look Sharp!, Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, Look Sharp!', 'Look Sharp! (Roxette album) | Look Sharp! is the second studio album by Swedish pop duo Roxette, released on 21 October 1988 by EMI, two years after their debut Pearls of Passion (1986).', 'Roxette/Active from | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | Fredriksson had a successful career in her native country prior to forming Roxette. She was a member of punk group Strul, a band which created their own music ...']",Roxette was formed in 1986 [1][2][3][6].,1986,['1986']
where is uttar pradesh,"['Uttar Pradesh | Uttar Pradesh is a state in northern India. With over 241 million inhabitants, it is the most populated state in India as well as the most populous country ...', 'Uttar Pradesh | History, Government, Map, & Population | Among the largest cities of Uttar Pradesh are Kanpur, Lucknow, Agra, Varanasi, Meerut, and Prayagraj (formerly Allahabad). Kanpur, located in the central ...', 'Uttar Pradesh summary | Capital: Lucknow. It is bordered by Nepal; the states of Bihar, Jharkhand, Chhattisgarh, Madhya Pradesh, Rajasthan, Haryana, and Uttarakhand; and Delhi national ...']",Step 1: What is the location of Uttar Pradesh in India? Step 2: What are the major cities in Uttar Pradesh? Step 3: What are the neighboring states and countries of Uttar Pradesh?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: What is the location of Uttar Pradesh in India? ANSWER: Uttar Pradesh is located in the north-central part of India.. Step 2: What are the major cities in Uttar Pradesh?,"What are the major cities in Uttar Pradesh, India?","['Uttar Pradesh | The map of India showing Uttar Pradesh. Location of Uttar Pradesh in India. Coordinates: 26°51′N 80°55′E\ufeff / \ufeff26.85°N 80.91°E\ufeff / 26.85; 80.91. Country, India.', 'List of cities in Uttar Pradesh by population | 1, Kanpur · Kanpur ; 2, Lucknow · Lucknow ; 3, Ghaziabad · Ghaziabad ; 4, Agra · Agra ...', 'Uttar Pradesh | History, Government, Map, & Population | Uttar Pradesh is bordered by the state of Uttarakhand and the country of Nepal to the north, the state of Bihar to the east, the states of Jharkhand and Chhattisgarh to the southeast, the state of Madhya Pradesh to the south, and the states of Rajasthan and Haryana and the national capital territory of Delhi to the ...', 'Uttar Pradesh | The state is bordered by Rajasthan to the west, Haryana, Himachal Pradesh and Delhi to the northwest, Uttarakhand and an international border with Nepal to the ...', 'Uttar Pradesh | Uttar Pradesh is a state in northern India. With over 241 million inhabitants, it is the most populated state in India as well as the most populous country ...', 'Uttar Pradesh | History, Government, Map, & Population | Uttar Pradesh, the most populous and fourth largest state of India. It lies in the north-central part of the country. Category: Geography & Travel.', 'Uttar Pradesh (India): State, Major Agglomerations & Cities | Contents: Agglomerations & Cities ; Afzalgarh, City ; Āgra [Agra], Aggl ; Ahraurā, City ; Akbarpur (Kānpur Dehat District), Town ...']",Uttar Pradesh is a state in northern India [5][6].,Uttar Pradesh is in northern India.,['Uttar Pradesh is a state in northern India.']
who created The Deuce,"['The Deuce (TV series) - Wikipedia | The Deuce is an American drama television series created by David Simon and George Pelecanos, set in New York City during the 1970s and 1980s., David Simon and George Pelecanos', 'Main Page | The Deuce Wiki | Fandom | The show ran for three seasons and 25 episodes in total. The Deuce was created by David Simon and George Pelecanos. The pair are joined by long-time producing ...', 'Pilot (The Deuce) | ""James Franco and Maggie Gyllenhaal Star in HBO Drama Series ""The Deuce,"" Created by David Simon and George Pelecanos, Debuting Sept. 10"" (Press release) ...']",Step 1: Who created The Deuce TV series? Step 2: How many seasons did The Deuce TV series run for? Step 3: How many episodes are there in The Deuce TV series?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who created The Deuce TV series? ANSWER: The Deuce TV series was created by David Simon and George Pelecanos.. Step 2: How many seasons did The Deuce TV series run for?,How many seasons did The Deuce TV series run for?,"['The Deuce (TV series) - Wikipedia | The Deuce is an American drama television series created by David Simon and George Pelecanos, set in New York City during the 1970s and 1980s., David Simon and George Pelecanos', 'Main Page | The Deuce Wiki | Fandom | The show ran for three seasons and 25 episodes in total. The Deuce was created by David Simon and George Pelecanos. The pair are joined by long-time producing ...', 'The Deuce (TV series) | 3', 'List of The Deuce episodes | During the course of the series, 25 episodes of The Deuce aired over three seasons.', 'The Deuce/Number of episodes | 25, During the course of the series, 25 episodes of The Deuce aired over three seasons., 25 episodes', 'The Deuce (TV series) | The series concluded on October 28, 2019, after three seasons and 25 episodes.', 'The Deuce (TV series) - Wikipedia | The Deuce is an American drama television series created by David Simon and George Pelecanos, set in New York City during the 1970s and 1980s., David Simon and George Pelecanos']",The Deuce is an American drama television series created by David Simon and George Pelecanos [1][7].,The Deuce was created by David Simon and George Pelecanos.,['The Deuce is an American drama television series created by David Simon and George Pelecanos.']
when was pompei founded,"['History of Pompeii | Pompeii, unlike the other towns in Campania founded for the most part by Greek colonists, was built by the Oscans, probably around the 9-8th ...', ""The Founding and History of Pompeii until 79 AD | Pompeii's history dates to the 7th century BC, when the Opics created an agricultural society in the Sarno Valley, whose soil was made fertile by the presence ..."", 'Pompeii | Originally built by Giuseppe Fiorelli between 1873 and 1874, the Antiquarium of Pompeii began as an exhibition venue displaying archaeological finds that ...']",Step 1: Who founded Pompeii? Step 2: When was Pompeii founded? Step 3: What is the history of Pompeii?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who founded Pompeii? ANSWER: Pompeii was founded as a Roman colony in 80 B.C.. Step 2: When was Pompeii founded?,When was Pompeii founded?,"['History of Pompeii | In 80 B.C. it became a Roman colony with the name of Colonia Cornelia Veneria Pompei. As in the past, Pompeii continued to expand and develop in ...', 'History of Pompeii | Pompeii, unlike the other towns in Campania founded for the most part by Greek colonists, was built by the Oscans, probably around the 9-8th ...', 'Pompeii: Bodies, Mount Vesuvius & Herculaneum | HISTORY | Pompeii, a flourishing resort city south of ancient Rome, was nestled along the coast of Italy in the shadow of Mount Vesuvius, an active volcano. Its most famous eruption took place in the year 79 A.D., when it buried the city of Pompeii under a thick carpet of volcanic ash., Its most famous eruption took place in the year 79 A.D., when it buried the city of Pompeii under a thick carpet of volcanic ash', 'Pompeii | History, Volcano, Map, Population, Ruins, & Facts | Pompeii, preserved ancient Roman city in Campania, Italy, that was destroyed by the violent eruption of Mount Vesuvius in 79 CE.', 'History of Pompeii | Pompeii, unlike the other towns in Campania founded for the most part by Greek colonists, was built by the Oscans, probably around the 9-8th ...', 'The Founding and History of Pompeii until 79 AD | The emperor Nero and his wife Poppaea Sabina, a Pompeii native, supported efforts for reconstruction, which were sadly never completed.14 After a series of ...', ""The Founding and History of Pompeii until 79 AD | Pompeii's history dates to the 7th century BC, when the Opics created an agricultural society in the Sarno Valley, whose soil was made fertile by the presence ...""]",Pompeii was founded in the 7th century BC by the Opics [7].,Pompeii was founded in the 7th century BC.,['Pompei was founded in the 6th–7th century BC.']
