Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
Who wrote Vitruvius Britannicus?,"['Vitruvius Britannicus/Author | Colen Campbell, Vitruvius Britannicus: The Classic of Eighteenth-Century British Architecture (Dover Architecture): Campbell, Colen: 9780486447995: Amazon.com: Books., Campbell, Colen', 'Colen Campbell | His major published work, Vitruvius Britannicus, or the British Architect... ... Britain, with variety of new designs, written by Campbell. Nos 76 and 78 Brook ...', 'Vitruvius Britannicus, or The British Architect, | Books | I. (Vol. II.) by Colin Campbell Esqr. ... Tome I. (Tome II.) Par le Sieur Campbell. Colen Campbell. RA Collection: Book ...']","Step 1: Who is the author of Vitruvius Britannicus?
Step 2: What is the major published work of Colen Campbell?
Step 3: What is Vitruvius Britannicus?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who is the author of Vitruvius Britannicus? ANSWER: Colen Campbell. Step 2: What is the major published work of Colen Campbell?,What is the major published work of Colen Campbell?,"['Vitruvius Britannicus: The Classic of Eighteenth-Century British Architecture/Author | Colen Campbell, Vitruvius Britannicus: The Classic of Eighteenth-Century British Architecture (Dover Architecture): Campbell, Colen: 9780486447995: Amazon.com: Books., Campbell, Colen', 'Colen Campbell | Colen Campbell (15 June 1676 – 13 September 1729) was a pioneering Scottish architect and architectural writer who played an important part in the development ...', ""Vitruvius Britannicus | Vitruvius Britannicus, His major published work, Vitruvius Britannicus, or the British Architect... appeared in three volumes between 1715 and 1725. This was the first architectural work to originate in England since John Shute's Elizabethan First Groundes., Vitruvius Britannicus"", 'Colen Campbell biography - Palladian Architecture | To market his architectural services Campbell published a book of designs, drawing heavily upon the work of Andreas Palladio, a 16th century Italian architect, ...', 'Vitruvius Britannicus: The Classic of Eighteenth-Century ... | ... author, Scottish architect Colen Campbell. The popularity of this volume fostered the development of the Neo-Palladian movement, and Vitruvius Britannicus ... Rating: 4.6, \u200e53 reviews, \u200e$24.95, \u200e30, day returns', 'Vitruvius Britannicus/Author | Colen Campbell, Vitruvius Britannicus: The Classic of Eighteenth-Century British Architecture (Dover Architecture): Campbell, Colen: 9780486447995: Amazon.com: Books., Campbell, Colen', 'Colen Campbell | His major published work, Vitruvius Britannicus, or the British Architect... ... Britain, with variety of new designs, written by Campbell. Nos 76 and 78 Brook ...']","Colen Campbell is the author of Vitruvius Britannicus, a major architectural work [1][3].",Colen Campbell,['Colen Campbell']
When was Muhayyelât written?,"['Giritli Ali Aziz Efendi - Wikipedia | Muhayyelât is considered to be an early precursor of the new Turkish literature to emerge in the Tanzimat period of the 19th century. It also influenced Tanzimat literature directly when the manuscript was printed in 1867 and became a very popular book of the time., Tanzimat period of the 19th century', ""Aziz Efendi's Muhayyelât: Adaptation and Literary Modernity | Preserved in manuscript form for several decades after the author's death, Muhayyelât first appeared in print in 1852. Its subsequent popularity ..."", 'Muhayyelât-ı Aziz Efendi by Ahmet Kabaklı | Written by the Ottoman ambassador Giritli Ali Aziz Efendi, ""Muhayyelât-ı Aziz Efendi"" (""Dreams of Aziz Efendi"", 1796, Prussia) is a good example of Ottoman ... Rating: 3.7, \u200e3 votes']",Step 1: What is Muhayyelât-ı Aziz Efendi? Step 2: When was Muhayyelât-ı Aziz Efendi first printed? Step 3: When did Giritli Ali Aziz Efendi write Muhayyelât-ı Aziz Efendi?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: What is Muhayyelât-ı Aziz Efendi? ANSWER: A collection of mystical and fantastic tales. Step 2: When was Muhayyelât-ı Aziz Efendi first printed?,When was Muhayyelât-ı Aziz Efendi first printed?,"[""Aziz Efendi's Muhayyelât: Adaptation and Literary Modernity | Muhayyelât (c. 1796), a collection of mystical and fantastic tales by Giritli Ali Aziz Efendi (d. 1798), is a title often mentioned in ..."", 'Giritli Ali Aziz Efendi - Wikipedia | Muhayyelât is considered to be an early precursor of the new Turkish literature to emerge in the Tanzimat period of the 19th century. It also influenced Tanzimat literature directly when the manuscript was printed in 1867 and became a very popular book of the time., 1867', 'Muhayyelât-ı Aziz Efendi by Ahmet Kabaklı | First published January 1, 1796. Book details & editions. About the author. Profile Image for Ahmet Kabaklı. Ahmet Kabaklı. 51 books5 followers. Follow. Follow. Rating: 3.7, \u200e3 votes', 'Giritli Ali Aziz Efendi | Giritli Ali Aziz Efendi (1749, in Kandiye (Heraklion) – 29 October 1798, in Berlin) was an Ottoman ambassador and an Ottoman author of the late-18th century ...', 'Giritli Ali Aziz Efendi - Wikipedia | Muhayyelât is considered to be an early precursor of the new Turkish literature to emerge in the Tanzimat period of the 19th century. It also influenced Tanzimat literature directly when the manuscript was printed in 1867 and became a very popular book of the time., Tanzimat period of the 19th century', ""Aziz Efendi's Muhayyelât: Adaptation and Literary Modernity | Preserved in manuscript form for several decades after the author's death, Muhayyelât first appeared in print in 1852. Its subsequent popularity ..."", 'Giritli Ali Aziz Efendi | Giritli Ali Aziz Efendi was an Ottoman ambassador and an Ottoman author of the late-18th century and he is notable for his novel ""Muhayyelât"" (Imaginations) ...']",Muhayyelât was written in 1796 [1][3].,1796,['1796']
When was MASHAV established?,"[""Mashav/Founded | 1958, Mashav was set up in the wake of the Bandung Conference of 1955, from which Israel had been excluded at the demand of Arab countries who threatened a boycott of the conference if Israel was invited. It was established on Golda Meir's initiative, in 1958, after her visit to Africa., in the wake of the Bandung Conference of 1955"", ""MASHAV History, Mission & Overview | MASHAV, Israel's official international development cooperation program, was launched in late 1957 with the aim of sharing with the rest of the developing world ..."", 'About Mashav - Israeli Missions Around The World | MASHAV was established in 158 following the vision of then Foreign Minister Golda Meir and Prime Minister David Ben Gurion to assist fellow nations overcome ...']",Step 1: When was MASHAV founded? Step 2: What is the history of MASHAV? Step 3: What is the mission and overview of MASHAV?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: When was MASHAV founded? ANSWER: 1958. Step 2: What is the history of MASHAV?,What is the history of MASHAV?,"[""Mashav/Founded | 1958, Mashav was set up in the wake of the Bandung Conference of 1955, from which Israel had been excluded at the demand of Arab countries who threatened a boycott of the conference if Israel was invited. It was established on Golda Meir's initiative, in 1958, after her visit to Africa., in the wake of the Bandung Conference of 1955"", ""MASHAV History, Mission & Overview | MASHAV, Israel's official international development cooperation program, was launched in late 1957 with the aim of sharing with the rest of the developing world ..."", ""PDF_ABOUT-MASHAV-ENGLISH.pdf - Gov.il | MASHAV was established in 1958 following the vision of then Foreign Minister Golda Meir and Prime Minister David Ben Gurion to assist fellow nations overcome development challenges by sharing knowhow and technologies which provided the basis of Israel's own development."", ""MASHAV History, Mission & Overview | MASHAV, Israel's official international development cooperation program, was launched in late 1957 with the aim of sharing with the rest of the developing world ..."", ""our mission - MASHAV - Ministry of Foreign Affairs | MASHAV – Israel's Agency for International Development Cooperation at Israel's Ministry of Foreign Affairs is responsible for the design, coordination and implementation of the State of Israel's development cooperation programs and humanitarian assistance efforts., responsible for the design, coordination and implementation of the State of Israel's development cooperation programs and humanitarian assistance efforts"", 'MASHAV History, Mission & Overview | MASHAV is the Israeli agency for International Development Cooperation and has been working to improve lives and living conditions.', ""Mashav/Founded | 1958, Mashav was set up in the wake of the Bandung Conference of 1955, from which Israel had been excluded at the demand of Arab countries who threatened a boycott of the conference if Israel was invited. It was established on Golda Meir's initiative, in 1958, after her visit to Africa., in the wake of the Bandung Conference of 1955""]",MASHAV was established in 1958 [1][3][7].,1958,['1958']
What ocean borders Namibia?,"['the Atlantic Ocean | the Atlantic Ocean, It is bordered by Angola to the north, Zambia to the northeast, Botswana to the east, South Africa to the southeast and south, and the Atlantic Ocean to the west. It ranges from arid in the north to desert on the coast and in the east., Atlantic Ocean', 'Namibia | Namibia officially the Republic of Namibia, is a country in Southern Africa. Its western border is the Atlantic Ocean. It shares land borders with Zambia ...', 'Geography of Namibia | Namibia has rich coastal and marine resources that remain largely ... Southern Africa, bordering the South Atlantic Ocean, between Angola and South Africa.']",Step 1: What is the western border of Namibia? Step 2: What ocean is located to the west of Namibia?,Step 2 depends on Step 1.,Step 1: What is the western border of Namibia? ANSWER: Atlantic Ocean. Step 2: What ocean is located to the west of Namibia?,What ocean is located to the west of Namibia?,"['Namibia - Google Arts & Culture | Namibia, officially the Republic of Namibia, is a country in Southern Africa. Its western border is the Atlantic Ocean; it shares land borders with Zambia and Angola to the north, Botswana to the east and South Africa to the south and east.', 'Namibia | Its western border is the Atlantic Ocean. It shares land borders with Zambia and Angola to the north, Botswana to the east and South Africa to the south and ...', 'the Atlantic Ocean | the Atlantic Ocean, Namibia, country located on the southwestern coast of Africa. It is bordered by Angola to the north, Zambia to the northeast, Botswana to the east, South Africa to the southeast and south, and the Atlantic Ocean to the west., Atlantic Ocean', 'Geography of Namibia | Areas within the Namib include the Skeleton Coast and the Kaokoveld in the north and the extensive Namib Sand Sea along the central coast. The sands that make ...', 'the Atlantic Ocean | the Atlantic Ocean, It is bordered by Angola to the north, Zambia to the northeast, Botswana to the east, South Africa to the southeast and south, and the Atlantic Ocean to the west. It ranges from arid in the north to desert on the coast and in the east., Atlantic Ocean', 'Namibia | Namibia officially the Republic of Namibia, is a country in Southern Africa. Its western border is the Atlantic Ocean. It shares land borders with Zambia ...', 'Namibia | History, Map, Flag, Population, Capital, & Facts | It is bordered by Angola to the north, Zambia to the northeast, Botswana to the east, South Africa to the southeast and south, and the Atlantic ...']",Namibia is bordered by the Atlantic Ocean [1][3][2].,Atlantic Ocean,['Atlantic Ocean']
Who created Safari?,"[""Apple | Apple, Safari is a Web browser developed by Apple and bundled with macOS, iPadOS, and iOS. It's based on the open-source WebKit engine., Apple"", ""Safari (web browser) | Safari is a web browser developed by Apple. It is built into Apple's operating systems, including macOS, iOS, iPadOS and their upcoming VisionOS, ..."", ""Apple's Safari Web Browser is 20 Years Old | At the time, Steve Jobs called Safari, “a turbo browser for Mac OS X.” Apple created Safari for speed, calling it the fastest browser for the ...""]",Step 1: Who developed the Safari web browser? Step 2: What operating systems is Safari built into? Step 3: When was Safari created?,Step 2 depends on Step 1.,Step 1: Who developed the Safari web browser? ANSWER: Apple. Step 2: What operating systems is Safari built into?,What operating systems is Safari built into?,"[""Apple | Apple, Safari is a Web browser developed by Apple and bundled with macOS, iPadOS, and iOS. It's based on the open-source WebKit engine., Apple"", ""Safari (web browser) | Safari is a web browser developed by Apple. It is built into Apple's operating systems, including macOS, iOS, iPadOS and their upcoming VisionOS, ..."", ""Safari (web browser) - Wikipedia | It is built into Apple's operating systems, including macOS, iOS, iPadOS and their upcoming VisionOS, and uses Apple's open-source browser engine WebKit, which was derived from KHTML. Apple Inc. Safari was introduced in Mac OS X Panther in January 2003., macOS, iOS, iPadOS and their upcoming VisionOS"", ""Safari | With a blazing-fast JavaScript engine, Safari is the world's fastest browser. ... It's developed to run specifically on Apple devices, so it's geared to make the ..."", 'Safari/Initial release date | January 7, 2003, Apple introduced the Safari web browser 20 years ago, on January 7, 2003. At the time, Steve Jobs called Safari, “a turbo browser for Mac OS X.” Apple created Safari for speed, calling it the fastest browser for the Mac., January 7, 2003', 'Safari (web browser) | Safari was introduced in Mac OS X Panther in January 2003. It has been included with the iPhone since its first generation, which came out in 2007. At that time ...', ""Apple | Apple, Safari is a Web browser developed by Apple and bundled with macOS, iPadOS, and iOS. It's based on the open-source WebKit engine., Apple""]",Safari was developed by Apple [1][2][7].,Apple,['Apple']
 What is Standard A17.1?,"['Safety Code for Elevators and Escalators - ASME | The ASME A17. 1 / CSA B44 Safety Code for Elevators and Escalators has become the accepted guide throughout North America for the design, construction, installation, operation, inspection, testing, maintenance, alteration, and repair of elevators, escalators and related conveyances., Safety Code for Elevators and Escalators', 'ASME A17.1-2022: Safety Code for Elevators and Escalators | ASME A17.1-2022, as a code, is intended to provide safety of life and limb and promote public welfare. It covers not only elevators, escalators, ...', 'ASME A17 1 Elevator and Escalator Safety | ASME 17.1 is the ""Safety Code for Elevators and Escalators."" This includes the safety code requirements for elevators, escalators, dumbwaiters, moving walks ...']",Step 1: What is ASME A17.1-2022? Step 2: What does ASME A17.1 cover? Step 3: What are the safety code requirements for elevators and escalators according to ASME A17.1?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is ASME A17.1-2022? ANSWER: Safety code for elevators and escalators. Step 2: What does ASME A17.1 cover?,What does ASME A17.1 cover?,"['ASME A17.1-2022: Safety Code for Elevators and Escalators | ASME A17. 1/CSA B44-2022: Safety Code For Elevators And Escalators serves as a basis for the design, construction, installation, operation, testing, inspection, maintenance, alteration, and repair of elevators, dumbwaiters, escalators, moving walks, and material lifts., Safety Code For Elevators And Escalators', 'Safety Code for Elevators and Escalators | The ASME A17.1 / CSA B44 Safety Code for Elevators and Escalators has become the accepted guide throughout North America for the design, construction, ... $425.00, \u200eIn stock', 'ASME A17 1 Elevator and Escalator Safety - DuraLabel | ASME 17.1 is the ""Safety Code for Elevators and Escalators."" This includes the safety code requirements for elevators, escalators, dumbwaiters, moving walks, material lifts, and dumbwaiters with automatic transfer devices., safety code requirements for elevators, escalators, dumbwaiters, moving walks, material lifts, and dumbwaiters with automatic transfer devices', 'ASME A17.1-2022: Safety Code for Elevators and Escalators | ASME A17.1-2022, as a code, is intended to provide safety of life and limb and promote public welfare. It covers not only elevators, escalators, ...', 'Safety Code for Elevators and Escalators | The ASME A17.1 / CSA B44 Safety Code for Elevators and Escalators has become the accepted guide throughout North America for the design, construction, ... $425.00, \u200eIn stock', 'Safety Code for Elevators and Escalators - ASME | The ASME A17. 1 / CSA B44 Safety Code for Elevators and Escalators has become the accepted guide throughout North America for the design, construction, installation, operation, inspection, testing, maintenance, alteration, and repair of elevators, escalators and related conveyances., Safety Code for Elevators and Escalators', 'ASME A17.1-2022: Safety Code for Elevators and Escalators | ASME A17.1-2022, as a code, is intended to provide safety of life and limb and promote public welfare. It covers not only elevators, escalators, ...']",Standard A17.1 is the safety code for elevators and escalators [1][6].,Safety code for elevators and escalators,['Safety Code for Elevators and Escalators']
How did Nasser die?,"['Gamal Abdel Nasser/Cause of death | Heart attack, After the conclusion of the 1970 Arab League summit, Nasser suffered a heart attack and died. His funeral in Cairo drew five to six million mourners, and prompted an outpouring of grief across the Arab world.']",Step 1: What was the cause of death of Gamal Abdel Nasser? Step 2: When did Gamal Abdel Nasser die?,Step 2 depends on Step 1.,Step 1: What was the cause of death of Gamal Abdel Nasser? ANSWER: Heart attack. Step 2: When did Gamal Abdel Nasser die?,When did Gamal Abdel Nasser die?,"['Gamal Abdel Nasser/Cause of death | Heart attack, After the conclusion of the 1970 Arab League summit, Nasser suffered a heart attack and died. His funeral in Cairo drew five to six million mourners, and prompted an outpouring of grief across the Arab world.', 'Death and state funeral of Gamal Abdel Nasser | Doubts arose about the cause of death, including that he was poisoned, but these allegations were not supported by evidence. References ...', 'Gamal Abdel Nasser/Date of death | September 28, 1970, Gamal Abdel Nasser Hussein (15 January 1918 – 28 September 1970) was an Egyptian military officer and politician who served as the second president of Egypt from 1954 until his death in 1970.', 'Death and state funeral of Gamal Abdel Nasser | Gamal Abdel Nasser, the 2nd president of Egypt, died on 28 September 1970, at age 52. Abdel Nasser, one of the most respected and revered Arab leaders, ...', 'Gamal Abdel Nasser/Cause of death | Heart attack, After the conclusion of the 1970 Arab League summit, Nasser suffered a heart attack and died. His funeral in Cairo drew five to six million mourners, and prompted an outpouring of grief across the Arab world.', ""Death of Egypt's Nasser, 50 years ago | On September 28, 1970, Gamal Abdel Nasser, Egypt's charismatic pan-Arabist president, died from a heart attack in Cairo aged 52, ..."", 'Gamal Abdel Nasser | Biography & Facts | Nasser had tentatively accepted a U.S. plan leading to peace negotiations with Israel when he died, in 1970, from a heart attack. Legacy. Although complex and ...']",Nasser died of a heart attack [1][5][6].,Heart attack,['heart attack']
Who discovered Mevastatin?,"['Mevastatin - an overview | ScienceDirect Topics | This discovery culminated in the labs of Dr. Akira Endo at Sankyo in Japan in the early 1970s, when the first statin, called ML-236B (later called mevastatin and compactin), was extracted from the fungus Penicillium citrinum., Dr., Akira Endo', 'A historical perspective on the discovery of statins - PMC | The cholesterol-lowering properties of nicotinic acid were discovered in 1955 by Canadian pathologist Rudolf Altschul. ... At that time, nicotinic acid was the ...', 'Mevastatin | It was isolated from the mold Penicillium citrinum by Akira Endo in the 1970s, and he identified it as a HMG-CoA reductase inhibitor, i.e., a statin. Mevastatin ...']","Step 1: Who isolated Mevastatin from the mold Penicillium citrinum?
Step 2: What is the historical perspective on the discovery of statins?
Step 3: What are the labs where the first statin, mevastatin, was extracted from the fungus Penicillium citrinum?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who isolated Mevastatin from the mold Penicillium citrinum? ANSWER: A. Endo. Step 2: What is the historical perspective on the discovery of statins?,What is the historical perspective on the discovery of statins?,"['Discovery and Development of Statins - Akira Endo, 2017 | Mevastatin (Compactin) belonging to the statin class is a hypolipidemic agent. It was isolated from the ascomycetous fungus, Penicillium citrinum by A. Endo in the 1970s, and he discovered that it acted as 3-hydroxy-3-methyl-glutaryl (HMG)-CoA reductase inhibitor., A., Endo', 'Penicillium citrinum - an overview | The first statins identified were mevastatin (mevinolin) isolated from Penicillium citrinum [110], and lovastatin (also referred to as monacolin K) isolated ...', 'Statin History - News Medical | The discovery of statins While working at the Sankyo Company in 1976, the Japanese biochemist Akira Endo isolated a factor from the fungus Penicillium citrinum which he identified as a competitive inhibitor of 3-hydroxy-3-methyl-glutaryl-coenzyme A reductase (HMG-CoA reductase).', 'A historical perspective on the discovery of statins - PMC | The cholesterol-lowering properties of nicotinic acid were discovered in 1955 by Canadian pathologist Rudolf Altschul. At that time, nicotinic acid was the only ...', 'Penicillium citrinum - an overview | ScienceDirect Topics | A Statins as Natural Products. In 1976, Endo and coworkers isolated the first HMGR inhibitor, mevastatin (compactin) (Figure 12.3), from a culture of Penicillium citrinum[41]. During that same year researchers at Beecham Laboratories isolated mevastatin from Penicillium brevicompactum[42].', 'A historical perspective on the discovery of statins - PMC | Discovery of compactin (ML-236B).\u200b\u200b In the mid-summer of 1972, We found a second active culture broth of blue-green mold, Penicillium citrinum Pen-51, which was ...', 'Mevastatin - an overview | ScienceDirect Topics | This discovery culminated in the labs of Dr. Akira Endo at Sankyo in Japan in the early 1970s, when the first statin, called ML-236B (later called mevastatin and compactin), was extracted from the fungus Penicillium citrinum., Dr., Akira Endo']",Akira Endo discovered Mevastatin from the fungus Penicillium citrinum [1][3].,Akira Endo,['Akira Endo']
When did Kexi retire?,"['Shang Kexi | Manchu Conquest, Rebellion & Exile | Shang Kexi, Chinese general whose attempt to retire in 1673 resulted in large-scale rebellion. Originally a Ming dynasty general, Shang transferred his ...', ""SHANG Kexi | SHANG Kexi [Shang K'o-his] 尙可喜\u200e, d. 1676,. Source: Eminent Chinese of the Qing Period. Author(s):: George A. KennedyGeorge A. Kennedy. age 73 (sui), was ..."", 'Revolt of the Three Feudatories | In 1673, Shang Kexi asked for permission to retire, and in July, Wu Sangui and Geng Jingzhong followed suit. Kangxi sought advice from his council on the issue ...']",Step 1: When did Shang Kexi attempt to retire? Step 2: When did Shang Kexi retire?,Step 2 depends on Step 1.,Step 1: When did Shang Kexi attempt to retire? ANSWER: 1673. Step 2: When did Shang Kexi retire?,When did Shang Kexi retire?,"['1673 | 1673, Shang Kexi, (born 1604, Haicheng, Liaoning province, China—died October 1676, Guangzhou, Guangdong province), Chinese general whose attempt to retire in 1673 resulted in large-scale rebellion., 1673', 'SHANG Kexi | age 73 (sui), was a native of Liaodong. His father was killed in battle while serving as a major in the Ming armies. In 1630 Shang Kexi was stationed on ...', '1673 | 1673, In 1673 Shang successfully petitioned the emperor for permission to retire, and preparations were made to bring Guangdong under central control., 1673', 'Shang Kexi - Wikipedia | Shang Kexi was a Chinese general of the Ming and Qing dynasties. In 1576, his family migrated to Liaodong, and his father, Shang Xueli, served in the army ...', 'Shang Kexi | Manchu Conquest, Rebellion & Exile | Shang Kexi, Chinese general whose attempt to retire in 1673 resulted in large-scale rebellion. Originally a Ming dynasty general, Shang transferred his ...', 'Shang Kexi | Shang Kexi was a Chinese general of the Ming and Qing dynasties. In 1576, his family migrated to Liaodong, and his father, Shang Xueli, served in the army ...', 'SHANG Kexi - Oxford Reference | In 1630 Shang Kexi was stationed on Pidao, an island off the mouth of the Yalu River to which large numbers of Ming soldiers had retired after being driven ...']",Kexi retired in 1673 [1][3].,1673,['1673']
When did Chaucer die?,"[""Geoffrey Chaucer/Date of death | October 25, 1400, Chaucer died in 1400, the year after the accession of Henry to the throne and also the year after the death of John of Gaunt, the king's father. That Chaucer was buried in Westminster Abbey was due primarily to the fact that his last residence was on the abbey grounds., 1400"", 'Geoffrey Chaucer | Chaucer died of unknown causes on 25 October 1400, although the only evidence for this date comes from the engraving on his tomb which was erected more than ...', 'Geoffrey Chaucer | Biography, Poems, Canterbury Tales, & ... | 1342/43, London?, England—died October 25, 1400, London) the outstanding English poet before Shakespeare and “the first finder of our language.” ...']",Step 1: When did Geoffrey Chaucer die? Step 2: What year did Chaucer die? Step 3: What is the date of Chaucer's death?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: When did Geoffrey Chaucer die? ANSWER: 1400. Step 2: What year did Chaucer die?,What year did Chaucer die?,"[""Geoffrey Chaucer/Date of death | October 25, 1400, Chaucer died in 1400, the year after the accession of Henry to the throne and also the year after the death of John of Gaunt, the king's father. That Chaucer was buried in Westminster Abbey was due primarily to the fact that his last residence was on the abbey grounds., 1400"", 'Geoffrey Chaucer | Chaucer died of unknown causes on 25 October 1400, although the only evidence for this date comes from the engraving on his tomb which was erected more than ...', ""Geoffrey Chaucer/Date of death | October 25, 1400, Chaucer died in 1400, the year after the accession of Henry to the throne and also the year after the death of John of Gaunt, the king's father. That Chaucer was buried in Westminster Abbey was due primarily to the fact that his last residence was on the abbey grounds., 1400"", 'Geoffrey Chaucer | Chaucer died of unknown causes on 25 October 1400, although the only evidence for this date comes from the engraving on his tomb which was erected more than 100 ...', 'Geoffrey Chaucer/Date of death | October 25, 1400, Chaucer died of unknown causes on 25 October 1400, although the only evidence for this date comes from the engraving on his tomb which was erected more than 100 years after his death., 25 October 1400', 'Geoffrey Chaucer | Biography, Poems, Canterbury Tales, & ... | 1342/43, London?, England—died October 25, 1400, London) the outstanding English poet before Shakespeare and “the first finder of our language.” ...', ""Geoffrey Chaucer/Date of death | October 25, 1400, Chaucer died in 1400, the year after the accession of Henry to the throne and also the year after the death of John of Gaunt, the king's father. That Chaucer was buried in Westminster Abbey was due primarily to the fact that his last residence was on the abbey grounds., 1400""]",Chaucer died in 1400 [1][3].,1400,['1400']
