Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
"Summer Days is an erotic visual novel developed by 0verflow, released on June 23, 2006 for Windows and later ported as a DVD game and for the PlayStation Portable (PSP), It is the second installation of ""School Days"" line of series, succeeding the visual novel of the same name and preceding ""Cross Days"", a Japanese erotic visual novel developed by 0verflow, released on which date?","['Summer Days | It is the second installation of School Days line of series, succeeding the visual novel of the same name and preceding Cross Days. Unlike the previous ...', 'About: Summer Days | Summer Days is an erotic visual novel developed by 0verflow, released on June 23 ... It is the second installation of School Days line of series ...', 'Why might changing process priority and forcing a single ... | It is the second installation of School Days line of series, succeeding the visual novel of the same name and preceding Cross Days. Unlike ...']","Step 1: When was ""Cross Days"" released?
Step 2: What is the release date of ""Cross Days""?
Step 3: What is the release date of ""Cross Days"" visual novel by 0verflow?",Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: When was ""Cross Days"" released? ANSWER: March 19, 2010. Step 2: What is the release date of ""Cross Days""?","What is the release date of ""Cross Days""?","['Cross Days/Initial release date | March 19, 2010, Cross Days is a Japanese erotic visual novel developed by 0verflow, released on March 19, 2010 for Windows and later ported as a DVD game and for the PlayStation Portable (PSP)., March 19, 2010', 'Cross Days | School Days Wiki - Fandom | Release history, cut content and “trojan” incident. Cross Days was originally scheduled to be officially released on February 27, 2009. However, due to the ...', 'Cross Days/Initial release date | March 19, 2010, Cross Days is a Japanese erotic visual novel developed by 0verflow, released on March 19, 2010 for Windows and later ported as a DVD game and for the PlayStation Portable (PSP)., March 19, 2010', 'Cross Days | School Days Wiki - Fandom | Cross Days was originally scheduled to be officially released on February 27, 2009. However, due to the continuous delay of the game release, some consumers ...', 'Cross Days/Initial release date | March 19, 2010, Cross Days is a Japanese erotic visual novel developed by 0verflow, released on March 19, 2010 for Windows and later ported as a DVD game and for the PlayStation Portable (PSP)., March 19, 2010', 'Cross Days | School Days Wiki - Fandom | Cross Days was originally scheduled to be officially released on February 27, 2009. However, due to the continuous delay of the game release, some consumers ...', 'Summer Days | It is the second installation of School Days line of series, succeeding the visual novel of the same name and preceding Cross Days. Unlike the previous ...']","""Summer Days"" is the second installation in the ""School Days"" series, and ""Cross Days"" comes after it [1][7].  ""Cross Days"" was originally scheduled to be released on February 27, 2009, but was continuously delayed until it was officially released on March 19, 2010 [2][4][6].","March 19, 2010","['March 19, 2010']"
"Sealand Road was the home stadium of Chester City Football Club (until 1983 known as Chester Football Club) from 1906 until 1990, the completion of the Deva Stadium, completed in which year, an association football stadium in the United Kingdom, that is the home of Chester F.C., the effective successor club to the liquidated Chester City F.C.?","['Sealand Road | Sealand Road was the home stadium of Chester City Football Club (until 1983 known as Chester Football Club) from 1906 until 1990. Although officially known ...', 'Deva Stadium | Deva Stadium is an association football stadium which is the home of Chester F.C., the effective successor club to the liquidated Chester City. The stadium ...', 'Chester FC History | By now the club had moved to the much loved Stadium, in Sealand Road, which remained home for 84 years until the final game against Rotherham United in April ...']","Step 1: When was the Deva Stadium completed?
Step 2: What is the home stadium of Chester F.C.?
Step 3: What year did Chester City Football Club move from Sealand Road to the Deva Stadium?",Step 3 depends on Step 1.,"Step 1: When was the Deva Stadium completed? ANSWER: August 24, 1992. Step 3: What year did Chester City Football Club move from Sealand Road to the Deva Stadium?",What year did Chester City Football Club move from Sealand Road to the Deva Stadium?,"['Leap76 Stadium/Opened | August 24, 1992, Construction of the new stadium began in January 1992 and it opened seven months later in time for the 1992–93 season., January 1992', 'Deva Stadium Construction - Chester Football Club | DEVA STADIUM – CONSTRUCTION JANUARY-AUGUST 1992\u200b\u200b History was made on Tuesday 26 January 1992 when chairman Ray Crofts, manager Harry McNally and City supporter ...', 'Deva Stadium | Deva Stadium is an association football stadium which is the home of Chester F.C., the effective successor club to the liquidated Chester City.', ""1992 | 1992, The club played its home games at Sealand Road from 1906 to 1991 and moved to the Deva Stadium in 1992 after playing two seasons of home games at Macclesfield Town's Moss Rose. Chester held cross-border derby matches with Welsh club Wrexham. 1885 (as Chester F.C.), 1992"", 'Sealand Road | Sealand Road was the home stadium of Chester City Football Club from 1906 until 1990. Although officially known simply as The Stadium, it was more commonly ...', 'Sealand Road | Sealand Road was the home stadium of Chester City Football Club (until 1983 known as Chester Football Club) from 1906 until 1990. Although officially known ...', 'Chester FC - Stadium - Deva Stadium | Deva Stadium ; 6.012 · 3.284 · 1992 · No · No.']","Sealand Road was the home stadium of Chester City Football Club from 1906 until 1990 [1][4]. The Deva Stadium was completed in 1992, making it the new home stadium for the club.",1992,['1992']
"Floigan Bros. is a video game developed by Visual Concepts released on July 30, 2001 by Sega, it starred Frank Welker as the voices of the title characters, he's an American actor, who for most of his career has specialized as a voice actor, and best known for his role as who, from the ""Scooby-Doo"" franchise since its conception in 1969?","['Floigan Bros. | or Floigan Brothers, is an action-adventure video game developed by Visual Concepts and published by Sega. It was released in 2001 only for the Dreamcast.', 'Floigan Bros. (Video Game 2001) | Floigan Bros.: With Frank Welker, Jason Marsden, Victor Raider-Wexler, Andrea Romano. Rating: 6.5/10, \u200e15 votes', 'Floigan Bros.: Episode 1 (2001) | Floigan Bros. is an action puzzle game with a strong emphasis on cooperation. Hoigle must work with Moigle to accomplish many tasks. Moigle, on ...']","Step 1: Who voiced the title characters in the video game Floigan Bros.?
Step 2: What is Frank Welker best known for?
Step 3: What role is Frank Welker best known for?
Step 4: When did the ""Scooby-Doo"" franchise start?
Step 5: Who did Frank Welker voice in the ""Scooby-Doo"" franchise?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 5 depends on Step 4.,Step 1: Who voiced the title characters in the video game Floigan Bros.? ANSWER: Frank Welker and Jason Marsden. Step 2: What is Frank Welker best known for?,What is Frank Welker best known for?,"['Floigan Bros. - Wikipedia | The Floigan Brothers, Moigle (voiced by Frank Welker) and Hoigle (voiced by Jason Marsden), live by themselves in their very own junkyard. Moigle is the larger of the two brothers, and is not controlled by the player. Hoigle, on the other hand, is directly controlled by the player., Frank Welker) and Hoigle (voiced by Jason Marsden)', 'Floigan Bros. (2001 Video Game) | Moigle Floigan voice Moigle Floigan voiced by Frank Welker ; Hoigle Floigan voice Hoigle Floigan voiced by Jason Marsden ; Baron Malodorous voice Baron Malodorous', ""Frank Welker - Simple English Wikipedia, the free encyclopedia | He is best known for doing animal sounds and monster sounds too, and he's known for being the voice of Scooby Doo since 2002 and the current voice of Fred Jones since 1969. Welker is one of the highest-grossing actors in Hollywood., doing animal sounds and monster sounds"", 'Frank Welker | ""Frank Welker, Best Known as Voice of Scooby-Doo and Curious George, to Receive Lifetime Achievement Award at The 43rd Annual Daytime Creative Emmy Awards!', 'Frank Welker - Wikipedia | Welker is best known for voicing Fred Jones in the Scooby-Doo franchise since its inception in 1969, and the title protagonist himself since 2002., Fred Jones in the Scooby-Doo franchise', '10 Iconic Cartoon Characters Voiced by Frank Welker | Welker voiced a number of characters on The Real Ghostbusters, including Ray (Inheriting the role from Dan Akroyd) and the Stay Puft Marshmallow ...', ""Sept. 13, 1969 | Sept. 13, 1969, 1. Scooby-Doo made his debut on Sept. 13, 1969, with the premiere of “Scooby-Doo, Where Are You!” The series joined CBS-TV's Saturday morning cartoon lineup and introduced four intrepid teenage detectives and a talking dog named Scooby-Doo., Sept., 13, 1969""]","Frank Welker is best known for voicing Fred Jones in the Scooby-Doo franchise since its inception in 1969, and the title protagonist himself since 2002 [1][2][3][4][5][6][7]. He also did animal and monster sounds.",Fred Jones,['Fred Jones']
"Mound of Butter is a painting by the 19th-century by which French realist painter, made between 1875 and 1885, the painting is hosted at The National Gallery of Art, and its attached Sculpture Garden, is a national art museum in Washington, D.C., located on the National Mall, between 3rd and 9th Streets, at Constitution Avenue NW?","['Mound of Butter - Wikipedia | Mound of Butter is a still life painting of a mound of butter, by the 19th-century French realist painter Antoine Vollon made between 1875 and 1885. The painting is in the National Gallery of Art in Washington D.C., with the New York Times calling it one of ""Washington\'s Crown Jewels""., Antoine Vollon', 'Mound of Butter | A mound of creamy, yellow butter sits to our left of center on a wooden table against an olive-green background in this horizontal still life painting.', ""Antoine Vollon's 'Mound of Butter' will make your mouth water | “Mound of Butter” is one of the most popular paintings at the National Gallery of Art. Its cult status is unlikely, given the stellar company it ...""]","Step 1: Who painted the Mound of Butter painting?
Step 2: When was the Mound of Butter painting made?
Step 3: Where is the Mound of Butter painting hosted?
Step 4: What is the National Gallery of Art?
Step 5: Where is the National Gallery of Art located?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 5 depends on Step 4.,Step 1: Who painted the Mound of Butter painting? ANSWER: Antoine Vollon. Step 2: When was the Mound of Butter painting made?,When was the Mound of Butter painting made?,"['Mound of Butter/Artist | Antoine Vollon, Mound of Butter is a still life painting of a mound of butter, by the 19th-century French realist painter Antoine Vollon made between 1875 and 1885., Antoine Vollon', 'Mound of Butter | A mound of creamy, yellow butter sits to our left of center on a wooden table against an olive-green background in this horizontal still life painting.', 'Mound of Butter/Created | 1875–1885, Mound of Butter, 1875/1885 Perspective Discussion of news topics with a point of view, including narratives by individuals regarding their own experiences.', 'Mound of Butter | A mound of creamy, yellow butter sits to our left of center on a wooden table against an olive-green background in this horizontal still life painting.', 'the National Gallery of Art | the National Gallery of Art, Mound of Butter is a still life painting of a mound of butter, by the 19th-century French realist painter Antoine Vollon made between 1875 and 1885. The painting is in the National Gallery of Art in Washington D.C., with the New York Times calling it one of ""Washington\'s Crown Jewels""., the National Gallery of Art in Washington D.C.', 'Mound of Butter | A mound of creamy, yellow butter sits to our left of center on a wooden table against an olive-green background in this horizontal still life painting.', 'National Gallery of Art | The National Gallery of Art serves the nation by welcoming all people to explore and experience art, creativity, and our shared humanity.']","The painting ""Mound of Butter"" was created by the French realist painter Antoine Vollon between 1875 and 1885 [1][2][3][4][5][6][7]. It is hosted at The National Gallery of Art in Washington, D.C.",Antoine Vollon,['Antoine Vollon']
"The Pluralist school was a school of pre-Socratic philosophers who attempted to reconcile Parmenides' rejection of change with the apparently changing world of sense experience, it can also be said to have included which philosopher who was the earliest Greek to develop the theory of atomism—the idea that everything is composed entirely of various imperishable, indivisible elements called atoms. Leucippus often appears as the master to his pupil Democritus, a philosopher also touted as the originator of the atomic theory?","['Pluralism - By Movement / School - The Basics of Philosophy | In general terms, they attempted to reconcile the complete rejection of change by Parmenides and the Eleatic School, which generally speaking they accepted, ...', 'The Eleatics Parmenides and Zeno of Elea | ⚫ Parmenides proposed that reality is unchanging and that knowledge comes from rational reasoning, not sense perception. ⚫ Zeno, a student of ...', 'Parmenides of Elea (Late 6th cn.—Mid 5th cn. BCE) | Parmenides of Elea was a Presocratic Greek philosopher. As the first philosopher to inquire into the nature of existence itself, he is incontrovertibly credited ...']","Step 1: Who were the philosophers of the Pluralist school?
Step 2: What is the theory of atomism?
Step 3: Who developed the theory of atomism in ancient Greece?
Step 4: Who was the earliest Greek philosopher to develop the theory of atomism?
Step 5: Who is credited as the master to Democritus in the atomic theory?
Step 6: Who is considered the originator of the atomic theory?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 3. Step 5 depends on Step 4. Step 6 depends on Step 5.,"Step 1: Who were the philosophers of the Pluralist school? ANSWER: Anaxagoras, Archelaus, and Empedocles. Step 2: What is the theory of atomism?",What is the theory of atomism?,"['What is pluralism in pre-Socratic philosophy? | The leading philosophers of pluralistic philosophy were Anaxagoras, Archelaus and Empedocles. Pluralism contended that there was change in the world, and these changes impacted the evolution of the universe., Anaxagoras, Archelaus and Empedocles', 'Pluralism - By Movement / School - The Basics of Philosophy | Pluralism is a Greek Pre-Socratic school of philosophy of the 5th Century B.C., consisting of three major philosophers: Anaxagoras, Archelaus (5th Century ...', 'Ancient Atomism - Stanford Encyclopedia of Philosophy | Ancient Greek atomists developed a systematic and comprehensive natural philosophy accounting for the origins of everything from the interaction ...', 'Leucippus of Miletus | Leucippus of Miletus, Leucippus of Miletus (5th century bce) is thought to have originated the atomic philosophy. His famous disciple, Democritus of Abdera, named the building blocks of matter atomos, meaning literally “indivisible,” about 430 bce., Leucippus of Miletus', 'Ancient Atomism - Stanford Encyclopedia of Philosophy | BCE) is usually credited with inventing atomism in the Greek tradition. According to a passing remark by the geographer Strabo, Posidonius (1st ...', 'Democritus | Democritus, The Beginnings of Atomism: Leucippus and Democritus Leucippus was a 5th century BC philosopher from an unknown area of ancient Greece. Very little is known about his life. Thanks to his famous disciple Democritus, it is known that Leucippus is the earliest known atomist., Leucippus and Democritus', 'Ancient Atomism - Stanford Encyclopedia of Philosophy | Ancient Greek Atomism. Ancient Greek atomists developed a systematic and comprehensive natural philosophy accounting for the origins of ...']","The Pluralist school included Anaxagoras, Archelaus, and Empedocles as leading philosophers [1][2]. Leucippus is credited with originating the atomic philosophy and is often seen as the master to his pupil, Democritus, who is known for the atomic theory [4][6].",Leucippus,['Leucippus']
"The Porsche 928 is a luxurious grand tourer produced by Porsche AG of which country, from 1978 to 1995, the 928 combined the power, poise, and handling of a sports car with the refinement, comfort, and equipment of a luxurious saloon, luxury vehicle is a marketing term for a vehicle that provides luxury — pleasant or desirable features beyond strict necessity — at increased expense?","['Fan Car Friday: 1986 Porsche 928S - FantomWorks | The Porsche 928 is a luxury grand tourer produced by Porsche AG of Germany from 1978 to 1995., Germany', ""Porsche Takes the Plunge - Porsche AG | The 928 was something different right from the start. Above all, it was positioned higher on the market—as a sporty touring car, or Porsche's first Gran Turismo ..."", 'Porsche 928 - Porsche AG | ... comfortable and effortless grand tourer, and it was a courageous decision to plan and build this sports car in spite of the energy crisis at the time. Read ...']","Step 1: Where was the Porsche 928 produced from 1978 to 1995?
Step 2: What are the key features of the Porsche 928?
Step 3: What is the definition of a luxury vehicle?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Where was the Porsche 928 produced from 1978 to 1995? ANSWER: Germany. Step 2: What are the key features of the Porsche 928?,Where was the Porsche 928 produced from 1978 to 1995 and what are its key features?,"['Germany | Germany', 'Porsche 928 | The Porsche 928 is a grand touring car with a 2+2 seating layout produced by Porsche AG of Germany from 1978 until 1995. Originally conceptualised to cater ...', 'What Is a Luxury Car? | Luxury cars are passenger automobiles built by recognized luxury automakers. Though this seems like a reflexive definition, it draws a line between luxury ...', 'Fan Car Friday: 1986 Porsche 928S - FantomWorks | The Porsche 928 is a luxury grand tourer produced by Porsche AG of Germany from 1978 to 1995., Germany', ""Porsche Takes the Plunge - Porsche AG | The 928 was something different right from the start. Above all, it was positioned higher on the market—as a sporty touring car, or Porsche's first Gran Turismo ..."", ""Porsche 928 (1978 to 1995) | The Porsche 928 is a luxury grand tourer produced by Porsche AG of Germany from 1978 to 1995. Originally intended to replace the company'... READ MORE."", 'The Evolution of the Porsche 928 | The Porsche 928 was produced from 1977 through 1995 and went largely unchanged over its 18-year production run. Read all about it here.']",- The Porsche 928 is a luxurious grand tourer produced by Porsche AG of Germany from 1978 to 1995 [1][2][3][4][5][6][7]. It was positioned higher on the market as a sporty touring car or Porsche's first Gran Turismo. - Luxury cars are passenger automobiles built by recognized luxury automakers. - The Porsche 928 is a luxury grand tourer. - Luxury vehicle is a marketing term for a vehicle that provides luxury features at increased expense.,Germany,['Germany']
"The Man from Beyond is a 1922 silent film starring Harry Houdini as a man found frozen in arctic ice who is brought back to life, Harry Houdini (born Erik Weisz, later Ehrich Weiss or Harry Weiss; March 24, 1874 – October 31, 1926) was an Austro-Hungarian-born American stage what and stunt performer, noted for his sensational escape acts?","['Harry Houdini | Erich Weisz (March 24, 1874 – October 31, 1926), known as Harry Houdini was a Hungarian-American escape artist, illusionist, and stunt performer, ...', 'Harry Houdini | Harry Houdini ; Born: March 24, 1874, Budapest, Hungary ; Died: October 31, 1926, Detroit, MI ; Full name: Erik Weisz ; Spouse: Bess Houdini (m. 1894–1926) ; Buried: ...', ""Harry Houdini (1874-1926) | American Experience | Time and again, Houdini's escapes from seemingly impossible predicaments thrilled audiences, who found in him a metaphor for their own lives, an affirmation ...""]","Step 1: What was Harry Houdini's profession?
Step 2: When was The Man from Beyond released?
Step 3: What was the plot of The Man from Beyond?
Step 4: What was the character played by Harry Houdini in The Man from Beyond?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 3.,Step 1: What was Harry Houdini's profession? ANSWER: Magician. Step 2: When was The Man from Beyond released?,When was The Man from Beyond released?,"['Harry Houdini | When Weiss became a professional · When he was a teenager, Houdini was coached by the magician · Houdini began his magic career in 1891, but had little success.', 'The Man from Beyond/Initial release | April 2, 1922', 'The Man from Beyond | Release date. April 2, 1922 (1922-04-02). Running time. 74 minutes. Country, United States. Language, Silent (English intertitles). Contents. 1 Plot; 2 Cast; 3 ...', 'The Man from Beyond/Initial release | April 2, 1922', 'The Man from Beyond | Release date. April 2, 1922 (1922-04-02). Running time. 74 minutes. Country, United States. Language, Silent (English intertitles). Contents. 1 Plot; 2 Cast; 3 ...', 'The Man from Beyond - Wikipedia | Gregory Sinclair (Connelly) and his fellow explorers find a man, Howard Hillary (Houdini), frozen in solid arctic ice and chop him out and then thaw him., Howard Hillary', 'The Man from Beyond (1922) | The Man from Beyond: Directed by Burton L. King. With Harry Houdini, Arthur Maude, Albert Tavernier, Erwin Connelly. A man who has been frozen in the Arctic ... Rating: 5.3/10, \u200e329 votes']","Harry Houdini began his magic career in 1891 [1]. The Man from Beyond was released on April 2, 1922 [2]. The film starred Harry Houdini [3]. The film is about a man found frozen in arctic ice [6].",magician,['magician']
"Going Solo is a memoir by Roald Dahl, first published by Jonathan Cape in London in 1986, he eventually joined the war as a squadron pilot in the Royal Air Force, flying which British single-seat fighter aircraft of the 1930s–1940s that was designed and predominantly built by Hawker Aircraft Ltd for the Royal Air Force (RAF)?","['Going Solo | Going Solo is a book by Roald Dahl, first published by Jonathan Cape in London in 1986. It is a continuation of his autobiography describing his childhood, ...', ""Going Solo (Roald Dahl's Autobiography, #2) by ... | It is a continuation of his autobiography describing his childhood, Boy and detailed his travel to Africa and exploits as a World War II pilot. Rating: 4, \u200e29,668 votes"", 'Roald Dahl | Going Solo | The Battle of Athens | A life is made up of a great number of small incidents and a small number of great ones: an autobiography must therefore, unless it is to become tedious, ...']","Step 1: What British single-seat fighter aircraft was predominantly built by Hawker Aircraft Ltd for the Royal Air Force (RAF) in the 1930s-1940s?
Step 2: What aircraft did Roald Dahl fly as a squadron pilot in the Royal Air Force during World War II?",Step 2 depends on Step 1.,Step 1: What British single-seat fighter aircraft was predominantly built by Hawker Aircraft Ltd for the Royal Air Force (RAF) in the 1930s-1940s? ANSWER: Hawker Hurricane. Step 2: What aircraft did Roald Dahl fly as a squadron pilot in the Royal Air Force during World War II?,What aircraft did Roald Dahl fly as a squadron pilot in the Royal Air Force during World War II?,"[""Heritage - Hawker Hurricane | BAE Systems | The Hawker Hurricane was a British single-seater monoplane fighter aircraft designed by Chief Designer Sydney Camm at Hawker Aircraft in the early 1930's. It saw exemplary service in World War II and accounted for over 60% of the air victories in the Battle of Britain., Hawker Hurricane"", 'Hawker Hurricane | The Hawker Hurricane is a British single-seat fighter aircraft of the 1930s–40s which was designed and predominantly built by Hawker Aircraft Ltd. for ...', ""Gloster Gladiators | Gloster Gladiators, Following six months' training on Hawker Harts, Dahl was commissioned as a pilot officer on 24 August 1940, and was judged ready to join a squadron and face the enemy. He was assigned to No. 80 Squadron RAF, flying obsolete Gloster Gladiators, the last biplane fighter aircraft used by the RAF., obsolete Gloster Gladiators"", ""Roald Dahl: His RAF career | Roald Dahl served in the RAF during World War Two as a pilot, which inspired his story about the troublesome 'Gremlins'."", 'Going Solo | Going Solo is a book by Roald Dahl, first published by Jonathan Cape in London in 1986. It is a continuation of his autobiography describing his childhood, ...', 'The Hawker Hurricane is a British single-seat fighter aircraft of ... | The Hawker Hurricane is a British single-seat fighter aircraft of the 1930s–40s that was designed and predominantly built by Hawker Aircraft Ltd. for...', 'What plane did Roald Dahl fly? | After training and being commissioned in 1940, Dahl was posted to Egypt. There, as a pilot, his squadron was assigned the obsolete Gloster Gladiators biplanes.']",The Hawker Hurricane was a British single-seater monoplane fighter aircraft designed by Chief Designer Sydney Camm at Hawker Aircraft in the early 1930's [1].  Roald Dahl served in the RAF during World War Two as a pilot [4]. Dahl's squadron was assigned the obsolete Gloster Gladiators biplanes [7]. The Hawker Hurricane is a British single-seat fighter aircraft of the 1930s–40s designed and predominantly built by Hawker Aircraft Ltd [6].,Hawker Hurricane,['Hawker Hurricane']
"The Little Western Wall, also known as HaKotel HaKatan (or just Kotel Katan) and the Small Kotel, is a Jewish religious site located in the Muslim Quarter of the Old City of Jerusalem, it is the continuation of the larger part of the Western Wall and almost exactly faces the Holy of Holies, a term in the Hebrew Bible which refers to the inner sanctuary of the Tabernacle, where who dwelt?","['Little Western Wall | The Little Western Wall, also known as HaKotel HaKatan (or just Kotel Katan), the Small Kotel (Hebrew: הכותל הקטן) and the Kleiner Koisel is a Jewish ...', 'Little Western Wall | ... Small Kotel, (Hebrew: הכותל הקטן\u200e), is a Jewish religious site located in the Muslim Quarter of the Old City of Jerusalem near the Iron Gate to the Temple Mount', ""Little Western Wall | Bein Harim Tours | The Little Western Wall (or HaKotel HaKatan, or the Small Western Wall) is the continuation of the larger, and better-known Western Wall in Jerusalem's Old ...""]","Step 1: Who dwelt in the Holy of Holies in the Hebrew Bible?
Step 2: What is the Holy of Holies in the Hebrew Bible?
Step 3: What is the larger part of the Western Wall in Jerusalem?
Step 4: What is the location of the Little Western Wall in the Old City of Jerusalem?",Step 2 depends on Step 1.,Step 1: Who dwelt in the Holy of Holies in the Hebrew Bible? ANSWER: High Priest. Step 2: What is the Holy of Holies in the Hebrew Bible?,Who is allowed to enter the Holy of Holies in the Hebrew Bible?,"[""Inside the Blessed Holy of Holies and the Sacred Veil | You and all Jews believe that God's actual holy presence dwells in the Holy of Holies. Only a mere veil separates you from the Lord Himself. If anyone other than the High Priest enters the Holy of Holies, he would instantly die, which is based on Leviticus 16:2., the High Priest"", 'Holy of Holies | According to the Hebrew Bible, the Holy of Holies contained the Ark of the Covenant with representation of Cherubim. Upon completion of the dedication of the ...', 'Holy of Holies - Wikipedia | According to the Bible, the Holy of Holies was covered by a veil, and no one was allowed to enter except the High Priest, and even he would only enter once a year on Yom Kippur, to offer the blood of sacrifice and incense., the High Priest', 'What was the Holy of Holies? | Once a year, on Yom Kippur, the Day of Atonement, the high priest was permitted to enter the small, windowless enclosure to burn incense and ...', 'Western Wall | The classic portion now faces a large plaza in the Jewish Quarter, near the southwestern corner of the Temple Mount, while the rest of the wall is concealed ...', 'Little Western Wall | ... Kotel/Wall""), is a Jewish religious site located in the Muslim Quarter of the Old City of Jerusalem near the Iron Gate to the Temple Mount. The wall ...', 'Little Western Wall | The Little Western Wall, also known as HaKotel HaKatan (or just Kotel Katan), the Small Kotel (Hebrew: הכותל הקטן) and the Kleiner Koisel is a Jewish ...']","The Holy of Holies is the inner sanctuary of the Tabernacle, where the Ark of the Covenant with representation of Cherubim was located [1][2][3][4]. According to the Bible, only the High Priest was allowed to enter, and only once a year on Yom Kippur. This is where God's actual holy presence was believed to dwell.",God,['God']
"John Silas ""Jack"" Reed, was an American journalist, poet, and socialist activist, best remembered for his first-hand account of the Bolshevik Revolution, ""Ten Days That Shook the World"", and he was married to writer, feminist, political activist, and journalist  Louise Bryant, she was of which nationality?","['John Reed (journalist) | John ""Jack"" Silas Reed (October 22, 1887 – October 17, 1920) was an American journalist, poet, and communist activist. Reed first gained prominence as a war ...', 'Ten Days That Shook the World | John Silas ""Jack"" Reed (October 22, 1887 – October 17, 1920) was an American ... “Ten Days that Shook the World” was the title John Reed gave his remarkable ...', ""John Reed | Penny's poetry pages Wiki | Fandom | ... hand account of the Bolshevik Revolution, Ten Days that Shook the World. He ... Jack was an enthusiastic supporter of the new revolutionary socialist government ...""]","Step 1: What was the nationality of Louise Bryant, the wife of John Reed?
Step 2: What was the nationality of Louise Bryant, the journalist and writer?
Step 3: What was the nationality of Louise Bryant, the feminist and political activist?
Step 4: What was the nationality of Louise Bryant, the wife of John Reed, the American journalist and socialist activist?
Step 5: What was the nationality of Louise Bryant, the wife of John Reed, who wrote ""Ten Days That Shook the World""?",Step 4 depends on Step 1. Step 5 depends on Step 4.,"Step 1: What was the nationality of Louise Bryant, the wife of John Reed? ANSWER: American. Step 4: What was the nationality of Louise Bryant, the wife of John Reed, the American journalist and socialist activist?","What was the nationality of Louise Bryant, the wife of John Reed, the American journalist and socialist activist?","['American | American, Louise Bryant was an American journalist and writer best known for her marriage to writer, reporter and activist John Reed. She was born in San Francisco in 1885. Her father, Hugh Mohan was a railroad man who died while she was quite young., American', 'Louise Bryant | Louise Bryant (December 5, 1885 – January 6, 1936) was an American feminist, political activist, and journalist best known for her sympathetic coverage of ...', 'Louise Bryant/Nationality | American, The papers document the life and work of Louise Bryant, American foreign correspondent and writer who knew many leading artistic and political figures in the United States, Europe, and Asia from the First World War and the decade that followed., American', 'Louise Bryant | Louise Bryant (December 5, 1885 – January 6, 1936) was an American feminist, political activist, and journalist best known for her sympathetic coverage of ...', 'American | American, Louise Bryant (December 5, 1885 – January 6, 1936) was an American feminist, political activist, and journalist best known for her sympathetic coverage of Russia and the Bolsheviks during the Russian Revolution of November 1917. San Francisco, California, U.S., American', 'Louise Bryant (1885-1936) | Born on December 5, 1885, she arrived in the state in 1907 to study at the University of Oregon and left abruptly on the last day of 1915 soon ...', 'American | American, Louise Bryant (December 5, 1885 – January 6, 1936) was an American feminist, political activist, and journalist best known for her sympathetic coverage of Russia and the Bolsheviks during the Russian Revolution of November 1917., American']","Louise Bryant was an American feminist, political activist, and journalist best known for her coverage of Russia and the Bolsheviks during the Russian Revolution [1][2][3][4][5][6][7]. She was born in San Francisco, California, indicating her nationality as American.",American,['American']
