Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
"Michael Jackson was not accused of child sexual abuse in 1993. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['ReAct/FEVER.ipynb at master · ysymyth/ReAct | ... No more results. Thought 4: I cannot find anything that supports or refutes this claim, so there is not enough information. Action 4: Finish[NOT ENOUGH INFO] ...', 'Conference on Empirical Methods in Natural Language ... | ... supports”, “refutes” or “not enough info” with respect to the pages ... sexual harassment and sexual abuse have been shared online. In order to push forward ...', 'FEVER 2023 The Sixth Fact Extraction and VERification ... | (SUPPORTS, REFUTES, NOT ENOUGH INFORMA-. TION) for a given claim ... (e.g. Michael Jackson-The King of Pop). Having identified the above ...']","Step 1: What are the accusations against Michael Jackson in 1993?
Step 2: Was Michael Jackson accused of child sexual abuse in 1993?
Step 3: Did Michael Jackson face any legal action related to child sexual abuse in 1993?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What are the accusations against Michael Jackson in 1993? ANSWER: SUPPORTS. Step 2: Was Michael Jackson accused of child sexual abuse in 1993?,Was Michael Jackson accused of child sexual abuse in 1993?,"['Child sexual abuse accusations against Michael Jackson | Michael Jackson, an American pop star, faced allegations of child sexual abuse in 1993 and 2003, with additional claims emerging posthumously., child sexual abuse', 'The Allegations Against Michael Jackson: A Timeline | Jackson is eventually indicted on 10 criminal counts, including child molestation, abduction, false imprisonment and extortion. February 28, ...', 'Child sexual abuse accusations against Michael Jackson | Michael Jackson, an American pop star, faced allegations of child sexual abuse in 1993 and 2003, with additional claims emerging posthumously.', ""Trial of Michael Jackson - Wikipedia | Jackson had previously been accused of child sexual abuse in 1993; he denied the allegations and settled the accuser's civil lawsuit. In 2003, the documentary Living with Michael Jackson showed Jackson holding hands with Arvizo and defending his practice of giving his bed to children, triggering an investigation., he denied the allegations and settled the accuser's civil lawsuit"", 'Child sexual abuse accusations against Michael Jackson | ... law that prohibited sexual assault victims from being compelled to testify in criminal proceedings. ... ""Michael Jackson Child Sexual Abuse Allegations: A ...', 'ReAct/FEVER.ipynb at master · ysymyth/ReAct | ... No more results. Thought 4: I cannot find anything that supports or refutes this claim, so there is not enough information. Action 4: Finish[NOT ENOUGH INFO] ...', 'Michael Jackson Child Sexual Abuse Allegations: A Timeline | The lawsuit accused Jackson of sexual battery, battery, seduction, willful misconduct, intentional infliction of emotional distress, fraud and ...']","Michael Jackson faced allegations of child sexual abuse in 1993 and 2003, with additional claims emerging posthumously [1]. Jackson was eventually indicted on 10 criminal counts, including child molestation, abduction, false imprisonment, and extortion [2]. Jackson had previously been accused of child sexual abuse in 1993; he denied the allegations and settled the accuser's civil lawsuit [4]. Based on these sources, it is clear that Michael Jackson was accused of child sexual abuse in 1993.",REFUTES,['REFUTES']
"German is a Western Romance Language. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'Tal Schuster | TEST SET) with one label among SUPPORTS, REFUTES or NOT ENOUGH INFO, flagging non-grammatical cases. They agreed with the dataset labels in 94% of cases ...', 'Finding and Fixing Undesirable Behaviors in Pretrained ... | We map FEVER class labels (supports, refutes, or not enough info) to single output tokens and ... In this example from DREAM, a learned agent supports the correct ...']","Step 1: Is German a Western Romance Language?
Step 2: What are the characteristics of Western Romance Languages?
Step 3: What are the characteristics of the German language?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Is German a Western Romance Language? ANSWER: REFUTES. Step 2: What are the characteristics of Western Romance Languages?,What are the characteristics of Western Romance Languages?,"['Is German a romance language? If so, why? - Quora | Romance languages are a group of languages that evolved from Latin, the language of the Roman Empire. These languages include Spanish, French, Italian, Portuguese, and Romanian. German, on the other hand, belongs to the Germanic branch of the Indo-European language family., German, on the other hand, belongs to the Germanic branch of the Indo-European language family', 'Romance languages | The Romance language most widely spoken natively today is Spanish, followed by Portuguese, French, Italian and Romanian, which together cover a vast territory ...', 'What are some universal characteristics of the Romance ... | The Romance languages, which evolved from Latin, share several universal characteristics. These include a large number of cognates, similar grammatical structures, and the use of gendered nouns. Additionally, they often have a similar word order, with subject-verb-object being the most common.', 'Western Romance languages | The West Iberian languages: The Castilian languages: includes Spanish and Judaeo-Spanish. · The Pyrenean–Mozarabic languages: includes Aragonese, and the extinct ...', 'Facts and figures about the German language - deutschland.de | German is known for its long and complicated words. It is theoretically possible to form words of endless length. Word elements can be combined grammatically correctly to form so-called composites, i.e. a single word that is made up of numerous smaller ones., long and complicated words', 'German language | Origin, History, Characteristics, & Facts | Modern standard High German is descended from the Middle High German dialects and is spoken in the central and southern highlands of Germany, Austria, and ...', ""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ...""]","German is not a Romance language, as it is part of the Germanic branch of the Indo-European language family, not the Romance language family, as stated in [1]. Additionally, German is known for its long and complicated words, which is a characteristic of the German language, as stated in [5]. Therefore, it can be concluded that German is not a Western Romance Language.",REFUTES,['REFUTES']
"Judith Quiney was the son of William Shakespeare. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Judith Quiney | Judith Quiney (baptised 2 February 1585 – 9 February 1662), née Shakespeare, was the younger daughter of William Shakespeare and Anne Hathaway and the ...', 'Judith Shakespeare | She was named after Judith Sadler, a friend of the Shakespeare family. At age 31, Judith married Thomas Quiney, the 26 year old son of a prominent local family.', ""Judith Quiney, William's Daughter | She has two more sons, Richard and Thomas. The two lived until 1639 when they died within a week of one another. They were twenty-one and nineteen at the time.""]","Step 1: Who was Judith Quiney's father?
Step 2: Who was William Shakespeare's daughter?
Step 3: Who were Judith Quiney's sons?
Step 4: What is the relationship between Judith Quiney and William Shakespeare?",None,,,"['Judith Quiney/Father | William Shakespeare, Judith Quiney (baptised 2 February 1585 – 9 February 1662), née Shakespeare, was the younger daughter of William Shakespeare and Anne Hathaway and the fraternal twin of their only son Hamnet Shakespeare. She married Thomas Quiney, a vintner of Stratford-upon-Avon., William Shakespeare', 'Judith Shakespeare | In 1616, shortly after her father passed away, Judith gave birth to a son named Shakespeare. Her other two sons, Thomas and Richard, followed a couple of years ...', ""Shakespeare's Children | William Shakespeare and his wife Anne had three children. The eldest, Susanna, was baptised on 26 May 1583. They also had twins, Judith and Hamnet, ..."", ""Judith Quiney | Judith and Thomas Quiney had three children. By the time of Judith Quiney's death, she had outlived her children by many years. She has been depicted in ..."", 'Judith Quiney - Wikipedia | Judith Quiney (baptised 2 February 1585 – 9 February 1662), née Shakespeare, was the younger daughter of William Shakespeare and Anne Hathaway and the fraternal twin of their only son Hamnet Shakespeare. She married Thomas Quiney, a vintner of Stratford-upon-Avon., younger daughter', 'Judith Shakespeare | At age 31, Judith married Thomas Quiney, the 26 year old son of a prominent local family. The pair were married in Lent of 1616. Scandal ensued when Thomas ...', 'Judith Quiney | Judith Quiney (baptised 2 February 1585 – 9 February 1662), née Shakespeare, was the younger daughter of William Shakespeare and Anne Hathaway and the ...']",Judith Quiney was the daughter of William Shakespeare. [1][3][5][7].,REFUTES,['REFUTES']
"Independence Day: Resurgence had at least one writer. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Unsupervised Question Answering for Fact-Checking | The claims are labeled as “SUPPORTS”,. “REFUTES”, or “NOT ENOUGH INFO”, based on the evidence set. In this paper, we propose an unsupervised question ...', 'arXiv:1910.07154v1 [cs.CL] 16 Oct 2019 | The claims are labeled as “SUPPORTS”,. “REFUTES”, or “NOT ENOUGH INFO”, based on the evidence set. In this paper, we propose an unsupervised.', 'Unsupervised Question Answering for Fact-Checking | The claims are labeled as “SUPPORTS”, “REFUTES”, or “NOT ENOUGH INFO”, based on the evidence set. In this paper, we propose an unsupervised question ...']","Step 1: Who wrote Independence Day: Resurgence?
Step 2: What is the name of the writer of Independence Day: Resurgence?
Step 3: Did Independence Day: Resurgence have at least one writer?
Step 4: Did the writer of Independence Day: Resurgence contribute to the screenplay?
Step 5: Is there any evidence to support the claim that Independence Day: Resurgence had at least one writer?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 4 depends on Step 2. Step 5 depends on Step 3. Step 5 depends on Step 4.,Step 1: Who wrote Independence Day: Resurgence? ANSWER: James A. Woods and Nicolas Wright. Step 2: What is the name of the writer of Independence Day: Resurgence?,What is the name of the writer of Independence Day: Resurgence?,"['Independence Day: Resurgence | Independence Day: Resurgence · Nicolas Wright · James A. Woods · Dean Devlin · Roland Emmerich · James Vanderbilt.', 'Independence Day: Resurgence | Independence Day: Resurgence is a 2016 American science fiction disaster film co-written and directed by Roland Emmerich, serving as a sequel to the 1996 ...', 'Independence Day: Resurgence - Wikipedia | Writing duo James A. Woods and Nicolas Wright, who were working with Emmerich on a remake of Stargate (1997) at the same time, wrote the final draft of the script that resulted in the film getting officially greenlit. The full title, Independence Day: Resurgence, was revealed on June 22, 2015., James A. Woods and Nicolas Wright', 'Independence Day: Resurgence – everything you need to know | Then newbie feature screenwriter Carter Blanchard gave it a pass, before young screenwriting team James A. Woods and Nicolas Wright were drafted ...', 'Independence Day: Resurgence - Wikipedia | Independence Day: Resurgence is a 2016 American science fiction disaster film co-written and directed by Roland Emmerich, serving as a sequel to the 1996 film Independence Day., co-written and directed by Roland Emmerich', ""Roland Emmerich Regrets Making 'Independence Day | According to the Yahoo! interview, Emmerich regrets ever having made the 2016 Fox sequel “Independence Day: Resurgence,” the follow-up to the ..."", 'Independence Day: Resurgence | Preceded by. Independence Day: Resurgence is a 2016 American science fiction action film directed by Roland Emmerich, written by Emmerich, Dean Devlin, Nicolas Wright, James A. Woods, and James Vanderbilt., Emmerich, Dean Devlin, Nicolas Wright, James A., Woods, and James Vanderbilt']",The sources all mention multiple writers for Independence Day: Resurgence. [1][2][3][4][5][7].,SUPPORTS,['SUPPORTS']
"Samantha Robson was born on Mars. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['When She Was Bad: A Thriller|Jonathan Nasaw | Not Enough: The Journey to Improve Overall Health and Kidney Function with Proper Diet Changes, Stem Celltreatments, Acupuncture,|Nancy Denton? The Fairest ...', 'ED 264 582 AUTHOR INSTITUTION REPORT NO ... - ERIC | National Council of Teachers of English, 1111 Kenyon. Rd., Urbana, IL. 61801 (Stock No. 03634, $6.25 member, $8.00 nonmember; prepaid order, only).', 'A PEDAGOGY OF PLAY - Project Zero | A Pedagogy of Play explores how this power can be unleashed in schools and classrooms and introduces the science on the relationship between play and learning.']","Step 1: Where was Samantha Robson born?
Step 2: What is the current understanding of human birth on Mars?
Step 3: Is there any record of Samantha Robson being the first human born on Mars?
Step 4: Is there any scientific evidence to support the possibility of human birth on Mars?
Step 5: Is there any credible source that mentions Samantha Robson's birth on Mars?",Step 3 depends on Step 1. Step 3 depends on Step 2. Step 5 depends on Step 3. Step 5 depends on Step 4.,Step 1: Where was Samantha Robson born? ANSWER: SUPPORTS. Step 2: What is the current understanding of human birth on Mars? ANSWER: NOT ENOUGH INFO. Step 3: Is there any record of Samantha Robson being the first human born on Mars?,Is there any record of Samantha Robson being the first human born on Mars?,"['Samantha Robson/Place of birth | London, United Kingdom, Samantha Jane Robson (born 22 March 1966 in Wandsworth, London) is an English actress best known for playing WPC Vicky Hagen in The Bill from 1998 to 2001., Wandsworth, London', 'Samantha Robson | Official site. Official Site ; Alternative name. Samantha Jane Robson ; Height. 5′ 7″ (1.70 m) ; Born. March 22, 1966 · Wandsworth, London, England, UK.', 'Can You Have a Baby on Mars? - Science | HowStuffWorks | Space Is No Place for Babies Scientists express concern that low gravity also could increase the risk of ectopic pregnancy. Sadly, space radiation poses fewer unknowns regarding human conception and development (thus the ""Are you or could you possibly be pregnant"" before a woman gets an X-ray)., Space Is No Place for Babies', 'What would a human born on Mars look like? | A human born on Mars would like an Earth human for the most part. They would probably have less bone mass and muscles, since Mars has less ...', 'Riki Lindhome | Erika ""Riki"" Lindhome (born March 5, 1979) is an American actress, comedian and musician. She is best known as a singer and songwriter for the comedy folk ...', ""Can humans have babies on Mars? It may be harder than ... | Except, no one really knows if humans can successfully reproduce in space, whether that's during spaceflight or on another planet. To be clear, ..."", 'Events | Events, scientific meetings and exhibitions held by the Royal Society.']","Samantha Robson's birthplace is documented as Wandsworth, London, England, in multiple sources [1][2]. There is no mention of her being born on Mars, so we can conclude that the claim is REFUTED.",REFUTES,['REFUTES']
"Wentworth was aired in several countries and renamed. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'Dzeniks/test · Datasets at Hugging Face | ""This claim is NOT ENOUGH INFO to determine if it supports, refutes or needs more information. It is unclear if there are any eligibility or selection ...', 'Caleb Ball | The CEC supports the adoption of the South Australian ... compelling work which in some way refutes the previous studies, and without providing a.']","Step 1: Where was the TV show Wentworth aired?
Step 2: What are the different names of the TV show Wentworth in different countries?
Step 3: Does the information about the airing of Wentworth in different countries support the claim that it was aired in several countries and renamed?
Step 4: Based on the information about the different names of Wentworth in different countries, does it support the claim that it was renamed?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 2.,Step 1: Where was the TV show Wentworth aired? ANSWER: SUPPORTS. Step 2: What are the different names of the TV show Wentworth in different countries?,What are the different names of the TV show Wentworth in different countries?,"[""SoHo | SoHo, Wentworth is a groundbreaking Australian TV drama series, originally airing on SoHo and concluding on Fox Showcase in 2021. Set in the present day, the series follows Bea Smith (Danielle Cormack) as she navigates the trials of life within a women's prison., Australian"", 'Wentworth (TV series) | Wentworth is an Australian television drama series. It was first broadcast on SoHo on 1 May 2013, and it concluded on Fox Showcase with its 100th episode on ...', 'Wentworth (TV series) | The series was picked up by several countries, including New Zealand and the UK, where it is titled Wentworth Prison. Wentworth was commissioned for an ...', 'Wentworth (TV series) | The series was picked up by several countries, including New Zealand and the UK, where it is titled Wentworth Prison. Wentworth was commissioned for an ...', 'A Brief History of New Hampshire | New Hampshire Almanac | Did you know New Hampshire was first named North Virginia, and it was once under the jurisdiction of Massachusetts?', ""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'List of Wentworth episodes | Wentworth is an Australian television drama series. It was first broadcast on SoHo on 1 May 2013. The series serves as a contemporary reimagining of ...']","The series was picked up by several countries, including New Zealand and the UK, where it is titled Wentworth Prison [3][4]. This supports the statement that Wentworth was aired in several countries and renamed.",SUPPORTS,['SUPPORTS']
"Lisa Bonet was born on November 16th, 1967. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""Lisa Bonet: Biography, Actor, 'The Cosby Show' | QUICK FACTS · Birth date: November 16, 1967 · Birth State: California · Birth City: San Francsico · Astrological Sign: Scorpio."", 'Bonet, Lisa | Bonet was born Lisa Michelle Boney on November 16, 1967, in San Francisco, California. She is biracial, the daughter of a white mother, a schoolteacher ...', 'HAPPY BIRTHDAY LISA BONET! Today,... - Kay James ... | Today, November 16th, we acknowledge the 54th birthday of Lilakoi Moon (November 16, 1967), known professionally as Lisa Bonet; an African- ...']","Step 1: What is Lisa Bonet's birth date?
Step 2: Where was Lisa Bonet born?
Step 3: When was Lisa Bonet born?
Step 4: What is Lisa Bonet's astrological sign?",Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: What is Lisa Bonet's birth date? ANSWER: November 16, 1967. Step 2: Where was Lisa Bonet born?",Where was Lisa Bonet born?,"['Lisa Bonet/Date of birth | November 16, 1967, Lisa Michelle Bonet was born on November 16, 1967, in San Francisco, California, to Arlene Joyce Litman, a schoolteacher of Jewish descent, and Allen Bonet, an opera singer of African-American heritage from Texas., November 16, 1967', 'Lisa Bonet Birthday | Bonet was born Lisa Michelle Bonet on November 16, 1967, in San Francisco, California. Her zodiac sign is Scorpio, and she is of Jewish, African-American, and ...', 'Lisa Bonet/Place of birth | San Francisco, CA, Lisa Michelle Bonet was born on November 16, 1967, in San Francisco, California, to Arlene Joyce Litman, a schoolteacher of Jewish descent, and Allen Bonet, an opera singer of African-American heritage from Texas., San Francisco, California', 'Lisa Bonet - Simple English Wikipedia, the free encyclopedia | She was also married to singer Lenny Kravitz from 1987 to 1993. She is of African American and Ashkenazi Jewish descent. Lisa Bonet. Born. Lisa Michelle Bonet.', 'Lisa Bonet/Date of birth | November 16, 1967, Early life. Lisa Michelle Bonet was born on November 16, 1967, in San Francisco, California, to Arlene Joyce Litman, a schoolteacher of Jewish descent, and Allen Bonet, an opera singer of African-American heritage from Texas., November 16, 1967', 'Lisa Bonet - Biography | Born. November 16, 1967 · San Francisco, California, USA ; Birth name. Lisa Michelle Bonet ; Height. 5′ 2″ (1.57 m) ; Spouses. Jason Momoa(October 9, 2017 - ...', 'Lisa Bonet/Date of birth/Zodiac Sign | Scorpio, Bonet, born Nov. 16, 1967, in San Francisco, is a Scorpio sun with a Taurus moon. Momoa claims to have fallen for Bonet at first sight, seeing her on his TV screen as a kiddo and hatching a prepubescent plot to marry her., Scorpio sun with a Taurus moon']","The sources clearly state that Lisa Bonet was born on November 16th, 1967 in San Francisco, California. [1][2][3][5][6][7].",SUPPORTS,['SUPPORTS']
"Tequila is a liquor made from the blue agave plant. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Tequila must be made from a specific type of agave plant | Tequila is the only alcohol made from a plant that must be killed in the process. Weber azul agave plants are harvested for their cores.', 'What Do You Actually Know About Tequila? | Blue agave is the desert succulent plant that produces this golden (or silver) liquid. Tequila is made by distilling the fermented juices from ...', ""12 Things You Didn't Know About Tequila | Tequila is made from blue agave, but it does not have to be 100% agave. Many tequilas will advertise themselves as '100% Blue Agave,' but the ...""]","Step 1: What plant is tequila made from?
Step 2: Does tequila have to be made from 100% blue agave?
Step 3: Can tequila be made from other types of agave plants?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What plant is tequila made from? ANSWER: Weber blue agave plant. Step 2: Does tequila have to be made from 100% blue agave?,Does tequila have to be made from 100% blue agave?,"['Weber blue agave plant | Weber blue agave plant, Tequila is a distilled spirit made from the Weber blue agave plant that grows in Mexico. The blue agave plant has huge spikes that come up from a central core that is called the pina. After the leaves are removed, the pina is the part of the plant that is used to make tequila., Weber blue agave plant', 'Blue agave | Agave tequilana, commonly called blue agave (agave azul) or tequila agave, is an agave plant that is an important economic product of Jalisco, Mexico, ...', ""12 Things You Didn't Know About Tequila - VinePair | Tequila is legally required to be only 51% blue agave. Many tequilas will advertise themselves as '100% Blue Agave,' but the legal requirement is 51%. Distillers are allowed to fill out the rest with a neutral spirit made from cane sugar juice, creating what is known as a “mixto” tequila., Tequila is legally required to be only 51% blue agave"", 'The Rule to Live By: Always Drink 100% Blue Agave Tequila | Tequila Mixtos on the other hand, are only required to be made from 51% Blue Agave sugars, and the other 49% can be made from any other kind of ...', ""12 Things You Didn't Know About Tequila - VinePair | Tequila is legally required to be only 51% blue agave. Many tequilas will advertise themselves as '100% Blue Agave,' but the legal requirement is 51%. Distillers are allowed to fill out the rest with a neutral spirit made from cane sugar juice, creating what is known as a “mixto” tequila., Tequila is legally required to be only 51% blue agave"", 'The Rule to Live By: Always Drink 100% Blue Agave Tequila | Tequila Mixtos on the other hand, are only required to be made from 51% Blue Agave sugars, and the other 49% can be made from any other kind of ...', 'Tequila must be made from a specific type of agave plant | Tequila is the only alcohol made from a plant that must be killed in the process. Weber azul agave plants are harvested for their cores.']","Both sources mention that tequila is made from the blue agave plant [1][2]. These sources mention that tequila is legally required to be only 51% blue agave, so it can be a mix of other ingredients [3][4][5][6]. Confirms that tequila is made from the blue agave plant [7].",SUPPORTS,['SUPPORTS']
"The Mughal Empire was not an Islamic empire. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['READ: Mughal Empire (article) | The Mughals were a Muslim dynasty who ruled over a majority Hindu population. By 1750, they had dominated much of South Asia for several centuries. Muslims were ...', 'crashcourse The Mughal Empire and Historical Reputation | Origins of the Mughals\u200b\u200b So the Mughals were Muslims who created an empire in India that held power for roughly 200 years between the early 16th ...', 'Chapter 27: Short Answers - The Islamic Empires Flashcards | The Mughal empire experienced more internal problems due to vast number of religious minorities in there kingdom. Some rulers did not tolerate these religious ... Rating: 4.8, \u200e8 reviews']","Step 1: What was the religious affiliation of the rulers of the Mughal Empire?
Step 2: Did the Mughal Empire rule over a majority Hindu population?
Step 3: Did the Mughal Empire experience internal problems due to religious minorities in their kingdom?
Step 4: Did the Mughal Empire hold power for roughly 200 years?
Step 5: Based on the information gathered from steps 1-4, does the evidence support the claim that the Mughal Empire was not an Islamic empire?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What was the religious affiliation of the rulers of the Mughal Empire? ANSWER: Islam. Step 2: Did the Mughal Empire rule over a majority Hindu population?,Was the Mughal Empire's rule over a majority Hindu population?,"['Mughal Empire - Kids | Britannica Kids | Homework Help | The Mughal rulers practiced the religion of Islam. Most of the people they ruled practiced Hinduism. Even so, the Mughals were able to rule successfully. They worked to bring Muslims and Hindus together into a united India., Islam', 'Mughal Empire | State religion: Sunni Islam (Hanafi); Din-i Ilahi (1582–1605). Government, Unitary absolute ...', 'READ: The Mughal Empire (article) - Khan Academy | The Mughals were a Muslim dynasty who ruled over a majority Hindu population. By 1750, they had dominated much of South Asia for several centuries. Muslims were already living in India when the Mughals first arrived. During Mughal rule, Muslims averaged only about 15 percent of the population., The Mughals were a Muslim dynasty who ruled over a majority Hindu population', 'READ: Mughal Empire (article) | The Mughals were a Muslim dynasty who ruled over a majority Hindu population. By 1750, they had dominated much of South Asia for several centuries. Muslims ...', 'Chapter 27: Short Answers - The Islamic Empires - Quizlet | The Mughal empire experienced more internal problems due to vast number of religious minorities in there kingdom. Some rulers did not tolerate these religious minorities which led to many rebellions, and social unrest., The Mughal empire experienced more internal problems due to vast number of religious minorities in there kingdom', 'READ: Mughal Empire (article) | The vast Mughal state had benefitted, both financially and culturally, from generations of leaders who were practical and tolerant with their diverse subjects.', ""The Mughal Empire and Historical Reputation: Crash Course ... | So the Mughals were Muslims who created an empire in India that held power for roughly 200 years between the early 16th and early 18th centuries, although technically, the Mughal empire didn't come to an end until after the Indian rebellion against the British in 1857., held power for roughly 200 years between the early 16th and early 18th centuries""]","The Mughal Empire was an Islamic empire, ruling over a majority Hindu population. This is supported by multiple sources [1][2][3][4][7].",REFUTES,['REFUTES']
"We Found Love's music video was directed by an Mexican director of music videos. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'Conference on Empirical Methods in Natural Language ... | ... supports”, “refutes” or “not enough info” with respect to the pages retrieved and detect sentences as evidence at the same time. We conduct experiments on ...', 'See raw diff | ... SUPPORTS"", ""claim"": ""12 million copies of Bad Romance were bought around the world ... REFUTES"", ""claim"": ""Aarhus is in the geographical center of Germany ...']","Step 1: Who directed the music video for We Found Love?
Step 2: Is the director of the music video for We Found Love Mexican?
Step 3: Is there any evidence supporting the claim that the director of the music video for We Found Love is Mexican?
Step 4: Is there any evidence refuting the claim that the director of the music video for We Found Love is Mexican?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 2.,Step 1: Who directed the music video for We Found Love? ANSWER: Melina Matsoukas. Step 2: Is the director of the music video for We Found Love Mexican?,Who directed the music video for We Found Love and is the director Mexican?,"['Melina Matsoukas | Melina Matsoukas, The music video for Barbadian singer Rihanna\'s 2011 single ""We Found Love"" was directed by Melina Matsoukas. It was filmed on September 26–28, 2011, in the New Lodge area of Belfast and Bangor, County Down, Northern Ireland., Melina Matsoukas', 'We Found Love | The song features (and was written and produced by) Scottish DJ Calvin Harris, whose 2012 album 18 Months also includes the track. ""We Found Love"" premiered on ...', 'We Found Love (music video) - Wikipedia | The music video for Barbadian singer Rihanna\'s 2011 single ""We Found Love"" was directed by Melina Matsoukas., Melina Matsoukas', ""We Found Love | The song's accompanying music video, directed by Melina Matsoukas, depicts the singer as a drug-abusing thrill-seeker in a relationship that quickly spirals ..."", 'Analysis of professional music video: Rihanna – We Found ... | The video is very clearly illustrating and amplifying the lyrics. Couple in love but very young, unstable, out of control and confused. The ...', 'We Found Love (music video) | The music video for Barbadian singer Rihanna\'s 2011 single ""We Found Love"" was directed by Melina Matsoukas. It was filmed on September 26–28, 2011, ...', ""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ...""]","The music video for Rihanna's ""We Found Love"" was directed by Melina Matsoukas, not a Mexican director [1][3][4]. Therefore, the claim is refuted.",REFUTES,['REFUTES']
