Question,GT Answer,hotpotqa-short_react_gpt-3.5-turbo-1106_google,hotpotqa-short_react_text-davinci-002_google
"Which has more species, Clianthus or Callicoma?",['Clianthus'],Clianthus,Clianthus
Which  Australian singer-songwriter wrote  Cold Hard Bitch,"['Nicholas John ""Nic"" Cester']",Jet,Jet
What empire was Aleksei Gen born into?,['Russian Empire'],Russian Empire,Russian Empire
Which partner of Jash was born in 1970?,['Sarah Kate Silverman'],,
What 1876 battle featured the Other Magpie?,['Battle of the Rosebud'],The Battle of the Little Bighorn,The Battle of Cedar Creek (1876)
Willi Forst and Brian Robbins are both what?,"['actor, screenwriter, film director, film producer']",film and television producers and directors,film and television producers and directors
Where are Abbey Clancy and Peter Crouch from?,['England'],no,no
Are both Trace Cyrus and Jizzy Pearl vocalists?,['yes'],yes,yes
Are  Chrysalis and Look both women's magazines?,['yes'],Look,Look
Was Kanako Momota or Mark Hollis born first?,['Mark David Hollis'],Mark Hollis,Mark Hollis
Are Tweedia and Crossandra in separate families?,['yes'],yes,yes
Zach Parise's father played in which league?,['NHL'],NHL,NHL
Are both Aloinopsis and Eriogonum ice plants?,['no'],Aloinopsis,Aloinopsis
who released the 2012 record of red?,['Big Machine Records'],Taylor Swift,Taylor Swift
Romans stars which Tamil and Telugu actress?,['Nivetha Thomas'],Nivetha Thomas,Nivetha Thomas
Which PGA championship did Mark Brooks win?,['The 1996 PGA Championship'],1996 PGA Championship,1996 PGA Championship
What county is Ron Teachworth from?,['Oakland County'],Great Lakes region,Great Lakes region
Are Daryl Hall and Gerry Marsden both musicians?,['yes'],yes,yes
Grimsby Minster is located in which English Province?,['Province of Canterbury'],"Lincolnshire, England","Lincolnshire, England"
Is Rice University or Stanford University further west?,['Stanford University'],Stanford University,Stanford University
Are George Stevens and Luc Besson American cinematographers?,['no'],no,no
what country are Mudvayne and Hellyeah both from?,['American'],America,America
Are both Viken Babikian and Don Manoukian American ?,['yes'],yes,yes
What continents are the Moneuptychia found in?,['the Americas'],"North America, Central America, the Caribbean, South America","North America, Central America, the Caribbean, South America"
Are both Götterdämmerung and Dafne considered operas?,['no'],yes,yes
What occupations do Toshi and Emily Haines share?,['singer and songwriter'],singer,singer
What is another name for basidiomycete fungus?,['Funki Porcini'],filamentous fungi composed of hyphae,fungi
Where is the first major improved highway located?,"['Wheeling, West Virginia']",coast-to-coast from Times Square in New York City west to Lincoln Park in San Francisco,coast-to-coast from Times Square in New York City west to Lincoln Park in San Francisco
When was the creator of Bully Boy born?,['3 May 1958'],"May 3, 1958","May 3, 1958"
What are The Ready Set and Cell?,['band'],cells in biology,cells in biology
Are Sutera and Rhodotypos both types of shrub?,['no'],"No, Rhodotypos is a type of shrub.","No, Rhodotypos is a type of shrub."
Cherie Currie and Steve Augeri were both what?,['American musician'],singers,singers
What is Old Orchard Shopping Center currently called?,['Westfield Old Orchard'],Westfield Old Orchard,Westfield Old Orchard
Are Andrew Stevens and Charles Burnett both American?,['yes'],yes,yes
Are Ari Up and Boz Burrell both guitarists?,['no'],no,no
Who has more victories Chelsea or Manchester United?,['Wayne Rooney'],Manchester United,Manchester United
Are Tetrastigma and Spruce both types of plants?,['yes'],yes,yes
who features in the series  which McClure hosts ,['the Simpson family'],The Simpsons,Troy McClure
In which war was the Meuse-Argonne Offensive executed?,['World War I.'],World War I,World War I
Are Steve Perry and Leslie West both singers?,['yes'],yes,yes
What portable media player was distributed through HP?,['iPod+HP'],FlashPAC,FlashPAC
Are Alek Keshishian and Kirk Kerkorian both Armenian-American?,['yes'],yes,yes
Who sparked the 972 unrest in Lithuanian SSR?,['Romas Kalanta'],,
Are Colocasia and Coronilla both flowering plants?,['yes'],yes,yes
Could you read both Bicycling and National Review,['yes'],yes,yes
What did Karan Kapoor's maternal grandfather deliver?,['Shakespeare performances'],Shakespeare performances,Shakespeare performances
Which number-one single is Michael Steele responsible for?,"['""Walk Like an Egyptian""']",I cannot find the number-one single Michael Steele is responsible for.,I cannot find the number-one single Michael Steele is responsible for.
Scout Tufankjian and Daron Malakian are both what?,['Armenian–American'],Armenian-American,Armenian-American
What country is the Selun located in?,['Switzerland'],Switzerland,Switzerland
Were Joss Whedon and Norman Mailer both Americans?,['yes'],yes,yes
Igor Naming Agency named a resort located where?,['Las Vegas Strip'],"Paradise, Nevada","Paradise, Nevada"
Which genus has more species Babiana or Ceratophyllum ?,['Babiana'],Babiana,Babiana
Are both Jim McBride and Neil Jordan American?,['no'],no,no
Are both Superdrag and Collective Soul rock bands?,['yes'],yes,yes
What are both Eleutherococcus and Amaryllis?,['genus'],subtribe Amaryllidinae (tribe Amaryllideae),subtribe Amaryllidinae (tribe Amaryllideae)
Sam Mendes and Ruby Yang share what profession?,['filmmaker.'],director,director
What American actress stars in Tainted?,['Shari Shattuck'],Gloria Jones,Gloria Jones
What is Peter Daou's website's slogan?,"['""media for the 65.8 million,""']","""media for the 65.8 million,"" referring to the number of votes Hillary Clinton received in the 2016 presidential election.","""media for the 65.8 million."""
Are Broughtonia and Laeliocattleya both orchids?,['yes'],yes,yes
Who is older Carrie Akre or Shifty Shellshock?,['Carrie Akre'],Carrie Akre,Carrie Akre
Did Big Pig or Blur have more members?,['Big Pig'],Big Pig,Big Pig
Was High Times or National Geographic published first?,['National Geographic'],National Geographic,National Geographic
Which country is the Taipa island part of?,['China'],Macau,Macau
To what sport does the Atomweight class belong?,['mixed martial arts'],boxing,boxing
Are Denzel Washington and David Hewlett both actors?,['yes'],yes,yes
