Question,GT Answer,hotpotqa-medium_react_text-davinci-002_google,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",hotpotqa-medium_vanilla_gpt-3.5-turbo-1106_google,hotpotqa-medium_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,hotpotqa-medium_multihop_gpt-3.5-turbo-1106_google,hotpotqa-medium_dsp+sample_gpt-3.5-turbo-1106_google,hotpotqa-medium_dsp+knn_gpt-3.5-turbo-1106_google
What actor had his final performance in the film based on a dytopian novel by David Eggers called The Circle?,['Bill Paxton'],Tom Hanks,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton
The southern terminus of State Route 102 is located in a town on the southwestern side of an island know to locals as what?,['the backside'],"""the quiet side""","""the backside""",Tremont,Tybee Island,the backside,Tremont,Tremont,Tremont
Which New Jersey-based manufacturer of suitcases and bags for travel is located in the Shops at Columbus Circle in New York City?,"['Tumi Holdings, Inc.']",Tumi,Tumi,Tumi,"Tumi, Inc.",Tumi,Tumi Inc.,TUMI,TUMI
"Abba Kovner  was a Jewish Hebrew and Yiddish poet, writer and cousin of the youngest and longest surviving signatory of what?",['Israeli Declaration of Independence'],Yitzhak Rabin,Declaration of Independence,Declaration of Independence of Israel,The Declaration of Independence,Israel,Charles Carroll of Carrollton,Declaration of Independence,Meir Vilner
"In which year did this division, where Cleveland Browns placed fourth in 2009, adopt its current name?",['2002'],2009,1953,2002,2002,2002,1946,2002,2002
What city and nation was the location of the 2015 Pacific Games where the Kiribati national basketball team finished with a 0-4 record?,"['Port Moresby, Papua New Guinea']","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea"
Where did Leigh Anne Tuohy’s son play college football?,['University of Mississippi'],University of Mississippi,University of Mississippi,University of Mississippi,Ole Miss,University of Mississippi,SMU,University of Mississippi,University of Mississippi
The Last Run is a drama film that stars which Lithuanian-American actor?,['Vyto Ruginis'],George C. Scott,George C. Scott,Kaz Garas,George C. Scott,George C. Scott,Kaz Garas,Kaz Garas,George C. Scott
What team did Kenny Brown manage following the departure of Dean Holdsworth?,['Chelmsford'],Tooting & Mitcham United,Chelmsford,Chelmsford,Aldershot Town,Chelmsford City,Chelmsford,Chelmsford City,Chelmsford City
Is the school where Aaron Parrett currently teaches English Literature public or private?,['private'],private,private,Private,public,private,private,private,private
