Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
What does Bushido mean?,"['Bushido | Bushidō is a moral code concerning samurai attitudes, behavior and lifestyle, formalized in the Edo period (1603–1868). There are multiple types of bushido ...', 'Bushido Definition & Meaning | The meaning of BUSHIDO is a feudal-military Japanese code of behavior valuing honor above life. Did you know?', 'Bushido | Virtues, Significance, History, & Facts | Bushidō, (Japanese: “Way of the Warrior”) the code of conduct of the samurai, or bushi (warrior), class of premodern Japan.']","Step 1: What is the definition of Bushido?
Step 2: What are the virtues of Bushido?
Step 3: What is the significance of Bushido in Japanese culture?
Step 4: What is the history of Bushido?
Step 5: What are some facts about Bushido?",Step 2 depends on Step 1. Step 4 depends on Step 2. Step 4 depends on Step 3.,Step 1: What is the definition of Bushido? ANSWER: a feudal-military Japanese code. Step 2: What are the virtues of Bushido?,What are the virtues of Bushido?,"['Bushido Definition & Meaning | The meaning of BUSHIDO is a feudal-military Japanese code of behavior valuing honor above life. Did you know?', 'Bushido | Meaning, Code & Virtues - Video & Lesson Transcript | There were seven official virtues of Bushido: righteousness, courage, benevolence, respect, honesty, honor, and loyalty. Piety, wisdom, and care for the elderly were unofficial virtues. By following the Bushido code, a samurai would maintain both honor and political power in Japanese society., righteousness, courage, benevolence, respect, honesty, honor, and loyalty', ""Bushido's Eight Virtues - The Martial Way | Here are Bushido's Eight Virtues as explicated by Nitobe Inazō: · 1. Rectitude or Justice · 2. Courage · 3. Benevolence or Mercy · 4. Politeness."", 'Bushido - web page template | The Samurai code, Bushido, guided the Japanese warriors in life, battle, and death. It was the unwritten code of principles and morals, and taught obligation and honor. Although the samurai were all but gone at the turn of the 20th century, Bushido remains as a system of pride and valor in Japanese society., a system of pride and valor', 'The History of the Bushido Code: Principles of Samurai ... | Bushido is a code of conduct that emerged in Japan from the Samurai, or Japanese warriors, who spread their ideals throughout society. They drew ...', 'Bushido - Wikipedia | The appearance of bushido is linked to that of feudal Japan and the first shogun at the time of Minamoto no Yoritomo (1147–1199) in the 12th century. The own moral dimension bushido gradually appears in the warrior culture and landmark in stories and military treaties only from the 14th and 15th century., The appearance of bushido is linked to that of feudal Japan and the first shogun at the time of Minamoto no Yoritomo (1147–1199) in the 12th century', 'Bushido | Virtues, Significance, History, & Facts | Bushidō, (Japanese: “Way of the Warrior”) the code of conduct of the samurai, or bushi (warrior), class of premodern Japan.']","Bushido is linked to feudal Japan and the warrior class, with its own moral dimension appearing in the 14th and 15th centuries [6]. Bushido is the code of conduct of the samurai class in premodern Japan [7].","""Way of the Warrior""","['the ""way of the warrior""']"
When was Lancashire established?,"['History of Lancashire | Lancashire is a county of England, in the northwest of the country. The county did not exist in 1086, for the Domesday Book, and was apparently first created ...', 'Lancashire | Lancashire was founded in the 12th century; in the Domesday Book of 1086 much of what would become the county is treated as part of Yorkshire and Cheshire.', 'History and heritage of Lancashire | Lancashire grew into an important global hub in the late 18th and early 19th centuries as it found itself at the heart of the industrial revolution. At that ...']","Step 1: What is the history of Lancashire?
Step 2: Was Lancashire part of Yorkshire and Cheshire in the Domesday Book of 1086?
Step 3: When did Lancashire become a county?
Step 4: What was the significance of Lancashire in the late 18th and early 19th centuries?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 1. Step 4 depends on Step 2.,Step 1: What is the history of Lancashire? ANSWER: Founded in the 12th century and became a palatine in 1351. Step 2: Was Lancashire part of Yorkshire and Cheshire in the Domesday Book of 1086?,Was Lancashire part of Yorkshire and Cheshire in the Domesday Book of 1086?,"['Lancashire - Wikipedia | Lancashire was founded in the 12th century; in the Domesday Book of 1086 much of what would become the county is treated as part of Yorkshire and Cheshire. Until the Early Modern period the county was a comparatively poor backwater, although in 1351 it became a palatine, with a semi-independent judicial system., founded in the 12th century', 'History of Lancashire | Once its initial boundaries were established, it bordered Cumberland, Westmorland, Yorkshire, and Cheshire. The county was divided into the six hundreds of ...', ""Lancashire Domesday Book tenants-in-chief | The Domesday Book of 1086 AD identifies King William the Conqueror's tenants-in-chief for historic Lancashire within Cestrescire (Cheshire) and Eurvicscire ..."", 'Lancashire - Wikipedia | Since the Victorian era, Lancashire has had multiple reforms of local government. In 1889, the administrative county of Lancashire was created, covering the greater part of the county.', 'History of Lancashire | The county did not exist in 1086, for the Domesday Book, and was apparently first created in 1182, making it one of the youngest of the traditional counties.', 'History and heritage of Lancashire - Kingfisher Visitor Guides | Lancashire grew into an important global hub in the late 18th and early 19th centuries as it found itself at the heart of the industrial revolution. At that time, Liverpool was in Lancashire and was a hugely important port. Preston docks were also kept extremely busy., Lancashire grew into an important global hub', 'History of Lancashire | Lancashire was one of the homes of modern industrialisation. This started with small scale experiments, for example in the automation of weaving. Lancashire ...']","The county of Lancashire was apparently first created in 1182, making it one of the youngest of the traditional counties [5].",1182,['1182']
Where is Bern located? ,"['Bern | Bern lies on the Swiss plateau in the canton of Bern, slightly west of the centre of Switzerland and 20 km (12 mi) north of the Bernese Alps. The countryside ...', 'Bern | History & Facts | Bern, city, capital of Switzerland and of Bern canton, in the west-central part of the country. It lies along a narrow loop of the Aare ...', 'Canton of Bern | Located in west-central Switzerland, it is surrounded by eleven cantons. It borders the cantons of Jura and Solothurn to the north. To the west lie the cantons ...']","Step 1: What is the location of Bern, Switzerland?
Step 2: What is the geographical position of Bern, Switzerland?
Step 3: Where is the city of Bern, Switzerland situated?",Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: What is the location of Bern, Switzerland? ANSWER: west-central Switzerland. Step 2: What is the geographical position of Bern, Switzerland?","What is the geographical position of Bern, Switzerland?","['Bern | Bern lies on the Swiss plateau in the canton of Bern, slightly west of the centre of Switzerland and 20 km (12 mi) north of the Bernese Alps. The countryside ...', 'Bern | Bern lies on the Swiss plateau in the canton of Bern, slightly west of the centre of Switzerland and 20 km (12 mi) north of the Bernese Alps. The countryside ...', 'Bern | History & Facts | Britannica | Bern, city, capital of Switzerland and of Bern canton, in the west-central part of the country. It lies along a narrow loop of the Aare River., in the west-central part of the country', 'Bern | With a population of about 133,000 (as of 2022), Bern is the fifth-most populous city in Switzerland, behind Zürich, Geneva, Basel and Lausanne. The Bern ...', 'Bern | Bern lies on the Swiss plateau in the canton of Bern, slightly west of the centre of Switzerland and 20 km (12 mi) north of the Bernese Alps. The countryside ...', 'Bern | History & Facts | Bern, city, capital of Switzerland and of Bern canton, in the west-central part of the country. It lies along a narrow loop of the Aare ...', 'Bern | History & Facts | Bern, city, capital of Switzerland and of Bern canton, in the west-central part of the country. It lies along a narrow loop of the Aare ...']","Bern is located in the canton of Bern, slightly west of the center of Switzerland and 20 km north of the Bernese Alps [1][2][3][4][5][6][7].",Switzerland,['Switzerland']
Who founded autosegmental phonology?,"['John Gold Smith | John Gold Smith, Autosegmental Phonology. This approach to generative phonology was proposed by John Gold Smith in 1976. This theory was based on earlier ideas from several linguists: Bernard Bloch (1948), John Gold Smith', 'Autosegmental phonology - Wikipedia | Autosegmental phonology is a framework of phonological analysis proposed by John Goldsmith in his PhD thesis in 1976 at the Massachusetts Institute of ...', ""Autosegmental Phonology - Oxford Research Encyclopedias | Autosegments were introduced by John Goldsmith in his 1976 M.I.T. dissertation to represent tone and other suprasegmental phenomena. Goldsmith's ...""]","Step 1: Who proposed the framework of autosegmental phonology?
Step 2: When was autosegmental phonology proposed?
Step 3: What is the history of autosegmental phonology?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who proposed the framework of autosegmental phonology? ANSWER: John Gold Smith. Step 2: When was autosegmental phonology proposed?,When was autosegmental phonology proposed?,"['Autosegmental Phonology | Autosegmental Phonology. This approach to generative phonology was proposed by John Gold Smith in 1976., John Gold Smith', 'Autosegmental phonology | Autosegmental phonology is a framework of phonological analysis proposed by John Goldsmith in his PhD thesis in 1976 at the Massachusetts Institute of ...', '1976 | 1976, Autosegmental Phonology. This approach to generative phonology was proposed by John Gold Smith in 1976. This theory was based on earlier ideas from several linguists: Bernard Bloch (1948), 1976', 'Autosegmental phonology | Autosegmental phonology is a framework of phonological analysis proposed by John Goldsmith in his PhD thesis in 1976 at the Massachusetts Institute of ...', ""AUTOSEGMENTAL PHONOLOGY - PalArch's Journals | Autosegmental phonology is a framework of phonological analysis proposed by John Goldsmith in his PhD thesis in 1976. As a theory of phonological representation, autosegmental phonology developed a formal account of ideas that had been sketched in earlier work by several American linguists., proposed by John Goldsmith in his PhD thesis in 1976"", 'Autosegmental phonology | Autosegmental phonology is a framework of phonological analysis proposed by John Goldsmith in his PhD thesis in 1976 at the Massachusetts Institute of ...', 'John Gold Smith | John Gold Smith, Autosegmental Phonology. This approach to generative phonology was proposed by John Gold Smith in 1976. This theory was based on earlier ideas from several linguists: Bernard Bloch (1948), John Gold Smith']",John Goldsmith proposed autosegmental phonology in his PhD thesis in 1976 at the Massachusetts Institute of Technology [2][3][5][6].,John Goldsmith,['John Goldsmith']
Who is Tadaklan?,"['Tadaklan is furious with Adonis after losing his body fusion ... | Subscribe to the ABS-CBN Entertainment channel! http://bit.ly/ABS-CBNEntertainment Watch full episodes on iWantTFC for FREE here: ...', 'Dyosa | Amang Suga then arranged for Mariang Sinukuan to be married to Tadaklan, the leader of the Kasamayans, with the hope of achieving peace in their world. Amang ...', 'DOG GODS | DOG MYTHOLOGY - phoenixdogtraining | Kimat is the dog of Tadaklan. Tadaklan is the god of thunder,by the Tinguian people of central Luzon and lives in the sky with his dog Kimat, is ...']","Step 1: Who is Tadaklan in Filipino mythology?
Step 2: What is the role of Tadaklan in Tinguian mythology?
Step 3: What is the relationship between Tadaklan and Kimat in Tinguian mythology?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who is Tadaklan in Filipino mythology? ANSWER: God of thunder. Step 2: What is the role of Tadaklan in Tinguian mythology?,What is the role of Tadaklan in Tinguian mythology?,"['DOG GODS | DOG MYTHOLOGY - phoenixdogtraining | Tadaklan is the god of thunder,by the Tinguian people of central Luzon and lives in the sky with his dog Kimat, is responsible for lightning. During the old times, many people (especially those people of central Luzon) worshiped Tadaklan., god of thunder', 'Isaac at Art - Tadaklan the thunder god The playful and friendly ... | In BISAYAN myths he\'s Ribung Linti right? Meaning ""the thousand lightning"" Known to be the handsome, able body warrior and has moniker of the ""god of', ""Kadaklan | The 'greatest' deity of the Tinguian, a people living in the mountainous interior of Luzon, the northernmost island of the Philippines. A thunder god ..."", 'DOG GODS | DOG MYTHOLOGY - phoenixdogtraining | Tadaklan is the god of thunder,by the Tinguian people of central Luzon and lives in the sky with his dog Kimat, is responsible for lightning.', 'Tadaklan is furious with Adonis after losing his body fusion ... | Subscribe to the ABS-CBN Entertainment channel! http://bit.ly/ABS-CBNEntertainment Watch full episodes on iWantTFC for FREE here: ...', 'Discover the Gods and Creatures of Filipino Mythology | What is the name of the god of fire in Filipino mythology? A. Bathala B. Apolaki C. Tadaklan D. Mayari Answer: C. Tadaklan. C. Tadaklan. 2.Which of the ...', 'DOG GODS | DOG MYTHOLOGY - phoenixdogtraining | Kimat is the dog of Tadaklan. Tadaklan is the god of thunder,by the Tinguian people of central Luzon and lives in the sky with his dog Kimat, is ...']","Tadaklan is the god of thunder, responsible for lightning, and is worshipped by the Tinguian people of central Luzon [1][3][4].",God of thunder,['god of thunder']
What is Canis familiaris?,"['Dog | The dog (Canis familiaris or Canis lupus familiaris) is a domesticated descendant of the wolf. Also called the domestic dog, it is derived from extinct ...', 'Canis lupus familiaris Linnaeus, 1758 | The dog is a carnivorous/omnivorous predator mammal of the Canidae family that has been domesticated from the wolf (Canis lupus). Nearly 800 breeds of dog ...', 'ADW: Canis lupus familiaris - Domestic dogs | Found in coastal areas between 30 and 40 degrees latitude, in areas with a Mediterranean climate. Vegetation is dominated by stands of dense, spiny shrubs with ...']",Step 1: What is the scientific classification of the dog? Step 2: What is the domesticated descendant of the wolf called? Step 3: What family does the dog belong to? Step 4: How many breeds of dog are there? Step 5: Where are domestic dogs found?,None,,,"['Dog/Scientific name | Canis lupus familiaris, For dogs, it is: Eukarya, Animalia, Chordata, Mammalia, Carnivora, Canidae, Canis, and lupus. Notice that each name is capitalized except for species and that genus and species names are italicized., Eukarya, Animalia, Chordata, Mammalia, Carnivora, Canidae, Canis, and lupus', 'Dog | Dog ; Kingdom: Animalia ; Phylum: Chordata ; Class: Mammalia ; Order: Carnivora.', 'The dog | The dog, The dog, Canis familiaris, is a direct descendent of the gray wolf, Canis lupus: In other words, dogs as we know them are domesticated wolves., Canis familiaris', 'Dog | The dog is a domesticated descendant of the wolf. Also called the domestic dog, it is derived from extinct Pleistocene wolves, and the modern wolf is the ...', 'Dog/Family | Canidae, A dog is a domestic mammal of the family Canidae and the order Carnivora. Its scientific name is Canis lupus familiaris. Dogs are a subspecies of the gray wolf, and they are also related to foxes and jackals., Canidae', 'Dog Family: Facts About Canines & Their Cousins | Domestic dogs and wolves are part of a large taxonomic family called Canidae, which also includes coyotes, foxes and jackals, according to the ...', 'How Many Breeds of Dogs Are There in the World? | Key points · Afghanistan. Afghan Hound (longhaired sighthound) · Anatolia. Anatolian Shepherd Dog (mountain type mastiff) · Argentina. Dogo ...']","Canis familiaris is the scientific name for the domestic dog, which is a domesticated descendant of the wolf [3][5].",Domestic dog,['domestic dog']
What is copra?,"['Copra | Copra is the dried, white flesh of the coconut from which coconut oil is extracted. Traditionally, the coconuts are sun-dried, especially for export, ...', 'Copra | Definition, Coconut, Uses, & Facts | Copra, dried sections of the meat of the coconut, the fruit of the coconut palm. Copra is valued for the coconut oil extracted from it and ...', 'What is Copra? - CoccoMio guide to Coconut Oil and FAQs | Copra is essentially dried coconut meat. Copra is used to make refined coconut oil, cold pressed coconut oil and even most raw coconut oils. 14, day returns']",Step 1: What is the definition of copra? Step 2: How is copra used? Step 3: What is copra made from? Step 4: What are the uses of copra?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 4 depends on Step 2. Step 4 depends on Step 3.,Step 1: What is the definition of copra? ANSWER: dried coconut meat yielding coconut oil. Step 2: How is copra used?,How is copra used?,"['Copra Definition & Meaning | The meaning of COPRA is dried coconut meat yielding coconut oil.', 'What is Copra? - CoccoMio guide to Coconut Oil and FAQs | Copra is essentially dried coconut meat. Copra is used to make refined coconut oil, cold pressed coconut oil and even most raw coconut oils., to make refined coconut oil, cold pressed coconut oil and even most raw coconut oils', 'What is Copra Used For? The Industrialized Byproduct of ... | Copra is mainly used to yield coconut oil. However, the byproducts themselves are used for additional purposes, mostly as food for livestock.', 'Copra | Definition, Coconut, Uses, & Facts - Britannica | copra, dried sections of the meat of the coconut, the kernel of the fruit of the coconut palm (Cocos nucifera). Copra is valued for the coconut oil extracted from it and for the resulting residue, coconut-oil cake, which is used mostly for livestock feed., dried sections of the meat of the coconut', 'Copra | Copra is the dried, white flesh of the coconut from which coconut oil is extracted. Traditionally, the coconuts are sun-dried, especially for export, ...', 'What is Copra? - CoccoMio guide to Coconut Oil and FAQs | Copra is essentially dried coconut meat. Copra is used to make refined coconut oil, cold pressed coconut oil and even most raw coconut oils., to make refined coconut oil, cold pressed coconut oil and even most raw coconut oils', 'What is Copra Used For? The Industrialized Byproduct of ... | Copra is mainly used to yield coconut oil. However, the byproducts themselves are used for additional purposes, mostly as food for livestock.']",Copra is the dried coconut meat used to make coconut oil [1][2].,Dried coconut meat,['dried coconut meat']
Who designed Branch House?,"['Branch House/Architecture firm | Eggers & Higgins', ""The Branch House - The Branch Museum of Architecture & ... | Architect John Russell Pope's Tudor-Revival design for prominent financier John Kerr Branch resulted in a 27,000-square-foot residence featuring eleven ..."", 'Branch House | Branch House in Richmond, Virginia, was designed in 1916 by the firm of John Russell Pope as a private residence of financier John Kerr Branch (1865–1930) ...']","Step 1: What is the architecture firm that designed Branch House? Step 2: Who is the architect of Branch House? Step 3: What is the history of Branch House? Step 4: What is the significance of Branch House in Richmond, Virginia?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 3.,Step 1: What is the architecture firm that designed Branch House? ANSWER: John Russell Pope. Step 2: Who is the architect of Branch House?,Who is the architect of Branch House?,"['Branch House - Wikipedia | Branch House in Richmond, Virginia, was designed in 1916 by the firm of John Russell Pope as a private residence of financier John Kerr Branch (1865–1930) and his wife Beulah Gould Branch (1860–1952)., John Russell Pope', 'Branch House / TOLO Architecture | The Branch House designed for a couple of avid art collectors, is located on a one-acre lot in the hills of Montecito. The property originally ...', 'Branch House/Architect | John Russell Pope, The Branch House was designed by famed architect John Russell Pope and built by John Kerr Branch and Beulah Gould Branch in 1919., John Russell Pope', ""The Branch House - The Branch Museum of Architecture & ... | Architect John Russell Pope's Tudor-Revival design for prominent financier John Kerr Branch resulted in a 27,000-square-foot residence featuring eleven ..."", 'From the Archives: The Branch House | The Branch House was originally the private residence for John Kerr Branch and his wife. Branch was a wealthy financier from a notable Virginia family. The 27,000 square foot mansion, which was completed in 1919, is one of the earliest surviving structures of the Tudor Revival architectural style in Virginia today., originally the private residence for John Kerr Branch and his wife', ""The Branch House - The Branch Museum of Architecture & ... | As an artifact of American cultural history, the house design is a manifestation of this country's adamant displays of Anglo-philia in the first decades of the ..."", ""Branch House - Wikipedia | Branch House was thus elevated to the National Register because it was designed by one of the country's prominent architectural firms during the early 20th century; because it is the only example of the firm's domestic work in Virginia; and because it is the only example of the firm's Tudor-Jacobean Revival residences ..., it is the only example of the firm's domestic work in Virginia""]",Branch House was designed by the firm of John Russell Pope [1][3].,John Russell Pope,['John Russell Pope']
Who wrote The  Prince?,"['The Prince/Author | Niccolo Machiavelli, The Prince, political treatise by Niccolò Machiavelli, written in 1513., Niccolò Machiavelli', 'The Prince | The Prince is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli in the form of a realistic ...', 'The Prince by Niccolo Machiavelli - Reading Guide | In his own time, Machiavelli was known as the author of histories, poems, and plays (including a widely produced popular comedy). Highly respected as a ... Free 2, day delivery over $20']",Step 1: Who is the author of The Prince? Step 2: What is the background of Niccolo Machiavelli? Step 3: What other works did Niccolo Machiavelli write?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who is the author of The Prince? ANSWER: Niccolò Machiavelli. Step 2: What is the background of Niccolo Machiavelli?,What is the background of Niccolo Machiavelli?,"['The Prince | The Prince is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli in the form of a realistic ...', 'What did Niccolò Machiavelli write? - Britannica | Niccolo Machiavelli, Italian Renaissance political philosopher, statesman, and secretary of the Florentine republic.', ""Niccolo Machiavelli | Beliefs, Books, The Prince, Philosophy ... | What did Niccolò Machiavelli write? Niccolò Machiavelli's two most important works are Discourses on Livy (1531) and The Prince (1532), both of which were published after his death. He wrote several other works, including Florentine Histories (1532) and The Life of Castruccio Castracani of Lucca (1520)., Florentine Histories (1532) and The Life of Castruccio Castracani of Lucca (1520)"", 'Niccolò Machiavelli | Machiavelli has become infamous for such political advice, ensuring that he would be remembered in history through the adjective, ""Machiavellian"". Due to the ...', 'The Prince/Author | Niccolo Machiavelli, The Prince, political treatise by Niccolò Machiavelli, written in 1513., Niccolò Machiavelli', 'The Prince | The Prince is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli in the form of a realistic ...', 'The Prince: Machiavelli, Niccolo | About the Author. Niccolo Machiavelli (1469-1527) was an Italian Renaissance philosopher, politician, military strategist, poet, playwright, and historian. Rating: 4.4, \u200e6,241 reviews, \u200e$6.99, \u200e30, day returns, \u200eIn stock']",Niccolò Machiavelli wrote The Prince [5].,Niccolò Machiavelli,['Niccolò Machiavelli']
When did Gorbachev resign?,"['Mikhail Gorbachev resigns as president of the USSR | Mikhail Gorbachev resigns as president of the USSR | December 25, 1991 | HISTORY.', 'Gorbachev Resigns as President | Mikhail Gorbachev, Resignation. December 25, 1991. Original Source: Broadcast on Central Television, December 25, 1991; printed in Rossiiskaia Gazeta, ...', ""Gorbachev's resignation 30 years ago marked the end of ... | “The leaders of the republics that announced the end of the Soviet Union in December 1991 did not think through all the consequences of what ...""]",Step 1: When did Mikhail Gorbachev resign as president of the USSR? Step 2: What was the date of Gorbachev's resignation? Step 3: What were the consequences of Gorbachev's resignation?,Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: When did Mikhail Gorbachev resign as president of the USSR? ANSWER: December 25, 1991. Step 2: What was the date of Gorbachev's resignation?",What was the date of Gorbachev's resignation as president of the USSR?,"['Mikhail Gorbachev resigns as president of the USSR | Mikhail Gorbachev announces that he is resigning as president of the Soviet Union. In truth, there was not much of a Soviet Union from which ...', 'Mikhail Gorbachev resigns as president of the USSR | Mikhail Gorbachev announces that he is resigning as president of the Soviet Union. In truth, there was not much of a Soviet Union from which ...', 'Mikhail Gorbachev resigns as president of the USSR | Mikhail Gorbachev announces that he is resigning as president of the Soviet Union. In truth, there was not much of a Soviet Union from which ...', ""Gorbachev's resignation 30 years ago marked the end of ... | “The leaders of the republics that announced the end of the Soviet Union in December 1991 did not think through all the consequences of what ..."", 'Mikhail Gorbachev resigns as president of the USSR | Mikhail Gorbachev resigns as president of the USSR | December 25, 1991 | HISTORY.', 'Gorbachev Resigns as President | Mikhail Gorbachev, Resignation. December 25, 1991. Original Source: Broadcast on Central Television, December 25, 1991; printed in Rossiiskaia Gazeta, ...', 'Gorbachev Resigns as President | Mikhail Gorbachev, Resignation. December 25, 1991. Original Source: Broadcast on Central Television, December 25, 1991; printed in Rossiiskaia Gazeta, ...']","Mikhail Gorbachev resigned as president of the Soviet Union on December 25, 1991 [5][6][7].","December 25, 1991","['December 25, 1991']"
