Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.6,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.5,0.1]_gpt-3.5-turbo-1106_google"
What actor had his final performance in the film based on a dytopian novel by David Eggers called The Circle?,['Bill Paxton'],Bill Paxton,Bill Paxton,Bill Paxton
The southern terminus of State Route 102 is located in a town on the southwestern side of an island know to locals as what?,['the backside'],"""the backside""",Tremont,"""the quiet side"""
Which New Jersey-based manufacturer of suitcases and bags for travel is located in the Shops at Columbus Circle in New York City?,"['Tumi Holdings, Inc.']",Tumi,Tumi,Tumi
"Abba Kovner  was a Jewish Hebrew and Yiddish poet, writer and cousin of the youngest and longest surviving signatory of what?",['Israeli Declaration of Independence'],Israeli Declaration of Independence,Declaration of Independence,Israeli Declaration of Independence
"In which year did this division, where Cleveland Browns placed fourth in 2009, adopt its current name?",['2002'],2002,2002,2002
What city and nation was the location of the 2015 Pacific Games where the Kiribati national basketball team finished with a 0-4 record?,"['Port Moresby, Papua New Guinea']","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea"
Where did Leigh Anne Tuohy’s son play college football?,['University of Mississippi'],University of Mississippi,University of Mississippi,University of Mississippi
The Last Run is a drama film that stars which Lithuanian-American actor?,['Vyto Ruginis'],Vyto Ruginis,George C. Scott,George C. Scott
What team did Kenny Brown manage following the departure of Dean Holdsworth?,['Chelmsford'],Chelmsford City,Chelmsford City,Chelmsford City
Is the school where Aaron Parrett currently teaches English Literature public or private?,['private'],Private,private,Private
Who died in the battle located near the River Boyne in Ireland?,['Eochaid or Eochu Étgudach'],"2,000",Jacobites,Jacobites
What part of Australia is Alice River and Rupertswood in?,['Victoria'],Queensland,"Rupertswood is in Victoria, and Alice River is in Queensland.","Alice River is in Queensland, and Rupertswood is in Victoria."
"Who wrote the book that inspired the name of the CD/DVD ""Here at the End of All Things""?",['J. R. R. Tolkien'],J.R.R. Tolkien,J.R.R. Tolkien,J.R.R. Tolkien
What was Todd Boehly's former position at the firm where Mark Walter is the CEO?,['president'],President,President,President
What British novelist born in November 1898 wrote Surprised by Joy: The Shape of My Early Life?,['Clive Staples Lewis'],C.S. Lewis,C. S. Lewis,C. S. Lewis
"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","['Detroit, Michigan']","Detroit, Michigan","Detroit, Michigan","Detroit, Michigan"
