Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
"Which politician reported the ""piggate"" anecdote?","[""Piggate - Wikipedia | The anecdote was reported by Michael Ashcroft and Isabel Oakeshott in their unauthorised biography of Cameron, Call Me Dave, attributing the story to an anonymous Member of Parliament who was allegedly a contemporary of Cameron's at the University of Oxford."", ""9 questions about David Cameron's #PigGate you were too ... | 9 questions about David Cameron's #PigGate you were too embarrassed to ask · Share this story · More videos from · Next Up In World Politics · Sign ..."", ""Charlie Brooker on Cameron and #piggate: 'I'd have been ... | Charlie Brooker on Cameron and #piggate: 'I'd have been screaming it into traffic if I'd known'. Four years ago his TV series Black Mirror ...""]","Step 1: Who reported the ""piggate"" anecdote?
Step 2: What is the name of the author of the unauthorised biography of Cameron, Call Me Dave?
Step 3: What is the title of the book that contains the ""piggate"" anecdote?",Step 3 depends on Step 1. Step 3 depends on Step 2.,"Step 1: Who reported the ""piggate"" anecdote? ANSWER: Michael Ashcroft and Isabel Oakeshott. Step 2: What is the name of the author of the unauthorised biography of Cameron, Call Me Dave? ANSWER: Michael Ashcroft and Isabel Oakeshott. Step 3: What is the title of the book that contains the ""piggate"" anecdote?","What is the title of the book that contains the ""piggate"" anecdote?","[""Piggate - Wikipedia | The anecdote was reported by Michael Ashcroft and Isabel Oakeshott in their unauthorised biography of Cameron, Call Me Dave, attributing the story to an anonymous Member of Parliament who was allegedly a contemporary of Cameron's at the University of Oxford."", ""Isabel Oakeshott runs squealing from David Cameron ... | Isabel Oakeshott runs squealing from David Cameron #piggate claims. Call Me Dave co-author admits source of pig anecdote 'could have been ..."", 'Call Me Dave - Wikipedia | Call Me Dave: The Unauthorised Biography of David Cameron is a 2015 book by Michael Ashcroft, a businessman and Conservative peer, and Isabel Oakeshott, a political journalist, about the then Prime Minister of the United Kingdom, David Cameron.', 'Call Me Dave: The Unauthorised Biography of David ... | Based on hundreds of interviews with everyone from Westminster insiders to intimate friends, this book reveals the real David Cameron. Lord Ashcroft KCMG PC is ... Rating: 4, \u200e153 reviews, \u200e$21.24, \u200e30, day returns', 'Piggate | ""Piggate"" refers to a claim that, during his university years, the former British prime minister ; The anecdote was reported by Michael Ashcroft ; Downing Street ...', ""Piggate - Wikipedia | The anecdote was reported by Michael Ashcroft and Isabel Oakeshott in their unauthorised biography of Cameron, Call Me Dave, attributing the story to an anonymous Member of Parliament who was allegedly a contemporary of Cameron's at the University of Oxford."", ""9 questions about David Cameron's #PigGate you were too ... | 9 questions about David Cameron's #PigGate you were too embarrassed to ask · Share this story · More videos from · Next Up In World Politics · Sign ...""]",The anecdote was reported by Michael Ashcroft and Isabel Oakeshott in their unauthorised biography of David Cameron [1][2].,Michael Ashcroft,['Michael Ashcroft']
What genre are both Splendora and Vertical Horizon?,"['Vertical Horizon | Washington, D.C., U.S.. Genres. Alternative rock · post-grunge · pop rock · acoustic rock. Years active, 1991– ...', ""VERTICAL HORIZON FUN BUT SPLENDOR EARNS ... | Tunes such as 'Supernatural' and 'Yeah Whatever,' from the Todd Rundgren-produced disc 'Halfway Down The Sky,' gave frontman guitar/vocalist ..."", 'List of alternative rock artists | Versus · Vertical Horizon · Veruca Salt · The Verve · The Verve Pipe · VHS or Beta · Vib Gyor · Vic Chestnutt · Victoria Williams · The Vines · Violent Femmes ...']","Step 1: What genre is Splendora's music?
Step 2: What genre is Vertical Horizon's music?",None,,,"['Alternative rock grunge | Alternative rock grunge', 'Vertical Horizon/Genre | Rock, Vertical Horizon is an American alternative rock band, formed in Washington, D.C. Vocalists and guitarists Matt Scannell and Keith Kane started the band in 1991 when they were students at Georgetown University., alternative rock', 'Vertical Horizon Songs, Albums, Reviews, Bio & More | Active. 1990s - 2020s ; Formed. 1991 in Washington, D.C. ; Genre. Pop/Rock ; Styles. American Trad Rock, Post-Grunge, Adult Alternative Pop/Rock, Alternative Pop/ ...', 'Vertical Horizon | Washington, D.C., U.S.. Genres. Alternative rock · post-grunge · pop rock · acoustic rock. Years active, 1991– ...', '\'Daria\' at 20: An Interview With Splendora, Band Behind the ... | Excuse Me: Catching Up With Splendora, the Band Who Did the \'Daria\' Theme, Then Disappeared. ""You\'re Standing on My Neck"" made Splendora a \'90s ...', ""Bio | Vertical Horizon was founded in the early 1990s, but it was seven years before lead singer Matt Scannell's songs became the radio hits that brought the ..."", ""VERTICAL HORIZON FUN BUT SPLENDOR EARNS ... | Tunes such as 'Supernatural' and 'Yeah Whatever,' from the Todd Rundgren-produced disc 'Halfway Down The Sky,' gave frontman guitar/vocalist ...""]","Vertical Horizon is an American alternative rock band [2]. Splendora is a band from the 90s [5]. Splendora's music is described as fun [7]. Vertical Horizon's genre is listed as pop/rock, post-grunge, and adult alternative pop/rock [3].",alternative rock,['alternative rock']
Are Chad Kroeger and Charlotte Wessels both singers?,"['List of lead vocalists | Chad Kroeger (Nickelback); Richard Kruspe (Emigrate); Damian Kulash (OK Go) ... Charlotte Wessels (Delain); Deryck Whibley (Sum 41); Jack White (The White Stripes ...', 'INTERVIEW | Charlotte Wessels (ex-Delain) #TheMetalCircusTV | Esta #entrevista ha sido, probablemente, una de las más largas de la trayectoria de #CharlotteWessels, que nos habla de su nuevo disco en ...', 'Singers | Chad I Ginsburg · Chad Kroeger · Chad Mitchell · Chad Morgan · Chad Price · Chad Steahly · Chad VanGaalen · Chad Warrix · Chadwick Johnson ...']","Step 1: Is Chad Kroeger a singer?
Step 2: Is Charlotte Wessels a singer?",None,,,"['Chad Kroeger | Chad Robert Kroeger is a Canadian musician who is the lead singer and guitarist of the rock band Nickelback. In addition to his work with Nickelback, ...', 'Charlotte Wessels | Johanna Charlotte Wessels (born 13 May 1987) is a Dutch singer and songwriter. She is best known as the former lead vocalist for the symphonic metal band ...', 'List of lead vocalists | Chad Kroeger (Nickelback); Richard Kruspe (Emigrate); Damian Kulash (OK Go) ... Charlotte Wessels (Delain); Deryck Whibley (Sum 41); Jack White (The White Stripes ...', 'Chad Kroeger Birthday | Chad Kroeger, born on November 15, 1974, is the lead vocalist and guitarist in the popular rock band Nickelback. ... Kroeger is a Writer, Composer, and Singer.', 'Charlotte Wessels (@charlottewessels) | singer/songwriter/producer. Join me on Patreon, new music every month. Listen to Tales From Six Feet Under Vol I & II ; dianaleahmusic. Diana Leah ; tarjaofficial.', 'INTERVIEW | Charlotte Wessels (ex-Delain) #TheMetalCircusTV | Esta #entrevista ha sido, probablemente, una de las más largas de la trayectoria de #CharlotteWessels, que nos habla de su nuevo disco en ...', 'Nickelback\'s Chad Kroeger Pauses Show and Says His ... | Nickelback\'s Chad Kroeger Pauses Show and Says His Throat Feels \'Absolutely Destroyed\': \'I Can\'t Do This\'. ""The doctor just jabbed me in the hip ...']","Chad Kroeger is the lead vocalist of the rock band Nickelback, and he is listed as a singer in multiple sources [1][3]. Charlotte Wessels is described as a singer/songwriter/producer and a lead vocalist for a symphonic metal band [2][5].",yes,['yes']
Lucy Fry acted as who in Vampire Academy?,"['Lucy Fry | Vampire Academy Series Wiki - Fandom | Lucy Fry is an Australian actress and model. She portrayed Vasilisa Dragomir in the 2014 film Vampire Academy.', ""Lucy Fry | She is known for portraying Zoey in Lightning Point, Lyla in Mako: Island of Secrets, and Lissa Dragomir in the film Vampire Academy. Fry was also cast in Hulu' ..."", 'How Lucy Fry Evolved From Vampire Academy To Night ... | From playing actual vampire princess Vasilisa (Lissa) Dragomir in the film ""Vampire Academy"" to her new role as Zoe in Netflix\'s ""Night Teeth,"" ...']","Step 1: Who did Lucy Fry portray in the film Vampire Academy?
Step 2: What character did Lucy Fry play in Vampire Academy?
Step 3: What role did Lucy Fry have in the movie Vampire Academy?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who did Lucy Fry portray in the film Vampire Academy? ANSWER: Vasilisa Dragomir. Step 2: What character did Lucy Fry play in Vampire Academy?,What character did Lucy Fry play in Vampire Academy?,"[""Lissa Dragomir | Lissa Dragomir, The film stars an ensemble cast led by Zoey Deutch as Rose Hathaway, a Dhampir, and Lucy Fry as Lissa Dragomir, her Moroi best friend, and follows their return to the St Vladimir's Academy boarding school, after being on the run for one year., Lissa Dragomir"", 'Lucy Fry | Vampire Academy Series Wiki - Fandom | Lucy Fry is an Australian actress and model. She portrayed Vasilisa Dragomir in the 2014 film Vampire Academy. She was born on March 13, 1992. Lucy was born ...', 'Vampire Academy/Lucy Fry/Character | Vasilisa Dragomir, In 2014, she had her first big screen roles, as Lissa Dragomir in Vampire Academy and as Honey in Now Add Honey., Lissa Dragomir', 'Lucy Fry | Vampire Academy Series Wiki - Fandom | Lucy Fry is an Australian actress and model. She portrayed Vasilisa Dragomir in the 2014 film Vampire Academy. She was born on March 13, 1992. Lucy was born ...', ""Lissa Dragomir | Lissa Dragomir, The film stars an ensemble cast led by Zoey Deutch as Rose Hathaway, a Dhampir, and Lucy Fry as Lissa Dragomir, her Moroi best friend, and follows their return to the St Vladimir's Academy boarding school, after being on the run for one year., Lissa Dragomir"", 'Lucy Fry | Vampire Academy Series Wiki - Fandom | Lucy Fry is an Australian actress and model. She portrayed Vasilisa Dragomir in the 2014 film Vampire Academy. She was born on March 13, 1992.', 'Lucy Fry | Vampire Academy Series Wiki - Fandom | Lucy Fry is an Australian actress and model. She portrayed Vasilisa Dragomir in the 2014 film Vampire Academy.']",Lucy Fry portrayed Vasilisa Dragomir in Vampire Academy [1][2][3][4][5][6][7].,Vasilisa Dragomir,['Vasilisa Dragomir']
Are Jeff Buckley and Vampire Weekend both American?,"[""What other artists do you enjoy? : r/fleet_foxes | Any time it's Joni, Kate Bush, beloved Nick Drake, Jeff Buckley et al. ... Vampire weekend. The strokes. Peter Bjorn & John. Tokyo police club."", 'Jeff Buckley | Although he had failed to fill out smaller American venues at that point of his career, both nights at the large Paris Olympia venue were sold out. Shortly ...', ""Vampire Weekend Side Project | Clash Magazine Music News ... | Vampire Weekend burst out of New York with a clutch of songs that ... Elmiene Covers Jeff Buckley's 'Lover, You Should've Come Over' · News.""]","Step 1: Where is Jeff Buckley from?
Step 2: Where is Vampire Weekend from?",None,,,"['Jeff Buckley/Place of birth | Anaheim, CA, Born in Anaheim, California, Buckley was the only son of Mary (née Guibert) and Tim Buckley. His mother was a Zonian of mixed Greek, French, and Panamanian descent, while his father was the son of an Irish American father and an Italian American mother., Anaheim, California', ""Biography | Jeff Buckley | Jeff Buckley Career Biography. Jeff Buckley was born in California's Orange County in 1966 and died in a tragic drowning accident in Memphis on May 29, 1997."", 'Vampire Weekend/Origin | New York, NY, Vampire Weekend is an American rock band from New York City, formed in 2006 and currently signed to Columbia Records. The band was formed by lead vocalist and guitarist Ezra Koenig, multi-instrumentalist Rostam Batmanglij, drummer Chris Tomson, and bassist Chris Baio., New York City', 'The Semi-Charmed Life of Vampire Weekend | Vampire Weekend met eight years ago, as undergraduates at Columbia. Koenig and Batmanglij bonded over Radiohead at a party during freshman year ...', ""What other artists do you enjoy? : r/fleet_foxes | Any time it's Joni, Kate Bush, beloved Nick Drake, Jeff Buckley et al. ... Vampire weekend. The strokes. Peter Bjorn & John. Tokyo police club."", 'Jeff Buckley | Life and death change. Buckley was born in Anaheim, California. He was the only son of Mary Guibert, a Panama Canal Zonian and Tim Buckley (1947-1975).', 'Vampire Weekend | Vampire Weekend is an indie rock band which formed in February 2006 in New York City, New York, United States. The band consists of Ezra Koenig (vocals, ...']",Jeff Buckley was born in California [1][2]. Vampire Weekend is an American rock band formed in New York City [3][4][5][6][7].,yes,['yes']
 XLR8R and Kilobaud Microcomputing are both what?,"['Kilobaud Microcomputing | Kilobaud Microcomputing was a magazine dedicated to the computer homebrew hobbyists from 1977 to 1983. It was one of the three influential computer magazines ...', 'Kilobaud Microcomputing | Kilobaud Microcomputing was a hobbyist computing magazine that began in 1977. It was created by Wayne Green, who was known for publishing the magazines 73, ...', 'William Stuart Systems | Introduction to Basic programming for those with no previous computer experience. Easy to digest format leads the user through hands-on examples of programs in ...']","Step 1: What is XLR8R?
Step 2: What was Kilobaud Microcomputing?
Step 3: What was the relationship between XLR8R and Kilobaud Microcomputing?",Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is XLR8R? ANSWER: A website and a magazine.. Step 2: What was Kilobaud Microcomputing? ANSWER: hobbyist computing magazine. Step 3: What was the relationship between XLR8R and Kilobaud Microcomputing?,What was the relationship between XLR8R and Kilobaud Microcomputing?,"['XLR8R | XLR8R (pronounced ""accelerator"") is a website that covers music, culture, style, and technology. It was originally also a print magazine.', 'Kilobaud Microcomputing | Kilobaud Microcomputing was a magazine dedicated to the computer homebrew hobbyists from 1977 to 1983. It was one of the three influential computer magazines ...', 'Kilobaud Microcomputing | It was one of the three influential computer magazines of the 1970s, along with BYTE and Creative Computing. It focused mostly on the kit-build market, rather ...', 'Kilobaud Microcomputing | Kilobaud Microcomputing was a magazine dedicated to the computer homebrew hobbyists from 1977 to 1983. It was one of the three influential computer magazines ...', 'XLR8R: Accelerating Music and Culture | Support Independent Media. Music, in-depth features, artist content (sample packs, project files, mix downloads), news, and art, for only $3.99/month.', 'Kilobaud Microcomputing Magazine | Kilobaud Microcomputing was a magazine dedicated to the computer homebrew hobbyists from the end of the 1970s until the beginning of the 1980s.', 'Kilobaud Microcomputing | Kilobaud Microcomputing was a hobbyist computing magazine that began in 1977. It was created by Wayne Green, who was known for publishing the magazines 73, ...']","XLR8R covers music, culture, style, and technology [1][2][3][4][5][6][7]. Kilobaud Microcomputing was a magazine dedicated to computer homebrew hobbyists.",magazine,['magazine']
Are Arnold Antonin and Baltasar Kormákur both directors?,"['Baltasar Kormákur | He is best known for directing the films 101 Reykjavík, The Sea, A Little Trip to Heaven, Contraband, 2 Guns, Everest, and Katla series.', 'List of film and television directors | Arnold Antonin · Michelangelo Antonioni · Pan Anzi · Judd Apatow · Emmanuel Apea ... Baltasar Kormákur · Brigitte Kornetzky · John Korty · Joseph Kosinski · Henry ...', ""Directors: Baltasar Kormákur, Anton Corbijn And More Line ... | Directors: Baltasar Kormákur, Anton Corbijn And More Line Up New Projects. Directors ... both chronicling the band's back-to-back performances at ...""]","Step 1: Is Arnold Antonin a director?
Step 2: Is Baltasar Kormákur a director?",Step 2 depends on Step 1.,Step 1: Is Arnold Antonin a director? ANSWER: yes. Step 2: Is Baltasar Kormákur a director?,Is Baltasar Kormákur a director?,"['Arnold Antonin - Wikipedia | Born Celesti Corbanese in Port-au-Prince, Haiti in 1942, Arnold Antonin is a film director and a university professor who also organizes debates and heads a cultural center. He was, from 2005 to 2009, the president of the Association of Haitian Movie Directors., Arnold Antonin is a film director', 'Arnold Antonin | Arnold Antonin was born on 3 December 1942 in Port-au-Prince, Haiti. He is a director and writer, known for Le president a-t-il le sida (2006), ...', 'Baltasar Kormákur | He is best known for directing the films 101 Reykjavík, The Sea, A Little Trip to Heaven, Contraband, 2 Guns, Everest, and Katla series. Baltasar Kormákur.', 'Baltasar Kormákur | He is best known for directing the films 101 Reykjavík, The Sea, A Little Trip to Heaven, Contraband, 2 Guns, Everest, and Katla series.', 'Arnold Antonin Films | Haitian filmmaker Arnold Antonin has made some of the best films about Haitian art, Haitian Culture and Haitian History. He is known at home and abroad for ...', 'Baltasar Kormákur | Baltasar Kormákur is an actor, producer and director whose work spans theater, movies and television. Born in Reykjavik, Iceland, he graduated as an actor ...', 'List of film and television directors | Arnold Antonin · Michelangelo Antonioni · Pan Anzi · Judd Apatow · Emmanuel Apea ... Baltasar Kormákur · Brigitte Kornetzky · John Korty · Joseph Kosinski · Henry ...']","Arnold Antonin is a film director from Haiti, known for his films about Haitian art, culture, and history [1]. Baltasar Kormákur is a director known for films like 101 Reykjavík, The Sea, and Everest [2]. Both Arnold Antonin and Baltasar Kormákur are listed as film directors in various sources [3].",yes,['yes']
What state capital did Samuel Holyoke die in?,"[""CPT Samuel Holyoke (1647-1676) - Memorials | Holyoke served in King Philip's War and was second in command at Turner's Falls Fight. When Captain William Turner was killed during the disorderly retreat Lt."", 'Samuel Adams Holyoke | He was born 15 October 1762 in Boxford, Massachusetts, and died 7 February 1820 in Concord, New Hampshire. He was a Congregationalist and a Mason, and never ...', ""Samuel Holyoke (1647-1676) | Holyoke served in King Philip's War, and was second in command at Turner's Falls Fight. When Captain William Turner was killed during the disorderly retreat Lt.""]",Step 1: Where did Samuel Holyoke die? Step 2: What was the location of Samuel Holyoke's death? Step 3: In what state capital did Samuel Holyoke pass away?,Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: Where did Samuel Holyoke die? ANSWER: Concord, New Hampshire. Step 2: What was the location of Samuel Holyoke's death?",What was the location of Samuel Holyoke's death?,"['Samuel Adams Holyoke/Place of death | Concord, NH, Biography. Holyoke was the son of Rev. Elizur Holyoke and Hannah Peabody. He was born 15 October 1762 in Boxford, Massachusetts, and died 7 February 1820 in Concord, New Hampshire., Concord, New Hampshire', ""Samuel Holyoke (1647-1676) | Holyoke served in King Philip's War, and was second in command at Turner's Falls Fight. When Captain William Turner was killed during the disorderly retreat Lt."", 'Samuel Adams Holyoke/Place of death | Concord, NH', 'Samuel Adams Holyoke | He was born 15 October 1762 in Boxford, Massachusetts, and died 7 February 1820 in Concord, New Hampshire.', 'CPT Samuel Holyoke (1647-1676) - Memorials | However, his health broken by the fight he died five months later at age twenty-eight. Grave relocated from Elm Street Cemetery, stone gone. Capt. Samuel ...', ""CPT Samuel Holyoke (1647-1676) - Memorials | Holyoke served in King Philip's War and was second in command at Turner's Falls Fight. When Captain William Turner was killed during the disorderly retreat Lt."", ""CPT Samuel Holyoke (1647-1676) - Mémorial ... | ... the town of Springfield. Holyoke served in King Philip's War and was second in command at Turner's Falls Fight. When Captain William Turner was killed during""]","Samuel Holyoke died in Concord, New Hampshire [1][3][4].","Concord, New Hampshire","['Concord, New Hampshire']"
Are Muscari and Cananga both genuses?,"['Planting Grape Hyacinth, Muscari | Both used to belong to the Liliaceae family, but muscari is now considered to be in the Asparagaceae family. Grape hyacinths are hardy in zones ...', 'Muscari (Grape Hyacinth) - Gardenia.net | Muscari, commonly known as Grape Hyacinth, are a group of plants in the Asparagus family. The genus Muscari contains about 30 species. Some of these, such as ...', 'Muscari | Muscari is a genus of perennial bulbous plants native to Eurasia that produce spikes of dense, most commonly blue, urn-shaped flowers resembling bunches of ...']",Step 1: Is Muscari a genus? Step 2: Is Cananga a genus?,None,,,"['Muscari (Grape hyacinth) | Muscari is the genus of spring-blooming perennial bulbs known as grape hyacinths. They have grass-like foliage and clusters of tiny fragrant bell-shaped flowers. Most plants have blue-colored flowers but depending on the species or varieties other colors such as white, pink, or yellow are available., Muscari is the genus', 'Muscari | Muscari is a genus of perennial bulbous plants native to Eurasia that produce spikes of dense, most commonly blue, urn-shaped flowers resembling bunches of ...', 'Cananga - Wikipedia | Cananga (ultimately from Proto-Malayo-Polynesian *kanaŋa) is a small genus of trees in the family Annonaceae, native to Indo-China and Malesia, but introduced elsewhere. One of its species, Cananga odorata, is important as the source of the perfume ylang-ylang., a small genus', 'Cananga odorata | Cananga odorata, known as ylang-ylang or cananga tree, is a tropical tree that is native to and originated in the Philippines and spread to Malaysia, ...', 'Planting Grape Hyacinth, Muscari | Both used to belong to the Liliaceae family, but muscari is now considered to be in the Asparagaceae family. Grape hyacinths are hardy in zones ...', 'Muscari | Muscari is a genus in the Hyacinthaceae family. This genus can be divided into fairly distinct groups. These groups are considered by some ...', 'Genus Cananga | Cananga is a small genus of trees in the family Annonaceae. One of its species, Cananga odorata, is important as the source of the perfume ylang-ylang.']",Muscari is the genus of spring-blooming perennial bulbs known as grape hyacinths [1]. Cananga is a small genus of trees in the family Annonaceae [3][7].,Yes,['yes']
Who is the wife of Oskar Schindler?,"[""Schindler's bitter widow dies aged 93 | World news | Schindler's bitter widow dies aged 93 ... Emilie Schindler, who helped her husband to save more than 1,000 Jews from the gas chambers, has died in ..."", 'Oskar and Emilie Schindler | Emilie Schindler was just in time to stop the SS camp commandant from sending the train back. Schindler, who had rushed back to the camp from some food- ...', ""Schindler's widow left to die in bitterness and poverty | Emilie Schindler claims she was forced to do most of the work while Oskar began a string of affairs with other women. In 1957 he left her and ...""]",Step 1: What is the name of Oskar Schindler's wife? Step 2: Who was married to Oskar Schindler? Step 3: Who was Oskar Schindler's spouse?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: What is the name of Oskar Schindler's wife? ANSWER: Emilie Schindler. Step 2: Who was married to Oskar Schindler?,Who was married to Oskar Schindler?,"[""Oskar Schindler/Spouse/Female | Emilie Schindler, Marriage. Emilie Pelzl first met Oskar Schindler in 1928, when he came to Alt Moletein to sell electric motors to her father. After dating for six weeks, the couple married on 6 March 1928 in an inn on the outskirts of Svitavy, Schindler's hometown., Emilie Pelzl"", 'Oskar and Emilie Schindler | A hedonist and gambler by nature, Schindler soon adopted a profligate lifestyle, carousing into the small hours of the night, hobnobbing with high ranking SS- ...', ""Oskar Schindler/Spouse | Emilie Schindler, Marriage. Emilie Pelzl first met Oskar Schindler in 1928, when he came to Alt Moletein to sell electric motors to her father. After dating for six weeks, the couple married on 6 March 1928 in an inn on the outskirts of Svitavy, Schindler's hometown., Emilie Pelzl"", ""Schindler's widow left to die in bitterness and poverty | According to her friends, Emilie, who married the womanising German industrialist before the war, has spent years living in poverty, unable to ..."", ""Oskar Schindler/Spouse | Emilie Schindler, Marriage. Emilie Pelzl first met Oskar Schindler in 1928, when he came to Alt Moletein to sell electric motors to her father. After dating for six weeks, the couple married on 6 March 1928 in an inn on the outskirts of Svitavy, Schindler's hometown., Emilie Pelzl"", 'Oskar Schindler | After receiving a partial reimbursement for his wartime expenses, he moved with his wife Emilie to Argentina, where they took up farming.', ""Schindler's bitter widow dies aged 93 | World news | Schindler's bitter widow dies aged 93 ... Emilie Schindler, who helped her husband to save more than 1,000 Jews from the gas chambers, has died in ...""]",Emilie Schindler is the wife of Oskar Schindler [1][3][5][7].,Emilie Schindler,['Emilie Schindler']
