Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
"Michael Keaton acts. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'nikchar/retrieved_claims_test · Datasets at ... | NOT ENOUGH INFO. Rolling Stone magazine described Led Zeppelin as ""unquestionably ... SUPPORTS. Scooby-Doo is a fictional character. Scrappy-Doo. [ ""Scooby-Doo ...']","Step 1: Is Michael Keaton an actor?
Step 2: Has Michael Keaton appeared in any movies or TV shows?
Step 3: Has Michael Keaton won any awards for acting?
Step 4: Is there any evidence of Michael Keaton's acting career?
Step 5: Does Michael Keaton have an IMDb page?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 2. Step 5 depends on Step 4.,Step 1: Is Michael Keaton an actor? ANSWER: SUPPORTS. Step 2: Has Michael Keaton appeared in any movies or TV shows?,Has Michael Keaton appeared in any movies or TV shows?,"['Michael Keaton | Michael John Douglas (born September 5, 1951), known professionally as Michael Keaton, is an American actor. He is known for his leading roles in a wide ...', ""Michael Keaton | Known for: ; Birdman or (The Unexpected Virtue of Ignorance). 7.7. Riggan ; Spotlight. 8.1. Walter 'Robby' Robinson ; The Founder. 7.2. Ray Kroc ; Batman. 7.5."", ""List of awards and nominations received by Michael Keaton | Keaton's lead performance in Birdman or (The Unexpected Virtue of Ignorance) (2014) earned him a Golden Globe Award for Best Actor in a Musical or Comedy and ..."", 'Michael Keaton on his career, the characters he\'s played ... | He\'s played Birdman and Batman and starred in ""Spiderman."" The irony is that Keaton\'s real power is portraying, the everyman. The salesman, the ...', 'Michael Keaton | Keen to diversify his work, Keaton starred as a psychotic tenant in Pacific Heights (1990), as a hard-working cop in One Good Cop (1991), and then donned the ...', ""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'Michael Keaton | Quirky, inventive and handsome American actor Michael Keaton first achieved major fame with his door-busting performance as fast-talking ideas man Bill ...']","Michael Keaton is known professionally as an American actor [1]. He is known for his leading roles in various films, including Birdman, Spotlight, The Founder, and Batman [2]. Keaton's lead performance in Birdman earned him a Golden Globe Award for Best Actor in a Musical or Comedy [3]. Keaton has portrayed various characters in his acting career, including Birdman and Batman [4]. Keaton has starred in numerous films where he played different roles, demonstrating his acting career [5]. Michael Keaton is described as a ""handsome American actor,"" reinforcing his career as an actor [7].",SUPPORTS,['SUPPORTS']
"Paulo Dybala is Brazilian. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Dybala says coronavirus left him struggling for breath | Juventus forward Paulo Dybala, one of the highest-profile players to be infected with the coronavirus, has started training again after ...', 'Dybala enjoys childhood dream against Barcelona | Paulo Dybala said his two-goal performance against Barcelona on Tuesday was the sort of night he had dreamed about since he used to play on ...', ""Paulo Dybala and Juventus get the better of Lionel Messi ... | Lionel Messi was superb in Barca's 3-0 defeat at Juventus, but the man who might one day replace him, Juve's Paulo Dybala, was a cut above.""]","Step 1: Is Paulo Dybala Brazilian?
Step 2: What is Paulo Dybala's nationality?
Step 3: Where was Paulo Dybala born?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Is Paulo Dybala Brazilian? ANSWER: REFUTES. Step 2: What is Paulo Dybala's nationality?,What is Paulo Dybala's nationality?,"['Paulo Dybala - Wikipedia | Paulo Bruno Exequiel Dybala (born 15 November 1993) is an Argentine professional footballer who plays as an attacking midfielder or winger for Serie A club Roma and the Argentina national team. He is noted by sports journalists for his dribbling, speed and goal-scoring ability., Argentine', 'Paulo Dybala | Paulo Dybala (born 15 November 1993) is an Argentine footballer who plays as a forward for Italian club Roma and the Argentina national team. Paulo Dybala ...', 'Paulo Dybala | Dybala obtained Italian citizenship on 13 August 2012, in order to facilitate his move to Palermo, and circumvent FIGC regulations that permit only a maximum of ...', 'Paulo Dybala/Place of birth | Laguna Larga, Argentina, Dybala was born in Laguna Larga, Córdoba, Argentina. His grandfather, Bolesław Dybała, was from the village of Kraśniów in Poland; he fled from his country of birth to Argentina during World War II., Laguna Larga, Córdoba, Argentina', 'Paulo Dybala | Dybala was born in Córdoba, Argentina. His grandfather, Bolesław Dybała, was from the village of Kraśniów in Poland. His family also had Italian origins through ...', 'Dybala says coronavirus left him struggling for breath | Juventus forward Paulo Dybala, one of the highest-profile players to be infected with the coronavirus, has started training again after ...', ""13 fun facts about Paulo Dybala | An Italian, a Brazilian and an Argentine as footballing idols. Dybala revealed in his documentary, 'La Joya,' that Italian legend Andre Pirlo ...""]",Paulo Dybala is an Argentine professional footballer [1]. He was born in Argentina [2]. He obtained Italian citizenship to facilitate his move to Palermo [3]. Dybala's grandfather was from Poland [4]. His family also had Italian origins [5]. Dybala revealed in his documentary that Italian legend Andre Pirlo is one of his footballing idols [7].,REFUTES,['REFUTES']
"Southport hosts guests. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Re: Lost superhost status due to cancellation when... - Airbnb ... | Response from Anneliese: There was a mix up with the reservation of another guest who thought he had booked through to the day that Liza reserved.', 'Training - in Consumer-Operated Services | This booklet is a resource for training staff and volunteers of Consumer-Operated Services which are administratively controlled by mental health consumers ...', ""Answer, Special Defense, Counterclaim and Setoff to a Civil ... | We conclude that the defendant's denial of the substitute plaintiff's allegation that he had executed the mortgage was sufficient in this case.""]","Step 1: What is the definition of a superhost on Airbnb?
Step 2: What are the requirements for a host to maintain superhost status on Airbnb?
Step 3: What is the process for a host to lose superhost status on Airbnb?
Step 4: What are Consumer-Operated Services in the context of mental health?
Step 5: How does the mental health of a host affect their ability to maintain superhost status on Airbnb?
Step 6: What is the legal definition of ""special defense"" in a civil case?
Step 7: How does the legal concept of ""special defense"" apply to a host's ability to maintain superhost status on Airbnb?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 5 depends on Step 4. Step 7 depends on Step 6.,Step 1: What is the definition of a superhost on Airbnb? ANSWER: A Superhost is a host who provides outstanding hospitality and high-quality accommodation.. Step 2: What are the requirements for a host to maintain superhost status on Airbnb?,What are the requirements for a host to maintain superhost status on Airbnb?,"[""Airbnb Superhost details for guests | Being an Airbnb Superhost is about providing outstanding hospitality, which means being highly-rated, experienced, reliable, and responsive. And while each Superhost has their own unique style, they've earned their status by meeting, and often exceeding, guest expectations., providing outstanding hospitality, which means being highly-rated, experienced, reliable, and responsive"", ""What Does Superhost Mean On Airbnb? - NerdWallet | Airbnb's Superhost program works to recognize those owners who have made it a mission to provide high-quality accommodation. Strict metrics ..."", 'How to earn and maintain superhost status - Guesty | Superhost is a status given by Airbnb to outstanding hosts that meet these 4 criterias:, Superhost is a status given by Airbnb to outstanding hosts that meet these 4 criterias:', 'How to become a Superhost - Airbnb Help Center | Requirements · Completed at least 10 trips or 3 reservations that total at least 100 nights · Maintained a 90% response rate or higher · Maintained a less than 1% ...', 'Superhost Terms and Conditions - Airbnb | Your Superhost membership, privileges, and license to the Superhost badge will be automatically suspended or terminated if: (a) you no longer meet the qualifications, (b) stop hosting, or (c) your listing or Airbnb account is suspended or cancelled, as the case may be.', ""Maintaining Superhost status - Airbnb Help Center | If they miss a requirement, they'll lose the title. Learn how to track your Superhost status. Want to find out where you stand? Go directly to your stats now."", 'Building Your Program (Consumer-Operated Services) | Consumer-operated services are peer- run service programs that are owned, administratively controlled, and operated by mental health consumers and emphasize self-help as their operational approach., peer- run service programs that are owned, administratively controlled, and operated by mental health consumers and emphasize self-help as their operational approach']","The context provided does not mention ""Southport"" or hosting guests, so there is not enough information to support or refute the statement [1][2][3][4][5][6].",NOT ENOUGH INFO,['NOT ENOUGH INFO']
"Halle Berry is British. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".",['Ultimate News Database | ... refutes allegations that he resigned 05:02:11a Pigs halt Coventry woods ... supports Al Noor Centre for Children with Special Needs 03:38:16p ...'],"Step 1: Did Halle Berry support Al Noor Centre for Children with Special Needs?
Step 2: Did Halle Berry resign?
Step 3: Is there any information about Halle Berry's nationality?",Step 2 depends on Step 1.,Step 1: Did Halle Berry support Al Noor Centre for Children with Special Needs? ANSWER: SUPPORTS. Step 2: Did Halle Berry resign?,Did Halle Berry resign from her support for Al Noor Centre for Children with Special Needs?,"[""Halle Berry's 2 Kids: Everything She's Said About Her ... | Halle Berry is a mom to two kids: Nahla Ariela and Maceo-Robert. Here is everything to know about Halle Berry's children."", 'Halle Berry scores another victory in child support battle ... | Halle Berry and ex-partner Gabriel Aubry modified their child support deal for daughter Nahla, 15, in a May 15 filing that caps her ...', 'Halle Berry - Biography - IMDb | Halle Maria Berry was born Maria Halle Berry on August 14, 1966 in Cleveland, Ohio and raised in Oakwood, Ohio to Judith Ann Berry (née Hawkins), a psychiatric nurse & Jerome Jesse Berry, a hospital attendant. Her father was African-American and her mother is of mostly English and German descent., Her father was African-American and her mother is of mostly English and German descent', 'Halle Berry | Halle Maria Berry is an American actress. She began her career as a model and entered several beauty contests, finishing as the first runner-up in the Miss ...', 'Ultimate News Database | ... refutes allegations that he resigned 05:02:11a Pigs halt Coventry woods ... supports Al Noor Centre for Children with Special Needs 03:38:16p ...', 'Halle Berry | No information is available for this page.', 'Halle Berry scores victory in decade-long child support ... | Halle Berry scores victory in decade-long child support battle against ex-husband Gabriel Aubry.']","1. Halle Berry was born in Cleveland, Ohio. 2 [3]. Her father was African-American and her mother is of mostly English and German descent. 3 [3]. There is no mention of her having British citizenship or being born in Britain.",REFUTES,['REFUTES']
"Seattle has 704,352 residents. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Seattle City Council rejects public drug use legislation | The council bill failed to pass in a 5-4 vote. Councilmembers Pedersen, Nelson, Debora Juarez and Dan Strauss voted in favor of the bill.', ""Seattle rejects bill to crack down on drug use despite ... | Seattle rejects bill to crack down on drug use despite overwhelming support from residents: 'Slap in the face'"", 'Seattle lawmaker furiously denies her support for ... | A Seattle lawmaker has furiously denied her support for defunding the police is to blame for soaring crime in the city. Advertisement. Council ...']","Step 1: How many residents of Seattle support the public drug use legislation?
Step 2: How many residents of Seattle oppose the public drug use legislation?
Step 3: How many residents of Seattle have not expressed a clear stance on the public drug use legislation?",None,,,"['Most Seattle residents support public drug use arrests, poll finds | The Seattle Times/Suffolk University poll asked a variety of questions about city politics of 500 Seattle residents, and found that just under 60% say they support police making arrests for the public use of illegal drugs, one of the most contentious issues in the city., just under 60%', 'Drug Possession and Public Use Legislation - Council | On Tuesday, May 16, 2023, the Washington state legislature passed 2E2SSB 5536, prohibiting drug possession and public drug use, among other things. City ...', 'Most Seattle residents support public drug use arrests, poll ... | A new poll suggests most Seattle residents support arresting people for public drug use, but have less clear views on individual possession ...', 'Most Seattle residents support public drug use arrests, poll ... | A new poll suggests most Seattle residents support arresting people for public drug use, but have less clear views on individual possession ...', 'Seattle City Council rejects public drug use legislation | The council bill failed to pass in a 5-4 vote. Councilmembers Pedersen, Nelson, Debora Juarez and Dan Strauss voted in favor of the bill.', 'Seattle city council to consider public drug use proposal | The city council attempted to pass a public drug use law in June, but it failed by one vote. Councilmembers Lisa Herbold and Andrew Lewis ...', ""Seattle City Council rejects public drug use legislation | Council members narrowly voted down a bill that would have allowed the City Attorney's Office to prosecute public drug use cases. Author: KING 5 ...""]","The Seattle Times/Suffolk University poll asked a variety of questions about city politics of 500 Seattle residents, and found that just under 60% say they support police making arrests for the public use of illegal drugs, one of the most contentious issues in the city [1].  On Tuesday, May 16, 2023, the Washington state legislature passed 2E2SSB 5536, prohibiting drug possession and public drug use, among other things [2].  A new poll suggests most Seattle residents support arresting people for public drug use [3].  The Seattle City Council rejected a public drug use legislation in a 5-4 vote [5].",NOT ENOUGH INFO,['NOT ENOUGH INFO']
"Randy Orton wrestles professionally. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""What Unpopular Opinions Do you Have about Randy Orton? | ... would. Not really unpopular, just don't think anyone cares enough to equate it to the wrestler Randy Orton. Reply reply. VermontDPT."", 'Randy Orton Was Unsure If He Would Be Able To Wrestle ... | Randy Orton discusses his time away from wrestling. Randy Orton took 18 months off from May 2022 to November 2023 to undergo spinal fusion ...', 'Randy Orton Returns To WWE - IMPAULSIVE EP. 401 | ... PLEASE NOTE*** Impaulsive is a significant break from the typical content viewers have come to expect from the vlog channel & we could not ...']",Step 1: What is Randy Orton known for? Step 2: How long has Randy Orton been wrestling professionally? Step 3: Has Randy Orton taken any significant breaks from wrestling? Step 4: Has Randy Orton undergone spinal fusion surgery? Step 5: When did Randy Orton return to WWE? Step 6: Is there any evidence of Randy Orton wrestling professionally?,Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 3. Step 5 depends on Step 4. Step 6 depends on Step 5.,Step 1: What is Randy Orton known for? ANSWER: professional wrestler and actor. Step 2: How long has Randy Orton been wrestling professionally?,How long has Randy Orton been wrestling professionally?,"['professional wrestler | professional wrestler, Randal Keith ""Randy"" Orton (born April 1, 1980) is an American professional wrestler and actor best known to sports entertainment audiences for his career signed with WWE. Orton was born in Knoxville, Tennessee, to Bob Orton, Jr. and his wife Elaine., professional wrestler and actor', 'Randy Orton | Randal Keith Orton (born April 1, 1980) is an American professional wrestler and actor. He is currently signed to WWE on the SmackDown brand.', 'Randy Orton - Wikipedia | Randal Keith Orton (born April 1, 1980) is an American professional wrestler and actor. He is currently signed to WWE on the SmackDown brand. With the third most world championship reigns in history, and a career spanning over 20 years, Orton is widely regarded as one of the greatest professional wrestlers of all time., over 20 years', 'Randy Orton - Simple English Wikipedia, the free ... | Randy Orton debuted in a 2002 edition of Smackdown against Hardcore Holly. He won the match by rolling up him. In the WWE Draft he was then drafted to Raw.', ""Every Major Injury Of Randy Orton's WWE Career, Explained | Randy Orton is one of WWE's biggest stars and has had to overcome a number of major injuries to retain his main event status."", ""Randy Orton opens up about pain pre-spinal fusion surgery ... | Orton had been sidelined after undergoing spinal fusion surgery. In his first interview since his comeback, Orton sat down with Logan Paul to record episode #401 of the IMPAULSIVE podcast. Orton expressed that he's not going anywhere and has no plans to transition to Hollywood., Orton had been sidelined after undergoing spinal fusion surgery"", 'Randy Orton Underwent Back Fusion Surgery, Forced ... | Fightful has learned that Randy Orton required a fusion in his lower back that would keep him out of action for an extended period of time. The surgery has ...']","Randy Orton is widely known as an American professional wrestler and actor and has been signed with WWE for over 20 years [1][2][3][4][5][6][7]. He has overcome major injuries to retain his main event status, including undergoing spinal fusion surgery. This supports the fact that Randy Orton wrestles professionally.",SUPPORTS,['SUPPORTS']
"Antarctica is wet. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['climate_fever · Datasets at Hugging Face | The label correspond to 0: ""supports"", 1: ""refutes"", 2: ""not enough info"" and 3: ""disputed"". evidences : a list of evidences with fields: ...', 'rexarski/climate_fever_fixed · Datasets at Hugging Face | ... Antarctica (1957 to 1960), finding a “distinct seasonal cycle…and possibly, a ... supports"", 1: ""refutes"" and 2: ""not enough info"". category : a string ...', 'Climate Change - the science facts (page 55) - Green Energy | But there is not enough info given to do that, nor is there any real ... supports the hypothesis that climate change is caused by humans. I ...']",Step 1: Is Antarctica wet? Step 2: What is the climate of Antarctica? Step 3: How much precipitation does Antarctica receive?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Is Antarctica wet? ANSWER: NO. Step 2: What is the climate of Antarctica?,What is the climate of Antarctica?,"[""Antarctica Climate: Weather, Temperature & Facts For Travellers | Antarctica's Climate It is, on average, the coldest, windiest, and driest of all the continents on Earth. Technically, Antarctica is a desert because it is so dry there; with an average annual precipitation of just 166mm along the coastal regions, and even less when moving further inland., Technically, Antarctica is a desert because it is so dry there; with an average annual precipitation of just 166mm along the coastal regions, and even less when moving further inland"", ""Weather and seasons in Antarctica | Antarctica only has two seasons: summer and winter. Because it's located in the southern hemisphere, Antarctica's summer is from October to February. During ..."", 'Antarctica Climate & Weather for Travelers - AdventureSmith | Antarctica is the coldest, driest and windiest continent on Earth. The average temperature of the interior is about -71 degrees Fahrenheit. The coast is warmer with average temperatures about 14 degrees F. Antarctica is technically a desert with less than 6.5 inches of average precipitation., a desert with less than 6.5 inches of average precipitation', 'Antarctica Climate: Weather, Temperature & Facts For ... | Technically, Antarctica is a desert because it is so dry there; with an average annual precipitation of just 166mm along the coastal regions, and even less when ...', '6.5 in | 6.5 in, The climate of Antarctica is the coldest on Earth. The continent is also extremely dry (it is a desert), averaging 166 mm (6.5 in) of precipitation per year. Snow rarely melts on most parts of the continent, and, after being compressed, becomes the glacier ice that makes up the ice sheet., 166 mm (6.5 in) of precipitation per year', 'Science and Support in Antarctica - About the Continent | Antarctica is the coldest, windiest, harshest continent, and with little precipitation (roughly 2 inches per year) is the driest place on earth.', 'climate_fever · Datasets at Hugging Face | The label correspond to 0: ""supports"", 1: ""refutes"", 2: ""not enough info"" and 3: ""disputed"". evidences : a list of evidences with fields: ...']","Antarctica is the coldest, windiest, and driest of all the continents on Earth, with an average annual precipitation of just 166mm along the coastal regions, and even less when moving further inland [1][3][5][6]. This supports the fact that Antarctica is not wet.",REFUTES,['REFUTES']
"Programmer works with coding. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['ProoFVer: Natural Logic Theorem Proving for Fact ... | The states S, R, and N in the automaton denote the task labels Supports, Refutes, and Not Enough Info, respectively. ... Explainable fact checking ...', 'FarFetched: Entity-centric Reasoning and Claim Validation ... | works (DAN) (Cer et al., 2018) or siamese and ... recall for the REFUTES and SUPPORTS classes,. Label. Precision. Recall F1-score. NOT ENOUGH INFO.', 'ReAct, Reasoning and Acting augments LLMs with Tools! | : a fact verification benchmark where each claim is annotated SUPPORTS, REFUTES, or NOT ENOUGH INFO, based on whether there exists a Wikipedia passage to verify ...']",Step 1: Does the programmer work with coding? Step 2: Is there any information about the programmer's job? Step 3: What does the programmer do for a living?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Does the programmer work with coding? ANSWER: YES. Step 2: Is there any information about the programmer's job?,Is there any information about the programmer's job?,"['What Do Programmers Do, Anyway? | They primarily write code using a variety of languages, including Python, C++ and Java, that a computer can read. To make sure everything functions correctly, computer programmers do frequent iterations of design, development, integration of software components, testing and getting feedback from clients., They primarily write code using a variety of languages, including Python, C++ and Java, that a computer can read', 'Programmer vs. Developer: Job Roles, Differences, Salaries | Computer programmers and software developers often work on the same team. The knowledge required for each role differs, with some overlap. Both ...', 'Computer Programmers : Occupational Outlook Handbook | Computer programmers write, modify, and test code and scripts that allow computer software and applications to function properly. They turn the designs created by software developers and engineers into instructions that a computer can follow., write, modify, and test code and scripts that allow computer software and applications to function properly', 'What Is a Computer Programmer? | Computer programmers work independently as part of larger software teams. Together with software developers and engineers, programmers create the instructions ...', 'Computer Programmers : Occupational Outlook Handbook | Computer programmers write, modify, and test code and scripts that allow computer software and applications to function properly. They turn the designs created by software developers and engineers into instructions that a computer can follow., write, modify, and test code and scripts that allow computer software and applications to function properly', 'What Do Programmers Do, Anyway? | Computer programmers design, develop and test software and ensure software adheres to best practices in performance, reliability and security.', 'ProoFVer: Natural Logic Theorem Proving for Fact ... | The states S, R, and N in the automaton denote the task labels Supports, Refutes, and Not Enough Info, respectively. ... Explainable fact checking ...']","Computer programmers primarily write code using a variety of languages, including Python, C++ and Java, that a computer can read [1]. They write, modify, and test code and scripts that allow computer software and applications to function properly [3][5]. Computer programmers design, develop and test software and ensure software adheres to best practices in performance, reliability, and security [6].",SUPPORTS,['SUPPORTS']
"Mammals are invertebrates. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Caleb Ball | The CEC supports the adoption of the South Australian EPA 2009 noise standard in NSW. ... compelling work which in some way refutes the previous ...', 'Climate Change - the science facts (page 55) - Green Energy | But there is not enough info given to do that, nor is there any real ... supports the hypothesis that climate change is caused by humans. I ...']",Step 1: Are mammals invertebrates? Step 2: What is the classification of mammals? Step 3: What are invertebrates?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Are mammals invertebrates? ANSWER: REFUTES. Step 2: What is the classification of mammals?,What is the classification of mammals?,"['Mammals - National Geographic Kids | Mammals include humans and all other animals that are warm-blooded vertebrates (vertebrates have backbones) with hair., warm-blooded vertebrates', 'What is an invertebrate? - ento.csiro.au | Invertebrates are a group of animals that have no backbone, unlike animals such as reptiles, amphibians, fish, birds and mammals who all have a backbone.', 'Mammal classification | Mammalia is a class of animal within the phylum Chordata. Mammal classification has been through several iterations since Carl Linnaeus initially defined ...', 'Invertebrate | Definition, Characteristics, Examples ... | Invertebrate, any animal that lacks a vertebral column, or backbone, in contrast to the cartilaginous or bony vertebrates.', 'Caleb Ball | The CEC supports the adoption of the South Australian EPA 2009 noise standard in NSW. ... compelling work which in some way refutes the previous ...', 'What is a Mammal? | Mammals are a group of vertebrate animals. Examples of mammals include rats, cats, dogs, deer, monkeys, apes, bats, whales, dolphins, and humans. Figure 6.2 ...', ""Mammal | A mammal (from Latin mamma 'breast') is a vertebrate animal of the class Mammalia Mammals are characterized by the presence of milk-producing mammary glands ...""]","Mammals are a class of animals within the phylum Chordata and are warm-blooded vertebrates with hair [1][3][6][7]. Invertebrates are a group of animals that have no backbone [2][4]. Mammals are vertebrates, not invertebrates.",REFUTES,['REFUTES']
"Grace Jones moved. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['fever · Datasets at Hugging Face | REFUTES. Andy Roddick lost 5 Master Series between 2002 and 2010. 73,660. 84,912 ... Grace Jones is a dancer. 209,812. 217,612. Grace_Jones. -1. 170,685. SUPPORTS.', 'Proceedings of the First Workshop on Fact Extraction and ... | ”supports”, ”refutes” or ”not enough info” with re- spect to the pages retrieved and select sentences as evidence at the same time. 3.1 ...', 'Improving Neural Question Answering with Retrieval and ... | moving from a correct answer to an incorrect answer when the augmenting docu- ... cation task (supports/refutes/not enough info) and the 2-way ( ...']",Step 1: Did Grace Jones move? Step 2: Where is Grace Jones currently located? Step 3: Is there any information about Grace Jones's recent relocation?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Did Grace Jones move? ANSWER: YES. Step 2: Where is Grace Jones currently located?,Where is Grace Jones currently located?,"[""Grace Jones joins Beyoncé's Renaissance after rejecting ' ... | Beyonce's new album, 'Renaissance,' features a Grace Jones collaboration on the dance track 'Move' after Jones previously rejected the idea ..."", 'Grace Jones | Grace Beverly Jones OJ (born 19 May 1948) is a Jamaican singer, songwriter, model and actress. ... Born in Jamaica, she and her family moved to Syracuse, New York ...', ""Grace Jones at 74: Surviving and Thriving in Her Eighth ... | True to form, Grace Jones's 2022 tour was an unusual one. In late September, she played only three dates: Seattle, Oakland, and Los Angeles."", 'fever · Datasets at Hugging Face | REFUTES. Andy Roddick lost 5 Master Series between 2002 and 2010. 73,660. 84,912 ... Grace Jones is a dancer. 209,812. 217,612. Grace_Jones. -1. 170,685. SUPPORTS.', 'Grace Jones | Born in Jamaica, she and her family moved to Syracuse, New York, when she was a teenager. Jones began her modelling career in New York state, then in Paris, ...', '✓ Grace Jones | London | Grace Jones is in New York, NY. Apr 14\U000f078b\U000f07e0.', 'About - Grace Jones | Born in Jamaica before relocating to Syracuse, New York with her family, Grace Jones embarked on a successful career as a model in New York City and Paris.']","Born in Jamaica, Grace Jones and her family moved to Syracuse, New York, when she was a teenager [2][5][7].",SUPPORTS,['SUPPORTS']
