Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
What was Oppa Oppa?,"['Oppa, Oppa | Oppa, Oppa is a digital single by Super Junior sub-group, Donghae&Eunhyuk. It was released on-line on 16 December 2011 by SM Entertainment and distributed ...', 'Oppa, Hyung, Noona, Unnie, Sunbae, and Hubae | To recap, you call a Korean guy oppa when you address an older male acquaintance as a female. You can use unnie to refer to an elder sister or an older female ...', 'Oppa, Oppa - Super Junior Wiki - Fandom | ""Oppa, Oppa"" (떴다 오빠; Tteossda oppa) is the first digital single by Super Junior-D&E, released on December 16, 2011.']","Step 1: What is the release date of Oppa Oppa by Super Junior-D&E?
Step 2: Who are the members of Super Junior-D&E?
Step 3: What is the meaning of ""Oppa"" in Korean?
Step 4: What is the meaning of ""Oppa Oppa"" in Korean?
Step 5: What is the significance of ""Oppa Oppa"" in the context of Korean culture?",Step 2 depends on Step 1. Step 4 depends on Step 3. Step 5 depends on Step 3. Step 5 depends on Step 4.,"Step 1: What is the release date of Oppa Oppa by Super Junior-D&E? ANSWER: December 16, 2011. Step 2: Who are the members of Super Junior-D&E?",Who are the members of Super Junior-D&E?,"['Oppa, Oppa | Oppa, Oppa is a digital single by Super Junior sub-group, Donghae&Eunhyuk. It was released on-line on 16 December 2011 by SM Entertainment and distributed ...', 'Super Junior-D&E | Super Junior-D&E is the fifth sub-unit of South Korean boy band Super Junior, composed of two Super Junior members: Donghae and Eunhyuk.', ""older brother of a female person | older brother of a female person, In Korean oppa (오빠) literally means “older brother of a female person”, but the meaning of oppa changed over time and now can refer to a female person's. older brother, very close friend who is older (but not much older!), romantic interest, boyfriend, and sometimes even husband, if they are older., older brother of a female person"", 'Oppa, Hyung, Unnie, Noona - What are the Differences? | Oppa, hyung, unnie, and noona are all honorifics that people use to refer to each other in Korea. Korean is a hierarchical language, this means ...', 'Oppa Definition & Meaning - YourDictionary | Borrowed from Korean OPPA OPPA 오빠 (oppa, “elder brother or close elder male friend (of a female)"") From Wiktionary., elder brother or close elder male friend (of a female)', ""What does oppa mean? | Oppa doesn't mean boyfriend. A three-year-old girl can call her four-year-old brother oppa. Oppa meaning boyfriend would of course make that ..."", ""What is the meaning of 'oppa' in Korean language and ... | 'Oppa' and 'Unni' are titles used in family and friend relationships in Korean, and are used based on age and gender. Oppa: 'Oppa' is a term ...""]","Oppa Oppa is a digital single by Super Junior sub-group, Donghae&Eunhyuk [1][2].","A digital single by Super Junior sub-group, Donghae&Eunhyuk.","['Oppa, Oppa is a digital single by Super Junior sub-group, Donghae&Eunhyuk.']"
Who was Władysław Gomułka?,"['Władysław Gomułka | Władysław Gomułka was a Polish Communist politician. He was the de facto leader of post-war Poland from 1947 until 1948, and again from 1956 to 1970.', ""Władysław Gomułka | Polish Communist Leader & Politician | Władysław Gomułka, first secretary of the Central Committee of the Polish United Workers' Party, the ruling communist party of Poland, ..."", 'Władysław Gomułka summary | Władysław Gomułka, (born Feb. 6, 1905, Białobrzegi, near Krosno, Pol., Austria-Hungary—died Sept. 1, 1982, Warsaw, Pol.), Leader of the Polish Communist ...']",Step 1: When was Władysław Gomułka born? Step 2: When did Władysław Gomułka die? Step 3: What was Władysław Gomułka's role in post-war Poland? Step 4: What was Władysław Gomułka's role in the Polish United Workers' Party? Step 5: What is Władysław Gomułka's significance in Polish history?,Step 5 depends on Step 4. Step 2 depends on Step 1. Step 3 depends on Step 1. Step 4 depends on Step 3. Step 5 depends on Step 3.,"Step 1: When was Władysław Gomułka born? ANSWER: February 6, 1905.. Step 2: When did Władysław Gomułka die?",When did Władysław Gomułka die?,"['Władysław Gomułka/Date of birth | February 6, 1905, Władysław Gomułka (Polish: [vwaˈdɨswaf ɡɔˈmuwka]; 6 February 1905 – 1 September 1982) was a Polish Communist politician. He was the de facto leader of post-war Poland from 1947 until 1948, and again from 1956 to 1970. Born in 1905 in Galicia, Gomulka was of proletarian origin.', 'Władysław Gomułka | Polish Communist Leader & Politician | Władysław Gomułka, (born February 6, 1905, Białobrzegi, near Krosno, Poland, Austria-Hungary—died September 1, 1982, Warsaw, Poland), first ...', 'Władysław Gomułka/Date of death | September 1, 1982', ""Władysław Gomułka | A heavy smoker, he died in 1982 at the age of 77 of lung cancer. Gomułka's memoirs were not published until 1994, long after his death, and five years ..."", 'Władysław Gomułka - Wikipedia | Władysław Gomułka (Polish: [vwaˈdɨswaf ɡɔˈmuwka]; 6 February 1905 – 1 September 1982) was a Polish Communist politician. He was the de facto leader of post-war Poland from 1947 until 1948, and again from 1956 to 1970.', 'Władysław Gomułka | Polish Communist Leader & Politician | Gomułka was ruthless in eliminating all opposition to communist rule. He personally led the struggle to crush the Polish Peasant Party (PSL), ...', ""Władysław Gomułka | Polish Communist Leader & Politician | Władysław Gomułka, first secretary of the Central Committee of the Polish United Workers' Party, the ruling communist party of Poland, from 1956""]",Władysław Gomułka was a Polish Communist politician [1][2].,A Polish Communist politician.,['A Polish communist politician.']
When was Roxette formed?,"['Roxette/Active from | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | Fredriksson had a successful career in her native country prior to forming Roxette. She was a member of punk group Strul, a band which created their own music ...', 'Roxette Singer Marie Fredriksson Is Dead at 61 | Fredriksson and the singer-songwriter Per Gessle formed Roxette in 1986. Each had achieved moderate success in Sweden; they decided that ...']",Step 1: Who were the members of Roxette? Step 2: What was the breakthrough album of Roxette? Step 3: When did Roxette release their breakthrough second album Look Sharp!? Step 4: When did Marie Fredriksson and Per Gessle form Roxette?,Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 1.,Step 1: Who were the members of Roxette? ANSWER: Marie Fredriksson and Per Gessle. Step 2: What was the breakthrough album of Roxette?,What was the breakthrough album of Roxette?,"['Roxette | Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an ...', 'Look Sharp! (30th Anniversary Edition) - Amazon | Originally released in October 1988 Look Sharp! Was Swedish pop duo Roxette breakthrough album going platinum across many territories., Look Sharp!', 'Roxette | ""The Look"" became their first No. 1 in the US on 8 April 1989, where it remained for one week. The breakthrough for Roxette became international when the song ...', '21 October 1988 | 21 October 1988, Look Sharp! is the second studio album by Swedish pop duo Roxette, released on 21 October 1988 by EMI, two years after their debut Pearls of Passion (1986). It was recorded at EMI Studios in Stockholm and at Trident II Studios in London between March and September 1988., 21 October 1988', 'Roxette | Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp! Their third album ...', '1986 | 1986, Roxette was a Swedish pop rock duo, consisting of Marie Fredriksson (vocals) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp!, 1986', 'Marie Fredriksson | was a Swedish singer, best known internationally as the lead vocalist of pop rock duo Roxette, which she formed in 1986 with Per Gessle.']",Roxette was formed in 1986 [1][6][7].,1986,['1986']
what does fema stand for,"[""Federal Emergency Management Agency/Full name | Federal Emergency Management Agency, Since 1979, the Federal Emergency Management Agency (FEMA) has been the Federal Government's lead agency in responding to and recover- ing from many of the Nation's greatest moments of crisis. Throughout its history, FEMA has built upon the more than 200 years of Federal involvement in disasters., Federal Emergency Management Agency"", ""About Us | FEMA.gov | Our Mission. FEMA's mission is helping people before, during and after disasters, and our core values and goals help us achieve it."", 'About FEMA | FEMA.gov | On April 1, 1979, President Carter established the Federal Emergency Management Agency (FEMA) with the dual functions of civil defense and ...']",Step 1: What is the full name of FEMA? Step 2: When was FEMA established? Step 3: What is FEMA's mission? Step 4: What are FEMA's core values and goals? Step 5: What are FEMA's functions?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 4 depends on Step 3. Step 5 depends on Step 4.,Step 1: What is the full name of FEMA? ANSWER: Federal Emergency Management Agency. Step 2: When was FEMA established?,When was FEMA established?,"['Federal Emergency Management Agency/Full name | Federal Emergency Management Agency, The Federal Emergency Management Agency (FEMA) employs more than 20,000 people nationwide. Headquartered in Washington, D.C., we have 10 regional offices located across the country., Federal Emergency Management Agency', 'History of FEMA | The first legislative act of federal disaster relief in U.S. history followed a devastating fire in Portsmouth, New Hampshire in December 1802.', 'Federal Emergency Management Agency/Founded | April 1, 1979, History of FEMA FEMA was officially created in 1979 through an executive order by President Jimmy Carter. Our history can be traced as far back as 1803. On March 1, 2003, FEMA became part of the Department of Homeland Security. Learn more about our history., March 1, 2003', 'History of FEMA | President Carter signed Executive Order 12127, effective April 1, 1979, establishing FEMA. Shortly after, in signing Executive Order 12148 on ...', '1. What does FEMA do? - DOEE.DC.Gov. | FEMA (Federal Emergency Management Agency) mission is to support the citizens and first responders to promote that as a nation we work together to build, sustain, and improve our capability to prepare for, protect against, respond to, recover from, and mitigate all hazards.', ""About Us | FEMA.gov | Our Mission. FEMA's mission is helping people before, during and after disasters, and our core values and goals help us achieve it."", ""Publication 1 - FEMA | We live our core values of Compassion, Fairness, Integrity, and Respect every day to help people and support the Nation's disaster and emergency management needs., Compassion, Fairness, Integrity, and Respect""]",FEMA stands for Federal Emergency Management Agency [1][5].,Federal Emergency Management Agency,['FEMA stands for Federal Emergency Management Agency']
who created casper,"['Casper the Friendly Ghost | Creation edit. Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations.', 'Seymour V. Reit, 83, a Creator of Casper the Friendly Ghost | Seymour V. Reit, an author and illustrator best known as a creator of the cartoon character Casper the Friendly Ghost, died on Nov.', 'Casper (film) | Casper is a 1995 American supernatural comedy-drama film directed by Brad Silberling, in his feature film directorial debut, based on the Harvey Comics ...']",Step 1: Who created Casper the Friendly Ghost? Step 2: Who devised the idea for the character of Casper? Step 3: Who provided illustrations for Casper the Friendly Ghost?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who created Casper the Friendly Ghost? ANSWER: Seymour Reit and Joe Oriolo.. Step 2: Who devised the idea for the character of Casper?,Who devised the idea for the character of Casper?,"['Casper the Friendly Ghost | Creation edit. Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations.', ""Casper the Friendly Ghost - Wikipedia | Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations. Initially intended as the basis for a children's storybook, there was at first little interest in their idea and the book went unpublished., Seymour Reit and Joe Oriolo"", 'Seymour V. Reit, 83, a Creator of Casper the Friendly Ghost | Seymour V Reit, author and illustrator who created cartoon character Capser the Friendly Ghost, died Nov 21 at age 83; photos (M)', 'Casper the Friendly Ghost - Wikipedia | Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations., Seymour Reit and Joe Oriolo', 'What cartoonist made Casper the Friendly Ghost? | Casper the Friendly Ghost ... Seymour Reit came up with the ideas for the character and storylines, and Joe Oriolo provided the illustrations.', 'Casper the Friendly Ghost | Creation edit. Casper was created by Seymour Reit and Joe Oriolo, the former devising the idea for the character and the latter providing illustrations.', 'Seymour V. Reit, 83, a Creator of Casper the Friendly Ghost | Seymour V. Reit, an author and illustrator best known as a creator of the cartoon character Casper the Friendly Ghost, died on Nov.']",Casper was created by Seymour Reit and Joe Oriolo [1][2][4].,Seymour Reit and Joe Oriolo,['Casper was created by Seymour Reit and Joe Oriolo']
what is enceladus named after,"[""Enceladus - NASA Science | Enceladus is named after the giant, Enceladus, of Greek mythology. William Herschel's son John Herschel suggested the name in his 1847 publication Results of Astronomical Observation made at the Cape of Good Hope, in which he suggested names for the first seven Saturnian moons discovered., the giant, Enceladus, of Greek mythology"", 'Enceladus | Enceladus was discovered by William Herschel ; Enceladus is named after the giant ; Geological features on Enceladus are named by the International Astronomical ...', 'Enceladus | Geology, Plumes & Eruptions | It was discovered in 1789 by the English astronomer William Herschel and named for one of the Giants (Gigantes) of Greek mythology. Category: Science & Tech. On ...']",Step 1: Who discovered Enceladus? Step 2: When was Enceladus discovered? Step 3: What is Enceladus named after?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who discovered Enceladus? ANSWER: William Herschel. Step 2: When was Enceladus discovered?,When was Enceladus discovered?,"[""Enceladus/Discoverer | William Herschel, 1789: On 28 August 1789, Sir William Herschel discovered Saturn's moon Enceladus. Enceladus is one of the innermost moons of Saturn., Sir William Herschel"", 'Enceladus | Enceladus was discovered on August 28, 1789 by William Herschel, but little was known about it until the two Voyager spacecraft, Voyager 1 and Voyager 2, flew ...', ""Enceladus/Discovered | 1789, 1789: On 28 August 1789, Sir William Herschel discovered Saturn's moon Enceladus. Enceladus is one of the innermost moons of Saturn. It reflects almost 100 percent of the sunlight that strikes it and has at least five different types of terrain., 1789"", 'Enceladus | Enceladus was discovered on August 28, 1789 by William Herschel, but little was known about it until the two Voyager spacecraft, Voyager 1 and Voyager 2, flew ...', ""Enceladus - NASA Science | Enceladus is named after the giant, Enceladus, of Greek mythology. William Herschel's son John Herschel suggested the name in his 1847 publication Results of Astronomical Observation made at the Cape of Good Hope, in which he suggested names for the first seven Saturnian moons discovered., the giant, Enceladus, of Greek mythology"", 'Enceladus | Enceladus was discovered by William Herschel ; Enceladus is named after the giant ; Geological features on Enceladus are named by the International Astronomical ...', ""Enceladus - NASA Science | Enceladus is named after the giant, Enceladus, of Greek mythology. William Herschel's son John Herschel suggested the name in his 1847 publication Results of Astronomical Observation made at the Cape of Good Hope, in which he suggested names for the first seven Saturnian moons discovered., the giant, Enceladus, of Greek mythology""]",Enceladus is named after the giant Enceladus of Greek mythology [5][7].,The giant Enceladus of Greek mythology.,['Enceladus is named after the giant Enceladus of Greek mythology.']
who constructed the katse dam,"['Katse Dam - Wikipedia | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion., a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International', ""Katse Dam | The first part of the LHWP was the Katse Dam. Construction started on the Katse Dam in 1991 on the Malibamats'o River, a tributary of the Orange (Senqu) ..."", 'Katse Dam | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. 2 Katse. Katse Dam is 185 meters ( ...']",Step 1: When was the Katse Dam completed? Step 2: When did the construction of the Katse Dam start? Step 3: Who built the Katse Dam?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: When was the Katse Dam completed? ANSWER: 1996. Step 2: When did the construction of the Katse Dam start?,When did the construction of the Katse Dam start?,"['Katse Dam/Date opened | 1996, The Katse Dam has a double curve arch structure. The dam was officially completed in 1996 and the reservoir was filled with water in 1997. On January 22, 1998, water began to be delivered to South Africa., 1996', 'Katse Dam | The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion. Katse Airport was constructed ...', ""1991 | 1991, Construction started on the Katse Dam in 1991 on the Malibamats'o River, a tributary of the Orange (Senqu) River. The dam was completed in 1997 and is 710 meters long and 185 meters high., 1991"", 'Katse Dam | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. ... The dam was completed in 1996 and ...', 'Katse Dam - Wikipedia | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion., a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International', ""Katse Dam | The first part of the LHWP was the Katse Dam. Construction started on the Katse Dam in 1991 on the Malibamats'o River, a tributary of the Orange (Senqu) ..."", 'Katse Dam - Wikipedia | The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International. The dam was completed in 1996 and the reservoir filled with water by 1997. The total cost of the project was US$8 billion., a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International']","The Katse Dam was constructed by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group, and Sterling International [4][5][7].","A consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group, and Sterling International.","['The dam was built by a consortium of Bouygues, Concor, Group 5, Hochtief, Impregilo, Kier Group and Sterling International.']"
Who owns XIX Entertainments?,"['XIX Entertainment | The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment ...', 'XIX Entertainment | CONTACT · LOS angeles · LONDON. 259a Pavilion Road London SW1X 0BP. T: +44 20 7801 1919. E: info@xixentertainment ...', ""XIX ENTERTAINMENT | XIX ENTERTAINMENT | 3663 followers on LinkedIn. Simon Fuller's XIX Entertainment ... Company size: 11-50 employees. Headquarters: West Hollywood, CA. Type ...""]",Step 1: When was XIX Entertainment set up? Step 2: Who set up XIX Entertainment? Step 3: What is the value of XIX Entertainment? Step 4: Who is the owner of XIX Entertainment?,Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 2.,Step 1: When was XIX Entertainment set up? ANSWER: 2010. Step 2: Who set up XIX Entertainment?,Who set up XIX Entertainment?,"['XIX Entertainment/Founded | 2010, XIX Entertainment is an entertainment content and intellectual rights organisation based in North America and Europe. The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment properties., 2010', '19 Entertainment | Founded by Simon Fuller in London in 1985, the company co-produced Pop Idol in the United Kingdom with Thames Television in 2001. The Idol series has since ...', 'Simon Fuller | Simon Fuller, The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment properties., Simon Fuller', 'XIX Entertainment | Simon Fuller · CONTACT · SOCIAL ...', 'XIX Entertainment - Wikipedia | XIX Entertainment is an entertainment content and intellectual rights organisation based in North America and Europe. The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment properties., $100 million', ""19 Entertainment | In March 2005, 19 Entertainment founder Simon Fuller sold the company to Robert Sillerman's CKX, Inc. in a cash and stock deal worth $210 million."", 'XIX Entertainment - Wikipedia | The company, which has been valued at $100 million was set up by Simon Fuller in 2010 to commercially develop world class individuals and entertainment properties.']",XIX Entertainment was founded by Simon Fuller in 2010 [1][3][5].,Simon Fuller,['Simon Fuller']
when did lucifer premier,"['Lucifer/First episode date | January 25, 2016, Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016., January 25, 2016', 'Lucifer (TV series) | Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021.', 'Lucifer (TV series) - Lucifer Wiki - Fandom | Season 2 premiered on Monday, September 19, 2016. On February 13, 2017, FOX announced that Lucifer will return for a third season.']",Step 1: When did the TV series Lucifer begin airing? Step 2: When did the TV series Lucifer conclude?,Step 2 depends on Step 1.,"Step 1: When did the TV series Lucifer begin airing? ANSWER: January 25, 2016. Step 2: When did the TV series Lucifer conclude?",When did the TV series Lucifer conclude?,"['January 25, 2016 | January 25, 2016, Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021., January 25, 2016', 'List of Lucifer episodes | Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016.', ""'Lucifer' series finale recap: How the devil says goodbye on ... | After six seasons, one cancellation by Fox, a rescue by Netflix and lots of romantic tension between Lucifer Morningstar (Tom Ellis) and ..."", 'Lucifer/First episode date | January 25, 2016, Lucifer is an American fantasy police procedural comedy-drama television series developed by Tom Kapinos that premiered on Fox on January 25, 2016., January 25, 2016', 'Lucifer (TV series) | Lucifer is an American urban fantasy television series developed by Tom Kapinos that began airing on January 25, 2016, and concluded on September 10, 2021.', 'Lucifer (TV series) - Lucifer Wiki - Fandom | Season 1 premiered on January 25, 2016, and finished airing on April 25, 2016. FOX renewed the series on April 7, 2016, for a second season. Season 2 premiered ...', ""Let's Break Down the 'Lucifer' Season 6 Ending, Shall We? | The series is officially complete and there won't be a seventh season. But with an ending like this one, we can't think of a better note to end ...""]","Lucifer premiered on January 25, 2016 [1][2][4][5][6].","January 25, 2016","['Lucifer premiered January 25, 2016.']"
what is the ashes series,"[""What is Ashes Series? Definition of ... - The Economic Times | Definition: The term 'Ashes' first came into practice after Australia defeated England - for the first time on English soil - at The Oval on 29th August 1882. Ever since, the two sides compete for one of the cricket's highest trophies, 'The Ashes'. So far, 325 tests have been played in the historic series., the two sides compete for one of the cricket's highest trophies"", ""The Ashes | The Ashes is a men's Test cricket series played biennially between England and Australia. The term originated in a satirical obituary published in a British ..."", 'List of Ashes series | The Ashes is a Test cricket series played between England and Australia. The series have varied in length, consisting of between one and seven Test matches, ...']",Step 1: When did the term 'Ashes' first come into practice? Step 2: How did the term 'Ashes' originate? Step 3: How many tests have been played in the Ashes series? Step 4: How often is the Ashes series played? Step 5: How many Test matches does the Ashes series consist of?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 4 depends on Step 3. Step 5 depends on Step 4.,Step 1: When did the term 'Ashes' first come into practice? ANSWER: 29th August 1882. Step 2: How did the term 'Ashes' originate?,How did the term 'Ashes' originate?,"['The Ashes - Lord\'s Cricket Ground | The term \'Ashes\' was first used after England lost to Australia - for the first time on home soil - at The Oval on 29th August 1882. A day later, the Sporting Times carried a mock obituary of English cricket which concluded that: ""The body will be cremated and the ashes taken to Australia""., 29th August 1882', ""The Ashes | The term originated in a satirical obituary published in a British newspaper, The Sporting Times, immediately after Australia's 1882 victory at The Oval, its ..."", 'The Ashes - Lord\'s Cricket Ground | The term \'Ashes\' was first used after England lost to Australia - for the first time on home soil - at The Oval on 29th August 1882. A day later, the Sporting Times carried a mock obituary of English cricket which concluded that: ""The body will be cremated and the ashes taken to Australia""., first used after England lost to Australia - for the first time on home soil - at The Oval on 29th August 1882', ""The Ashes | The Ashes is a men's Test cricket series played biennially between England and Australia. The term originated in a satirical obituary published in a British ..."", ""List of Ashes series - Wikipedia | Series records Australia has won more Ashes Tests than England, winning 140 of the 340 matches, compared to England's 108 victories., 340 matches"", 'The Ashes | Ashes series have usually consisted of five Tests, hosted in turn by England and Australia approximately every two years. The Ashes are regarded as being held ...', 'Every two years | Every two years, Every two years, cricket fans rally for the Ashes series – a five-match test cricket series played between Australia and England. The host country alternates each time and is typically played in multiple capital cities, offering a brilliant culmination of sport, entertainment and adventure., Every two years']",The Ashes is a men's Test cricket series played biennially between England and Australia [4][6].,Men's Test cricket series between England and Australia,['The Ashes is a Test cricket series played between England and Australia.']
