Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
Brian Gallivan was an actor who created a web series for the network run by the theatre troupe based in what city?,"['Brian Gallivan | Brian Gallivan is an American actor, writer and comedian. He gained significant attention for his Second City Network web series Sassy Gay Friend.', 'Brian Gallivan | Brian Gallivan is known for A Thousand Words (2012), The Informant! (2009) and Shrinking (2023).', 'Brian Gallivan | Brian Gallivan wrote and performed four revues on The Second City Mainstage in Chicago.']","Step 1: What is the name of the web series created by Brian Gallivan?
Step 2: What is the name of the theatre troupe associated with the Second City Network?
Step 3: In what city is the Second City Mainstage located?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the name of the web series created by Brian Gallivan? ANSWER: Sassy Gay Friend. Step 2: What is the name of the theatre troupe associated with the Second City Network?,What is the name of the theatre troupe associated with the Second City Network?,"['Brian Gallivan - Wikipedia | Brian Gallivan is an American actor, writer and comedian. He gained significant attention for his Second City Network web series Sassy Gay Friend, based on a character he created in 2004 Second City mainstage revue Red Scare., Sassy Gay Friend', 'Brian Gallivan | Brian Gallivan is known for A Thousand Words (2012), The Informant! (2009) and Shrinking (2023).', 'The Second City | The Second City is an improvisational comedy enterprise. It is the oldest improvisational theater troupe to be continuously based in Chicago, with training ...', 'The Second City - Wikipedia | The Second City is an improvisational comedy enterprise. It is the oldest improvisational theater troupe to be continuously based in Chicago, with training programs and live theatres in Toronto and Los Angeles., Toronto and Los Angeles', ""The Second City: Comedy Shows in Chicago, Toronto & ... | The world's premier comedy club, comedy theater, and school of improvisation. Live shows every night in Chicago, Toronto & New York. Tickets on sale now."", 'Brian Gallivan | Brian Gallivan is an American actor, writer and comedian. He gained significant attention for his Second City Network web series Sassy Gay Friend.', 'Brian Gallivan | Brian Gallivan ; Birth name, Brian Charles Gallivan ; Born, January 1969 in Boston, Massachusetts, USA ; Notable Shows, The McCarthys.']","Brian Gallivan gained significant attention for his web series created for Second City Network [1][4]. Second City is an improvisational comedy enterprise with live theatres in Chicago, Toronto, and Los Angeles [3][5]. Brian Gallivan is known for his work with Second City Network [6]. Brian Gallivan was born in Boston, Massachusetts, USA [7].",Chicago,['Chicago']
"Greg Hoffman was working on ""Saw III,"" a 2006 American horror film, but was unable to finish his work on the film, which was directed by who?","['Saw III | Saw III is a 2006 horror film directed by Darren Lynn Bousman from a screenplay by Leigh Whannell and a story by Whannell and James Wan.', 'Saw III | Saw Wiki - Fandom | Saw III is a horror film directed by Darren Lynn Bousman and written by James Wan and Leigh Whannell. It was the third film in the Saw franchise and was ...', 'Film / Saw III | Saw III is the third film in the Saw horror film series, released on October 27, 2006 and directed by Darren Lynn Bousman. As opposed to the second film ...']","Step 1: Who was Greg Hoffman?
Step 2: What was Greg Hoffman's role in ""Saw III""?
Step 3: Who directed ""Saw III""?
Step 4: What happened to Greg Hoffman's work on ""Saw III""?",Step 2 depends on Step 1.,"Step 1: Who was Greg Hoffman? ANSWER: Film producer. Step 2: What was Greg Hoffman's role in ""Saw III""?","What was Greg Hoffman's role in ""Saw III""?","['Gregg Hoffman - Wikipedia | Gregg Hoffman (June 11, 1963 – December 4, 2005) was a film producer responsible for developing Saw and Saw II., film producer responsible for developing Saw and Saw II', 'Movie Producer Gregg Hoffman Dies at 42 | Film producer Gregg Hoffman, who developed an eight-minute film into the horror hit ""Saw"" and its gory successor ""Saw II,"" died unexpectedly ...', 'Gregg Hoffman | He studied communications, law and economics at American University in Washington, D.C. Hoffman was working on Saw III, Saw IV, and other films for Twisted ...', 'Saw III/Director | Darren Lynn Bousman, Saw III is a 2006 horror film directed by Darren Lynn Bousman from a screenplay by Leigh Whannell and a story by Whannell and James Wan., Darren Lynn Bousman', 'Saw III (2006) | Saw III: Directed by Darren Lynn Bousman. With Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh. Jigsaw abducts a doctor in order to keep himself ... Rating: 6.2/10, \u200e209,070 votes', 'Gregg Hoffman | He studied communications, law and economics at American University in Washington, D.C. Hoffman was working on Saw III, Saw IV, and other films for Twisted ...', 'Saw III | Saw III is a 2006 horror film directed by Darren Lynn Bousman from a screenplay by Leigh Whannell and a story by Whannell and James Wan.']",Gregg Hoffman was responsible for developing Saw and Saw II [1]. Saw III is a 2006 horror film directed by Darren Lynn Bousman [4]. Saw III was directed by Darren Lynn Bousman [7].,Darren Lynn Bousman,['Darren Lynn Bousman']
What is the name of the class guided missile destroyer named for the female who was a pioneer of computer programming responsible for inventing one of the first compiler related tools?,"['Grace Hopper - Wikipedia | The U.S. Navy Arleigh Burke-class guided-missile destroyer USS Hopper was named for her, as was the Cray XE6 ""Hopper"" supercomputer at NERSC., USS Hopper', 'Grace Murray Hopper | Early Life, Education & Achievements | Grace Murray Hopper was a pioneer in coding and in making computers user-friendly. She invented several tools that helped to simplify coding, ...', 'History of Women in IT: 6 Female Pioneers in Computer ... | Inventing computing methods and devices, like the compiler (Grace Hopper); Advancing human space exploration (Katherine Johnson); Developing ...']","Step 1: What is the name of the female pioneer of computer programming responsible for inventing one of the first compiler related tools?
Step 2: What is the name of the class guided missile destroyer named after Grace Hopper?
Step 3: What are the achievements of Grace Hopper in computer programming and technology?",Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the name of the female pioneer of computer programming responsible for inventing one of the first compiler related tools? ANSWER: Grace Hopper. Step 2: What is the name of the class guided missile destroyer named after Grace Hopper? ANSWER: Arleigh Burke-class. Step 3: What are the achievements of Grace Hopper in computer programming and technology?,What are the achievements of Grace Hopper in computer programming and technology?,"['Grace Hopper | Grace Hopper, Just a few of the achievements women have made in IT include: Creating the first computer program (Ada Lovelace) Inventing computing methods and devices, like the compiler (Grace Hopper), Grace Hopper', 'Grace Hopper | Grace Brewster Hopper (née Murray; December 9, 1906 – January 1, 1992) was an American computer scientist, mathematician, and United States Navy rear admiral.', 'Arleigh Burke-class | Arleigh Burke-class, USS Hopper (DDG-70) is an Arleigh Burke-class guided missile destroyer of the United States Navy, named for the pioneering computer scientist Rear Admiral Grace Hopper., USS Hopper', 'Rear Admiral Grace Hopper | Guided-missile destroyer USS Hopper (DDG-70) proudly bears the name of Rear Admiral Grace Murray Hopper, who was a pioneer in the field of ...', 'Biography of Grace Murray Hopper | Office of the President | While working on the UNIVAC I and II, Hopper pioneered the idea of automatic programming and explored new ways to use the computer to code. In 1952 she developed the first compiler called A-0, which translated mathematical code into machine-readable code—an important step toward creating modern programming languages., pioneered the idea of automatic programming and explored new ways to use the computer to code', 'Grace Hopper - Computer Coder, Education & Achievements | Best Known For: Computer programmer Grace Hopper helped develop a compiler that was a precursor to the widely used COBOL language and became a rear admiral in ...', 'Grace Hopper - Wikipedia | The U.S. Navy Arleigh Burke-class guided-missile destroyer USS Hopper was named for her, as was the Cray XE6 ""Hopper"" supercomputer at NERSC., USS Hopper']",Grace Hopper was a computer scientist and mathematician who pioneered the idea of automatic programming and developed the first compiler [1]. The USS Hopper (DDG-70) is an Arleigh Burke-class guided missile destroyer named for Rear Admiral Grace Hopper [3]. Grace Hopper helped develop a compiler that was a precursor to the widely used COBOL language [6].,USS Hopper,"['USS ""Hopper""']"
What member of the Scriblerus Club also wrote an opera in which music was arranged by Johann Christoph Pepusch?,"[""MUS 243 | Ballad Opera Flashcards | John Christopher (Johann Christoph) Pepusch (1667-1752). Gay's musical collaborator who arranged simple accompaniments and composed the overture. The Music of ..."", 'Johann Christoph Pepusch | Johann Christoph Pepusch also known as John Christopher Pepusch and Dr Pepusch, was a German-born composer who spent most of his working life in England.', ""The Beggar's Opera: With New Airs and Additional Music | The Beggar's Opera is a ballad opera in three acts written in 1728 by John Gay with music arranged by Johann Christoph Pepusch. ... also to arrange the 69 songs.""]","Step 1: Who were the members of the Scriblerus Club?
Step 2: What opera had music arranged by Johann Christoph Pepusch?
Step 3: Who wrote the libretto for The Beggar's Opera?
Step 4: What member of the Scriblerus Club wrote the libretto for The Beggar's Opera?",None,,,"['Scriblerus Club | Alexander Pope, John Gay, Jonathan Swift | Scriblerus Club, 18th-century British literary club whose founding members were the brilliant Tory wits Alexander Pope, Jonathan Swift, John Gay, Thomas Parnell, and John Arbuthnot., Alexander Pope, Jonathan Swift, John Gay, Thomas Parnell, and John Arbuthnot', 'Scriblerus Club | The nucleus of the club included the satirists Jonathan Swift and Alexander Pope. Other members were John Gay, John Arbuthnot, Henry St. John and Thomas Parnell ...', ""The Beggar's Opera | The Beggar's Opera, The Beggar's Opera is a ballad opera in three acts written in 1728 by John Gay with music arranged by Johann Christoph Pepusch. It is one of the watershed plays in Augustan drama and is the only example of the once thriving genre of satirical ballad opera to remain popular today., The Beggar's Opera"", 'Johann Christoph Pepusch | He composed works of all forms, including stage and church music as well as concertos and continuo sonatas. He often made use of popular dance forms, such as ...', 'John Gay | John Gay', ""John Gay - Wikipedia | John Gay (30 June 1685 – 4 December 1732) was an English poet and dramatist and member of the Scriblerus Club. He is best remembered for The Beggar's Opera (1728), a ballad opera. The characters, including Captain Macheath and Polly Peachum, became household names., John Gay"", ""The Beggar's Opera | The Beggar's Opera ... This article is about the ballad opera. For the Scottish rock band, see Beggars Opera (band). For the film, see The Beggar's Opera (film).""]","John Gay was a member of the Scriblerus Club and also wrote The Beggar's Opera, in which the music was arranged by Johann Christoph Pepusch [6].",John Gay,['John Gay']
Are Curtis Publishing Co. v. Butts and Ware v. Hylton both cases involving the Bill of Rights?,"['Curtis Publishing Company v. Butts | A case in which the Court held that public figures asserting a defamation claim must show that a statement was made ""with knowledge that it was false or ...', ""Curtis Publishing Co. v. Butts :: 388 U.S. 130 (1967) | Respondent brought a libel action in the Texas state courts for compensatory and punitive damages. Petitioner's defense was based on truth and constitutional ..."", 'Curtis Publishing Company v. Butts, 351 F.2d 702 | A petition for writ of certiorari presenting constitutional questions identical to those now being urged by Curtis, was filed in the United States Supreme Court ...']","Step 1: What is the Curtis Publishing Co. v. Butts case about?
Step 2: What is the Ware v. Hylton case about?
Step 3: Are either of these cases related to the Bill of Rights?",Step 3 depends on Step 2.,Step 2: What is the Ware v. Hylton case about? ANSWER: International treaties trump state law. Step 3: Are either of these cases related to the Bill of Rights?,Are either of these cases related to the Bill of Rights?,"['Curtis Publishing Company v. Butts - Oyez | Curtis Publishing Co. v. Butts concerns an article published in the March 23, 1963 edition of The Saturday Evening Post alleging that former University of Georgia football coach Wallace Butts conspired with University of Alabama coach Paul ""Bear"" Bryant to fix a 1962 football game in Alabama\'s favor., former University of Georgia football coach Wallace Butts conspired with University of Alabama coach Paul ""Bear"" Bryant to fix a 1962 football game in Alabama\'s favor', 'Curtis Publishing Co. v. Butts :: 388 U.S. 130 (1967) | A defamation cause of action may accrue when the media is reckless in publishing allegations about public figures without checking their accuracy.', 'Ware v. Hylton - Ballotpedia | Ware v. Hylton established that the Treaty of Paris superseded an otherwise valid Virginia statute under the Supremacy Clause. The Supremacy Clause of the U.S. Constitution establishes the supremacy of the constitution, federal laws, and federal treaties over state constitutions and statutes., established that the Treaty of Paris superseded an otherwise valid Virginia statute under the Supremacy Clause', 'Ware v. Hylton | A case in which the Court held that federal courts have the power to determine the constitutionality of state laws, and a federal treaty supersedes any ...', 'The Bill of Rights: A Brief History | The Bill of Rights established soaring principles that guaranteed the most fundamental rights in very general terms. But from the beginning, real live cases ...', 'Curtis Publishing Company v. Butts | A case in which the Court held that public figures asserting a defamation claim must show that a statement was made ""with knowledge that it was false or ...', 'Curtis Publishing Co. v. Butts (1967) | Butts, 388 U.S. 130 (1967), the Supreme Court upheld a libel judgment on behalf of the athletic director at the University of Georgia and gave ...']","Curtis Publishing Co [1]. v. Butts concerns an article published in The Saturday Evening Post, alleging conspiracy in a football game. This case involves a defamation cause of action when the media is reckless in publishing allegations about public figures without checking accuracy [2]. Ware v [3]. Hylton established that the Treaty of Paris superseded a Virginia statute under the Supremacy Clause. Federal courts have the power to determine the constitutionality of state laws, as seen in Ware v [4]. Hylton. The Bill of Rights established fundamental rights in general terms [5]. In Curtis Publishing Co [6]. v. Butts, the Court held that public figures asserting a defamation claim must show that a statement was made ""with knowledge that it was false."" The Supreme Court upheld a libel judgment in Curtis Publishing Co [7]. v. Butts.",No,['no']
"The actress appeared as Maryann in the show Cybill won a Tony Award for ""The Real Thing"" in what year?","[""1984 | 1984, Baranski made her Broadway debut in Hide & Seek in 1980. For her next Broadway performance, in Tom Stoppard's The Real Thing, she won the 1984 Tony Award Best Featured Actress in a Play., 1984"", ""Christine Baranski - Emmy Awards, Nominations and Wins | She received her big break being cast in Tom Stoppard's hit Broadway comedy The Real Thing ... Outstanding Supporting Actress In A Drama Series - 2011. Nominee."", ""Christine Baranski | On Broadway, she played in Tom Stoppard's comedy The Real Thing, directed by Mike Nichols and starring Glenn Close and Jer y Irons, and won both a Tony Award ...""]","Step 1: What is the name of the actress who appeared as Maryann in the show Cybill?
Step 2: What is the name of the play in which Christine Baranski won a Tony Award?
Step 3: In what year did Christine Baranski win a Tony Award for ""The Real Thing""?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the name of the actress who appeared as Maryann in the show Cybill? ANSWER: Christine Baranski. Step 2: What is the name of the play in which Christine Baranski won a Tony Award?,What is the name of the play in which Christine Baranski won a Tony Award?,"[""Christine Baranski | Christine Baranski, Alicia Witt and Dedee Pfeiffer co-starred as Sheridan's daughters, with Alan Rosenberg and Tom Wopat playing their respective fathers, while Christine Baranski appeared as Cybill's hard-drinking friend Maryann., Christine Baranski"", 'Cybill (TV Series 1995–1998) | Top cast ; Cybill Shepherd · Cybill Sheridan ; Christine Baranski · Maryann Thorpe ; Alicia Witt · Zoey Woodbine ; Alan Rosenberg · Ira Woodbine ; Tim Maculan. Rating: 6.9/10, \u200e4,761 votes', 'The Real Thing | The Real Thing, Baranski won two Tony Awards for Best Featured Actress in a Play for the original Broadway productions of The Real Thing in 1984 and Rumors in 1989., The Real Thing', 'List of awards and nominations received by Christine ... | For her work on the Broadway stage she received two Tony Award nominations and wins for her performances in The Real Thing in 1984 and Rumours in 1989.', ""1984 | 1984, For her next Broadway performance, in Tom Stoppard's The Real Thing, she won the 1984 Tony Award Best Featured Actress in a Play., 1984"", 'List of awards and nominations received by Christine ... | For her work on the Broadway stage she received two Tony Award nominations and wins for her performances in The Real Thing in 1984 and Rumours in 1989.', ""1984 | 1984, Baranski made her Broadway debut in Hide & Seek in 1980. For her next Broadway performance, in Tom Stoppard's The Real Thing, she won the 1984 Tony Award Best Featured Actress in a Play., 1984""]","Christine Baranski appeared as Maryann in the show Cybill [1]. Christine Baranski won a Tony Award for ""The Real Thing"" in 1984 [3][4][5]. Baranski made her Broadway debut in Hide & Seek in 1980 [7].",1984,['1984']
"Groundhog Day is a musical comedy with music and lyrics by Tim Minchin, it's based on which 1993 film of the same name, written by Rubin and Harold Ramis?","['Matilda The Musical | Matilda The Musical, Based on the popular 1993 film comedy of the same title, Groundhog Day has music and lyrics by Tim Minchin (Matilda The Musical) and book by Danny Rubin (who co-scripted the film of the same name with Harold Ramis)., Matilda The Musical', 'Groundhog Day (musical) | Groundhog Day is a musical with music and lyrics by Tim Minchin and a book by Danny Rubin. It is based on the 1993 film of the same name, which featured a ...', 'Groundhog Day lyrics | Song lyrics for musical | Groundhog Day is a musical comedy with music and lyrics by Tim Minchin, and a book by Danny Rubin. Based on the 1993 film of the same name ...']","Step 1: What is the 1993 film Groundhog Day based on?
Step 2: Who wrote the book for the musical Groundhog Day?
Step 3: Who co-scripted the film Groundhog Day with Harold Ramis?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: What is the 1993 film Groundhog Day based on? ANSWER: An original script by Danny Rubin. Step 2: Who wrote the book for the musical Groundhog Day?,Who wrote the book for the musical Groundhog Day?,"['Is the movie Groundhog Day based on a book? - Quora | Groundhog Day was based upon an original script by a writer named Danny Rubin. The completed film script was a co-creation of Mr. Rubin and director Harold Ramis., an original script by a writer named Danny Rubin', 'Groundhog Day (film) | Groundhog Day is a 1993 American fantasy comedy film directed by Harold Ramis from a screenplay by him and Danny Rubin. Starring Bill Murray, Andie ...', 'Groundhog Day/Playwright | Danny Rubin, Groundhog Day is a musical with music and lyrics by Tim Minchin and a book by Danny Rubin., Danny Rubin', ""Groundhog Day The Musical | “…tone is finely established in composer Tim Minchin's evocative and exhilarating score… It is at once supremely melodic, magical, haunting and hilarious.” The ..."", 'Danny Rubin | Danny Rubin, Danny Rubin (born 1957) is an American screenwriter and playwright. He wrote the original story, and then co-wrote with Harold Ramis the screenplay for the 1993 comedy film Groundhog Day, for which the two received a BAFTA Award for Best Screenplay., Danny Rubin', 'Groundhog Day (film) | Groundhog Day is a 1993 American fantasy comedy film directed by Harold Ramis from a screenplay by him and Danny Rubin. Starring Bill Murray, Andie ...', 'Matilda The Musical | Matilda The Musical, Based on the popular 1993 film comedy of the same title, Groundhog Day has music and lyrics by Tim Minchin (Matilda The Musical) and book by Danny Rubin (who co-scripted the film of the same name with Harold Ramis)., Matilda The Musical']","Groundhog Day is a musical comedy with music and lyrics by Tim Minchin, based on the 1993 film of the same name, written by Danny Rubin and Harold Ramis [3][5].",Groundhog Day,['Groundhog Day']
What city are Davidson's and Rich's department stores?,"[""Atlanta, Georgia | Atlanta, Georgia, Description: View of the entrances of Davison's department store taken from the corner Peachtree Street and Ellis Street in Atlanta, Georgia. Davison's Store opened in 1891 and was the major competition to Rich's Department Store. Davison's sold out to R.H., Atlanta, Georgia"", ""Davison's | Davison's of Atlanta was a department store chain and an Atlanta shopping institution. It was the major competition to Rich's and it took the Macy's name in ..."", ""Rich's (department store) | Rich's was a department store retail chain, headquartered in Atlanta, Georgia, which operated in the southern U.S. from 1867 until March 6, 2005 when the ...""]","Step 1: Where was Davison's department store located?
Step 2: Where was Rich's department store located?",None,,,"[""downtown Atlanta, Georgia | downtown Atlanta, Georgia, Description: View of Davison's Department Store and the Roxy Theater on Peachtree Street in downtown Atlanta, Georgia. Founded as Davison-Paxon and later Davison-Paxon-Stokes, Davison's was a dry goods company that sold out to R.H. Macy & Company in 1925., downtown Atlanta, Georgia"", ""Davison's | Davison's of Atlanta was a department store chain and an Atlanta shopping institution. It was the major competition to Rich's and it took the Macy's name in ..."", 'Atlanta | Atlanta, Rich\'s department store, Atlanta. Flagship store at 45 Broad Street which opened in 1924. Now part of the Sam Nunn Federal Center, and referred to as ""The 1924 Building"". From northeast facing southwest., 45 Broad Street', ""Rich's Department Store - Atlanta | In 1924 the downtown Atlanta store moved to its final location at the corner of Alabama and Broad streets. Rich's grew along with the city in ..."", ""Atlanta, Georgia | Atlanta, Georgia, Description: View of the entrances of Davison's department store taken from the corner Peachtree Street and Ellis Street in Atlanta, Georgia. Davison's Store opened in 1891 and was the major competition to Rich's Department Store. Davison's sold out to R.H., Atlanta, Georgia"", ""Davison's | Davison's of Atlanta was a department store chain and an Atlanta shopping institution. It was the major competition to Rich's and it took the Macy's name in ..."", ""Davison-Paxon Co., Atlanta | The original Davison's in Downtown Atlanta (before the 1925 store) was located much futher south on Peachtree Street near the downtown Rich's store. For decades ...""]","Both Davidson's and Rich's department stores are located in Atlanta, Georgia [1][2][3][4][5][6][7].",Atlanta,['Atlanta']
"When was the album including ""Marvins Room"" released?","['Take Care (album) - Wikipedia | On June 9, 2011, a second track titled ""Marvins Room"" was released via his blog. Drake initially stated that the song would not be featured on Take Care, but because of the song\'s unexpected success, prompting it was released as a digital and radio single on July 22, 2011 and would be on Take Care., June 9, 2011', 'Marvins Room | ""Marvins Room"" is a song by Canadian recording artist Drake. It is the lead single from Drake\'s second studio album Take Care. Produced by 40, it features ...', ""Marvins Room | Drake Wiki - Fandom | Marvins Room ; Released, June 9, 2011 (October's Very Own blog) July 22, 2011 (iTunes) June 28, 2011 (radio) ; Recorded, April 2011 ; Format, Digital download.""]","Step 1: When was ""Marvins Room"" released as a single?
Step 2: When was ""Marvins Room"" included in Drake's album Take Care?
Step 3: When was Drake's album Take Care released?",Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: When was ""Marvins Room"" released as a single? ANSWER: June 28, 2011. Step 2: When was ""Marvins Room"" included in Drake's album Take Care?","When was ""Marvins Room"" included in Drake's album Take Care?","[""Marvins Room - Wikipedia | It was initially posted by Drake to his October's Very Own blog on June 9, 2011. Positive public reception to the song prompted its release as a single on June 28 to urban contemporary radio and as a digital download., June 28"", ""Marvins Room | Drake Wiki - Fandom | Marvins Room ; Released, June 9, 2011 (October's Very Own blog) July 22, 2011 (iTunes) June 28, 2011 (radio) ; Recorded, April 2011 ; Format, Digital download."", 'Take Care (album) - Wikipedia | On June 9, 2011, a second track titled ""Marvins Room"" was released via his blog. Drake initially stated that the song would not be featured on Take Care, but because of the song\'s unexpected success, prompting it was released as a digital and radio single on July 22, 2011 and would be on Take Care., June 9, 2011', 'Marvins Room | ""Marvins Room"" is a song by Canadian recording artist Drake. It is the lead single from Drake\'s second studio album Take Care. Produced by 40, it features ...', 'Take Care (album) | Take Care is the second studio album by Canadian rapper Drake. It was released on November 15, 2011, by Young Money Entertainment, Cash Money Records and ...', 'Take Care (album) - Wikipedia | On June 9, 2011, a second track titled ""Marvins Room"" was released via his blog. Drake initially stated that the song would not be featured on Take Care, but because of the song\'s unexpected success, prompting it was released as a digital and radio single on July 22, 2011 and would be on Take Care., June 9, 2011', 'Marvins Room | ""Marvins Room"" is a song by Canadian recording artist Drake. It is the lead single from Drake\'s second studio album Take Care. Produced by 40, it features ...']","The album ""Take Care"" was released on November 15, 2011, by Young Money Entertainment, Cash Money Records [5].","November 15, 2011","['November 15, 2011']"
"Lola Kirke, is an English-born American actress, singer-songwriter and musician, she is also known for her supporting role in Gone Girl, premiered in which year, an American psychological thriller film?","['Lola Kirke | Lola Kirke. Actress: Gone Girl. Kirke was born in London, and raised in New York City from the age of five. Her father, Simon Kirke, is the former drummer ...', ""In Conversation With Lola Kirke | Singer, songwriter, and actress Lola Kirke (known for her role in 2014's Gone Girl) has made a name for herself as a fierce triple threat in ..."", ""How Old Was Lola Kirke as Greta in Gone Girl? | Lola Kirke starred in a supporting role as Greta in David Fincher's psychological thriller film Gone Girl. Based on Gillian Flynn's novel of ...""]","Step 1: What is Lola Kirke known for?
Step 2: What is the premiere year of the film Gone Girl?
Step 3: What is Lola Kirke's role in the film Gone Girl?",Step 3 depends on Step 1.,Step 1: What is Lola Kirke known for? ANSWER: Acting in film and television. Step 3: What is Lola Kirke's role in the film Gone Girl?,What is Lola Kirke's role in the film Gone Girl?,"['Lola Kirke | She starred in the 2015 film Mistress America and the Amazon Studios television series Mozart in the Jungle. She appeared in Gone Girl (2014), Gemini (2017), ...', 'Gone Girl/Release date | October 3, 2014, Gone Girl premiered as the opening film at the 52nd New York Film Festival on September 26, 2014, and was theatrically released in the United States on October 3, 2014 by 20th Century Fox., October 3, 2014', ""Gone Girl (2014) | Gone Girl: Directed by David Fincher. With Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry. With his wife's disappearance having become the ..."", 'Gone Girl/Lola Kirke/Character | Greta, Gone Girl (2014) - Lola Kirke as Greta - IMDb., Greta', ""Greta (Gone Girl) - The Female Villains Wiki - Fandom | Greta (Lola Kirke) is a hidden villainess of the 2014 film Gone Girl, as well as Gillian Flynn's 2012 novel of the same title. She is the girlfriend of Jeff ..."", 'Lola Kirke | Lola Kirke. Actress: Gone Girl. Kirke was born in London, and raised in New York City from the age of five. Her father, Simon Kirke, is the former drummer ...', 'Lola Kirke | Lola Kirke. Actress: Gone Girl. Kirke was born in London, and raised in New York City from the age of five. Her father, Simon Kirke, is the former drummer ...']","Lola Kirke starred in the 2014 film Gone Girl [1]. Gone Girl premiered in the United States on October 3, 2014 [2]. Gone Girl is an American psychological thriller film directed by David Fincher [3].",2014,['2014']
