Question,GT Answer,"open-squad-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google"
What needs to be avoided with civil disobedience?,"['general disobedience', 'undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit', 'great amount of it', 'general disobedience', 'conscientious lawbreakers']",Violence
If law breaking is not done in a public manor it is not considered what term?,"['civil disobedience', 'lawbreaking', 'civil disobedience', 'civil disobedience', 'civil disobedience']",Public order crime
Why was AC electricity gaining popularity?,"['because of its advantages in long-distance, high-voltage transmission', 'advantages in long-distance, high-voltage transmission', 'because of its advantages in long-distance, high-voltage transmission']",Lower energy losses over long distances
Under what law is value of a worker determined?,"['supply and demand', 'law of supply and demand', 'supply and demand']",Fair Labor Standards Act (FLSA)
Where did Kenyatta visit at the invitation of the President?,"['China', 'China', 'China']",China
In what geographical portion of Wales is Abercynon located?,"['south', 'south', 'south']",Southern
"The Kuznets curve says with economic development, inequality will decrease after what?","['first increases', 'inequality first increases', 'increases']",a certain level of average income
For what purpose is oxygen used by animal life?,"['cellular respiration', 'cellular respiration', 'cellular respiration', 'in cellular respiration', 'cellular respiration']",to transform nutrients into energy
Name one way in which a person can become a Professing Member?,"['transfer from another Christian denomination', 'through confirmation and sometimes the profession of faith.', 'the profession of faith']",By being baptized and professing vows
What did Martin Luther do during 1510 to 1520?,"['lectured', 'lectured on the Psalms', 'lectured']",Appointed a professor of the Bible at the University of Wittenberg
Who was the first known European to visit China and return?,"['Marco Polo', 'Marco Polo', 'Marco Polo']",Bento de Góis
What team did the Panthers defeat?,"['Arizona Cardinals', 'the Arizona Cardinals', 'Arizona Cardinals']",Jacksonville Jaguars
What did Johannes Agricola preach that God's gospel revealed?,"[""God's wrath to Christians"", ""God's wrath"", ""God's wrath to Christians.""]",God's immeasurable grace in Christ
Who often operates internet pharmacies?,"['brick-and-mortar community pharmacies that serve consumers online and those that walk in their door', 'brick-and-mortar community pharmacies', 'brick-and-mortar community pharmacies']",Pharmacy benefits managers (PBMs)
When was the confederation of the Rhine?,"['1806', '1806', '1806']","12 July, 1806"
Who ordained the first Methodist clergy?,"['John Wesley', 'John Wesley,', 'John Wesley']",United Brethren Church
With whom must someone who wants to teach register?,"['the General Teaching Council for Scotland (GTCS)', 'General Teaching Council for Scotland', 'General Teaching Council for Scotland']",State-approved teacher preparation program
What is  the time rate of change of electric charge?,"['electric current', 'electric current', 'electric current', 'electric current']",amperes (A)
When did Sunday Night Football premiere on NBC?,"['2006', '2006', '2006']","August 6, 2006"
What river did Genghis Khan cross before defeating the main Tangut army?,"['the Yellow River', 'Yellow River', 'Yellow River']",Yellow River
Who is the founder of the Salvation Army?,"['William Booth', 'William Booth', 'William Booth']",William Booth
Who commissioned the Gateshead Milennium Bridge?,"['Gateshead Council', 'Gateshead Council', 'Gateshead Council']",Gateshead Council
How long has the Doctor Who Magazine been in circulation?,"['since 1979', '1979', 'since 1979']",Since 1979
Other theories of the word's origin can be generally classed as what?,"['double or triple non-French linguistic origins', 'non-French linguistic origins']",false etymology
"What additional srevice did BSkyB offer besides HD channels that they claimed offered ""substantially more value""?","['Video On Demand', 'Video On Demand content', 'HD channels and Video On Demand']",Video On Demand
What is it called when the tax rate and base amount increase simultaneously?,"['progressive tax', 'progressive tax', 'progressive']",Progressive tax
What additional benefits are there to surrounding community of expansion?,"['enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible.', 'enhanced transit infrastructure, possible shuttles open to the public, and park space which will also be publicly accessible', 'enhanced transit infrastructure, possible shuttles open to the public, and park space']",Job opportunities and community improvements
Which network broadcast the game in Spanish?,"['ESPN Deportes', 'ESPN Deportes', 'ESPN Deportes']",NBC
What has technological innovation and automation replaced low-skilled jobs with?,"['machine labor', 'machine labor', 'machine labor']",High-skilled and low-skilled jobs
