Question,Answer,Conversation#,Turn#,Context,Question Length
"What other music related things besides singing, learning guitar and drumming, was Donnie Iris involved with early on?",Donnie Iris formed a vocal doo-wop group called the Fabutons and performed gigs around Beaver and Lawrence counties in Pennsylvania.,7226,5,"['Where was Donnie Iris born?', 'Donnie Iris was born in New Castle, Pennsylvania.', 'When did Donnie Iris get into music?', ""Donnie Iris began to learn how to sing at an early age from his mother, who had sung in Curly Venezie's orchestra."", 'Did Donnie Iris learn how to play any instruments?', 'The popularity of rock and roll inspired Donnie Iris to become a guitarist and he took up the drums.', 'Where did Donnie Iris go to school?', 'Donnie Iris is a graduate of Lincoln High School.']",21
Was the diet for Legend of the Fist: The Return of Chen Zhen to gain weight or lose weight ?,"To gain weight. Focusing on high-protein drinks and vitamin and mineral supplements, Donnie Yen managed to hit 165 pounds for the role.",2814,3,"['Did Donnie Yen work with a trainer ?', 'Donnie Yen later went on to study the art of Parkour, Wrestling, Muay Thai, Kickboxing and Boxing under various trainers.', 'What kind of exercise did Donnie Yen do to bodybuild ?', 'Donnie Yen had to regain his muscular physique for the role and took 6 months through a very delicate and dedicated diet routine.']",21
"What was the final score for the December 14, 2019 game between the Army Black Knights and the Navy Midshipmen","The final score for the December 14, 2019 game was 31-7 in favor of the Navy Midshipmen.",8325,3,"['who won the football game between army and navy', 'The Navy Midshipmen won their last match against the Army Black Knights.', 'When was the last game between the Army Black Knights and the Navy Midshipmen', 'The last game between the Army Black Knights and the Navy Midshipmen took place on December 14, 2019.']",21
What was clay walker working on during the time when he charted with a live rendition of Earl Thomas Conley's 1983 single Holding her and Loving you?,"Clay Walker debuted his sixteenth single, Ordinary People",1598,1,[],29
"Were there any other leads in the movie Heavy Traffic besides Joseph Kaufmann, Beverly Hope Atkinson, Frank Dekova, and Terri Haven?",Heavy Traffic starred Mary Dean Lauria.,7211,6,"['Did Ralph Bakshi produce Hey Good Lookin’?', ""Hey Good Lookin' is a 1982 American adult animated coming of age comedy film written, directed, and produced by Ralph Bakshi."", 'What happened in the year 1973 to Ralph Bakshi?', ""Ralph Bakshi's Hey Good Lookin’ was optioned and greenlit by Warner Bros. in 1973"", ""Did Ralph Bakshi's Heavy Traffic play in theatres that year of 1973?"", 'Although Heavy Traffic received an X rating, more theaters were willing to screen adult-oriented animated features because of the success of Fritz the Cat.', 'Was the film Heavy Traffic a success?', 'Heavy Traffic was a box office success.', 'Who starred in the film Heavy Traffic?', 'Heavy Traffic starred Joseph Kaufmann, Beverly Hope Atkinson, Frank Dekova, and Terri Haven.']",25
How did the Alf-Inge Haland incident where he was sent off for a blatant knee-high foul on Alf-Inge Håland affect Roy Keane's career?,"Roy Keane initially received a three-match suspension and a £5,000 fine from The Football Association, but further punishment followed after the release of Keane's autobiography in August 2002",6157,3,"['When was the Alf-Inge Haland incident with Roy Keane?', 'The Alf-Inge Haland incident with Roy Keane was in 2001', 'What happened during the Alf-Inge Haland incident in 2001 with Roy Keane?', 'Roy Keane made headlines again in the 2001 Manchester derby, when five minutes from the final whistle, he was sent off for a blatant knee-high foul on Alf-Inge Håland']",25
What other records did Red Faber set besides when he finished the 1920 season with 23 wins and led the league in games started?,In 1927 Red Faber broke up a 21-game hitting streak by a still capable 40 year-old Ty Cobb.,124,4,"['Why did Red Faber become successful?', 'Red Faber was one of only six pitchers to win 100 or more games in both the dead ball and live ball eras.', 'What team did Red Faber play for?', 'Red Faber achieved most of his success with White Sox teams that were usually barely competitive.', 'How did Red Faber reach his success?', 'Red Faber finished the 1920 season with 23 wins and led the league in games started.']",25
"What are some more important aspects regarding the style and influences of Avenged Sevenfold besides their influences, singles from Nightmare, and Bat Country?","On City of Evil, Avenged Sevenfold's third album, the band chose to abandon the metalcore genre, using a more hard rock and heavy metal style.",4195,5,"[""Can you provide me with a little background information on Avenged Sevenfold's style and influences?"", 'Avenged Sevenfold are considered a heavy metal, hard rock and metal core band. They cite Metallica, Elton John, Leonard Cohen, Dream Theater, Def Leppard, The Beatles, Black Sabbath as influences.', 'Are there Avenged Sevenfold hit singles?', ""All singles from Avenged Sevenfold's album Nightmare charted in the United States."", 'Which Avenged Sevenfold singles were the most popular?', ""Bat Country is often believed to be Avenged Sevenfold's most commercially successful song."", 'Did Bat Country by Avenged Sevenfold hit the charts?', ""Avenged Sevenfold's Bat Country charted at No. 2 on U.S. Billboard Hot Mainstream Rock Tracks, No. 6 on U.S. Billboard Hot Modern Rock Tracks, No. 60 U.S. Billboard Hot 100""]",26
What was Will Forte's comic book 101 Things to Definitely Not Do If You Want to Get a Chick about?,101 Things to Definitely Not Do If You Want to Get a Chick is a comic book that details incompetent men.,864,2,"['How did Will Forte get started in comedy?', ""Forte's first successful foray into comedy was 101 Things to Definitely Not Do If You Want to Get a Chick, a comic book he produced that details incompetent men.""]",22
Did Sandara Park have any other significant achievements during 2009 besides her first solo single Kiss topping South Korean music charts?,"2NE1 continued to release hit albums and songs, including I Am the Best (2011) which topped charts in South Korea.",4539,7,"['When did Sandara Park debut with 2NE1?', 'Sandara Park took on the stage name Dara, and together with Bom, CL and Minzy, debuted as K-pop girl group 2NE1 in 2009.', ""How did Sandara Park's 2009 debut with 2NE1 go?"", ""2NE1 achieved significant success with the hit single I Don't Care, which won the Song of the Year award at the 2009 Mnet Asian Music Awards."", ""Did Sandara Park and 2NE1 have any other success besides winning Song of the Year at the 2009 Mnet Asian Music Awards for the single I Don't Care?"", '2NE1 won their first Artist of the Year and Album of the Year award for To Anyone at the 2010 Mnet Asian Music Awards.', ""What other awards did Sandara Park and 2NE1 receive besides Song of the Year at the 2009 Mnet Asian Music Awards for the single I Don't Care and Art of the Year and Album of the Year at the 2010 Mnet Asian Music Awards for the album To Anyone?"", '2NE1 won the Best Vocal Performance by a Group for their song Lonely.', 'What are some of Sandara Park solo activities?', 'In 2009, Sandara Park released her first solo single, Kiss, which featured fellow 2NE1 member CL as a rapper.', ""Was Sandara Park's first solo single Kiss successful?"", ""Sandara Park's first solo single Kiss topped South Korean music charts.""]",22
