Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google"
What actor had his final performance in the film based on a dytopian novel by David Eggers called The Circle?,['Bill Paxton'],Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton,Bill Paxton
The southern terminus of State Route 102 is located in a town on the southwestern side of an island know to locals as what?,['the backside'],Vernon Township,the backside,Almaville,Almaville,the backside,the backside,the backside,the backside,Almaville,the backside,the backside,the backside,the backside,the backside,the backside,the backside,the backside,the backside,the backside,the backside,Mount Desert Island,Mount Desert Island,Mount Desert Island,Mount Desert Island,Mount Desert Island
Which New Jersey-based manufacturer of suitcases and bags for travel is located in the Shops at Columbus Circle in New York City?,"['Tumi Holdings, Inc.']",Tumi,Tumi,Tumi,Tumi,Tumi,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI,TUMI
"Abba Kovner  was a Jewish Hebrew and Yiddish poet, writer and cousin of the youngest and longest surviving signatory of what?",['Israeli Declaration of Independence'],Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence,Israeli Declaration of Independence
"In which year did this division, where Cleveland Browns placed fourth in 2009, adopt its current name?",['2002'],2002,2002,2002,2002,1953,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,1953,2002,2002,2002,2002,2002
What city and nation was the location of the 2015 Pacific Games where the Kiribati national basketball team finished with a 0-4 record?,"['Port Moresby, Papua New Guinea']","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea"
Where did Leigh Anne Tuohy’s son play college football?,['University of Mississippi'],University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi,University of Mississippi
The Last Run is a drama film that stars which Lithuanian-American actor?,['Vyto Ruginis'],Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis,Vyto Ruginis
What team did Kenny Brown manage following the departure of Dean Holdsworth?,['Chelmsford'],Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford City,Chelmsford,Chelmsford,Chelmsford,Chelmsford,Chelmsford
Is the school where Aaron Parrett currently teaches English Literature public or private?,['private'],Private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private,private
Who died in the battle located near the River Boyne in Ireland?,['Eochaid or Eochu Étgudach'],"2,000 participants","2,000 participants","2,000 participants","2,000 participants","2,000 participants","About 2,000 participants","About 2,000 participants","About 2,000 participants","About 2,000 participants","about 2,000 participants","About 2,000 participants","About 2,000 participants","About 2,000 participants","About 2,000 participants","about 2,000 participants","About 2,000 people","About 2,000 people","About 2,000 people","About 2,000 people","About 2,000 people","About 2,000 people","About 2,000 people","About 2,000 people","About 2,000 people","About 2,000 people"
