Question,Answer,Level,Question Length
Were both Kay Boyle and Ann-Marie MacDonald novelist?,yes,medium,9
Angelique Kerber and Hana Mandlíková are both what?,tennis player,hard,9
Are Jeff Buckley and Vampire Weekend both American?,yes,medium,9
Hans Schlegel and Vladimír Remek are both what?,astronaut,medium,9
The writer of Superfudge is of  which country,American,medium,8
"are Heshan, Guangxi and Guiyang both capitals>",no,medium,9
What is Royal Rumble?,wrestling,easy,5
Where are popular events often held in Wayville?,Adelaide Showground,hard,9
When was Thomas Eagleton's running mate born?,"July 19, 1922",medium,9
Are Fitness and Stylist catered to men?,no,hard,8
Which Austrian-born psychologist conducted the Stanford Marshmallow experiment?,Walter Mischel,medium,9
Are Haibowan District and Bei'an both in China?,yes,medium,9
What philosopher was born in Chornukhy in 1722?,Gregory Skovoroda,medium,9
What are both Ken Follett and Lorrie Moore?,writer,medium,9
How is Damon Stoudamire related to Terrence Jones?,cousin,easy,9
Are Atom Smash and Gorillaz both bands?,yes,medium,8
Are Duvalia and Sprekelia both types of plants?,yes,medium,9
"Which film was released first,Tron or Maleficent",Tron,medium,9
Are Taxus and Galanthus in the same family?,no,medium,9
When was the founder of Shanduka Group born ?,17 November 1952,medium,9
Are Leucocoryne and Anopterus both plants?,yes,medium,7
Are Monaco and Cloud Control both bands?,yes,medium,8
Jane Relf and Paul Carrack are both what?,singer,hard,9
How is Dubliner cheese connected to Ornua?,The Irish Dairy Board,easy,8
"Which genus is aquatic, Phylica or Nelumbo?",Nelumbo,medium,9
What did Caitlin Greer do for the company?,Her voice was used,easy,9
 Are both Floor Jansen and Kevin Rowland singers?,yes,medium,9
Are Guy Ritchie and Todd Field.both filmmakers?,yes,medium,8
Are Lampranthus and Ochna in the same family?,no,medium,9
Syneilesis and Nymphoides are both what?,genus,hard,7
how is Lewisia and Heliconia connected?,plant,easy,7
When was father of the Carter Family born?,"December 15, 1891",medium,9
Are Brassolaeliocattleya and Codonopsis both hybrids?,no,medium,7
Who founded the company that purchased GB Airways?,Stelios Haji-Ioannou,medium,9
Where was Summertime sang by Abbie Mitchell? ,opera,easy,8
Is Pityrogramma is the genus Bouteloua?,no,easy,7
What Argentinian singer sang Volveré?,Diego Verdaguer,easy,6
Do Hugh Cornwell and Doug Pinnick musicians?,yes,easy,8
Are Fra Diavolo and Taverner operas?,yes,medium,7
Weekend Express stars which anchor/correspondent for HLN?,Lynn Smith,easy,8
Who founded a 2016 American computer-animated comedy film ?,Chris Meledandri,hard,9
how is Nikola Pilić and Iveta Benešová related?,tennis player,easy,9
Are John Greyson and Lucky McKee both directors?,yes,medium,9
Where was the host of Pressure Pad born?,"Glasgow, Scotland",medium,9
Are the Hobbit and FM-7 both home computers?,yes,medium,9
Are both Variety and The Advocate LGBT-interest magazines?,no,medium,9
When was British Board of Film Classification founded?,1912,easy,9
who is older Matt Barlow or Ty Tabor ?,Ty Tabor,medium,9
How many episodes does Kim-ji-soo show Memory have?,16 episodes,easy,9
What country do both Limnocharis and Paulownia share?,China,medium,9
"Which magazine is older, If or Tikkun?",If,medium,9
What county is Princeton Stadium located in?,Mercer County,medium,8
In what country is Closeburn railway station located?,Scotland,medium,9
How is a door related to Korean myths?,"The Munjeon Bonpuri (Korean: 문전본풀이 ) is meaning 'Annals of the Door', 'Book of the Door', 'Narration of the Door' or 'Explanation of the Door",easy,9
What does Stanley Kubrick do?,film,easy,6
Hyomin and Benjamin Orr are both what?,singer,medium,8
Jack Hill and Pedro Costa are both what?,film director,medium,9
What American novelist wrote Telegraph Avenue?,Michael Chabon,easy,7
Are Wenchang and Macheng in the same country?,yes,medium,9
Pacific International University is located in what county?,Greene County,medium,9
"Which band is older, Flyleaf or Zoé? ",Zoé,medium,9
Who died in the year 1990?,Princess Sophie of Hohenberg,easy,7
What baseball team calls Centene Stadium home?,Great Falls Voyagers,medium,8
"Cake and The Heavy, share which genre?",rock,easy,9
Persuasion stars Rupert Penry-Jones and who else,Sally Hawkins,easy,7
Are both Jack Evans and Chester Bennington songwriters?,yes,medium,9
"Which has more species, Hedysarum or Hyophorbe?",Hedysarum,medium,9
Are Barklya and Celtis both genuses?,yes,medium,7
Who distributed Apink's first solo album?,LOEN Entertainment,medium,8
Are Hegang and Weihai in the same country?,yes,medium,9
When did Margaret Georgiana Spencer's husband die?,31 October 1783,medium,9
Are Coniogramme and Widdringtonia both types of conifer?,no,medium,9
Are both Hustler and Giant Robot pornographic magazines?,no,medium,9
Are both Pandikona and Treeing Cur hunting dogs?,yes,hard,9
What does Kate Bekinsale do?,film,easy,6
Where is the band  A.N.I.M.A.L. originally from?,Argentina,medium,9
Vlezenbeek is the home of what family brewery?,Lindemans,hard,9
What duet performed Peace on Earth/Little Drummer Boy,Crosby and Bowie,easy,8
