Question,GT Answer,"qrecc-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","qrecc-medium_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",qrecc-medium_vanilla_gpt-3.5-turbo-1106_google,qrecc-medium_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,qrecc-medium_multihop_gpt-3.5-turbo-1106_google,qrecc-medium_dsp+sample_gpt-3.5-turbo-1106_google,qrecc-medium_dsp+knn_gpt-3.5-turbo-1106_google
Is Indestructible an album by the band disturbed?,"[""it is the band disturbed's fourth studio album""]",Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes.
where did Robbie Montgomery go to school,['Robbie Montgomery attended Curtis Elementary School and graduated from Pruitt High School.'],Curtis Elementary School and Pruitt High School.,Curtis Elementary School,"Robbie Montgomery attended Sumner High School in St. Louis, Missouri.",Curtis Elementary School and Pruitt High School,Curtis Elementary School,Curtis Elementary School and Pruitt High School,Curtis Elementary School and Pruitt High School
what was the name of the dog on season 6 of gilmore girls,"['In season 6 of gilmore girls, Lorelai buys a dog named Paul Anka.']",Paul Anka,Paul Anka,Paul Anka,Paul Anka,Paul Anka,Paul Anka,Paul Anka
Which weekend sports have the most injuries?,"['Which sports cause the most injuries to high school athletes?Volleyball: 14,304.Softball: 18,119.Wrestling/boxing/martial arts: 18,174.Gymnastics/cheerleading/dance: 22,671.Baseball: 27,208.Soccer: 45,475.Football: 118,886.Basketball: 119,589.']","American football, rugby, and ice hockey.","American football, rugby, and ice hockey",Football and basketball have the highest rates of injury among weekend sports.,"Basketball, football, hockey","Basketball, football, and soccer","American football, rugby, and ice hockey","American football, rugby, and ice hockey"
What were Jack Abramoff political alliances?,"['hold key roles in state and national politics and business, and some would later interact with Abramoff in his role as a lobbyist.']",College Republican chapter presidents.,College Republican chapter presidents,Jack Abramoff was a prominent lobbyist and a Republican.,College Republican chapter presidents,College Republican chapter presidents,College Republican chapter presidents,College Republican chapter presidents
What did Charles Kennedy do after he resigned?,"['Charles Kennedy pledged his loyalty to a new leader as a backbencher, and said he wished to remain active in the party and in politics.']",He campaigned in a by-election.,remained in office as a backbench MP and campaigned in the Dunfermline and West Fife by-election,"After resigning as leader of the Liberal Democrats, Charles Kennedy became a university lecturer and broadcaster.",He remained in office as a backbench MP and campaigned in the Dunfermline and West Fife by-election.,He continued to serve as an MP.,He remained in office as a backbench MP and campaigned in the Dunfermline and West Fife by-election.,He remained in office as a backbench MP and campaigned in the Dunfermline and West Fife by-election.
what are the requirements for first communion,"['In order for anyone to receive communion, that person must be without sin and in a state of grace. Traditionally, young Catholic children will make their first confession before.']",Must be a baptized Catholic and have prepared for the sacrament of first holy communion.,"baptized Catholic, prepared for the sacrament, in a state of grace","The requirements for First Communion vary by denomination, but generally include baptism, confession, and understanding of the Eucharist.","Baptized Catholic, prepared for sacrament.","Age of reason, baptism, reconciliation","Baptized, attend religious education, be in state of grace",Baptism and completion of a religious education program
what is homeowner's title insurance,['Title insurance can protect you if someone later sues and says they have a claim against the home from before you purchased it.'],An optional but recommended policy that protects the homeowner from financial loss.,Protects the homeowner from claims against the home from before they purchased it.,Homeowner's title insurance protects the homeowner from financial loss due to defects in the title to their property.,Protection against financial loss related to a problem with the title.,A policy that protects home buyers and mortgage lenders from damages or financial losses caused by a bad title due to title defects.,Protects against claims on the home,Protects against claims on the home
What was Jon Stewart's involvement in the Writers Guild of America strike?,['Jon Stewart supported the 2007–08 Writers Guild of America strike.'],Jon Stewart crossed the picket line.,Crossed the picket line,"Jon Stewart was a vocal supporter of the 2007–08 Writers Guild of America strike, appearing on The Daily Show the first day the show returned with the writers.",Jon Stewart crossed the picket line and continued hosting his show during the Writers Guild of America strike.,Jon Stewart was rumored to be paying his Daily Show writers out of his own pocket during the Writers Guild of America strike.,He continued hosting his show during the strike.,Jon Stewart crossed the picket line to continue hosting his show.
What is Golokin's fighting style?,"[""Gennady Golovkin's fighting style used the Orthodox stance""]",Golovkin's fighting style is that of a pressure fighter.,Pressure fighter,Golokin is a pressure fighter.,"Constant pressure, powerful punching, methodical movement","Power, body punching, constant pressure","Golovkin's fighting style is built around power, pressure, and trapping opponents in corners.",Pressure fighter with powerful punching.
how were the electors from the states chosen during the 1800 election,"['During the 1800 elections, the electors from the states were generally chosen by state legislatures, not by popular vote.']",The Constitution doesn't say much.,by state legislatures,The electors were chosen by the state legislatures in the 1800 election.,By state legislatures,By state legislatures,Not enough information available.,By the state legislatures
Are one pound notes still legal tender?,['The Royal Bank of Scotland ceased regular production of £1 notes in 2001; the denomination is still in circulation although rarely seen in cash transactions today.'],"Yes, one pound notes are still legal tender.",Yes,"No, one pound notes are no longer legal tender in the United Kingdom.","Yes, one pound notes are still legal tender.","Yes, one pound notes are still legal tender.","Yes, one pound notes are still legal currency.","Yes, one pound notes are still legal currency and remain in circulation, although they are rarely seen in cash transactions."
Where did Catherine Zeta-Jones go to school?,"['She was educated at the Dumbarton House School. When she was 15, Zeta-Jones dropped out of school without obtaining O-levels and decided to live in London to pursue a full-time acting career.']",Dumbarton House School in Swansea.,Dumbarton House School in Swansea,"Catherine Zeta-Jones attended Dumbarton House School, a private school in Swansea, West Glamorgan, and later enrolled in the independent Dumbarton House School in Swansea.",Catherine Zeta-Jones attended Dumbarton House School in Swansea.,Dumbarton House School,"Dumbarton House School in Swansea, and the Arts Educational Schools in London",Dumbarton House School
Did Future Islands members have any plans for the band after they disbanded?,"['When Art Lord & the Self Portraits disbanded in 2005, they forgot they had discussed touring with The Texas Governor. They formed Future Islands in 2006 to keep that commitment.']",Yes.,Yes,"Yes, the members of Future Islands had plans to continue making music together after the band disbanded.","No, Future Islands did not disband.","No, Future Islands did not disband.","Yes, Future Islands had plans for a new album after disbanding.","No, Future Islands did not disband."
