Question,GT Answer,hotpotqa-long_react_text-davinci-002_google,"hotpotqa-long_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-long_got-3+demos-sa+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google",hotpotqa-long_vanilla_gpt-3.5-turbo-1106_google,hotpotqa-long_retrieve_then_read_sc_gpt-3.5-turbo-1106_google,hotpotqa-long_multihop_gpt-3.5-turbo-1106_google,hotpotqa-long_dsp+sample_gpt-3.5-turbo-1106_google,hotpotqa-long_dsp+knn_gpt-3.5-turbo-1106_google
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",['Usher'],,Usher,Usher,Usher,Madonna,Usher,Usher,Usher
"Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album ""Old and in the Way?""",['Owsley Stanley'],,Owsley Stanley,Owsley Stanley,Owsley Stanley,Owsley Stanley,Owsley Stanley,Owsley Stanley,Owsley Stanley
"This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of ""Street Kings"", ""End of Watch"", ""Sabotage"", ""Fury"" and what other film? ",['Suicide Squad'],Suicide Squad,"""Street Kings""",Heat,Training Day,Harsh Times,The Beekeeper,Harsh Times,Training Day
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",['1901'],1950,1901,1901,1901,1901,1901,1901,1901
"Who held the record for the longest service in the Australian Parliament for a woman, and was surpassed by  a former Australian politician who was the 29th Speaker of the House of Representatives?",['Kathryn Jean Martin'],Bronwyn Bishop,Bronwyn Bishop,Kathy Sullivan,Dame Enid Lyons.,Kathy Sullivan,Bronwyn Bishop,Kathy Sullivan,Bronwyn Bishop
"In 2017, what was 3/4th of the organization that also has a Center for Veterinary Medicine as well as part of the U.S. Department of Health and Human Services, spent on?",['Prescription Drug User Fee Act'],,Human drugs program,Health and Human Services,$1.1 billion,Salaries and expenses,"$1,432,859,000",Improving permanency services for children,$4.686 billion
"What season was the character introduced that becomes the main antagonist in the  following season, from the animated television series created by Bryan Konietzko and Michael Dante DiMartino as a sequel to """", which aired from 2005 to 2008? ",['third'],season 2,Season 1,Third season,Season 1,Season 1,Season 1,Season 3,Third Season
"Which American character actor who starred on the television series ""Stargate SG-1"" (1997–2007) and appeared in ""Episode 8"" of ""Twin Peaks"" as a guest star?",['Don S. Davis'],Michael Ontkean,Don S. Davis,Don S. Davis,Carmen Argenziano,Don S. Davis,Don S. Davis,Don S. Davis,Don S. Davis
"What is the name of the actress who has received a Drama Desk award and was part of the cast album for the 2007 Broadway production of the hit musical, ""Grease""?",['Laura Ann Osnes'],,Laura Osnes,Laura Osnes,Laura Osnes,Elaine Paige,Laura Osnes,Laura Osnes,Laura Osnes
"With whom did this American singer, songwriter and record producer, who contributed to the single ""Marvin Gaye"" with Julie Frost, co-produced and performed the 2015 song for a movie soundtrack?",['Wiz Khalifa'],Post Malone,Meghan Trainor,Charlie Puth,Meghan Trainor,Meghan Trainor,Wiz Khalifa,Lady Gaga,Wiz Khalifa
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",['World War II'],World War II,World War II,World War II,World War II,World War II,World War II,World War II,World War II
"The Company They Keep is a book written by Diana Pavlac Glyer, who is a professor at a university in Azusa, California, that was founded in 1899, and is under the auspices of what religion?",['evangelical Christian'],Christianity,Evangelical Christianity,Evangelical Christian,Christianity,Christian,Christian,Evangelical Christianity,Evangelical Christian
"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",['IK Start'],,Start,Start,Starten FK,Start,IK Start,Start,Start
