Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
"Jean-Martin Charcot was a Baptist. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ...""]","Step 1: Was Jean-Martin Charcot a Baptist?
Step 2: What is Jean-Martin Charcot's religious affiliation?
Step 3: Does any reliable source confirm Jean-Martin Charcot's religious beliefs?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Was Jean-Martin Charcot a Baptist? ANSWER: REFUTES. Step 2: What is Jean-Martin Charcot's religious affiliation?,What is Jean-Martin Charcot's religious affiliation?,"['Jean-Martin Charcot | Jean-Martin Charcot was a French neurologist and professor of anatomical pathology. He worked on hypnosis and hysteria, in particular with his hysteria ...', 'Jean-Martin Charcot - Wikipedia | ""He married a rich widow, Madame Durvis, in 1864 and had two children, Jeanne and Jean-Baptiste, who later became a doctor and a famous polar explorer"". He has been described as an atheist., atheist', ""Charcot: Buddhist Leanings? | European Neurology | Some historical documentation suggests that despite Jean-Martin Charcot's well-known anticlerical, republican, and certainly agnostic past, in ..."", ""Charcot: Buddhist Leanings? | European Neurology | Some historical documentation suggests that despite Jean-Martin Charcot's well-known anticlerical, republican, and certainly agnostic past ..."", ""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'JEAN MARTIN CHARCOT, 1825-1893* | Jean Martin Charcot, the father of modem neurology, was born in Paris on November 29,. 1825, within the sound of the bells of Notre Dame.', 'Faith Healing, Jean-Martin Charcot, and Neurology | Charcot considered faith healing to be a valid, if problematic, alternative treatment approach for functional nervous disorder.']","Charcot was described as an atheist and agnostic [1]. Some historical documentation suggests that he may have had Buddhist leanings despite his anticlerical and agnostic past [3][4]. Charcot considered faith healing to be a valid alternative treatment approach [7]. From the available information, it is not clear whether Charcot was a Baptist or not.",NOT ENOUGH INFO,['NOT ENOUGH INFO']
"Rebecca Gayheart stars in the Jawbreaker (film). Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Jawbreaker (film) | Jawbreaker is a 1999 American dark comedy film directed and written by Darren Stein. The film stars Rose McGowan, Rebecca Gayheart, and Julie Benz as girls ...', 'Jawbreaker (1999) | Top cast ; Rose McGowan · Courtney ; Rebecca Gayheart · Julie Freeman ; Julie Benz · Marcie Fox ; Alexandra Adi · Cheerleader #1 ; Tatyana Ali · Brenda. Rating: 5.7/10, \u200e28,390 votes', ""'Jawbreaker' Reunion: Rose McGowan, Rebecca Gayheart ... | 'Jawbreaker' stars Rose McGowan, Rebecca Gayheart and Julie Benz reunited at 90s Con in Hartford, Connecticut, over 24 years after the teen ...""]","Step 1: Who stars in the film Jawbreaker?
Step 2: What is Rebecca Gayheart's role in Jawbreaker?
Step 3: Is Rebecca Gayheart one of the main cast members in Jawbreaker?",Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: Who stars in the film Jawbreaker? ANSWER: Rose McGowan, Rebecca Gayheart, and Julie Benz. Step 2: What is Rebecca Gayheart's role in Jawbreaker?",What is Rebecca Gayheart's role in Jawbreaker?,"['Jawbreaker (film) | Jawbreaker is a 1999 American dark comedy film directed and written by Darren Stein. The film stars Rose McGowan, Rebecca Gayheart, and Julie Benz as girls ...', 'Jawbreaker/Rebecca Gayheart/Character | Julie, Jawbreaker (1999) - Rebecca Gayheart as Julie Freeman - IMDb., Julie Freeman', 'Jawbreaker (film) | The film stars Rose McGowan, Rebecca Gayheart, and Julie Benz as girls in an exclusive clique in their high school. Charlotte Ayanna has a non-speaking cameo ...', 'Julie Freeman | Heroes Wiki - Fandom | Julie Freeman is the main protagonist of the 1999 teen black comedy film Jawbreaker. She is portrayed by Rebecca Gayheart., Julie Freeman is the main protagonist of the 1999 teen black comedy film Jawbreaker', 'Rebecca Gayheart as Julie Freeman - Jawbreaker (1999) | Rebecca Gayheart: Julie Freeman · Photos · Quotes.', 'Jawbreaker (film) | Jawbreaker is a 1999 American dark comedy film directed and written by Darren Stein. The film stars Rose McGowan, Rebecca Gayheart, and Julie Benz as girls ...', 'Jawbreaker (1999) | Top cast ; Rose McGowan · Courtney ; Rebecca Gayheart · Julie Freeman ; Julie Benz · Marcie Fox ; Alexandra Adi · Cheerleader #1 ; Tatyana Ali · Brenda. Rating: 5.7/10, \u200e28,390 votes']",The film Jawbreaker stars Rebecca Gayheart as Julie Freeman [1]. Julie Freeman is the main protagonist of the film Jawbreaker [2]. Rebecca Gayheart played Julie Freeman in Jawbreaker [3]. Rebecca Gayheart is known for her role as Julie Freeman in Jawbreaker [4]. Rebecca Gayheart is credited as Julie Freeman in Jawbreaker [5]. The film Jawbreaker stars Rebecca Gayheart [6]. Rebecca Gayheart is listed as one of the top cast members in Jawbreaker [7].,SUPPORTS,['SUPPORTS']
"We Found Love's music video was directed by an Mexican director of music videos. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ..."", 'Conference on Empirical Methods in Natural Language ... | ... supports”, “refutes” or “not enough info” with respect to the pages retrieved and detect sentences as evidence at the same time. We conduct experiments on ...', 'See raw diff | ... SUPPORTS"", ""claim"": ""12 million copies of Bad Romance were bought around the world ... REFUTES"", ""claim"": ""Aarhus is in the geographical center of Germany ...']","Step 1: Who directed the music video for We Found Love?
Step 2: Is the director of the music video for We Found Love Mexican?
Step 3: Is there any evidence supporting the claim that the director of the music video for We Found Love is Mexican?
Step 4: Is there any evidence refuting the claim that the director of the music video for We Found Love is Mexican?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 2.,Step 1: Who directed the music video for We Found Love? ANSWER: Melina Matsoukas. Step 2: Is the director of the music video for We Found Love Mexican?,Who directed the music video for We Found Love and is the director Mexican?,"['Melina Matsoukas | Melina Matsoukas, The music video for Barbadian singer Rihanna\'s 2011 single ""We Found Love"" was directed by Melina Matsoukas. It was filmed on September 26–28, 2011, in the New Lodge area of Belfast and Bangor, County Down, Northern Ireland., Melina Matsoukas', 'We Found Love | The song features (and was written and produced by) Scottish DJ Calvin Harris, whose 2012 album 18 Months also includes the track. ""We Found Love"" premiered on ...', 'We Found Love (music video) - Wikipedia | The music video for Barbadian singer Rihanna\'s 2011 single ""We Found Love"" was directed by Melina Matsoukas., Melina Matsoukas', ""We Found Love | The song's accompanying music video, directed by Melina Matsoukas, depicts the singer as a drug-abusing thrill-seeker in a relationship that quickly spirals ..."", 'Analysis of professional music video: Rihanna – We Found ... | The video is very clearly illustrating and amplifying the lyrics. Couple in love but very young, unstable, out of control and confused. The ...', 'We Found Love (music video) | The music video for Barbadian singer Rihanna\'s 2011 single ""We Found Love"" was directed by Melina Matsoukas. It was filmed on September 26–28, 2011, ...', ""ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 5: I cannot find anything that supports or refutes this claim. Action 5: Finish[NOT ENOUGH INFO] Observation 5: Episode finished, reward = 1 {'steps ...""]","""We Found Love"" music video was directed by Melina Matsoukas, who is not a Mexican director [1].  The sources state that Melina Matsoukas directed the music video [2].",REFUTES,['REFUTES']
"Julius Caesar was given additional authority. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 4: I cannot find anything that supports or refutes this claim, so there is not enough information. ... Thought 2: The date of birth given is May 13th, ...', 'Rush saw his shadow today. Six more weeks of stupidity… | ... Not enough info, then too much into. Despite the hag squad I kept all ... refutes the idea that this bright and accomplished woman chose to ...']","Step 1: What additional authority was Julius Caesar given?
Step 2: Did Julius Caesar use his additional authority to make significant changes?
Step 3: Did Julius Caesar's additional authority lead to any opposition or conflict?
Step 4: Based on historical records, did Julius Caesar's additional authority contribute to his rise in power?
Step 5: Based on historical records, did Julius Caesar's additional authority contribute to his downfall?",Step 2 depends on Step 1. Step 3 depends on Step 2. Step 4 depends on Step 1. Step 5 depends on Step 1.,Step 1: What additional authority was Julius Caesar given? ANSWER: Permanent tribunician powers. Step 2: Did Julius Caesar use his additional authority to make significant changes?,Did Julius Caesar use his additional authority to make significant changes?,"['Julius Caesar | Returning to Rome, he formed political alliances that helped him become governor of Gaul, an area that included what is now France and Belgium.', ""Julius Caesar: 6 Ways He Shaped the World | Caesar's sweeping reforms—such as granting property to retiring soldiers, redistributing land to the poor and canceling debts—proved popular ..."", 'Julius Caesar | Western Civilization | Caesar fought in a civil war against his old colleague, Pompey, who had aligned himself with conservative interests in the Senate. Caesar quickly defeated his ...', ""Julius Caesar | He wielded his power to enlarge the senate, created needed government reforms, and decreased Rome's debt. At the same time, he sponsored the ..."", 'Julius Caesar | Julius Caesar was a Roman general and politician who named himself dictator of the Roman Empire, a rule that lasted less than one year ...', 'ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 4: I cannot find anything that supports or refutes this claim, so there is not enough information. ... Thought 2: The date of birth given is May 13th, ...', 'Constitutional reforms of Julius Caesar | In 48 BC, Caesar was given permanent tribunician powers, which made his person sacrosanct, allowed him to veto the senate, and allowed him to dominate the ...']","Julius Caesar was given permanent tribunician powers in 48 BC, which made his person sacrosanct, allowed him to veto the senate, and allowed him to dominate the government [1]. This additional authority is supported by historical evidence.",SUPPORTS,['SUPPORTS']
"Amazon Web Services included tools for cult worship. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['raw | ... Not Enough Info. This is really too basic for any 1st year or experienced ... supports Lukes longing to leave, but it also shows his longing for someone ...', 'Rush saw his shadow today. Six more weeks of stupidity… | ... Not enough info, then too much into. Despite the hag squad I kept ... supports, just doesnt add up to anything but a far far left individual ...']","Step 1: What are the included tools in Amazon Web Services?
Step 2: Are there any tools in Amazon Web Services related to cult worship?
Step 3: Are there any articles or discussions about cult worship and Amazon Web Services?
Step 4: Does Amazon Web Services support or refute cult worship?
Step 5: Is there enough information to determine if Amazon Web Services included tools for cult worship?",Step 3 depends on Step 2. Step 4 depends on Step 3. Step 5 depends on Step 4.,Step 2: Are there any tools in Amazon Web Services related to cult worship? ANSWER: SUPPORTS. Step 3: Are there any articles or discussions about cult worship and Amazon Web Services?,Are there any articles or discussions about cult worship and Amazon Web Services?,"['Developer tools - Overview of Amazon Web Services | Developer tools, Developer tools', 'AWS Cloud Products | Amazon Web Services offers a broad set of global cloud-based products that help organizations move faster, lower IT costs, and scale.', 'Streaming Video for Houses of Worship - Amazon Web Services | With just a few clicks, any religious organization can create and stream live video to a website or native iOS or Android application with the Amazon IVS ...', 'Streaming Video for Houses of Worship - Amazon Web Services | Learn about AWS and partner solutions you can deploy to stream live and on-demand video for religious organizations, and view best practices from several houses ...', 'AWS Premium Support FAQs | AWS Support | Read frequently asked questions about AWS Support technology and programs that helps users achieve their objectives in the cloud.', ""We are sorry to inform you that you are in a cult | People who get out don't tend to make light of it. In any case: know that there are actual cults in operation, and they do tremendous harm. The ..."", 'raw | ... Not Enough Info. This is really too basic for any 1st year or experienced ... supports Lukes longing to leave, but it also shows his longing for someone ...']",There is no mention of cult worship in any of the provided sources. [1][2][3][4][5][6][7].,NOT ENOUGH INFO,['NOT ENOUGH INFO']
"Kobe Bryant quit playing basketball directly after high school. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""Someone told Kobe Bryant he shouldn't play basketball | It's not just a game.” Leaving the NBA is hard for the 37-year-old ... The first such response happened right after he announced his retirement."", 'The TRUTH Behind Kobe Bryant\'s ""Quit Game"" - YouTube | Comments317 · No, KOBE didn\'t QUIT · This is Why Kobe Cussed Out Charles Barkley for 3 Hours After Lakers Game 7 Loss To Suns In 2006 · Kobe Bryant ...', ""Kobe Bryant - This is such BS! All the training and... | This is such BS! All the training and sacrifice just flew out the window with one step that I've done millions of times! The frustration is ...""]","Step 1: Did Kobe Bryant quit playing basketball directly after high school?
Step 2: What is Kobe Bryant's basketball career timeline?
Step 3: What did Kobe Bryant do after high school?
Step 4: Did Kobe Bryant play in the NBA directly after high school?",Step 2 depends on Step 1. Step 4 depends on Step 1.,Step 1: Did Kobe Bryant quit playing basketball directly after high school? ANSWER: REFUTES. Step 2: What is Kobe Bryant's basketball career timeline?,What is Kobe Bryant's basketball career timeline?,"[""What age did Kobe retire? - Beagle | He announced his retirement in November 2015 on The Player's Tribune and played his final game on April 13, 2016, where he scored 60 points in a game against Utah Jazz. Kobe joined the Los Angeles Lakers straight out of high school in 1996, and he played his entire 20-year career in the Lakers., He announced his retirement in November 2015"", 'Kobe Bryant | Bryant was the first guard drafted directly out of high school. After the draft, the trade was put in jeopardy when Divac threatened to retire rather than ...', 'Kobe Bryant timeline | 1978. birth. birth. Kobe Bryant was born on August 23, 1978. · 1996. Basketball. Basketball. He played 20 seasons in the NBA. · Advertisements · 2000. achievements.', 'Kobe Bryant - Biography, Hall of Fame NBA Basketball Player | Though he boasted good grades and high SAT scores, Bryant decided to go straight to the NBA from high school. He was selected by the Charlotte Hornets with the 13th overall pick of the 1996 NBA draft and was subsequently traded to the Los Angeles Lakers., go straight to the NBA', 'Kobe Bryant | The son of former NBA player Joe Bryant, he was born in Philadelphia and partly raised in Italy. Recognized as the top American high-school basketball player ...', 'Kobe Bryant initially regretted jumping to the NBA from high ... | Los Angeles Lakers legend Kobe Bryant was one of the first players who took his talents straight to the NBA from high school. The Black Mamba was 17 years old when he decided to declare for the NBA Draft in 1996, and he knew he was taking a bold risk by going to the pros., Kobe Bryant was one of the first players who took his talents straight to the NBA from high school', 'NBA high school draftees | The first was Kobe Bryant, selected by the Charlotte Hornets with the 13th pick of the NBA draft, but traded almost immediately to the Los Angeles Lakers. The ...']","Kobe Bryant joined the Los Angeles Lakers straight out of high school in 1996 and played his entire 20-year career in the Lakers [1]. He was selected by the Charlotte Hornets with the 13th overall pick of the 1996 NBA draft and was subsequently traded to the Los Angeles Lakers [4]. So, Kobe did not quit playing basketball directly after high school, as he went on to have a 20-year career with the Lakers [7].",REFUTES,['REFUTES']
"Bedazzled (2000 film) was directed by a Brazilian. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Bedazzled (2000 film) | Bedazzled is a 2000 fantasy romantic comedy film directed by Harold Ramis and starring Brendan Fraser and Elizabeth Hurley. It is a remake of the 1967 British ...', 'Bedazzled (2000) | Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul. Rating: 6.1/10, \u200e111,081 votes', ""Bedazzled movie review & film summary (2000) | The problem with his seven wishes and their associated interludes is that they're not funny enough, consistently enough. The double-cross ...""]",Step 1: Who directed the film Bedazzled (2000)? Step 2: What is the nationality of the director of Bedazzled (2000)? Step 3: Is the director of Bedazzled (2000) Brazilian?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Who directed the film Bedazzled (2000)? ANSWER: Harold Ramis. Step 2: What is the nationality of the director of Bedazzled (2000)?,What is the nationality of the director of Bedazzled (2000)?,"['Bedazzled/Director | Harold Ramis, Bedazzled is a 2000 fantasy romantic comedy film directed by Harold Ramis and starring Brendan Fraser and Elizabeth Hurley., Harold Ramis', ""Bedazzled (2000) | Bedazzled: Directed by Harold Ramis. With Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor. Hopeless dweeb Elliot Richards is granted seven ... Rating: 6.1/10, \u200e111,081 votes"", 'Bedazzled (2000 film) | Bedazzled is a 2000 fantasy romantic comedy film directed by Harold Ramis and starring Brendan Fraser and Elizabeth Hurley. It is a remake of the 1967 ...', 'Bedazzled (2000) | Director. Harold Ramis · Writers · Peter Cook · Dudley Moore · Larry Gelbart · All cast & crew · Production, box office & more at IMDbPro ... Rating: 6.1/10, \u200e111,081 votes', 'Bedazzled (2000 film) | Bedazzled is a 2000 fantasy romantic comedy film directed by Harold Ramis and starring Brendan Fraser and Elizabeth Hurley. It is a remake of the 1967 British ...', 'Full Cast & Crew - Bedazzled (2000) | Bedazzled (2000) cast and crew credits, including actors, actresses, directors, writers and more.', ""Bedazzled (2000) | Bedazzled: Directed by Harold Ramis. With Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor. Hopeless dweeb Elliot Richards is granted seven ... Rating: 6.1/10, \u200e111,081 votes""]",There is no mention of the director's nationality in any of the provided sources. [1][2][3][4][5][6][7].,NOT ENOUGH INFO,['NOT ENOUGH INFO']
"Drama school offers zero degrees. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 4: I cannot find anything that supports or refutes this claim, so there is not enough information. ... [NOT ENOUGH INFO] Observation 4: Episode finished ...', 'Tal Schuster | TEST SET) with one label among SUPPORTS, REFUTES or NOT ENOUGH INFO, flagging ... The GPT-3 model has recently demonstrated impressive results in zero-shot and ...', 'Proceedings of the Second Workshop on Fact Extraction ... | SUPPORTS REFUTES NOT ENOUGH INFO. SUPPORTS. 5734. 229. 703. REFUTES. 599 ... the supports/refutes classes and low recall for the. 107. Page 120 ...']",Step 1: What degrees does drama school offer? Step 2: Is it possible for drama school to offer zero degrees? Step 3: Are there any examples of drama schools offering zero degrees?,Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: What degrees does drama school offer? ANSWER: Acting, design and technical theatre, theater history, literature, criticism, running crew, theater design, screenwriting. Step 2: Is it possible for drama school to offer zero degrees?",Is it possible for drama school to offer zero degrees?,"['Bachelor of Arts in Drama | School of Drama | Drama majors complete a core course of study in acting, design and technical theatre, theatre history, literature, and criticism, and running crew. They may ...', 'If I want to study drama in a university but have no ... | Universities recruit students for the performing arts programs, and if you zero experience, you are not ready to compete with college students.', 'Can you go to acting school with no experience? | Yes, it is possible to attend acting school with no prior experience. Many acting schools offer programs for beginners and are open to students ...', 'ReAct/FEVER.ipynb at master · ysymyth/ReAct | Thought 4: I cannot find anything that supports or refutes this claim, so there is not enough information. ... [NOT ENOUGH INFO] Observation 4: Episode finished ...', '10 Best Degrees for a Career in Acting | What to Study if ... | Offerings may include theater design and screenwriting. These offer information and a taste of all parts of production. By studying drama and the taking classes ...', ""I am 27 this year, have an undergraduate degree but want ... | I know it isn't essential and there are actors who find success without attending drama school, however, training at an accredited school (if ..."", 'Theater programs without auditions | University of Rhode Island offers a BFA in Theatre, and does not require an audition. rebjam March 12, 2017, ...']",There is no mention in any of the provided sources about drama schools offering zero degrees. [1][2][3][4][5][6][7].,NOT ENOUGH INFO,['NOT ENOUGH INFO']
"The Hateful Eight is not by Quentin Tarantino. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","[""Yeah well Hateful 8 wasn't that great either : r/TrueDetective | Hateful 8 tried to be a mystery without leaving much there to do. It tries to be suspenseful due to a storm and strangers being stuck together ..."", ""The Hateful Eight's Quentin Tarantino cloaks his point of view | After Django Unchained, Quentin Tarantino decided to give the western another shot with The Hateful Eight."", 'Dear Quentin Tarantino, You Really Should Make \'Hateful ... | According to a new rumor, Quentin Tarantino may make ""The Hateful Eight"" after all, so we penned an open letter to convince him it\'s a good ...']",Step 1: Who directed the film The Hateful Eight? Step 2: What is Quentin Tarantino's involvement in The Hateful Eight? Step 3: Is The Hateful Eight a film by Quentin Tarantino?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who directed the film The Hateful Eight? ANSWER: Quentin Tarantino. Step 2: What is Quentin Tarantino's involvement in The Hateful Eight?,What is Quentin Tarantino's involvement in The Hateful Eight?,"['The Hateful Eight/Director | Quentin Tarantino, The Hateful Eight is a Western film written and directed by Quentin Tarantino. It stars Kurt Russell, Tim Roth, Jennifer Jason Leigh, Samuel L. Jackson, and Walton Goggins. The movie takes place in Wyoming in the late 1800s, shortly after the American Civil War., Quentin Tarantino', 'The Hateful Eight | The Hateful Eight is a 2015 American Western mystery thriller film written and directed by Quentin Tarantino. It stars Samuel L. Jackson, Kurt Russell, ...', 'The Hateful Eight - Wikipedia | Tarantino edited two versions of the film, one for the roadshow version and the other for general release. The roadshow version runs for three hours and two minutes, including six minutes of extra footage plus an overture and intermission, and has alternate takes of some scenes.', ""Quentin Tarantino: The Hateful Eight interview | Quentin Tarantino: The Hateful Eight interview. America's most notorious director talks about his most incendiary movie yet. By Jeff Labrecque."", 'The Hateful Eight - Wikipedia | The Hateful Eight is a 2015 American Western mystery thriller film written and directed by Quentin Tarantino., written and directed by Quentin Tarantino', 'The Hateful Eight (2015) | The Hateful Eight: Directed by Quentin Tarantino. With Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins. In the dead of a Wyoming ... Rating: 7.8/10, \u200e647,277 votes', ""Yeah well Hateful 8 wasn't that great either : r/TrueDetective | Hateful 8 tried to be a mystery without leaving much there to do. It tries to be suspenseful due to a storm and strangers being stuck together ...""]","The Hateful Eight is a Western film written and directed by Quentin Tarantino [1][2][5]. So, the claim that The Hateful Eight is not by Quentin Tarantino is refuted by the provided sources.",REFUTES,['REFUTES']
"Fred Trump's father was not German-American. Kindly answer with ""SUPPORTS"", ""REFUTES"", or ""NOT ENOUGH INFO"".","['Tal Schuster | TEST SET) with one label among SUPPORTS, REFUTES or NOT ENOUGH INFO, flagging ... the correct answer is not unique, and the number of total possible answers is ...', 'Content Selection for Effective Counter-Argument Generation | predicted veracity label (SUPPORTS, REFUTES, NOT ENOUGH INFO). This scenario allows us to conduct experiments in a controlled environment, both for ...', 'ReAct/FEVER.ipynb at master · ysymyth/ReAct | ... No more results. Thought 4: I cannot find anything that supports or refutes this claim, so there is not enough information. Action 4: Finish[NOT ENOUGH INFO] ...']",Step 1: What is the nationality of Fred Trump's father? Step 2: Where was Fred Trump's father born? Step 3: What is the ethnicity of Fred Trump's father? Step 4: Did Fred Trump's father immigrate to the United States? Step 5: Is there any evidence to support the claim that Fred Trump's father was not German-American?,Step 4 depends on Step 2.,"Step 2: Where was Fred Trump's father born? ANSWER: Kallstadt, Germany. Step 4: Did Fred Trump's father immigrate to the United States?",Did Fred Trump's father immigrate to the United States?,"[""Frederick Trump/Nationality | American, Early life and career. Trump's father, the German American Friedrich Trump, amassed considerable wealth during the Klondike Gold Rush by running a restaurant and brothel for the miners."", 'Frederick Trump | Frederick Trump was a German-born American barber and businessman. He was the patriarch of the Trump family and the paternal grandfather of Donald Trump, ...', 'Frederick Trump/Place of birth | Kallstadt, Germany', 'Frederick Trump | Frederick Trump was a German-born American barber and businessman. He was the patriarch of the Trump family and the paternal grandfather of Donald Trump, ...', 'Frederick Trump - Wikipedia | Frederick Trump (born Friedrich Trump, German pronunciation: [fʁi:dʁɪç tʁʊmp]; March 14, 1869 – May 30, 1918) was a German-born American barber and businessman. He was the patriarch of the Trump family and the paternal grandfather of Donald Trump, the 45th President of the United States. New York City, U.S.', 'Fred Trump | Frederick Christ Trump Sr. (October 11, 1905 – June 25, 1999) was an American real-estate developer and businessman. He was the father of Donald Trump, ...', 'Frederick Trump | Frederick Trump was a German-born American barber and businessman. He was the patriarch of the Trump family and the paternal grandfather of Donald Trump, ...']","Fred Trump's father, Frederick Trump, was a German-born American barber and businessman [2][4]. He amassed considerable wealth during the Klondike Gold Rush by running a restaurant and brothel for miners [1]. So, Fred Trump's father was indeed German-American.",REFUTES,['REFUTES']
