Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
In which city/state is the Desert Inn Located?,"['Desert Inn | hotel and casino, Las Vegas, Nevada, United States | Desert Inn | hotel and casino, Las Vegas, Nevada, United States | Britannica., Las Vegas, Nevada', 'Desert Inn | The Desert Inn, also known as the D.I., was a hotel and casino on the Las Vegas Strip in Paradise, Nevada, which operated from April 24, 1950, to August 28, ...', ""History of the Desert Inn Las Vegas - YouTube | Wilbur Clark's dream Las Vegas resort was where Frank Sinatra made his Las Vegas debut in 1951. Howard Hughes stayed on the top floor ...""]","Step 1: What is the location of the Desert Inn hotel and casino?
Step 2: Where is the Desert Inn hotel and casino situated?
Step 3: Where was the Desert Inn hotel and casino located?",Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: What is the location of the Desert Inn hotel and casino? ANSWER: Paradise, Nevada, U.S.. Step 2: Where is the Desert Inn hotel and casino situated?",Where is the Desert Inn hotel and casino situated?,"['Desert Inn | Desert Inn Hotel and Casino is located in Las Vegas Strip. Desert Inn Hotel and Casino. Location, Paradise, Nevada, U.S.. Address, 3145 South Las Vegas Blvd.', 'Desert Inn | Paradise, Nevada', ""Desert Inn Hotel and Casino | On April 24th 1950, Wilbur Clark's Desert Inn opened its doors and became the fifth major resort on the Strip. While it had taken a couple ..."", 'Desert Inn | Paradise, Nevada', ""Desert Inn Hotel and Casino | On April 24th 1950, Wilbur Clark's Desert Inn opened its doors and became the fifth major resort on the Strip. While it had taken a couple ..."", 'Desert Inn | hotel and casino, Las Vegas, Nevada, United States | Desert Inn | hotel and casino, Las Vegas, Nevada, United States | Britannica., Las Vegas, Nevada', 'Desert Inn | The Desert Inn, also known as the D.I., was a hotel and casino on the Las Vegas Strip in Paradise, Nevada, which operated from April 24, 1950, to August 28, ...']","The Desert Inn is located in Paradise, Nevada [1][2][3][4][5][6][7].","Paradise, Nevada","['Paradise, Nevada.']"
Are Brassolaeliocattleya and Codonopsis both hybrids?,"['Brassavolas & their primary hybrids in the Orchids forum | They are not similar. Simply put, both digbyana and glauca, take a lot more light to flower! Perhaps 5 or 6 hours of good sunshine. Glauca a ...', 'Cattleya orchids and their numerous hybrids - YouTube | Cattleya orchids are a very hybridized species and what we call Cattleyas might actually be very complex inter species hybrids.', 'In Vitro Polyploidization of Brassolaeliocattleya Hybrid Orchid | This study aimed to develop a protocol to polyploidize Blc. orchids, by testing two types of explants (seeds and protocorms), concentrations and ...']","Step 1: What is Brassolaeliocattleya?
Step 2: What is Codonopsis?
Step 3: Are Brassolaeliocattleya and Codonopsis both hybrids?",Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is Brassolaeliocattleya? ANSWER: Orchid hybrid. Step 2: What is Codonopsis? ANSWER: A family of plants used in traditional medicine.. Step 3: Are Brassolaeliocattleya and Codonopsis both hybrids?,Are Brassolaeliocattleya and Codonopsis both hybrids?,"['Brassolaeliocattleya | × Brassolaeliocattleya, abbreviated Blc. in the horticultural trade, is the orchid nothogenus for intergeneric hybrid greges containing at least one ancestor ...', ""CODONOPSIS - Uses, Side Effects, and More | Codonopsis is a family of plants used in China and Korea to replenish vital energy, or qi. It's sometimes used as a cheaper alternative to Panax ginseng."", 'Brassavolas & their primary hybrids in the Orchids forum | They are not similar. Simply put, both digbyana and glauca, take a lot more light to flower! Perhaps 5 or 6 hours of good sunshine. Glauca a ...', 'Brassavolas & their primary hybrids in the Orchids forum | They are not similar. Simply put, both digbyana and glauca, take a lot more light to flower! Perhaps 5 or 6 hours of good sunshine. Glauca a ...', 'What is Brassolaeliocattleya? - HomeQuestionsAnswered | Brassolaeliocattleya is one of the complex hybrids, called a trigeneric hybrid genus. It is a cross of the three genera, Brassavola, Laelia, and ...', 'Codonopsis: Health Benefits, Side Effects, Uses, Dose & ... | Overview. Codonopsis is an herb. People use the root to make medicine. Codonopsis is used to treat HIV infection and to protect cancer patients ...', 'Cattleya orchids and their numerous hybrids - YouTube | Cattleya orchids are a very hybridized species and what we call Cattleyas might actually be very complex inter species hybrids.']","Brassolaeliocattleya is a hybrid of three genera: Brassavola, Laelia, and Cattleya [1][5]. Codonopsis is a family of plants used in China and Korea [2][6]. It is not a hybrid. The passage does not provide relevant information about Codonopsis being a hybrid [7].",No,['no']
Townsendia and Exochorda are both?,"[""Exochorda x macrantha 'The Bride' (The Bride Pearlbush) | It is a dense and compact, upright, deciduous shrub with arching branches that is as broad as it is high. The pearl-like flower buds in early spring are ..."", 'The Comparative Internal Morphology of Seeds | Seeds of both the Saururaceae and Nymphaeaceae (like the Cyperaceae and some genera of the Ranunculaceae, Papaveraceae, etc.) reveal rather clearly the outline ...', 'Property:Etymology - FNA | Exochorda +. Greek exo -, outside, and chorde, string, alluding to free ... both named Young +, the physician may have been Thomas Young (also ...']","Step 1: What is Townsendia?
Step 2: What is Exochorda?
Step 3: What are the similarities between Townsendia and Exochorda?",Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is Townsendia? ANSWER: Genus of North American plants. Step 2: What is Exochorda? ANSWER: flowering plant. Step 3: What are the similarities between Townsendia and Exochorda?,What are the similarities between Townsendia and Exochorda?,"['Townsendia (plant) | Townsendia is a genus of North American plants in the tribe Astereae within the family Asteraceae. Townsend daisies. Townsendia parryi.', ""Exochorda x macrantha 'The Bride' (The Bride Pearlbush) | It is a dense and compact, upright, deciduous shrub with arching branches that is as broad as it is high. The pearl-like flower buds in early spring are ..."", 'Exochorda racemosa (Common Pearlbush, Pearlbush) | It has slender branches and tends to have a loose, or unkempt, appearance with age. The flowers in spring are white and pearl-like, hence the common name ...', ""Exochorda x macrantha 'The Bride' (The Bride Pearlbush) | It is a dense and compact, upright, deciduous shrub with arching branches that is as broad as it is high. The pearl-like flower buds in early spring are ..."", 'Townsendia exscapa (Stemless townsend daisy) | Stemless Townsend-daisy or Easter Daisy, a dwarf biennial or short-lived perennial, has a dense rosette of narrow, gray-green, pubescent leaves.', ""Exochorda x macrantha 'The Bride' - Gardeners' World | Commonly known as pearl bush, Exochorda x macrantha 'The Bride' is a hugely popular deciduous shrub, and with good reason. In late spring and early summer it's ..."", 'Townsendia exscapa (Stemless townsend daisy) | The several species of Townsendia are distinguished from the numerous, rather similar ones in Erigeron by the fine slender bristles atop the ...']",Townsendia and Exochorda are both plants [1][5].,plants,['plants']
What nationality is Lord William Bentinck?,"['Lord William Bentinck | Lord William Bentinck was the first governor general of British-occupied India. Everyone else before him was the Governor of Bengal (Fort William). On his ...', 'Lord William Bentinck | British Governor-General of India | Lord William Bentinck, British governor-general of Bengal (1828–33) and of India (1833–35). An aristocrat who sympathized with many of the ...', ""Biography of Lord William Henry Cavendish-Bentinck ... | Lord William Bentinck was born in London, the second son of the 3rd Duke of Portland. He was educated at Rev. Dr Samuel Goodenough's school in Ealing, ...""]","Step 1: What is the nationality of Lord William Bentinck?
Step 2: Where was Lord William Bentinck born?
Step 3: What was the nationality of Lord William Bentinck's parents?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: What is the nationality of Lord William Bentinck? ANSWER: British. Step 2: Where was Lord William Bentinck born?,Where was Lord William Bentinck born?,"['Lord William Bentinck/Nationality | British, William, Lord Bentinck, (born Sept. 14, 1774, Bulstrode, Buckinghamshire, Eng. —died June 17, 1839, Paris, France), British colonial administrator., British', 'Lord William Bentinck | Lord William Bentinck was the first governor general of British-occupied India. Everyone else before him was the Governor of Bengal (Fort William). On his ...', 'Lord William Bentinck/Place of birth | Buckinghamshire, United Kingdom, Lord William Bentinck, (born September 14, 1774, Bulstrode, Buckinghamshire, England—died June 17, 1839, Paris, France), British governor-general of Bengal (1828–33) and of India (1833–35)., Bulstrode, Buckinghamshire, England', 'Lord William Bentinck | Bentinck was born in Buckinghamshire, the second son of Prime Minister William Bentinck, 3rd Duke of Portland, and Lady Dorothy (née Cavendish), only daughter ...', 'Lord William Bentinck | Lord William Bentinck was the first governor general of British-occupied India. Everyone else before him was the Governor of Bengal (Fort William). On his ...', 'Lord William Bentinck | British Governor-General of India | Lord William Bentinck, British governor-general of Bengal (1828–33) and of India (1833–35). An aristocrat who sympathized with many of the ...', ""Biography of William Bentinck, 1st Count ... | His half-brother Henry Bentinck, 1st Duke of Portland, inherited his father's English possessions. William inherited the Dutch lordships of Rhoon and Pendrecht.""]","Lord William Bentinck is referred to as British [1]. He was born in Bulstrode, Buckinghamshire, England [3]. He was the British governor-general of Bengal and India [6].",British,['British']
Walter O'Brien was played by which English actor?,"[""Walter O'Brien (Scorpion) - Wikipedia | Character origin and casting Actor Elyes Gabel stars as Walter O'Brien in the Scorpion television series., Elyes Gabel"", ""Elyes Gabel | Gabel's global breakout role was portraying computer genius Walter O'Brien in the CBS series Scorpion (2014–2018). Earlier he gained recognition as series ..."", ""Walter O'Brien | Scorpion Wiki - Fandom | Walter was portrayed by Elyes Gabel.""]","Step 1: Who played Walter O'Brien in the Scorpion television series?
Step 2: What is the name of the actor who portrayed Walter O'Brien in Scorpion?
Step 3: Who is the English actor that played Walter O'Brien in Scorpion?",Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who played Walter O'Brien in the Scorpion television series? ANSWER: Elyes Gabel. Step 2: What is the name of the actor who portrayed Walter O'Brien in Scorpion?,What is the name of the actor who portrayed Walter O'Brien in Scorpion?,"[""Actor Elyes Gabel | Actor Elyes Gabel, Actor Elyes Gabel stars as Walter O'Brien in the Scorpion television series., Elyes Gabel"", ""Walter O'Brien | Scorpion Wiki - Fandom | Walter was portrayed by Elyes Gabel."", ""Walter O'Brien (Scorpion) | The character, played by actor Elyes Gabel, follows a loose trajectory of Walter O'Brien's real-life exploits that thwart terrorism and disasters in each ..."", ""Elyes Gabel | Gabel's global breakout role was portraying computer genius Walter O'Brien in the CBS series Scorpion (2014–2018). ... Earlier he gained recognition as series ..."", ""Walter O'Brien (Scorpion) - Wikipedia | Character origin and casting Actor Elyes Gabel stars as Walter O'Brien in the Scorpion television series., Elyes Gabel"", ""Elyes Gabel | Gabel's global breakout role was portraying computer genius Walter O'Brien in the CBS series Scorpion (2014–2018). Earlier he gained recognition as series ..."", ""Elyes Gabel | Gabel's global breakout role was portraying computer genius Walter O'Brien in the CBS series Scorpion (2014–2018). Earlier he gained recognition as series ...""]",Walter O'Brien was portrayed by Elyes Gabel in the television series Scorpion [1][2][3][4][5][6][7].,Elyes Gabel,['Elyes Gabel']
What state did Guy Morrison coach baseball in?,"['Guy Morrison | He played briefly in the majors for the Boston Braves in 1927 and 1928. He also served as the baseball and football coach at Montclair State University in 1929.', 'Guy Morrison | 18 He also became the football, baseball, and basketball coach at Montclair State Teachers College (now University) in New Jersey.19 Morrison ...', 'About: Guy Morrison | He also served as the baseball and football coach at Montclair State University in 1929. ... This content was extracted from Wikipedia and is licensed under the ...']","Step 1: What university did Guy Morrison coach baseball at in 1929?
Step 2: Where is Montclair State University located?",Step 2 depends on Step 1.,Step 1: What university did Guy Morrison coach baseball at in 1929? ANSWER: Montclair State University. Step 2: Where is Montclair State University located?,"What university did Guy Morrison coach baseball at in 1929? ANSWER: Montclair State University. Where is Montclair State University located?
The last question after the rewrite.","['Guy Morrison - Wikipedia | Walter Guy Morrison (August 29, 1895 – August 14, 1934) was a professional baseball player. He played briefly in the majors for the Boston Braves in 1927 and 1928. He also served as the baseball and football coach at Montclair State University in 1929., Montclair State University', 'Guy Morrison - BR Bullpen | Guy Morrison was baseball coach at Montclair State University in 1929. He was head basketball coach at DePauw University in 1925. Related Sites[edit]. Guy ...', 'About: Guy Morrison | Walter Guy Morrison (August 29, 1895 – August 14, 1934) was a professional baseball player. He played briefly in the majors for the Boston Braves in 1927 ...', 'Guy Morrison | He played briefly in the majors for the Boston Braves in 1927 and 1928. He also served as the baseball and football coach at Montclair State University in 1929.', 'About: Guy Morrison | He also served as the baseball and football coach at Montclair State University in 1929. He died of a self-inflicted gunshot wound in 1934. Property, Value ...', ""Guy Morrison | Morrison was the first head coach in Montclair State University's history. He coached for two seasons, 1928 and 1929, compiling a 2–7–1 overall record. Head ..."", 'Guy Morrison | 18 He also became the football, baseball, and basketball coach at Montclair State Teachers College (now University) in New Jersey.19 Morrison ...']",Guy Morrison coached baseball at Montclair State University in New Jersey [6][7].,New Jersey,['New Jersey']
Are David Paton and Robb Flynn both guitarists ?,"[""Eddie Van Halen tributes from other musicians come ... | You can read tributes from former VH singers David Lee Roth and Sammy Hagar and bassist Michael Anthony, as well as Slash, KISS' Gene Simmons ..."", 'News March 2019 | Band founder and visionary, Robb Flynn states: “Having started rehearsals ... It feels good to see them being reunited both as friends and musicians. And I ...', 'List of baritones in non-classical music | Robb Flynn, 1968–, American. Vio-lence · Machine Head · John Fogerty, 1945–, American, Creedence Clearwater Revival. Michael ""Mikey"" Foster ...']","Step 1: Is David Paton a guitarist?
Step 2: Is Robb Flynn a guitarist?",None,,,"['David Paton | David Paton is a Scottish bassist, guitarist and singer. He first achieved success in the mid-1970s as lead vocalist and bassist of Pilot, who scored hits ...', 'Robb Flynn | Robert Conrad Flynn is an American musician best known as the lead vocalist and rhythm guitarist for heavy metal band Machine Head. Flynn formed the band ...', ""Eddie Van Halen tributes from other musicians come ... | You can read tributes from former VH singers David Lee Roth and Sammy Hagar and bassist Michael Anthony, as well as Slash, KISS' Gene Simmons ..."", 'David Paton .com Official Site | His classical guitar work with RICK WAKEMAN is equally as memorable. The list of artists he has worked with is long and diverse ranging from the Hard Rock of ...', 'Robb Flynn | Robb Flynn is seen playing a Gibson explorer in this video. This was his main guitar during the ""Burn My Eyes"" era, and is seen in numerous music videos and ...', 'News March 2019 | Band founder and visionary, Robb Flynn states: “Having started rehearsals ... It feels good to see them being reunited both as friends and musicians. And I ...', ""How incredible is David Paton? | If you listen close, his riffs are really mind blowing! And he's also the lead singer of this song! His timing while singing is just amazing!""]","David Paton is a Scottish bassist, guitarist, and singer [1]. Robb Flynn is an American musician known as the lead vocalist and rhythm guitarist for heavy metal band Machine Head [2]. David Paton's classical guitar work with RICK WAKEMAN is mentioned [4].",yes,['yes']
Are Sutherlandia and Pratia in the same family?,"['Groundcover Warning: Blue Star Creeper, Pratia ... | - Not native to the U.S. The nomenclature is very confusing on Blue Star Creeper, but according to Paghat, there are actually two different ...', 'Effect of the African Traditional Medicine, Sutherlandia ... | The objective of this study was to investigate the effect of Sutherlandia frutescens (SF) on the bioavailability of atazanavir (ATV) in twelve ...', 'The medicinal plant uses of flowers, plants and herbs in ... | Cancer Bush (Sutherlandia frutescens) family Fabaceae ... This small bush was used many years ago by the Koi, San and early settlers in South ...']","Step 1: What is the scientific name for Sutherlandia?
Step 2: What is the scientific name for Pratia?
Step 3: What is the family of Sutherlandia?
Step 4: What is the family of Pratia?",Step 3 depends on Step 1. Step 4 depends on Step 2.,Step 1: What is the scientific name for Sutherlandia? ANSWER: Sutherlandia frutescens. Step 3: What is the family of Sutherlandia?,What is the family of Sutherlandia frutescens?,"['Cancer bush/Scientific name | Sutherlandia frutescens, Sutherlandia frutescens (Fabaceae) Sutherlandia frutescens is also known as cancer bush in South African and the southern African region. It is mainly used locally as a bitter tonic and an adaptogen., Sutherlandia frutescens', 'Sutherlandia frutescens | Colutea frutescens L., Lessertia frutescens (L.) Goldblatt & J.C.Manning) is a southern African legume. It is a shrub with bitter, aromatic leaves. Red-orange ...', 'Pratia/Scientific name | Pratia, Pratia angulata. Common Name: pratia. Type: Herbaceous perennial. Family: Campanulaceae. Native Range: New Zealand., Pratia angulata', 'Pratia | Pratia is a formerly recognized genus of flowering plants in the family Campanulaceae, native to Asia, Australia and New Zealand. Along with other genera, ...', 'Cancer bush/Family | Legumes, One of the best-known multi-purpose medicinal plants in Southern Africa, Sutherlandia frutescens subsp. microphylla (family: Fabaceae/Leguminosa), is used for a wide range of conditions, including cancer, viral diseases and inflammatory conditions., Fabaceae/Leguminosa', 'Sutherlandia frutescens: The Meeting of Science and ... | S. frutescens belongs to the class Magnoliopsida, order Fabales, genus Sutherlandia, and species frutescens. It was recently proposed that S. frutescens be ...', 'Pratia - Wikipedia | Pratia is a formerly recognized genus of flowering plants in the family Campanulaceae, native to Asia, Australia and New Zealand. Along with other genera, such as Hypsela and Isotoma, it is now included in Lobelia. Former species include: Pratia angulata (G., family Campanulaceae']","Sutherlandia frutescens is in the family Fabaceae, also known as Leguminosae, while Pratia is in the family Campanulaceae [1][2][3][4][5][6][7]. Therefore, they are not in the same family.",No,['no']
What Russian actress and model starred in Freezer?,"['Yulia Snigir | Yulia Snigir. Actress: A Good Day to Die Hard. Born in a town of Tula, Russia, Yulia Snigir was playing chess competitively and at the age of 15 was awarded ...', 'Yuliya Snigir | Yuliya Viktorovna Snigir (Russian: Юлия Викторовна Снигирь; born 2 June 1983) is a Russian actress and model. ... actress played the main role. In 2019, Snigir ...', 'Yuliya Snigir - Movies, Biography, News, Age & Photos | Yuliya Snigir is a Russian actress and model, born on 2 June, 1983 in USSR. ... She starred in the films such as Kokoko, Polar Flight and Freezer. Peers & More.']","Step 1: Who starred in the movie Freezer?
Step 2: Is Yuliya Snigir a Russian actress and model?
Step 3: What movies has Yuliya Snigir starred in?",Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: Who starred in the movie Freezer? ANSWER: Dylan McDermott, Yuliya Snigir, and Peter Facinelli. Step 2: Is Yuliya Snigir a Russian actress and model?",Is Yuliya Snigir a Russian actress and model?,"['Freezer (film) | Freezer is a 2014 American action thriller film directed by Mikael Salomon. The film stars Dylan McDermott, Yuliya Snigir and Peter Facinelli.', 'Yuliya Snigir Films and Shows - Apple TV+ | Yuliya Viktorovna Snigir (Russian: Юлия Викторовна Снигирь) is a Russian actress and model., is a Russian actress and model', 'Yuliya Snigir | Yuliya Viktorovna Snigir (Russian: Юлия Викторовна Снигирь; born 2 June 1983) is a Russian actress and model. ... Snigir was born in Donskoy, Tula Oblast, Russian ...', 'Yulia Snigir | Yulia\'s big break came when she was offered one of the leading roles in the Russian sci-fi blockbuster ""The Inhabited Island"" and the sequel ""The Inhabited ...', 'Yulia Snigir | Yulia Snigir. Actress: A Good Day to Die Hard. Born in a town of Tula, Russia, Yulia Snigir was playing chess competitively and at the age of 15 was awarded ...', 'Freezer (2014) | Freezer: Directed by Mikael Salomon. With Dylan McDermott, Yulia Snigir, Peter Facinelli, Andrey Ivchenko. After waking up in a refrigerated meat locker, ... Rating: 5.2/10, \u200e3,484 votes', 'Yulia Snigir | Yulia Snigir. Actress: A Good Day to Die Hard. Born in a town of Tula, Russia, Yulia Snigir was playing chess competitively and at the age of 15 was awarded ...']","Yuliya Snigir is a Russian actress and model [2]. Yuliya Snigir was born in Donskoy, Tula Oblast, Russia [3]. Yuliya Snigir starred in the film Freezer [6].",Yuliya Snigir,['Yuliya Snigir']
Are both Paul Baloff and Nick Hexum American?,"['List of lead vocalists | Paul Baloff (Exodus); Alex Band (The Calling); Paul Banks (Interpol); Carl ... Nick Hexum (311); Nick Heyward (Haircut One Hundred); Lauryn Hill (Fugees) ...', 'List Of Lead Vocalists: Most Up-to-Date Encyclopedia, ... | Get the latest List Of Lead Vocalists research reviews, science news & scholar articles. View the most complete encyclopedia by Academic Accelerator.', 'India.Arie\'s ""Video"" is the #1 Most Added | At the moment. Louisville\'s FLAW and Cleveland\'s MUSHROOMHEAD are both beginning to break wide open with limited radio exposure. With barely ...']","Step 1: Where is Paul Baloff from?
Step 2: Where is Nick Hexum from?
Step 3: Are Paul Baloff and Nick Hexum American?",Step 3 depends on Step 1. Step 3 depends on Step 2.,"Step 1: Where is Paul Baloff from? ANSWER: San Francisco, CA. Step 2: Where is Nick Hexum from? ANSWER: Madison, Wisconsin, USA. Step 3: Are Paul Baloff and Nick Hexum American?",Are Paul Baloff and Nick Hexum American?,"['Paul Baloff/Place of birth | San Francisco, CA', 'Paul Baloff | There was talk of recording a new studio album and the band continued to play local shows in and around the San Francisco Bay Area.', 'Nick Hexum/Place of birth | Madison, WI, Born in Madison, Wisconsin, to father Dr. Terry Hexum, a professor of pharmacology at the University of Nebraska Medical Center and cardiovascular and neuroscience researcher, and mother Pat, Hexum went to Westside High School in Omaha, Nebraska.', 'Nick Hexum | Nick Hexum was born on 12 April 1970 in Madison, Wisconsin, USA. He is an actor and composer, known for 50 First Dates (2004), Dear John (2010) and Forgetting ...', 'List of lead vocalists | Paul Baloff (Exodus); Alex Band (The Calling); Paul Banks (Interpol); Carl ... Nick Hexum (311); Nick Heyward (Haircut One Hundred); Lauryn Hill (Fugees) ...', 'List of lead vocalists | Paul Baloff (Exodus); Alex Band (The Calling); Paul Banks (Interpol); Carl ... Nick Hexum (311); Nick Heyward (Haircut One Hundred); Lauryn Hill (Fugees) ...', 'Paul Baloff Discography | Paul Baloff (born April 25, 1960 – died February 2, 2002, Oakland, California, USA) was an American singer with Russian background, most notable for his ...']","Paul Baloff was born in San Francisco, CA, and Nick Hexum was born in Madison, WI, USA [1][4]. Both are American.",yes,['yes']
