Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google"
What actor had his final performance in the film based on a dytopian novel by David Eggers called The Circle?,['Bill Paxton'],Bill Paxton
The southern terminus of State Route 102 is located in a town on the southwestern side of an island know to locals as what?,['the backside'],Tremont
Which New Jersey-based manufacturer of suitcases and bags for travel is located in the Shops at Columbus Circle in New York City?,"['Tumi Holdings, Inc.']","Tumi Holdings, Inc."
"Abba Kovner  was a Jewish Hebrew and Yiddish poet, writer and cousin of the youngest and longest surviving signatory of what?",['Israeli Declaration of Independence'],Israeli Declaration of Independence
"In which year did this division, where Cleveland Browns placed fourth in 2009, adopt its current name?",['2002'],2002
What city and nation was the location of the 2015 Pacific Games where the Kiribati national basketball team finished with a 0-4 record?,"['Port Moresby, Papua New Guinea']","Port Moresby, Papua New Guinea"
Where did Leigh Anne Tuohy’s son play college football?,['University of Mississippi'],University of Mississippi
The Last Run is a drama film that stars which Lithuanian-American actor?,['Vyto Ruginis'],George C. Scott
What team did Kenny Brown manage following the departure of Dean Holdsworth?,['Chelmsford'],Chelmsford City
Is the school where Aaron Parrett currently teaches English Literature public or private?,['private'],Private
Who died in the battle located near the River Boyne in Ireland?,['Eochaid or Eochu Étgudach'],Participants
What part of Australia is Alice River and Rupertswood in?,['Victoria'],Alice River is in Queensland and Rupertswood is in Victoria
"Who wrote the book that inspired the name of the CD/DVD ""Here at the End of All Things""?",['J. R. R. Tolkien'],J.R.R. Tolkien
What was Todd Boehly's former position at the firm where Mark Walter is the CEO?,['president'],President
What British novelist born in November 1898 wrote Surprised by Joy: The Shape of My Early Life?,['Clive Staples Lewis'],C. S. Lewis
"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","['Detroit, Michigan']","Detroit, Michigan"
What is the population of the province Herald Provincial Park is in?,['more than four and a half million people'],over 5.5 million
Are Eve Beglarian and Zach Bogosian both of Armenian descent?,['yes'],yes
"In what year year was the believed subject of the Lenny Kravitz song ""Lady"" born?",['1967'],1967
The Cinematic Orchestra was signed to the record label based in what city?,['London'],London
What is the name of shipping magnate Mærsk Mc-Kinney Møller' father?,['A.P. Møller'],Arnold Peter Møller
"What Pakistani actor and writer from Islamabad helped write for the 2012 Pakistani comedy drama sitcom, ""Coke Kahani""?",['Yasir Hussain'],Syed Mohammad Ahmed
How to Irritate People was a broadcast written by an English actor who got his start on what television program?,['The Frost Report'],The Dick Emery Show
Which band was formed earlier: Marianas Trench or Tse Tse Fly?,['Tse Tse Fly'],Tse Tse Fly
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",['Mountbatten family'],Windsor
The physicist who is responsible for identifying the Rabi cycle won what award?,['Nobel Prize'],Nobel Prize in Physics
"Who is older, Thomas Friedman or English author David Lodge?",['David John Lodge CBE'],David Lodge
Where is the origin of Tie Domi who was a player for the Maple Leafs?,['Albanian origin'],"Windsor, Ontario"
What type of media do Peter Filkins and The New Criterion have in common?,['journal'],Publications
When was the album released for which Lady Gaga used for material for her Super Bowl LI halftime show?,"['October 21, 2016']","October 21, 2016"
"How long did The Shire of Flinders, which encompassed the extremity of the Mornington Peninsula located south-east of Melbourne, Australia, exist?",['1874 until 1994'],1874 until 1994
Giovanna d'Arco is an opera that was created by the composer of what nationality?,['Italian'],Italian
British Airways and EasyJet are both based out of where?,['London'],London
Victor Koman's Ph.D.  in Information Technology was conferred by a university located in which city ?,['Minneapolis'],"Minneapolis, Minnesota"
"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",['SKUM'],Skum Fanzine
What was the nationality of the composer of Chaconne in F minor?,['German'],German
What is the birthday of the man who played Lex Luthor in Superman IV: The Quest for Peace?,"['January 30, 1930']","January 30, 1930"
John Alexander and Trent Alexander-Arnold are professional footballers from which country?,['England'],England
What production company was co-created by the lead singer of the band Poison?,['Sheen Michaels Entertainment'],A production company
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,['no'],No
