Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
Where was the first Ottoman Aviation school?,"['Yeşilköy | Yeşilköy, The Ottoman High Command opened a Flight Training School in Yeşilköy, a suburb of Istanbul, on July 3, 1912, and began to train its own pilots. The first director of the school was Maj. Mehmet Cemal Bey., Yeşilköy, a suburb of Istanbul', 'Ottoman Aviation Squadrons | The Ottoman Empire started preparing its first pilots and aircraft, and with the founding of the Aircraft School (Tayyare Mektebi) in Yeşilköy (current ...', 'Turkish Air Force Academy | Serno took office in Istanbul on February 3, 1915 as the most authorized officer of Ottoman aviation. Serno held this position for 4 years. The most important ...']","Step 1: Where was the first Ottoman Flight Training School located?
Step 2: When was the Ottoman Flight Training School opened?
Step 3: Who was the first director of the Ottoman Flight Training School?",Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: Where was the first Ottoman Flight Training School located? ANSWER: Yesilkoy. Step 2: When was the Ottoman Flight Training School opened?,When was the Ottoman Flight Training School opened?,"['Turkish Air Force Academy | Mahmut Sevket Pasha; He wanted the Air School to be established in Üsküdar. However, Yeşilköy was determined as the most suitable place. In the selection of Yeşilköy; The direction of the wind, the condition of the land and its proximity to the railway were decisive., Yeşilköy', 'Ottoman Aviation Squadrons | On 21 February 1912, Mehmet Fesa and Yusuf Kenan completed their flight training at the Blériot School and returned home with the 780th and 797th French Aero ...', 'Development of Turkish Aviation - Turkey in the First World War | The Ottoman High Command opened a Flight Training School in Yeşilköy, a suburb of Istanbul, on July 3, 1912, and began to train its own pilots. The first director of the school was Maj. Mehmet Cemal Bey., July 3, 1912', 'Ottoman Aviation Squadrons | On 21 February 1912, Mehmet Fesa and Yusuf Kenan completed their flight training at the Blériot School and returned home with the 780th and 797th French Aero ...', 'Development of Turkish Aviation - Turkey in the First World War | The Ottoman High Command opened a Flight Training School in Yeşilköy, a suburb of Istanbul, on July 3, 1912, and began to train its own pilots. The first director of the school was Maj. Mehmet Cemal Bey., Maj., Mehmet Cemal Bey', 'Turkish Air Force Academy | Yeşilköy Air School officially started its activities on July 3, 1912. ... Serno took office in Istanbul on February 3, 1915 as the most authorized officer of ...', 'Yeşilköy | Yeşilköy, The Ottoman High Command opened a Flight Training School in Yeşilköy, a suburb of Istanbul, on July 3, 1912, and began to train its own pilots. The first director of the school was Maj. Mehmet Cemal Bey., Yeşilköy, a suburb of Istanbul']","The first Ottoman Aviation school was located in Yeşilköy, a suburb of Istanbul [3][6][7].",Yeşilköy,['Yeşilköy']
What was there a long pattern of from the island starting during the post Napoleonic period?,"['Saint Helena | During periods of unemployment, there has been a long pattern of emigration from the island since the post-Napoleonic period. The majority of ""Saints ...', ""History of Saint Helena | Saint Helena has a known history of over 500 years since its recorded discovery by the Portuguese in 1502. Claiming to be Britain's second oldest colony, ..."", 'The Napoleonic Era, 1799-1815 | 1. Napoleon sent a large army to Haiti to subdue a slave rebellion there. a. French forces were decimated by disease and slave.']","Step 1: What was the pattern of emigration from Saint Helena during the post-Napoleonic period?
Step 2: What were the reasons for emigration from Saint Helena during the post-Napoleonic period?
Step 3: What historical events influenced emigration from Saint Helena during the post-Napoleonic period?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,"Step 1: What was the pattern of emigration from Saint Helena during the post-Napoleonic period? ANSWER: Emigration to the United Kingdom, South Africa, and Australia. Step 2: What were the reasons for emigration from Saint Helena during the post-Napoleonic period?",What were the reasons for emigration from Saint Helena during the post-Napoleonic period?,"['Saint Helena - Wikipedia | During periods of unemployment, there has been a long pattern of emigration from the island since the post-Napoleonic period. The majority of ""Saints"" emigrated to the United Kingdom, South Africa and in the early years, Australia., The majority of ""Saints"" emigrated to the United Kingdom, South Africa and in the early years, Australia', ""History of Saint Helena | Saint Helena has a known history of over 500 years since its recorded discovery by the Portuguese in 1502. Claiming to be Britain's second oldest colony, ..."", 'Saint Helena | During periods of unemployment, there has been a long pattern of emigration from the island since the post-Napoleonic period. The majority of ""Saints"" emigrated ...', ""History of Saint Helena | Saint Helena has a known history of over 500 years since its recorded discovery by the Portuguese in 1502. Claiming to be Britain's second oldest colony, ..."", 'Saint Helena | During periods of unemployment, there has been a long pattern of emigration from the island since the post-Napoleonic period. The majority of ""Saints ...', 'Saint Helena - British Colony, Napoleon Exile, Atlantic Island | Helena made it attractive to the powers of Europe as a place of exile for Napoleon I, and he was confined at Longwood House on the island from October 1815 ...', 'History of Saint Helena | Since the early 19th century, the British occasionally used the island as a place of exile, most notably for Napoleon Bonaparte, Dinuzulu kaCetshwayo and over ...']","During periods of unemployment, there has been a long pattern of emigration from the island since the post-Napoleonic period [1][3]. The majority of ""Saints"" emigrated to the United Kingdom, South Africa, and in the early years, Australia.",emigration,['emigration']
What song was sung at Chopin's funeral?,"[""Behind the Curtain Chopin's Funeral Music | It took special pleas from Chopin's most powerful friends and by the vicar of La Madeleine, where the service was to be held, before the ..."", ""What was played at Chopin's funeral? | According to Karasowski, Chopin personally requested that Mozart's Requiem be the only music at his funeral service; it was performed under the ..."", 'Did Chopin request that his Prelude Op. 28 No. 4 (E minor ... | Maurycy Karasowski says (bottom of p320, top of p321) that Chopin requested that the only music to be played at his funeral be the Mozart ...']","Step 1: What music was played at Chopin's funeral?
Step 2: Did Chopin request a specific song to be played at his funeral?
Step 3: Was Mozart's Requiem the only music played at Chopin's funeral?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What music was played at Chopin's funeral? ANSWER: Funeral march from Chopin's own Sonata in B-flat Minor. Step 2: Did Chopin request a specific song to be played at his funeral?,Did Chopin request a specific song to be played at his funeral?,"[""Piano Sonata No. 2 | Piano Sonata No. 2, The third movement of the Piano Sonata No. 2 is Chopin's famous funeral march (French: Marche funèbre; Polish: Marsz żałobny) which was composed at least two years before the remainder of the work and has remained, by itself, one of Chopin's most popular compositions. The Piano Sonata No., Piano Sonata No., 2"", ""'Chopin's Funeral' | As the mourners took their places, the organist played the funeral march from Chopin's own Sonata in B-flat Minor. Then, the choir of the ..."", ""Prelude, Op. 28, No. 4 (Chopin) - Wikipedia | The Prelude Op. 28, No. 4 by Frédéric Chopin is one of the 24 Chopin preludes. By Chopin's request, this piece was played at his own funeral, along with Mozart's Requiem., By Chopin's request, this piece was played at his own funeral"", 'Did Chopin request that his Prelude Op. 28 No. 4 (E minor ... | Maurycy Karasowski says (bottom of p320, top of p321) that Chopin requested that the only music to be played at his funeral be the Mozart ...', ""Behind the Curtain Chopin's Funeral Music - Interlude.hk | In addition to the Requiem, an orchestral arrangement of the “Funeral March” from Chopin's B-flat minor sonata, an organ arrangement of a couple of Preludes and improvised variations on themes by the composer also sounded."", ""What was played at Chopin's funeral? | According to Karasowski, Chopin personally requested that Mozart's Requiem be the only music at his funeral service; it was performed under the ..."", ""Behind the Curtain Chopin's Funeral Music | It took special pleas from Chopin's most powerful friends and by the vicar of La Madeleine, where the service was to be held, before the ...""]",The funeral march from Chopin's own Sonata in B-flat Minor was played at his funeral [1]. Chopin requested that his Prelude Op [3]. 28 No. 4 be played at his funeral. Chopin personally requested that Mozart's Requiem be the only music at his funeral service [6].,Mozart's Requiem,"[""Mozart's Requiem""]"
What year did Estonia host the Eurovision Song Contest?,"['2002 | 2002, The 2002 contest was held in Estonia, in the capital city Tallinn, where Sahlene finished third for the hosts (tied with the UK)., 2002', 'Estonia | Estonia made its debut in the Eurovision Song Contest in 1994. The country participated in a pre-qualifying round the previous year but failed to make it to ...', 'Estonia | Eurovision Song Contest Wiki | Fandom | Estonia has competed in the Contest 27 times, making its debut at the Eurovision Song Contest 1994 in Dublin. However, they finished second last to ...']","Step 1: What year did Estonia debut in the Eurovision Song Contest?
Step 2: Where was the Eurovision Song Contest held in 2002?
Step 3: Did Estonia host the Eurovision Song Contest in 2002?",Step 3 depends on Step 1. Step 3 depends on Step 2.,"Step 1: What year did Estonia debut in the Eurovision Song Contest? ANSWER: 1994. Step 2: Where was the Eurovision Song Contest held in 2002? ANSWER: Tallinn, Estonia. Step 3: Did Estonia host the Eurovision Song Contest in 2002?",Did Estonia host the Eurovision Song Contest in 2002?,"['1994 | 1994, Estonia made its debut in the Eurovision Song Contest in 1994. The country participated in a pre-qualifying round the previous year but failed to make it to the final., 1994', ""Estonia in the Eurovision Song Contest | Estonia finished 24th (out of 25) on its debut in 1994 and was relegated from the following year's contest. Estonia's record at the contest was a successful ..."", 'Tallinn, Estonia | Tallinn, Estonia, The Eurovision Song Contest 2002 was the 47th edition of the Eurovision Song Contest. It took place in Tallinn, Estonia, following the country\'s victory at the 2001 contest with the song ""Everybody"" by Tanel Padar, Dave Benton and 2XL., Tallinn, Estonia', 'Estonia in the Eurovision Song Contest 2002 | The competition consisted of a ten-song final on 26 January 2002 at the Linnahall in Tallinn, hosted by Marko Reikop and Karmel Eikner and broadcast on ETV.', 'Estonia in the Eurovision Song Contest 2002 - Wikipedia | As the host country, Estonia competed in the Eurovision Song Contest which took place on 25 May 2002., Estonia competed in the Eurovision Song Contest', 'Estonia in the Eurovision Song Contest | The 2002 contest was held in Estonia, in the capital city Tallinn, where Sahlene finished third for the hosts (tied with the UK). From 2004 to 2008 Estonia ...', '2002 | 2002, The 2002 contest was held in Estonia, in the capital city Tallinn, where Sahlene finished third for the hosts (tied with the UK)., 2002']","The 2002 Eurovision Song Contest was held in Estonia, in the capital city Tallinn [6][7].",2002,['2002']
Where is the Sprint Unlimited held?,"['2016 Sprint Unlimited | Daytona International Speedway', ""Get Unlimited Talk, Text, & Data | Sprint | All of Sprint's Unlimited phone plans include Unlimited data, talk and text nationwide. You'll also get free text and basic data with Global Roaming in 200 ..."", 'Unlimited Plans | Sprint Support | Unlimited Premium gives you 100GB LTE Mobile Hotspot, Lookout Premium Plus, music streaming with TIDAL Premium, and unlimited 4G LTE data roaming in Canada and ...']",Step 1: Where is the Sprint Unlimited held? Step 2: What is the location of the Daytona International Speedway? Step 3: Is the Sprint Unlimited held at the Daytona International Speedway?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Where is the Sprint Unlimited held? ANSWER: Daytona International Speedway. Step 2: What is the location of the Daytona International Speedway?,What is the location of the Daytona International Speedway?,"['2016 Sprint Unlimited | Daytona International Speedway', ""Get Unlimited Talk, Text, & Data | Sprint | All of Sprint's Unlimited phone plans include Unlimited data, talk and text nationwide. You'll also get free text and basic data with Global Roaming in 200 ..."", 'Directions and Parking | Located inside of the Turn 4 tunnel, the infield shuttle bus pick-up/drop-off location is on the right by the Information Booth. This shuttle runs through the ...', '2016 Sprint Unlimited - Wikipedia | The 2016 Sprint Unlimited at Daytona was a NASCAR Sprint Cup Series race held on February 13, 2016, at Daytona International Speedway in Daytona Beach, Florida., held on February 13, 2016, at Daytona International Speedway', 'Sprint Unlimited. The Sprint Unlimited is an annual… | The Sprint Unlimited is an annual invitation-only NASCAR Sprint Cup Series exhibition event held at Daytona International Speedway in February, the weekend ...', '2016 Sprint Unlimited | Daytona International Speedway', ""Get Unlimited Talk, Text, & Data | Sprint | All of Sprint's Unlimited phone plans include Unlimited data, talk and text nationwide. You'll also get free text and basic data with Global Roaming in 200 ...""]",The Sprint Unlimited is an annual invitation-only NASCAR Sprint Cup Series exhibition event held at Daytona International Speedway [5].,Daytona International Speedway,['Daytona International Speedway']
When did Pioneer release the LD-700?,"['LaserDisc - Wikipedia | In March 1984, Pioneer introduced the first consumer player with a solid-state laser, the LD-700. It was also the first LD player to load from the front and not the top., March 1984', 'Pioneer LD-700 - MSX Wiki | The Pioneer LD-700 is a LaserDisc player that can be used with a Japanese MSX1 computer which has at least 32kB RAM and internally or externally ...', 'LaserDisc player | In March 1984, Pioneer introduced the first consumer player with a solid-state laser, the LD-700. It was also the first LD player to load from the front and not ...']",Step 1: When was the Pioneer LD-700 released? Step 2: What were the features of the Pioneer LD-700? Step 3: What was the significance of the Pioneer LD-700 in the history of LaserDisc players?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: When was the Pioneer LD-700 released? ANSWER: March 1984. Step 2: What were the features of the Pioneer LD-700?,What were the features of the Pioneer LD-700?,"['March 1984 | March 1984, In March 1984, Pioneer introduced the first consumer player with a solid-state laser, the LD-700., March 1984', 'Pioneer LD-700 - MSX Wiki | The Pioneer LD-700 is a LaserDisc player that can be used with a Japanese MSX1 computer which has at least 32kB RAM and internally or externally ...', 'LD-700 Videodisc Player | In addition to slow/fast-motion, ""freeze"" and others, you have the microcomputer-assisted conven- ience of search and display of Chapters, Frames and Elapsed- Time references, as shown here. On-screen display of those ref- erences can be cancelled for nor- mal viewing., slow/fast-motion, ""freeze"" and others, you have the microcomputer-assisted conven- ience of search and display of Chapters, Frames and Elapsed- Time references', ""Pioneer LD-700 Laserdisc Player Info? | most LD remotes, and features a protective slide so that 'hidden' buttons (at the ... In conclusion, if the LD-700 player is selling for less than $150, it's"", 'LaserDisc player - Wikipedia | In 1984, Pioneer Corporation introduced the first consumer player with a solid-state laser diode. This model, the Pioneer LD-700, was also the first LaserDisc player with a front-loading disc bay instead of a top-loading one. Pioneer became the market leader in LaserDisc technology., the first LaserDisc player with a front-loading disc bay instead of a top-loading one', 'LaserDisc | In March 1984, Pioneer introduced the first consumer player with a solid-state laser, the LD-700. It was also the first LD player to load from the front and not ...', 'LaserDisc - Wikipedia | In March 1984, Pioneer introduced the first consumer player with a solid-state laser, the LD-700. It was also the first LD player to load from the front and not the top., March 1984']","In March 1984, Pioneer introduced the LD-700 [1][5][7].",March 1984,['March 1984']
Who tried to revive the Delphic oracle?,"['Delphi | Delphi in legend previously called Pytho was an ancient sacred precinct and the seat of Pythia, the major oracle who was consulted about important decisions ...', 'For Delphic Oracle, Fumes and Visions | The Roman emperor Julian the Apostate tried to restore it in the fourth century A.D., but the oracle wailed that her powers had vanished.', 'Oracle of Delphi | Overview, Prophecies & Significance | He and some other recent Roman rulers had attempted to revive Greek culture, including the Oracle of Delphi. The story goes that Pythia gave the emperor her ...']",Step 1: Who attempted to revive the Delphic oracle in the fourth century A.D.? Step 2: What were the reasons for the attempt to revive the Delphic oracle in the fourth century A.D.? Step 3: What was the outcome of the attempt to revive the Delphic oracle in the fourth century A.D.?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who attempted to revive the Delphic oracle in the fourth century A.D.? ANSWER: Julian the Apostate. Step 2: What were the reasons for the attempt to revive the Delphic oracle in the fourth century A.D.?,What were the reasons for the attempt to revive the Delphic oracle in the fourth century A.D.?,"[""For Delphic Oracle, Fumes and Visions - The New York Times | The Roman emperor Julian the Apostate tried to restore it in the fourth century A.D., but the oracle wailed that her powers had vanished. French archaeologists began excavating the ruins in 1892, in time digging down to the temple's foundations., The Roman emperor Julian the Apostate"", 'Delphi | Delphi in legend previously called Pytho was an ancient sacred precinct and the seat of Pythia, the major oracle who was consulted about important decisions ...', 'For Delphic Oracle, Fumes and Visions | The Roman emperor Julian the Apostate tried to restore it in the fourth century A.D., but the oracle wailed that her powers had vanished.', ""For Delphic Oracle, Fumes and Visions - The New York Times | With the rise of Christianity, the temple decayed. The Roman emperor Julian the Apostate tried to restore it in the fourth century A.D., but the oracle wailed that her powers had vanished. French archaeologists began excavating the ruins in 1892, in time digging down to the temple's foundations., the oracle wailed that her powers had vanished"", ""Delphi | The oracle's credibility waned due to doubtful predictions. The oracle flourished again in the second century AD, during the rule of emperor Hadrian ..."", 'Delphi | Delphi in legend previously called Pytho was an ancient sacred precinct and the seat of Pythia, the major oracle who was consulted about important decisions ...', 'Julian and the Last Oracle at Delphi | One of these is the twelfth-century historian George Kedre- nos.4 In his words, Julian ""sent Oribasius, physician and quaestor, to rebuild the temple of Apollo ...']",The Roman emperor Julian the Apostate tried to restore it in the fourth century A.D. [1][3].,Julian the Apostate,['Julian the Apostate']
Pope Sixtus V limited the number of cardinals to?,"['seventy | seventy, The subsequent administrative system of the Catholic Church owed much to Sixtus. He limited the College of Cardinals to seventy., seventy', 'CATHOLIC ENCYCLOPEDIA: Pope Sixtus V | On 3 Dec., 1586, he issued the Bull ""Postquam verus"", fixing the number of cardinals at seventy, namely, six cardinal-bishops, fifty cardinal-priests, and ...', 'Cardinals created by Pius XII | On 23 December 1945, Pope Pius XII announced he would create 32 cardinals at a consistory on 18 February 1946. The new cardinals came from 19 countries, with ...']",Step 1: What was the number of cardinals limited to by Pope Sixtus V? Step 2: What was the subsequent administrative system of the Catholic Church under Pope Sixtus V? Step 3: How many cardinals were created by Pope Pius XII?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: What was the number of cardinals limited to by Pope Sixtus V? ANSWER: 70. Step 2: What was the subsequent administrative system of the Catholic Church under Pope Sixtus V?,What was the subsequent administrative system of the Catholic Church under Pope Sixtus V?,"['70 | 70, In 1586, Pope Sixtus V limited the number of cardinals to 70: six cardinal bishops, 50 cardinal priests, and 14 cardinal deacons., 70', 'Pope Sixtus V | He limited the College of Cardinals to seventy. He doubled the number of the congregations and enlarged their functions, assigning to them the principal role in ...', 'Pope Sixtus V - Wikipedia | Church administration The subsequent administrative system of the Catholic Church owed much to Sixtus. He limited the College of Cardinals to seventy. He doubled the number of the congregations and enlarged their functions, assigning to them the principal role in the transaction of business (1588)., limited the College of Cardinals to seventy', 'Pope Sixtus V | ClipArt ETC | The subsequent administrative system of the Church owed much to Sixtus V. He limited the College of Cardinals to seventy; and doubled the number ...', 'Cardinals created by Pius XII - Wikipedia | Pope Pius XII ( r. 1939–1958) created 56 cardinals in two consistories., 56 cardinals', 'Category:Cardinals created by Pope Pius XII | Cardinals created by Pius XII ; A. Gregorio Pietro Agagianian · Benedetto Aloisi Masella · Manuel Arce y Ochotorena · Benjamín de Arriba y Castro · Manuel ...', 'seventy | seventy, The subsequent administrative system of the Catholic Church owed much to Sixtus. He limited the College of Cardinals to seventy., seventy']",Pope Sixtus V limited the number of cardinals to 70 [1][3].,70,['70']
What year did American Idol being to air on television? ,"['2002 | 2002, American Idol is an American singing competition television series created by Simon Fuller, produced by Fremantle North America and 19 Entertainment, and distributed by Fremantle North America. It aired on Fox from June 11, 2002, to April 7, 2016, for 15 seasons., June 11, 2002', 'American Idol | Summary, Judges, Winners, & Facts | Following its debut on the Fox network, American Idol (2002–16) became one of the most-watched shows in the United States and produced numerous imitations.', 'American Idol | It aired on Fox from June 11, 2002 to April 7, 2016, as an addition to the Idols format based on the British series Pop Idol and has since become one of the ...']",Step 1: When did American Idol first air on television? Step 2: What network aired American Idol? Step 3: How many seasons did American Idol run for?,Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: When did American Idol first air on television? ANSWER: June 11, 2002. Step 2: What network aired American Idol?",What network aired American Idol?,"['American Idol/First episode date | June 11, 2002, The first season of American Idol (originally entitled American Idol: The Search for a Superstar) premiered on June 11, 2002, and continued until September 4, 2002., June 11, 2002', 'American Idol | It aired on Fox from June 11, 2002, to April 7, 2016, for 15 seasons. It was on hiatus for two years until March 11, 2018, when a revival of the series began ...', 'American Idol | American Idol is an American singing competition television series created by Simon Fuller, produced by Fremantle North America and 19 Entertainment, ...', '15 seasons | 15 seasons, American Idol is an American singing competition television series created by Simon Fuller, produced by Fremantle North America and 19 Entertainment, and distributed by Fremantle North America. It aired on Fox from June 11, 2002, to April 7, 2016, for 15 seasons., 15 seasons', 'American Idol (season 21) | The twenty-first season of American Idol premiered on February 19, 2023, on the ABC television network. Ryan Seacrest returned as host; Luke Bryan, ...', '2002 | 2002, American Idol is an American singing competition television series created by Simon Fuller, produced by Fremantle North America and 19 Entertainment, and distributed by Fremantle North America. It aired on Fox from June 11, 2002, to April 7, 2016, for 15 seasons., June 11, 2002', 'American Idol | Summary, Judges, Winners, & Facts | Following its debut on the Fox network, American Idol (2002–16) became one of the most-watched shows in the United States and produced numerous imitations.']","The first season of American Idol premiered on June 11, 2002 [1].",2002,['2002']
What is the name of the dog in Philippine mythology who is responsible for lightning?,"['Kimat is a lightning spirit that... - Philippine Spirits | Kimat is a lightning spirit that appears as a big white dog and servant of the great spirits. At times Kadaklan sends his dog Kīmat, ...', 'Dogs in religion | Philippines. In Philippine mythology, Kaimat, the pet of Tadaklan, the god of thunder, is responsible for lightning.', 'DOG GODS | DOG MYTHOLOGY - phoenixdogtraining | Kimat is the dog of Tadaklan. Tadaklan is the god of thunder,by the Tinguian people of central Luzon and lives in the sky with his dog Kimat, is ...']",Step 1: What is the name of the god of thunder in Philippine mythology? Step 2: What is the name of the dog in Philippine mythology who is the servant of the god of thunder? Step 3: What is the responsibility of the dog in Philippine mythology who is the servant of the god of thunder?,Step 2 depends on Step 1. Step 3 depends on Step 2.,Step 1: What is the name of the god of thunder in Philippine mythology? ANSWER: Ribung Linti. Step 2: What is the name of the dog in Philippine mythology who is the servant of the god of thunder?,What is the name of the dog in Philippine mythology who is the servant of the god of thunder?,"['List of thunder gods | Philippines edit · Kidul (Kalinga mythology) · Ovug (Ifugao mythology) · Aninitud angachar (Ifugao mythology) · Child of Kabunian (Ibaloi mythology) · Kidu (Bugkalot ...', 'Kadaklan - Oxford Reference | A thunder god, Kadaklan lives in the sky with his faithful dog Kimat, the lightning, who will bite a house, a tree, or a field whenever the divine master desires that a special ceremony be performed., Kimat, the lightning', 'Kadaklan | Facts, Information, and Mythology | It is believed that thunder is the dog Kīmat and that by the barking of this dog, the god makes known his desire. His direct messenger is ...', 'Kadaklan - Oxford Reference | A thunder god, Kadaklan lives in the sky with his faithful dog Kimat, the lightning, who will bite a house, a tree, or a field whenever the divine master desires that a special ceremony be performed., bite a house, a tree, or a field whenever the divine master desires that a special ceremony be performed', 'List of Philippine mythological figures | ... god of wind, or Revenador, god of thunder and lightning; Saguday: the ... dog god Lobo in the underworld; Lobo: a god who was punished to become a ...', 'Kimat is a lightning spirit that... - Philippine Spirits | Kimat is a lightning spirit that appears as a big white dog and servant of the great spirits. At times Kadaklan sends his dog Kīmat, ...', 'RIBUNG LINTI: Visayan Deity of Thunder & Lightning | Ribung Linti – the god of thunder and lightning. He was believed to be able to control thunder , release bolts of electricity and harness ...']",The dog in Philippine mythology responsible for lightning is named Kimat [2][6].,Kimat,['Kimat']
