Question,Answer,Question Length
Who constructed Trinity bomb?,['George Kistiakowsky'],5
What boat was Rassmann on?,['PCF-94'],6
where was jesse saunders from?,['Chicago'],6
What does Midna destroy?,['Mirror of Twilight'],5
Who was recalled?,['Russian deputies'],4
Comcast owns what movie studio?,['Universal Pictures'],6
Who invaded Tibet? ,['Ögedei Khan'],4
What is a caretaker manager?,['Caretaker appointments are managers that fill the gap between a managerial departure and a new appointment.'],6
What entity publishes the HDI?,['United Nations Development Programme'],6
Who organized Live Aid?,['Bob Geldof and Midge Ure'],5
WWhat does Rías Baixas mean?,['Low Rías'],6
Where is Fort Bismark located?,['Wolfisheim'],6
When was the motto adopted?,['1865'],6
Which parade started in 1924?,"[""America's Thanksgiving Parade""]",6
Who negotiated the Hellgate treaty?,['Isaac Stevens'],6
Where was pepsi first produced?,['New Bern'],6
Where were numerous dark-skinned communities? ,['North Africa'],6
Who sponsors the Premier League?,['Barclays Bank'],6
What does Bushido mean?,"['the ""way of the warrior""']",5
Why did military use barracks?,['to avoid distraction of their growth'],6
What are pili?,['cellular appendages'],4
What does SWAPO stand for?,"[""South West Africa People's Organisation""]",6
Who first utilized solar architecture?,['Greeks and Chinese'],6
What does AGL stand for?,['above ground level'],6
Is Spain apart of federalism?,"['Spain is not a federalism, but a decentralized administrative organization of the state.']",6
What influenced House music?,['Soul and disco'],5
Who oversees Plymouth's sewers?,['South West Water'],6
What replaced the UB 2?,['UB 7'],6
Where is its geographic location?,['North-West of the Iberian Peninsula'],6
When did modernism take place?,['1890–1930'],6
Who played Billy Cub?,['John Paul Weier'],5
Who replaced President Trochu?,['Favre'],5
What year did Pilote begin?,['1959'],6
Who are the Echo Boys?,['poor and often homeless children who sold the newspaper'],6
Who supposedly created the site?,['a Beijing citizen.'],6
When did Giotto die?,['1337'],5
Why did Eisenhower ignore McCarthy?,['facilitate relations with Congress'],6
What is nonverbal communication?,['conveying meaning in the form of non-word messages'],5
What is souvlaki?,['pork and chicken cooked over charcoal'],4
What is Italian Unification?,['social movement that annexed different states of the Italian peninsula into the single state of Italy'],5
What did Kerry fundraise for?,['the Cooperative for Assistance and Relief Everywhere'],6
Loops are defined as what?,['instructions that are repeated by the computer)'],6
Whose principles did Burke imitate?,['L. Bol.'],6
Who discovered nuclear fission?,['Otto Hahn and Fritz Strassmann'],5
Who resigned in 1954?,['Naguib'],5
MES-1 uses what scripts only? ,['Latin scripts only'],6
Why were many children employed?,['increasing need of cheap labour'],6
What does NESA Teach?,['It teaches courses and holds seminars and workshops'],5
What species are usually hunted?,['mammals and birds'],6
Where are music students educated ,"['Young musicians are educated in the conservatory, a department of the Utrecht School of the Arts']",5
What is Pandeism?,['why God would create a universe and then abandon it'],4
Where did Dionysius hail from?,['Halicarnassus'],6
When was Coral Way constructed?,['1922'],6
What is powerful concentration called?,['jhāna'],6
Who was Robert Somers Brookings?,['the president of the Board of Trustees'],6
What does Digimon stand for?,['Digital Monsters'],6
Who owns the Thunder?,['Professional Basketball Club LLC'],5
What did these changes highlight ?,"[""emphasized the modern Greeks' ancient heritage""]",6
Who assassinated Abdirashid Ali Shermarke?,['one of his own bodyguards'],6
How did Republicans attack Kerry?,"[""by calling Kerry's war record into question""]",6
What famous inscription mentioned Armenia?,['the Achaemenid Behistun Inscription'],6
What are UTAs?,['unit training assemblies'],4
What do anitibiotics mostly target?,['bacterial functions or growth processes'],6
What was evacuated in Beijing?,['office towers'],6
What is the Great Depression?,['a worldwide economic downturn'],6
How was the single released?,['exclusively'],6
Who was Stratonice's father?,['Antiochus II'],6
What were the Dominican Brothers?,['canons-regular'],6
What happens during refining?,['removal of bubbles'],5
When was the German Mediatisation?,['1795 to 1814'],6
When was Pyongyang captured?,['October 1950'],5
What does Trimountaine mean?,['three mountains'],5
How are these gases formed?,['by specialized hydrogenases in the chloroplast'],6
When did Derby resign?,['1868'],5
What did Eannatum annex?,['practically all of Sumer'],5
What crops does Punjab grow?,['wheat and cotton'],6
When was modern-day Spain created?,['1492'],6
When did Yongzheng ban christianity?,['1723'],6
When was the CJIS created?,['1991'],6
Where is 1520 Sedgwick?,['just north of the Cross Bronx Expressway and hard along the Major Deegan Expressway'],5
Who designed the Famicom system?,['Masayuki Uemura'],6
What is a House Master?,['the teacher who lives in the house and manages the pupils in it'],6
