Question,Generative Answer,Correct Answer
how do i track my order,"You can track your order here: https://shop.lululemon.com/help/track-order. Check the status of your order or return here. If you have any other questions, you can reach out to our Guest Education Centre (GEC) by Live Chat, Apple Messages, phone or email. Phone number: 1.877.263.9300 | Hours: 6am – 6pm PT on weekdays, 6am – 4pm PT on weekends. You can also use our store locator to find a lululemon near you and to learn more about your store’s services and hours. Free shipping.",Yes
what is your return policy,"If you’re having second thoughts about your purchase, and it was made within 30 days, you can return it! For more information, please visit https://shop.lululemon.com/help/returns ",Yes
My entire order is missing. What do I do?,"Please check the status of your order or return here: https://shop.lululemon.com/help/track-order. If you need further assistance, please contact our Customer Service team.",Yes
"Hey, you sent me the wrong order","I apologize for the inconvenience. To track your order or return it, please visit https://shop.lululemon.com/help/track-order If you would like to return it, please visit https://shop.lululemon.com/help/returns. If you need further assistance, please contact the Guest Education Centre (GEC) at 1.877.263.9300 or visit https://shop.lululemon.com/contact. for more information.",Yes
Can you help me place an order,"You can place an order online and pick it up in-store. Here is the link with detailed instructions: https://shop.lululemon.com/story/buy-online-pick-up-in-store You can also find more information about services and hours at this link: https://shop.lululemon.com/story/services. If you have any other questions, you can contact us at 1.877.263.9300 or via Live Chat, Apple Messages, phone or email at this link: https://shop.lululemon.com/contact.",Yes
how do i get the sweat collective membership,You can learn more about the Sweat Collective Program and how to join here: https://shop.lululemon.com/about/sweat-collective You can also find answers to frequently asked questions about the program here: https://shop.lululemon.com/about/sweat-collective-faq,Yes
how can i check my giftcard balance,"You can check your gift card balance by downloading the lululemon app and adding your gift card to your profile. You can also redeem your gift card in store by scanning the barcode. For more information, please visit https://shop.lululemon.com/help/redeem-gift-card",No
Can you help me find a Lululemon store that offers hemming services for pants?,"You can find a lululemon store that offers hemming services for pants by using our store locator here: https://shop.lululemon.com/story/services. Additionally, you can find more information about in-store services such as hemming, returns & exchanges, and lululemon Studio Mirror at our stores in Eugene, OR (https://shop.lululemon.com/stores/us/eugene/oakway-center.) and Milwaukee, WI (https://shop.lululemon.com/stores/us/milwaukee/thirdward).",Yes
Can you provide information about Lululemon's loyalty program?,You can find information about lululemon’s loyalty program at https://shop.lululemon.com/membership. This includes full lululemon Membership Terms and Conditions and lululemon Studio Terms and Conditions. You can also find information about lululemon’s Ambassador Program at https://shop.lululemon.com/story/our-programs and lululemon collective at https://shop.lululemon.com/about/sweat-collective.,Yes
Do you have a sizing guide that I can follow?,"Yes, we do have a sizing guide. Please refer to our Fit Guide and Size Charts here: https://shop.lululemon.com/help/size-guide/mens. For lettered sizes, use the waist and hip measurements as a guide to pick the right size for you. For numbered sizes, our pants fit like your favorite chinos. If you’re a 32 in the pants you have at home, you’ll likely be a 32 in our pants. Bodies come in all shapes and sizes. Normally we select bottom sizes based off our waist size.",Yes
