Question,Answer,Conversation#,Turn#,Context,Question Length
Who was Whitney Gertrude?,Gertrude Vanderbilt Whitney was a well-regarded sculptor as well as a serious art collector.,4130,3,"['When was the Whitney Museum of American Art created?', 'The Whitney Museum was founded in 1930.', 'Who was Whitney Museum named after?', ""Named after the museum's founder, Gertrude Vanderbilt Whitney.""]",5
who are hera's parents,Hera is the daughter of the Titans Cronus and Rhea.,7820,2,"['what is the symbol of hera the greek goddess', 'symbols of Hera include the pomegranate, peacock feather, diadem, cow, lily, lotus, cuckoo, panther, scepter, throne, and lion.']",5
Who was Graham Chapman?,"Graham Chapman was an English comedian, actor, and writer, known for his writing partnership with John Cleese and his role in British surreal comedy group, Monty Python.",3533,1,[],5
what is The 100 about,"The series follows a group of post-apocalyptic survivors, chiefly criminal adolescents who are among the first people from a space habitat to return to Earth after a nuclear apocalypse.",9390,4,"['how many episodes are in the 100 season 5', 'There are 13 episodes in Season 5 of The 100.', 'when did the season 5 of The 100 first air', 'Season 5 of The 100 first aired on April 24, 2018.', 'when was the last episode of season 5 of The 100', 'Season 5 of The 100 last aired on August 7, 2018.']",5
What was Mercury Theatre?,The Mercury Theatre was an independent repertory theatre company founded in New York City in 1937 by Orson Welles and producer John Houseman.,6992,1,[],5
Was John Dee married?,Dee was married three times.,2609,1,[],5
who is Bob Woodward?,Bob Woodward was a Washington Post reporter.,1893,1,[],5
when is the us open,"The U.S. Open happens in mid-June, scheduled so that, if there are no weather delays, the final round is played on the third Sunday.",8567,5,"['who has won back to back us open golf tournament', 'Seven players have won back to back US Opens.', 'can you tell me a player who has won the us open twice in a row', 'Brooks Koepka won the U.S. Open in 2017 and 2018.', 'who has won 3 us golf opens in a row', 'Willie Anderson holds the record for most consecutive US Open wins with three.', 'can you tell me about the championship structure of the us open', 'Since 1898 the US Open has been 72 holes of stroke play, with the winner being the player with the lowest total number of strokes.']",5
Where was he born?,Shen Kuo was born in Qiantang,5533,1,[],5
When was neon gas discovered,Neon was discovered in 1898 by William Ramsay and Morris Travers at University College London.,7405,2,"['why does neon gas in a tube turn fluoresce bright orange when electricity is passed through it', ""Neon lights give an electrifying red orange colour due to each element giving off a few characteristic wavelengths of light when it's electrons are excited""]",5
who created family guy,Family Guy is an American animated sitcom television series created by Seth MacFarlane.,8847,3,"['who played rush limbaugh on the family guy', 'Rush Limbaugh plays himself on the premiere of the sixth season of Family Guy.', 'how many seasons does the show family guy have', 'Family Guy has 18 seasons.']",4
Was Josh Homme married?,"Josh Homme met Australian singer and musician Brody Dalle in 1996. Homme and Dalle were married on December 3, 2005.",5328,3,"['Where is the musician Josh Homme from?', 'Joshua Michael Homme was born in Joshua Tree, California.', 'Where did Josh Homme study?', 'Josh Homme moved to Seattle, Washington, attending the University of Washington to study business.']",5
how high is the aconcagua,"At 22,837 feet, not only is it the highest mountain in South America, it is the tallest in all of the Americas, as well as the Southern and Western Hemispheres.",7765,2,"['what is the name of the highest mountain in south america', 'Aconcagua is highest mountain in South America.']",5
how was the season marketed,"A teaser for the second season of Stranger Things, which also announced the release date, aired during Super Bowl 51.",9489,5,"['when did stranger things come out season 1', ""The first season of the American science fiction horror web television series Stranger Things premiered worldwide exclusively via Netflix's web streaming service on July 15, 2016."", 'who did season 1 of stranger things star', 'The first season of Stranger Things stars Winona Ryder, David Harbour, Finn Wolfhard, Millie Bobby Brown, Gaten Matarazzo, Caleb McLaughlin, Natalia Dyer, Charlie Heaton, Cara Buono, and Matthew Modine.', 'when was stranger things season 1 released on home media', 'The first season of Stranger Things was released on a Blu-ray/DVD combo pack exclusively to Target retailers on October 17, 2017.', 'when was stranger things season 2 released on home media', 'The second season of Stranger Thingswas released on a Blu-ray/DVD combo pack exclusively to Target retailers on November 6, 2018, in vintage CBS-FOX VHS-inspired packaging.']",5
Does Enya have kids?,No,6241,2,"[""Tell me about Enya's personal life."", 'A relationship Enya had with one man ended in 1997. She was considering taking time out of music to have a family but found she was putting pressure on herself.']",5
who developed the polymer banknote,"Modern polymer banknotes were first developed by the Reserve Bank of Australia, Commonwealth Scientific and Industrial Research Organisation and The University of Melbourne.",9495,5,"['when did the new 5 pound come out', 'The polymer Bank of England £5 note was introduced on 13 September 2016.', 'why did the bank of england switch to polymer for the 5 pound note', 'The Bank of England cited that the polymer £5 note would be cleaner, more secure and more durable.', 'which country first used polymer for currency', 'Australia was one of the first countries to issue polymer notes, and the first country to adopt the trend. The first banknotes were issued in 1988.', 'what are polymer banknotes made of', 'Polymer banknotes are banknotes made from a synthetic polymer such as biaxially oriented polypropylene.']",5
what companies dominate mass communications,"As of 2020, the largest media conglomerates in terms of revenue rank Comcast, The Walt Disney Company, AT&T and ViacomCBS per Forbes.",7760,2,"['what are problems inherent in conglomerate ownership of mass communication', 'Stories can end up being biased or omitted so as not to offend advertisers or owners.']",5
Was Vladimir Kozlov successful?,"He is best known for his time in WWE, where he won the WWE Tag Team Championship once with Santino Marella.",1326,3,"[""What was Vladimir Kozlov's character?"", ""Shortly after the draft, Vladimir Kozlov's character was tweaked to further highlight the training he received within the Russian military."", ""What was Vladimir Kozlov's record?"", 'Prudius has won numerous achievements, becoming the 2005 USA Open Heavyweight Sambo Champion and a United States Kick-Boxing Association (USKBA) International Heavyweight Grappling Champion.']",5
what is a female moose,A female moose is a cow.,8706,3,"['where are moose located in the united states', 'In North America, the moose is found in Alaska, Canada, the northeastern United States, and as far south as the Rocky Mountains in Colorado.', 'what is a male moose', 'A male moose is a bull.']",5
was Pete Wentz married?,"In April 2008, Ashlee Simpson and Pete Wentz confirmed their engagement, and were married on May 17, 2008,",4024,2,"['When was Pete Wentz born?', 'Pete Wentz was born June 5, 1979']",5
who is in el clásico,El Clásico is the name given in football to any match between fierce rivals FC Barcelona and Real Madrid.,7882,2,"['when was the first clásico of all played', 'The first meeting of El Clásico was on 13 May 1902.']",5
Where is Peter Cullen from,"Peter Cullen was born in Montreal, Quebec.",7404,2,"['who did the voice of optimus prime in the cartoon', 'Peter Cullen is best known as the voice of Optimus Prime in the original 1980s Transformers animated series, and most other incarnations of the character.']",5
when did hurricane sandy form,"Hurricane Sandy developed from a tropical wave in the western Caribbean Sea on October 22, quickly strengthened, and was upgraded to Tropical Storm Sandy six hours later.",9460,2,"['when did hurricane sandy hit new york city', 'Hurricane Sandy storm surge hit New York City on October 29 2012, flooding streets, tunnels and subway lines and cutting power in and around the city.']",5
is the red fox endangered,The red fox is listed as least concern by the IUCN.,8471,3,"['what is the average weight of a red fox', 'An adult red fox weighs from 4.9 – 31 lbs.', 'where does the red fox live', 'The red fox is present across the entire Northern Hemisphere from the Arctic Circle to North Africa, North America and Eurasia.']",5
Who was Sitting Bull?,"Sitting Bull in Standard Lakota orthography, also nicknamed Húŋkešni  or Slow) was a Hunkpapa Lakota leader who led his people during years of resistance to United States government policies.",6900,2,"['Who began The Great Sioux War of 1876?', 'By the early 19th century, the Northern Cheyenne became the first to wage tribal-level warfare.']",5
what is the ncop,The National Council of Provinces (NCOP) is the upper house of the Parliament of South Africa under the (post-apartheid) constitution which came into full effect in 1997.,8499,2,"['how many provincial delegates does the national council of provinces comprise of', 'The NCOP comprises 90 provincial delegates, 10 delegates for each of the nine provinces regardless of the population of the province.']",4
What happened in 1999?,"On May 22, 1999, Mia Hamm broke the all-time international goal record with her 108th goal in a game against Brazil in Orlando, Florida.",1355,1,[],5
where was buddhism founded,"Buddhism arose in the eastern part of Ancient India, in and around the ancient Kingdom of Magadha (now in Bihar, India).",7815,2,"['who was the founder of buddhism and when was it founded', 'Buddhism was founded in the late 6th century B.C.E. by Siddhartha Gautama.']",4
What did Joe Lombardi do,"Lombardi's grandson, Joe Lombardi, was named the offensive coordinator for the Detroit Lions in January 2014.",4294,5,"[""what was Vince Lombardi's wife's name"", 'Lombardi and Marie Planitz wed, nonetheless, on August 31, 1940', 'did Vince Lombardi have a son', ""Vincent Harold Lombardi (Vince Jr.), Lombardi's son, was born in 1942."", 'did Vince Lombardi have a daughter', ""Susan Lombardi, Lombardi's daughter, was born in 1947."", 'did Vince Lombardi have any grand children', ""Lombardi's grandson was Joe Lombardi""]",5
Is Vito Fossella married?,"In 1990, Vito Fossella married Mary Patricia Rowan.",6429,8,"['Where was Vito Fossella born?', 'Vito Fossella was born on Staten Island into a Roman Catholic family of Irish and Italian descent.', 'Did Vito Fossella have any notable family members?', ""Vito Fossella's great-grandfather James A. O'Leary represented Staten Island in Congress from 1935 to 1944."", ""Were there any other family members of Vito Fossella in politics besides James A. O'Leary?"", ""One of Vito Fossella's uncles, Frank Fossella, was a prominent Staten Island Democrat who was a City Council member for four years, ending in 1985."", ""Were there any other family members of Vito Fossella that served in political positions besides James A. O'Leary and Frank Fossella?"", ""Vito Fossella's father, Vito John Fossella Sr., served in various appointed positions in the city administrations of Democratic Mayors Edward I. Koch and Abraham D. Beame."", 'Did Vito Fossella have any siblings?', 'Vito Fossella, the fourth of seven children, was a basketball player at Monsignor Farrell High School.', 'Where did Vito Fossella go to college?', 'Vito Fossella attended Iona College in New Rochelle, then transferred to the Wharton School of the University of Pennsylvania, where he received a Bachelor of Science in economics in 1987.', 'What did Vito Fossella do after college?', 'After college, Vito Fossella worked as a management consultant at the accounting firm Deloitte & Touche.']",5
