Question,Plan Context,Plan,Dependencies,Rewrite Context,Rewrite,Rationale Context,Rationale,Answer,GT Answer
How was the situation between Jimmy Buffett and the Jamaican police resolved?,"[""'Jamaica Mistaica': Jimmy Buffett Song Inspired After Plane ... | The plane, now an artifact of the Buffett universe, was struck by bullets but nobody was hurt. He later received an apology from the Jamaican government, according to an MTV News report at the time."", ""Remember When Jamaican Police Shot at Jimmy Buffett ... | On Jan. 16, 1996, Buffett and U2 singer Bono were shot at by Jamaican police while aboard Buffett's plane. Buffett was an avid pilot, and he ..."", ""Remember When Jamaican Police Shot at Jimmy Buffett ... | 16, 1996, Buffett and U2 singer Bono were shot at by Jamaican police while aboard Buffett's plane. Buffett was an avid pilot, and he owned a ...""]","Step 1: What happened between Jimmy Buffett and the Jamaican police in 1996?
Step 2: Did Jimmy Buffett receive an apology from the Jamaican government after the incident?
Step 3: What actions were taken by Jimmy Buffett after the shooting incident in Jamaica?",Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What happened between Jimmy Buffett and the Jamaican police in 1996? ANSWER: Jamaican police shot at Jimmy Buffett's plane.. Step 2: Did Jimmy Buffett receive an apology from the Jamaican government after the incident?,Did Jimmy Buffett receive an apology from the Jamaican government after the incident?,"[""'Jamaica Mistaica': Jimmy Buffett Song Inspired After Plane ... | In 1996, the police in Jamaica mistook Buffett for a drug smuggler after he landed his seaplane with the singer Bono and others on board and opened fire on it., mistook Buffett for a drug smuggler after he landed his seaplane with the singer Bono and others on board and opened fire on it."", ""Remember When Jamaican Police Shot at Jimmy Buffett ... | On Jan. 16, 1996, Buffett and U2 singer Bono were shot at by Jamaican police while aboard Buffett's plane. Buffett was an avid pilot, and he ..."", ""Jimmy Buffett - Wikipedia | The Jamaican government acknowledged the mistake and apologized to Buffett. In April 1998, Buffett released an album of songs from a musical theatre production he co-created based on Herman Wouk's novel, Don't Stop the Carnival; was certified gold. After Frank Sinatra died the following month, he attended his funeral., The Jamaican government acknowledged the mistake and apologized to Buffett"", 'Jamaican Police Apologize to Bono And Company | News | Blackwell and Jimmy Buffett all received official apologies from the Jamaican. Government after the Jamaican gendarmes attempted to shoot down Chris.', ""Jamaica Mistaica! We All Do. Let It Go. | Of the incident, Buffett said: “I know that there are times in my life where I probably should have been shot at for a lot worse behavior,” and responding to encouragement to sue the Jamaican government he replied: “No, it's probably karma. We're even now.” Instead of suing, Jimmy wrote a song about it., Instead of suing, Jimmy wrote a song about it."", ""Remember When Jamaican Police Shot at Jimmy Buffett ... | On Jan. 16, 1996, Buffett and U2 singer Bono were shot at by Jamaican police while aboard Buffett's plane. Buffett was an avid pilot, and he ..."", ""'Jamaica Mistaica': Jimmy Buffett Song Inspired After Plane ... | The plane, now an artifact of the Buffett universe, was struck by bullets but nobody was hurt. He later received an apology from the Jamaican government, according to an MTV News report at the time.""]","Jimmy Buffett and Bono were shot at by Jamaican police while aboard Buffett's plane [1][2]. The Jamaican government acknowledged the mistake and apologized to Buffett [3][4][7]. Instead of suing, Jimmy wrote a song about it [5].",The Jamaican government apologized to Jimmy Buffett.,['The Jamaican government acknowledged the mistake and apologized to Buffett']
do the spotted lantern flies bite?,"['Spotted Lanternfly | Chester County, PA - Official Website | The Spottled Lanternfly is not harmful to humans. They do not sting or bite, but they can be very destructive to many crops, trees and plants. They can also make a mess in your yard by excreting a sticky substance that causes the growth of black sooty mold., They do not sting or bite', 'Spotted lanternfly lore: Penn State experts clear up ... | Spotted lanternflies are not known to bite or sting or attack people, pets or livestock, noted Urban. “Spotted lanternflies have piercing- ...', 'What to do if you Find the Spotted Lanternfly on your Property | The spotted lanternfly is not known to bite humans. You can kill spotted lanternflies mechanically, by swatting or crushing them. However, when you threaten ...']","Step 1: Are spotted lantern flies harmful to humans? Step 2: Can spotted lantern flies bite or sting? Step 3: What is the impact of spotted lantern flies on crops, trees, and plants?",Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: Are spotted lantern flies harmful to humans? ANSWER: No, spotted lanternflies are not harmful to humans.. Step 2: Can spotted lantern flies bite or sting?",Can spotted lantern flies bite or sting?,"[""Spotted Lanternfly Damage - Cornell CALS | They don't bite or sting but their large numbers and messy honeydew can be a nuisance. Spotted lanternfly feed in large numbers, which can be a nuisance. Spotted lanternflies do not appear to be damaging trees or most agricultural crops but are having an impact on grapes and some other crops., They don't bite or sting"", ""What's so bad about the spotted lanternfly? | Spotted lanternflies are not physically dangerous to humans. They cannot bite as they have only specialised sap-sucking mouthparts. There have ..."", 'Spotted Lanternfly | Chester County, PA - Official Website | The Spottled Lanternfly is not harmful to humans. They do not sting or bite, but they can be very destructive to many crops, trees and plants. They can also make a mess in your yard by excreting a sticky substance that causes the growth of black sooty mold., They do not sting or bite', 'Spotted lanternfly lore: Penn State experts clear up ... | Spotted lanternflies are not known to bite or sting or attack people, pets or livestock, noted Urban. “Spotted lanternflies have piercing ...', 'Spotted Lanternfly: Everything You Need to Know About the ... | The impacts of spotted lanternfly will be substantial. It is an agricultural pest, most notably on grapevines. Not only do they greatly reduce yield, but remaining grapes have lower sugar content and overall plant health suffers. Spotted lanternfly is also going to be a significant landscape pest., greatly reduce yield, but remaining grapes have lower sugar content and overall plant health suffers', 'Spotted Lanternfly Damage - Cornell CALS | Spotted lanternflies do not appear to be damaging trees or most agricultural crops. In natural and residential areas, they feed on Tree of heaven (Ailanthus), ...', 'Spotted Lanternfly | Chester County, PA - Official Website | The Spottled Lanternfly is not harmful to humans. They do not sting or bite, but they can be very destructive to many crops, trees and plants. They can also make a mess in your yard by excreting a sticky substance that causes the growth of black sooty mold., They do not sting or bite']",Spotted lanternflies do not bite or sting [1][2][3][4][7].,"No, spotted lanternflies do not bite.",['Spotted lanternflies do not bite or sting.']
why was the peninsular war important,"['Peninsular War - Wikipedia | Most Spaniards rejected French rule and fought a bloody war to oust them. The war on the peninsula lasted until the Sixth Coalition defeated Napoleon in 1814, and is regarded as one of the first wars of national liberation. It is also significant for the emergence of large-scale guerrilla warfare., one of the first wars of national liberation', ""Peninsular War | Definition, Battles, Dates, Significance, & ... | Napoleon's peninsula struggle contributed considerably to his eventual downfall; but until 1813 the conflict in Spain and Portugal, though ..."", ""Peninsular War | Between 1808 and 1814, the British Army fought a war in the Iberian Peninsula against the invading forces of Napoleon's France. Aided by their Spanish and ...""]",Step 1: What was the significance of the Peninsular War? Step 2: How did the Peninsular War contribute to Napoleon's eventual downfall? Step 3: What role did guerrilla warfare play in the Peninsular War?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,Step 1: What was the significance of the Peninsular War? ANSWER: It is regarded as one of the first wars of national liberation.. Step 2: How did the Peninsular War contribute to Napoleon's eventual downfall?,How did the Peninsular War contribute to Napoleon's eventual downfall?,"['Peninsular War - Wikipedia | Most Spaniards rejected French rule and fought a bloody war to oust them. The war on the peninsula lasted until the Sixth Coalition defeated Napoleon in 1814, and is regarded as one of the first wars of national liberation. It is also significant for the emergence of large-scale guerrilla warfare., one of the first wars of national liberation', 'Peninsular War | Definition, Battles, Dates, Significance, & ... | The war in the Peninsula did interest the British, because their army made no other important contribution to the war on the continent between ...', ""Napoleon's Empire Collapses | Napoleon lost about 300,000 men during this Peninsular War (so called because Spain lies on the Iberian Peninsula). These losses weakened the French Empire. In Spain and elsewhere, nationalism, or loyalty to one's own country, was becoming a powerful weapon against Napoleon., Napoleon lost about 300,000 men"", ""The Downfall of Napoleon | The Peninsular War turned out to be quite costly, and although the French defeated Spain, this was a turning point in Napoleon's reign. This was the signature ..."", 'Napoleon´s Nightmare: Guerrilla Warfare in Spain (1808-1814) | The guerrillas forced the French troops on the Peninsula into a dilemma that they never resolved: How to fight against the regular armies of Spain and Britain (and Portugal), while simultaneously fighting against guerrilla operations that constantly threatened their rear, and the lines of communication and supply, thus ..., forced the French troops on the Peninsula into a dilemma that they never resolved', ""Guerrilla warfare in the Peninsular War | Guerrilla warfare in the Peninsular War refers to the armed civilian actions carried out by non-regular troops against Napoleon's Grande Armée in Spain and ..."", 'Peninsular War - Wikipedia | Most Spaniards rejected French rule and fought a bloody war to oust them. The war on the peninsula lasted until the Sixth Coalition defeated Napoleon in 1814, and is regarded as one of the first wars of national liberation. It is also significant for the emergence of large-scale guerrilla warfare., one of the first wars of national liberation']",The Peninsular War is regarded as one of the first wars of national liberation and was significant for the emergence of large-scale guerrilla warfare [1][7].,It was one of the first wars of national liberation and significant for the emergence of large-scale guerrilla warfare.,"['The Peninsular War is regarded as one of the first wars of national liberation, significant for the emergence of large-scale guerrilla warfare.']"
what are the six elements of weather and climate,"[""What are the elements of weather and climate? - BYJU'S | The elements of weather and climate are those quantities or properties that are measured regularly. The six main elements are weather and climate are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness. Humidity is the concentration of water vapor present in the air., temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness"", 'What are the six elements of weather? Flashcards | Temperature. The degree of hotness or coldness of a place. · Relative Humidity. It is the ratio (usually expressed in %) between the actual amount of water ...', ""Elements of Weather and Climate | 1. a form of precipitation (7) ; 2. unit for measuring temperature (10) ; 3. deflects wind due to the Earth's spinning (8) ; 5. temporary state of the atmosphere ( ...""]",Step 1: What are the main elements of weather and climate? Step 2: What are the six elements of weather and climate? Step 3: What is the definition of temperature in weather and climate?,Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: What are the main elements of weather and climate? ANSWER: The main elements are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness.. Step 2: What are the six elements of weather and climate?",What are the six elements of weather and climate?,"[""What are the elements of weather and climate? - BYJU'S | The elements of weather and climate are those quantities or properties that are measured regularly. The six main elements are weather and climate are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness. Humidity is the concentration of water vapor present in the air., temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness"", 'Elements of Weather and Climate | Elements of Weather and Climate · Temperature is the most important determinant of weather and climate since it tends to affect other elements of the weather.', ""What are the elements of weather and climate? - BYJU'S | The elements of weather and climate are those quantities or properties that are measured regularly. The six main elements are weather and climate are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness. Humidity is the concentration of water vapor present in the air., temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness"", 'What are the six elements of weather? Flashcards | Temperature. The degree of hotness or coldness of a place. · Relative Humidity. It is the ratio (usually expressed in %) between the actual amount of water ...', 'Temperature - National Geographic Society | temperature. noun. degree of hotness or coldness measured by a thermometer with a numerical scale., degree of hotness or coldness measured by a thermometer with a numerical scale', ""What's the Difference Between Weather and Climate? | News | Whereas weather refers to short-term changes in the atmosphere, climate describes what the weather is like over a long period of time in a ..."", ""What are the elements of weather and climate? - BYJU'S | The elements of weather and climate are those quantities or properties that are measured regularly. The six main elements are weather and climate are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness. Humidity is the concentration of water vapor present in the air., temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness""]","The six main elements of weather and climate are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness [1][3][7].","The six elements are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness.","['The six main components or parts of weather are temperature, atmospheric pressure, wind, humidity, precipitation, and cloudiness.']"
Who created the show Only Fools and Horses,"['Only Fools and Horses | Only Fools and Horses.... is a British television sitcom created and written by John Sullivan. Seven series were originally broadcast on BBC One in the ...', 'Only Fools and Horses (TV Series 1981–2003) | Only Fools and Horses: Created by John Sullivan. With David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield. Comedy that follows two brothers ... Rating: 9/10, \u200e55,565 votes', 'Only Fools and Horses | The series was written by John Sullivan, who had already seen success with Citizen Smith. Only Fools and Horses introduced the Trotters, and created career ...']",Step 1: Who wrote the British television sitcom Only Fools and Horses? Step 2: Who is the creator of Only Fools and Horses?,Step 2 depends on Step 1.,Step 1: Who wrote the British television sitcom Only Fools and Horses? ANSWER: John Sullivan. Step 2: Who is the creator of Only Fools and Horses?,Who is the creator of Only Fools and Horses?,"['Only Fools and Horses | Only Fools and Horses.... is a British television sitcom created and written by John Sullivan. Seven series were originally broadcast on BBC One in the ...', 'John Sullivan | John Sullivan, Only Fools and Horses.... is a British television sitcom created and written by John Sullivan. Seven series were originally broadcast on BBC One in the United Kingdom from 1981 to 1991, with sixteen sporadic Christmas specials aired until the end of the show in 2003., John Sullivan', 'John Sullivan (writer) | ^ Jump up to: ""BBC News - Only Fools and Horses writer John Sullivan OBE dies"". ... ^ ""Only Fools And Horses Creator Dies At 64 - Yahoo! News UK"". 28 April 2011 ...', 'Only Fools and Horses | Only Fools and Horses.... is a British television sitcom created and written by John Sullivan. Seven series were originally broadcast on BBC One in the ...', 'John Sullivan (writer) | Davies commissioned Sullivan to write a full series under an alternative title Only Fools and Horses, which had also been the name of a Citizen Smith episode.', 'John Sullivan(1946-2011) | John Sullivan was born on 23 December 1946 in Balham, London, England, UK. He was a writer and producer, known for Only Fools and Horses (1981), Dear John ...', 'Only Fools and Horses (TV Series 1981–2003) | Only Fools and Horses: Created by John Sullivan. With David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield. Comedy that follows two brothers ... Rating: 9/10, \u200e55,565 votes']",Only Fools and Horses was created and written by John Sullivan [1][2][4]. John Sullivan was commissioned to write a full series under an alternative title Only Fools and Horses [5][6].,John Sullivan created Only Fools and Horses.,['Only Fools and Horses was created by John Sullivan.']
when did the show frasier begin and end,"['Frasier - Wikipedia | It aired from September 16, 1993, to May 13, 2004. The program was created and produced by David Angell, Peter Casey, and David Lee (as Grub Street Productions), in association with Grammnet (2004) and Paramount Network Television., September 16, 1993, to May 13, 2004', 'Frasier Crane | The character Frasier Crane was created in the third season of Cheers (1984–1985) by series creators Glen and Les Charles as Diane Chambers\'s (Shelley Long) "" ...', 'Frasier (TV Series 1993–2004) | Frasier: Created by David Angell, Peter Casey, David Lee. With Kelsey Grammer, Jane Leeves, David Hyde Pierce, Peri Gilpin. Dr. Frasier Crane moves back to ... Rating: 8.2/10, \u200e93,005 votes']",Step 1: When did the TV show Frasier first air? Step 2: When did the TV show Frasier end?,Step 2 depends on Step 1.,"Step 1: When did the TV show Frasier first air? ANSWER: September 16, 1993. Step 2: When did the TV show Frasier end?",When did the TV show Frasier end?,"['Frasier/First episode date | September 16, 1993, Frasier (/ˈfreɪʒər/) is an American television sitcom that was broadcast on NBC for 11 seasons. It aired from September 16, 1993, to May 13, 2004., September 16, 1993', 'Frasier (TV Series 1993–2004) | Details ; Release date · September 16, 1993 (United States) ; Official sites · Official Facebook · Official Instagram ; Also known as. Фрейзер ; Filming locations. Rating: 8.2/10, \u200e93,005 votes', ""Frasier/Final episode date | May 13, 2004, For 11 seasons, Frasier Crane (Kelsey Grammer) and Roz Doyle (Peri Gilpin) sat across from each other at KACL, trading barbs, sharing dating war stories, and providing the occasional shoulder to lean on. It's been 20 years since we last saw Roz and Frasier together when the run of the original Frasier ended in 2004., 2004"", '\'Frasier\' Ending Explained: A Happy Ending for All | On May 13, 2004, in a two-part episode titled ""Goodnight, Seattle,"" which drew over 25 million viewers, they said farewell. Martin Crane Is ...', 'Frasier - Wikipedia | It aired from September 16, 1993, to May 13, 2004. The program was created and produced by David Angell, Peter Casey, and David Lee (as Grub Street Productions), in association with Grammnet (2004) and Paramount Network Television., September 16, 1993, to May 13, 2004', 'Frasier Crane | The character Frasier Crane was created in the third season of Cheers (1984–1985) by series creators Glen and Les Charles as Diane Chambers\'s (Shelley Long) "" ...', 'Frasier (season 1) | The first season of Frasier originally aired from September 16, 1993, to May 19, 1994, on NBC, consisting of a total of 24 episodes.']","Frasier aired from September 16, 1993, to May 13, 2004 [1][3][5].","Frasier began on September 16, 1993, and ended on May 13, 2004.","['Frasier premiered on September 16, 1993, and concluded on May 13, 2004.']"
What happened in 2003 to Super Furry Animals,"['Super Furry Animals | 4, the album broke little new ground by SFA\'s standards and the band had fallen out of fashion, receiving little coverage in the music press. Another single, "" ...', 'Phantom Power (Super Furry Animals album) | Phantom Power is the sixth album by Welsh indie rock band Super Furry Animals, released on 21 July 2003 by Epic Records in the United Kingdom.', 'Into the valleys | Super Furry Animals | Now the band has completed Phantom Power, an album, also released as a DVD, which manages to combine British psychedelia, folk music and techno ...']",Step 1: What album did Super Furry Animals release in 2003? Step 2: What was the reception of Super Furry Animals' album in 2003? Step 3: What was the band's status in the music industry in 2003?,Step 2 depends on Step 1. Step 3 depends on Step 1.,"Step 1: What album did Super Furry Animals release in 2003? ANSWER: ""Phantom Power"". Step 2: What was the reception of Super Furry Animals' album in 2003?","What was the reception of Super Furry Animals' album ""Phantom Power"" in 2003?","['Phantom Power | Phantom Power, Phantom Power is the sixth album by Welsh indie rock band Super Furry Animals, released on 21 July 2003 by Epic Records in the United Kingdom., Phantom Power', 'Super Furry Animals | It was also released as both a CD and DVD album in July 2003, preceded by a single, ""Golden Retriever"", in June (chart No. 13). Although the reviews for the ...', 'Phantom Power (Super Furry Animals album) - Wikipedia | Critical reception Phantom Power received generally positive reviews from critics with a score of 87 on Metacritic, denoting ""universal acclaim""., universal acclaim', ""Phantom Phorce | Phantom Phorce is a remix album of Super Furry Animals' 2003 record Phantom Power. The remixes had previously appeared on the DVD version of Phantom ..."", '2003 in music | ... band on their first world tour. November 6 – Marco Aro quits his vocalist position in The Haunted. The band rehires their first vocalist, Peter Dolving.', 'Super Furry Animals | 4, the album broke little new ground by SFA\'s standards and the band had fallen out of fashion, receiving little coverage in the music press. Another single, "" ...', 'Super Furry Animals – Phantom Power (2003, DVD) | View credits, reviews, tracks and shop for the 2003 DVD release of ""Phantom Power"" on Discogs. Rating: 4.1, \u200e13 votes, \u200eStarting from $0.86']","In 2003, Super Furry Animals released their album ""Phantom Power"" [1].","They released their album ""Phantom Power.""",['They released Phantom Power']
Did Fred Hampton's family move to Chicago as well?,"['Fred Hampton - Wikipedia | Early life and youth. Hampton was born on August 30, 1948, in present-day Summit Argo, Illinois (generally shortened to Summit), and moved with his parents to another Chicago suburb, Maywood, at age 10.', ""Fred Hampton's boyhood home in Maywood receives ... | Fred Hampton moved to 804 South 17th Avenue when he was only ten years old, and many formative experiences that laid the groundwork for Chairman ..."", ""Black Panther leader Fred Hampton's family fights to keep his ... | 4, 1969, police raided Hampton's apartment on Chicago's West Side and unleashed nearly 100 bullets, killing the 21-year-old chairman in his ...""]",Step 1: Where was Fred Hampton born and where did he move to at age 10? Step 2: Did Fred Hampton's family move to Chicago as well? Step 3: What were the circumstances of Fred Hampton's death?,Step 2 depends on Step 1. Step 3 depends on Step 1. Step 3 depends on Step 2.,"Step 1: Where was Fred Hampton born and where did he move to at age 10? ANSWER: Fred Hampton was born in Summit Argo, Illinois and moved to Maywood at age 10.. Step 2: Did Fred Hampton's family move to Chicago as well?",Did Fred Hampton's family move to Chicago as well?,"['Fred Hampton - Wikipedia | Early life and youth Hampton was born on August 30, 1948, in present-day Summit Argo, Illinois (generally shortened to Summit), and moved with his parents to another Chicago suburb, Maywood, at age 10., Summit Argo, Illinois', 'Fred Hampton | Biography, Black Panthers, Death, & Civil ... | August 30, 1948, Chicago, Illinois, U.S.. (Show more). Killed: December 4, 1969, Chicago (aged 21).', 'Fred Hampton - Wikipedia | Early life and youth. Hampton was born on August 30, 1948, in present-day Summit Argo, Illinois (generally shortened to Summit), and moved with his parents to another Chicago suburb, Maywood, at age 10.', ""Fred Hampton's boyhood home in Maywood receives ... | Fred Hampton moved to 804 South 17th Avenue when he was only ten years old, and many formative experiences that laid the groundwork for Chairman ..."", ""The Assassination of Fred Hampton - Digital Chicago | ' After two gunshots were fired inside the room, the other officer said, 'He's good and dead now. '” It was later confirmed that Hampton had never been fully conscious, had never left his bed, and “had been shot at close range, with two bullets to the head.”, two gunshots were fired inside the room"", ""Fred Hampton | In December 1969, Hampton was drugged, shot and killed in his bed during a predawn raid at his Chicago apartment by a tactical unit of the Cook County State's ..."", 'Fred Hampton - Wikipedia | Early life and youth. Hampton was born on August 30, 1948, in present-day Summit Argo, Illinois (generally shortened to Summit), and moved with his parents to another Chicago suburb, Maywood, at age 10.']",Hampton's parents moved to another Chicago suburb when he was ten years old [1][3][7].,Yes.,['Yes']
Did Ranveer Singh have any siblings?,"[""Ranveer Singh/Siblings | Ritika Bhavnani, He has an elder sister, Ritika Bhavnani. Singh is the paternal grandson of character-actress Chand Burke and is related to actor Anil Kapoor's family through latter's wife Sunita Kapoor (née Bhavnani)., He has an elder sister, Ritika Bhavnani"", ""Ranveer Singh's Sister Didn't Pretend To Be Anything But ... | However, Ranveer Singh's sister Ritika Bhavnani who attended the screening to support her brother with their parents was not afraid to pick a ..."", 'Ranveer Singh: Biography, Father, net worth, movies ... | Ranveer was born in the family of Anju Singh Bhavnani and Ajit Singh Bhavnani on July 6, 1985, in Mumbai. Ranveer Singh has a sister named Ritika Bhavnani.']",Step 1: Who is Ranveer Singh's sister? Step 2: What is the name of Ranveer Singh's elder sister? Step 3: How many siblings does Ranveer Singh have?,Step 2 depends on Step 1. Step 3 depends on Step 1.,Step 1: Who is Ranveer Singh's sister? ANSWER: Ritika Bhavnani. Step 2: What is the name of Ranveer Singh's elder sister?,What is the name of Ranveer Singh's elder sister?,"[""Ranveer Singh/Sister | Ritika Bhavnani, His grandparents moved to Bombay from Karachi, Sindh (in present-day Pakistan) during the Partition of India. He has an elder sister, Ritika Bhavnani. Singh is the paternal grandson of character-actress Chand Burke and is related to actor Anil Kapoor's family through latter's wife Sunita Kapoor (née Bhavnani)."", ""Ranveer Singh's Sister Didn't Pretend To Be Anything But ... | Rocky Aur Rani Kii Prem Kahaaniheadlined by Ranveer Singh and Alia Bhatt is all set to release in theatres on July 28."", 'Ritika Bhavnani | Ritika Bhavnani, Ranveer Singh Bhavnani was born on 6 July 1985 into a Sindhi family in Bombay, Maharashtra, India (now Mumbai), to Anju and Jagjit Singh Bhavnani. His grandparents moved to Bombay from Karachi, Sindh (in present-day Pakistan) during the Partition of India. He has an elder sister, Ritika Bhavnani., Ritika Bhavnani', ""Ranveer Singh's Sister Didn't Pretend To Be Anything But ... | However, Ranveer Singh's sister Ritika Bhavnani who attended the screening to support her brother with their parents was not afraid to pick a ..."", ""Ranveer Singh - Wikipedia | He has an elder sister, Ritika Bhavnani. Singh is the paternal grandson of character-actress Chand Burke and is related to actor Anil Kapoor's family through latter's wife Sunita Kapoor (née Bhavnani)., an elder sister, Ritika Bhavnani"", ""Ranveer Singh: Biography, Father, net worth, movies ... | Ranveer Singh has a sister named Ritika Bhavnani. We can trace the history of Ranveer's family back to present-day Pakistan. After the partition of India ..."", ""Ranveer Singh/Siblings | Ritika Bhavnani, He has an elder sister, Ritika Bhavnani. Singh is the paternal grandson of character-actress Chand Burke and is related to actor Anil Kapoor's family through latter's wife Sunita Kapoor (née Bhavnani)., He has an elder sister, Ritika Bhavnani""]",Ranveer Singh has an elder sister named Ritika Bhavnani [1][3][5][7].,"Yes, he has an elder sister named Ritika Bhavnani.",['Ranveer Singh has an elder sister named Ritika Bhavnani.']
Which notable people had expressed the effect of Jane Roberts's Seth Material upon their own awakening?,"['Jane Roberts | Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others express the effect the Seth Material had upon their own ...', 'Seth Material | The Seth Material is a collection of writing dictated by Jane Roberts to her husband from late 1963 until her death in 1984. Roberts claimed the words were ...', 'The Problem of Seth\'s Origin: A Case Study of the Trance- ... | Abstract. Jane Roberts channeled the purported discarnate entity called ""Seth"" from 1963 through 1984. The purposes of this paper are to (a) discuss the ...']",Step 1: Who has expressed the effect of Jane Roberts's Seth Material on their own awakening? Step 2: What is the Seth Material? Step 3: Who is Jane Roberts and what is her connection to the Seth Material?,Step 2 depends on Step 1. Step 3 depends on Step 2.,"Step 1: Who has expressed the effect of Jane Roberts's Seth Material on their own awakening? ANSWER: Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others. Step 2: What is the Seth Material?",Who has expressed the effect of Jane Roberts's Seth Material on their own awakening?,"['Jane Roberts | Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others express the effect the Seth Material had upon their own ...', 'Jane Roberts | Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others express the effect the Seth Material had upon their own ...', 'Jane Roberts | Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others express the effect the Seth Material had upon their own ...', 'Jane Roberts | Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others express the effect the Seth Material had upon their own ...', ""The Problem of Seth's Origin: A Case Study of the Trance- ... | ... Jane. Roberts' own psyche. Jane gives her own reasons for her conviction that the Seth material does not originate with her subconscious, as the word is ..."", ""The Problem of Seth's Origin: A Case Study of the Trance- ... | ... Jane. Roberts' own psyche. Jane gives her own reasons for her conviction that the Seth material does not originate with her subconscious, as the word is ..."", ""The Problem of Seth's Origin: A Case Study of the Trance- ... | ... Jane. Roberts' own psyche. Jane gives her own reasons for her conviction that the Seth material does not originate with her subconscious, as the word is ...""]","Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others expressed the effect of Jane Roberts's Seth Material upon their own awakening [1][2].","Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others.","['Marianne Williamson, Deepak Chopra, Shakti Gawain, Dan Millman, Louise Hay, Richard Bach, and others express the effect the Seth Material had upon their own awakening']"
