Question,Answer,Conversation#,Turn#,Context,Question Length
Who accused Chris Hedges of plagiarism first?,Theodore Ross discovered that sections of Chris Hedges’s draft appeared to have been lifted directly from the work of a Philadelphia Inquirer reporter named Matt Katz.,7214,1,[],8
What was led to the next great fall of Migration Period art?,Migration Period art developed into various schools of Early Medieval art in Western Europe,4852,6,"['What do art historians mean by animal style art?', 'Animal style art is an approach to decoration found from China to Northern Europe in the early Iron Age, and the barbarian art of the Migration Period', 'What did this mean to the people making the animal style art?', 'After Christianization, Migration Period art developed into various schools of Early Medieval art', 'What was the styles called after Migration Period art developed into various schools of art?', ""They're normally classified by region, such as Anglo-Saxon art and Carolingian art, before the continent-wide styles of Romanesque art and finally Gothic art developed."", 'What are the origins of the two animal styles in Migration PEriod art?', 'He classified animal art of the period roughly from 400 to 900 into three phases: Styles I, II and III.', ""What happened to the two styles of Migration Art's animal style influence."", 'After about 700 localised styles develop, and it is no longer very useful to talk of a general Germanic style. Salin Style III is found mainly in Scandinavia, and may also be called Viking art.']",13
when was the first chris brown album released?,Chris Brown's first album was released 11/29/2005.,8100,2,"['how many songs does chris brown have in total', 'Chris Brown has released 171 singles.']",9
Frank Oz was a puppeteer in other movies?,"Frank Oz puppeteer-ed Miss Piggy, Fozzie Bear, Animal, Sam Eagle and Marvin Suggs in The Muppet Movie.",10025,2,"['who played yoda in the empire strikes back', ""Frank Oz provided Yoda's voice in each film and used his skills as a puppeteer in the original trilogy.""]",9
what is the mission santa cruz's full name,"The full name of Mission Santa Cruz is La Misión de la Exaltación de la Santa Cruz, which translates as the Mission of the Exaltation of the Holy Cross.",7841,4,"['what was mission santa cruz made out of', 'mission santa cruz was made out of adobe', 'when was mission santa cruz founded', 'Mission Santa Cruz was founded on August 28, 1791', 'who was the founding priest of mission santa cruz', 'the founding priest of mission santa cruz was Father Fermín Lasuén']",9
Was Kenesaw Mountain Landis hired on as judge?,Personal secretary.,1315,2,"['What happened to Kenesaw Mountain Landis in 1893?', 'Walter Q. Gresham, the new United States Secretary of State, named Kenesaw Mountain Landis his personal secretary in 1893.']",9
when was kingsman the golden circle filmed,"Principal photography for Kingsman, The Golden Circle, began on 15 May 2016. On 13 September 2016, the film completed initial filming.",9335,1,[],7
how many players are there in dead by daylight xbox one,"Dead by Daylight is an asymmetrical, multiplayer 4 vs 1 horror game where one player takes on the role of a savage killer",9970,1,[],11
What happened to Tom Hafey's playing career?,"After being a player for Richmond, Tom Hafey became a coach.",6563,3,"['What teams did Tom Hafey play for?', 'Tom Hafey played for Richmond between 1953 and 1958', 'Where did Tom Hafey train at?', 'Tom Hafey trained at the Richmond Football Club.']",9
Did Oingo Boingo release any albums during this period?,The first release with the new line-up was Dead Man's Party in 1985.,31,8,"['What were the MCA years?', 'MCA years were the time Oingo Boingo was signed to MCA Records.', 'What switches did Oingo Boingo make?', 'Mike Gormley, who had just left the position of VP of Publicity and Asst. to the Chairman of A&M, negotiated a release from the label and signed to MCA Records.', 'Did Oingo Boingo release any songs between 1985 to 1990?', ""Oingo Boingo released three albums from 1985 to 1990: Dead Man's Party, Boi-ngo, and Dark at the End of the Tunnel."", 'What was Weird Science about?', 'Weird Science is a song by Oingo Boingo. Written by frontman Danny Elfman, it is the theme song to the Weird Science film and television series.', 'When was Weird Science written?', ""Weird Science was released on the film's soundtrack, as well as Oingo Boingo's 1985 album, Dead Man's Party, as a longer mix."", 'Did Oingo Boingo release any more sound tracks?', ""Oingo Boingo appeared on a number of movie soundtracks, including an appearance in the movie Back to School in 1986, performing their hit single Dead Man's Party."", 'Which label did Oingo Boingo use to release their music?', 'Oingo Boingo used MCA Records for the most part to release their music.']",10
